,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,57.13,58.26,54.34,54.61,1751257,,,,,,,3.9199999999999946
1,54.94,57.34,54.0,57.25,1072902,,,,,,,3.878571428571424
2,57.24,58.34,54.6133,55.76,715469,,,,,,,3.867723469387751
3,57.01,58.29,55.9,58.23,581059,,,,,,,3.772171793002912
4,56.56,56.96,54.76,55.78,617925,,,,,,,3.750588093502704
5,53.6,55.48,53.39,55.32,611156,,,,,,,3.6534032296810826
6,53.69,55.0,51.67,52.34,2357162,,,,,,,3.6531601418467194
7,54.75,54.93,51.81,54.82,757557,,,,,,,3.615077274571954
8,53.11,53.99,50.02,50.79,1218452,54.99,,,,,,3.6997146121025284
9,47.61,49.23,44.65,46.13,1877394,54.05,,,,,,3.874020711238062
10,49.0,51.91,46.18,51.89,1732814,53.45,,,,,,4.010162089006772
11,47.14,49.53,45.2,45.45,2431778,52.31,,,,,,4.201579082649145
12,46.36,46.64,42.65,45.25,1227293,50.86,,,,,,4.1864662910313495
13,42.45,45.15,39.44,42.87,2261964,49.43,,,,,,4.30243298452911
14,42.27,43.69,39.84,42.42,1073803,48.0,,,,,,4.270116342777031
15,42.57,44.99,37.66,38.5501,1402726,46.46,,,,,,4.4886794611501
16,38.05,38.24,35.405,36.58,2055292,44.44,,,,,,4.392709499639378
17,38.85,41.17,38.04,41.05,1265971,43.35,,,,,,4.406801678236565
18,41.55,43.838,40.58,41.63,969498,42.85,,,,,,4.324744415505382
19,42.29,46.17,40.21,45.85,1331460,42.18,48.63,,,32.626810364711766,63.21416455268465,4.441548385826427
20,44.01,45.11,43.26,44.24,658282,42.05,48.11,,,32.509399660527336,62.214318135462705,4.309294929695969
21,44.4,46.67,43.47,46.42,744471,42.18,47.57,,,32.492504809459554,61.22519033488271,4.230059577574829
22,46.31,47.85,45.05,46.41,1307486,42.57,47.1,,,32.756220059168,59.919736451986964,4.127912464890913
23,43.98,45.16,43.57,44.21,482670,42.77,46.4,,,33.27387686998261,58.41194301761906,4.035918717398705
24,43.57,45.67,43.56,45.59,602696,43.55,45.89,,,33.85892037259888,57.004742301514725,3.898353094727369
25,45.02,45.95,43.4,43.87,896636,44.36,45.32,,,34.44971802772169,55.771971758513374,3.8020421593897
26,45.97,48.09,45.92,47.71,857202,45.1,45.09,,,34.97458899006083,54.609242594217704,3.831896290861865
27,50.04,50.12,48.11,48.44,1013684,45.86,44.77,,,35.506959869995036,53.56688762951357,3.730332270086017
28,49.77,51.46,47.99,51.07,891500,46.44,44.78,,,35.7805041766774,52.94912301112389,3.7117371079370156
29,51.94,52.98,50.4,50.97,1366578,47.19,45.02,,,35.29488810959016,53.67314641340945,3.6308987430843715
30,50.31,50.31,48.29,48.79,397982,47.45,44.87,,,35.16265536962139,53.37168141682847,3.5629774042926305
31,50.21,50.56,48.305,48.45,540716,47.68,45.02,,,35.02901897371088,53.53426922666688,3.469550446843157
32,46.57,48.455,46.551,47.97,1407772,48.1,45.15,,,35.10068640777354,53.67966654355861,3.3577254149257887
33,47.95,48.58,47.0,48.08,904262,48.37,45.42,,,35.55940949504958,53.8712406746565,3.230745028145375
34,49.28,50.44,49.28,50.14,1300490,49.07,45.8,,,35.9136824275938,54.23725199785811,3.16854895470642
35,50.19,50.33,49.01,49.84,1296350,49.31,46.37,,,36.84551248651905,54.572488489639184,3.036509743655962
36,48.84,49.465,47.86,48.09,1564506,49.27,46.94,,,38.72656822277289,53.76365202841697,2.9610447619662508
37,49.35,49.39,47.96,49.24,2477792,49.06,47.35,,,40.12927752619271,53.26107715849078,2.8516844218258046
38,49.24,50.114,48.22,48.34,907548,48.77,47.69,,,41.022092862559646,53.151934622391174,2.78327839169539
39,47.23,49.38,45.96,48.82,2145395,48.77,47.83,,,42.15213233895212,53.1678680176683,2.8287585065742906
40,49.53,51.55,49.3872,50.91,1409350,49.05,48.17,,,42.60038706898147,53.287834729412566,2.82170432753327
41,52.2,52.56,50.91,50.97,380076,49.38,48.4,,,42.958290903779705,53.68288812595747,2.738011161280894
42,52.48,53.28,51.525,52.81,391065,49.91,48.72,,,43.042934100812325,54.21681174141236,2.7074389354751163
43,51.76,52.39,50.89,50.96,1444319,50.0,49.05,,,43.618407108655056,54.19250664723036,2.651193297226894
44,49.74,50.66,49.21,49.77,703748,49.99,49.26,,,44.41152174960514,53.8947673517429,2.586822347424973
45,49.39,50.14,48.7,49.97,1355162,50.2,49.57,,,45.4349587477838,53.467461374281804,2.5049064654660462
46,50.73,51.13,49.62,49.65,576058,50.24,49.66,,,45.85090337298949,53.399271041122844,2.4338417179327574
47,49.72,50.1,49.09,49.16,417191,50.34,49.7,,,45.91294509782203,53.39912423150708,2.3321387380804177
48,50.1,51.11,50.1,50.51,627180,50.52,49.67,,,45.99029636524606,53.36459957560178,2.304843113931817
49,51.28,51.99,51.08,51.91,1091284,50.63,49.72,48.72,,45.93697688977183,53.16825403353084,2.245925748650973
50,51.33,52.33,51.23,51.92,479936,50.74,49.88,48.66,,45.9356724147912,53.378208207902354,2.164073909461618
51,52.39,52.39,49.44,49.44,481068,50.37,49.92,48.51,,46.01141267768245,53.57286714586132,2.220211487357217
52,49.2,50.11,48.61,49.97,2000566,50.26,50.02,48.39,,46.3469279316516,53.454591852220794,2.1687678096888447
53,49.2,50.8,48.7,50.61,2070370,50.35,50.15,48.24,,46.615832678829754,53.3310021356178,2.163855823282498
54,50.3,51.04,49.942,50.78,516665,50.44,50.18,48.14,,46.63589641540057,53.34708421117764,2.087723264476605
55,52.8,53.14,52.03,52.74,811572,50.78,50.33,48.09,,46.54816152598533,53.647315439749974,2.1071716027282763
56,52.32,52.74,50.87,50.98,447516,50.98,50.47,48.06,,46.748811097275656,53.77406917587584,2.090230773961971
57,51.31,52.12,51.31,51.84,479223,51.13,50.6,48.0,,46.9459897081178,53.75837361315182,2.0223571472504016
58,51.7,51.775,51.31,51.59,327117,51.1,50.77,48.02,,47.13517840575316,53.75629067083126,1.9157602081610874
59,51.64,51.64,50.65,51.3,343819,51.03,50.89,48.12,,48.082561103967,53.623468038306704,1.8496344790067243
60,52.84,53.895,52.5,53.25,1145160,51.45,51.01,48.15,,48.052310355236195,53.97988903805347,1.9028748733633873
61,54.64,55.2,53.49,55.05,620285,52.02,51.21,48.34,,47.80448476728006,54.57711127476071,1.9062409538374314
62,55.55,55.6,53.69,53.95,479430,52.39,51.27,48.51,,47.58923181426397,55.11302823540536,1.9065094571347578
63,53.34,54.48,53.165,54.16,1443852,52.76,51.43,48.74,,47.4972291466154,55.40604818120301,1.8642587816251324
64,54.1,55.99,53.96,54.71,903444,52.98,51.67,48.99,,47.5169024915504,56.020247333934634,1.8760974400804802
65,55.07,55.65,54.8175,55.37,516339,53.47,51.94,49.32,,47.59505773999528,56.41237372277593,1.8092333372175886
66,56.54,57.82,56.05,57.81,1022708,54.13,52.35,49.75,,47.435840100321585,57.32107572188054,1.8550023845591896
67,57.5,58.62,57.065,58.51,746989,54.9,52.82,50.1,,47.34852768307198,58.200633806082244,1.8335736428049618
68,60.71,61.58,60.12,60.25,1564034,55.9,53.31,50.47,,46.69607321894523,59.82489210964431,1.921889811176036
69,60.34,61.02,59.851,60.79,938568,56.73,53.75,50.77,,46.3189075678742,60.98793428406342,1.8681119675206053
70,59.9,60.207,59.26,59.89,1055394,57.27,54.15,51.08,,46.20333954964328,61.79044735007367,1.8439611126977051
71,59.84,60.49,59.0,59.47,1305362,57.88,54.65,51.34,,46.503259102591734,62.5394322973461,1.8186781760764406
72,57.79,58.0,55.46,55.51,1043283,58.03,54.93,51.52,,47.24199032960465,62.624757715313606,1.9752011634995519
73,56.66,57.17,55.13,56.13,146940,58.19,55.2,51.76,,48.051717645960714,62.59839773941372,1.9798296518210126
74,54.48,56.98,54.2301,56.71,632897,58.34,55.5,51.98,,48.62784671674232,62.50104807890364,2.03483467669094
75,58.71,58.71,56.44,57.08,844945,58.26,55.72,52.25,,48.9366571601314,62.700801865815436,2.0516321997844447
76,56.93,57.16,56.01,56.07,1083904,57.99,55.97,52.41,,49.49178051338165,62.6705089567209,1.9872298997998414
77,55.18,55.95,55.0,55.73,950535,57.49,56.17,52.56,,49.972775470116694,62.47559727590536,1.9217134783855672
78,56.66,57.19,54.9,55.67,670019,56.92,56.37,52.65,,50.49192913298409,62.19840989189826,1.9480196585008838
79,55.36,55.77,54.59,55.4,279989,56.42,56.58,52.74,,51.2119766660659,61.7453953108589,1.8931611114651063
80,56.3,56.39,55.14,55.28,388280,55.95,56.68,52.87,,51.5944329810123,61.585210433132865,1.8472210320747415
81,54.86,55.05,53.24,53.29,562233,55.71,56.59,52.97,,51.5512916213499,61.59598544249543,1.8609909583551172
82,53.07,54.31,52.83,54.31,396874,55.5,56.61,53.09,,51.40134001184618,61.693951334629894,1.8337773184726092
83,53.82,54.29,52.65,52.9,599235,55.08,56.54,53.19,,51.30506510417588,61.71282690018235,1.821364652867423
84,53.57,53.64,52.75,53.11,414732,54.64,56.46,53.25,,51.110071497464375,61.87892709731536,1.7548386062340358
85,52.87,55.27,52.87,54.96,553571,54.52,56.44,53.35,,50.852574641723095,61.891793836478406,1.800921562931605
86,55.0,55.03,53.86,54.29,373530,54.36,56.27,53.48,,50.68364455580463,61.85136737732857,1.755855737007919
87,55.31,55.54,54.1,54.24,288630,54.2,56.05,53.58,,50.553086480482726,61.69521237222264,1.7332946129359248
88,55.19,56.0579,55.19,55.66,479082,54.23,55.82,53.72,,50.856349490573216,60.90461350928129,1.7393378548690726
89,55.69,55.7737,54.96,55.06,321174,54.2,55.54,53.85,,51.237187688321136,60.13283668497172,1.6732208652355673
90,55.19,55.91,54.8,55.25,242717,54.42,55.31,53.93,,51.65286684823319,59.46899463068038,1.6329908034330267
91,55.07,55.09,53.53,53.93,337400,54.38,55.03,53.99,,52.14557278504522,58.53702666919601,1.6392057460449534
92,54.19,55.28,53.91,55.23,269059,54.64,55.02,54.04,,52.118160770871974,58.22976074358475,1.6199767641846
93,55.65,56.245,55.15,55.26,447069,54.88,54.97,54.13,,52.11755861711873,58.10917889257929,1.5824784238857
94,55.02,56.42,54.96,56.42,588772,55.04,54.96,54.26,,52.13523849897255,58.03346966321561,1.5737299650367214
95,57.0254,58.11,56.8101,57.77,354454,55.42,54.99,54.42,,52.075007424068,57.85031421093809,1.5820349675340983
96,57.42,58.09,56.83,57.37,263985,55.77,55.06,54.57,,51.96712561940048,58.063207893872914,1.5590324698530917
97,57.8,57.87,57.1,57.1,219793,55.93,55.12,54.73,,51.79827038947173,58.34419562322038,1.5026730077207278
98,57.03,57.07,55.79,56.915,484990,56.14,55.19,54.86,,51.78705141324094,58.32524741815346,1.4889106500263902
99,57.55,58.57,57.21,58.38,414389,56.49,55.34,54.99,,51.673325579931976,58.74574864977399,1.5007741750245054
100,57.91,58.67,57.8,58.0,537889,56.94,55.47,55.11,,51.50188434300708,59.10616668714167,1.4557188768084697
101,57.69,58.095,53.22,53.43,852117,56.74,55.48,55.19,,51.49886993905864,59.33918616867667,1.699953242750722
102,54.16,54.235,52.76,52.98,555301,56.48,55.41,55.25,,51.48641121047197,59.34565669065778,1.6838851539828135
103,52.74,53.255,52.47,53.08,527516,56.11,55.42,55.3,,51.451897175011155,59.46343360193207,1.6196790715554699
104,53.05,53.05,51.1,51.14,507217,55.38,55.32,55.31,,51.087216262129594,59.54106423898676,1.645416280730079
