,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,34.83,35.86,33.9,34.49,389765,,,,,,,1.9600000000000009
1,34.55,35.84,34.17,35.84,130909,,,,,,,1.9392857142857154
2,35.75,36.97,34.37,34.87,176413,,,,,33.88721275296842,36.93471391595654,1.9864795918367357
3,35.35,35.66,34.2,35.53,174281,,,,,34.12802294229265,36.93776994622279,1.94887390670554
4,34.49,34.75,33.38,33.64,256486,,,,,33.401025568201064,37.02092216243423,1.9632400562265728
5,32.2,33.26,31.56,33.09,195914,,,,,31.560349966453234,35.889453346271964,1.9715800522103892
6,30.54,31.5146,29.13,30.0,333886,,,,,29.011154711179476,34.9561838070247,2.113610048481076
7,31.08,31.39,29.37,31.14,272059,,,,,28.54702647681637,33.20495391315421,2.1069236164467133
8,30.04,30.77,28.11,28.39,496260,33.0,,,,28.134067937918182,31.663570957201078,2.172857643843377
9,26.69,27.53,24.8162,25.74,712058,32.03,,,,24.845553132170213,32.17686168756582,2.2729249549974213
10,26.71,28.91,26.0,28.86,614784,31.25,,,,24.473424682415633,30.858506639629823,2.337001743926177
11,26.0,27.77,25.01,25.02,721914,30.16,,,,24.576944625047524,28.881021578011307,2.44507304793145
12,25.06,29.16,21.76,29.12,541455,29.44,,,,21.81674036996562,29.428397952448456,2.798996401650632
13,27.53,29.25,26.07,28.4,814336,28.86,,,,21.809599829987057,29.639357377331173,2.826210944389873
14,28.27,31.62,27.0158,30.95,392412,28.62,,,,21.866830317690823,31.54452956960756,2.953210162647739
15,30.92,31.95,26.61,26.89,494559,28.28,,,,26.043334096181393,32.56013980878193,3.1236951510300432
16,27.1,27.1,24.81,25.45,559008,27.65,,,,24.853822061531258,33.20423862088161,3.0641454973850406
17,26.9,27.6,25.96,27.34,268903,27.53,,,,24.790682679649134,31.817640463361357,2.998849390428967
18,27.51,27.635,25.94,26.08,205506,27.57,,,,24.84591920340337,27.774219911305426,2.9057172911126123
19,26.48,28.84,26.025,28.5,354449,27.53,29.97,,,25.92611493070458,28.80163038184194,2.8992374846045688
20,27.94,28.59,26.75,27.65,233430,27.82,29.62,,,25.748668567056082,29.05453859793435,2.8235776642756707
21,28.02,28.38,26.77,28.27,217924,27.73,29.25,,,26.04808271610485,28.85665197325802,2.736893545398837
22,27.86,29.45,27.55,29.3,686496,27.83,28.97,,,26.521495378079486,29.430312666680532,2.677115435013206
23,28.1,28.57,27.03,27.42,221707,27.43,28.56,,,26.679794450414175,29.427964170952418,2.6480357610836913
24,27.1,28.99,27.1,28.54,411034,27.62,28.31,,,26.916253501138275,29.48749997131378,2.593890349577713
25,27.96,28.41,26.32,27.14,256446,27.8,28.01,,,26.341964303776656,28.9861774151003,2.5671838960364477
26,28.47,29.4,27.93,29.15,660326,28.01,27.97,,,26.23102433856047,29.480502716005,2.5452421891767014
27,30.0,30.925,28.5,29.09,572272,28.34,27.86,,,26.33968453510557,30.97197661026373,2.5366534613783656
28,29.7383,30.98,29.15,30.49,584150,28.56,27.97,,,27.855185964536396,31.421433854852907,2.4904639284227685
29,31.0,33.02,30.485,32.9,460816,29.14,28.33,,,28.265125543505498,32.95505392232788,2.4936450763925713
30,33.23,33.49,30.02,30.1,203078,29.35,28.39,,,29.139572438126923,33.96442834123556,2.5633847137931025
31,31.09,31.72,29.0753,29.49,180030,29.37,28.61,,,29.06994347670854,33.751879977437255,2.5691929485221667
32,28.39,28.68,27.36,27.93,786800,29.43,28.55,,,27.335110614019232,33.97272801374623,2.5378220236277262
33,27.91,28.48,26.0,26.67,493026,29.22,28.47,,,25.78325968156978,31.623866039121314,2.533691879082889
34,28.08,29.765,27.4412,29.46,788670,29.48,28.39,,,26.043112429618755,29.73557264610286,2.5737853162912536
35,28.69,30.04,28.03,28.93,434522,29.45,28.49,,,26.00822537469751,30.344315911406323,2.533514936556164
36,27.53,30.64,27.09,30.33,929927,29.59,28.74,,,26.997923760540214,30.640524437817405,2.606121012516438
37,31.0,31.315,30.28,30.56,629412,29.6,28.9,,,26.6635276444797,31.36665429521947,2.4938980830509783
