,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,16.51,17.37,15.95,16.36,545261,,,,,,,1.4200000000000017
1,16.47,16.47,15.58,16.19,696506,,,,,,,1.3821428571428587
2,15.55,16.08,14.59,14.76,485321,,,,,,,1.3977040816326545
3,15.12,15.4676,14.63,15.18,278124,,,,,,,1.357696647230322
4,15.2,15.2,11.71,12.18,1013460,,,,,,,1.510004029571013
5,11.74,11.9478,10.47,10.76,1037629,,,,,,,1.5242894560302265
6,10.11,10.46,9.13,9.72,1705174,,,,,,,1.5318402091709244
7,10.18,10.36,9.21,9.97,736427,,,,,,,1.5045659085158585
8,9.64,9.93,8.59,8.86,1865136,12.66,,,,,,1.4956683436218685
9,8.31,8.455,6.98,7.0,1291136,11.62,,,,,,1.523120604791735
10,7.44,7.5647,6.16,6.36,1278788,10.53,,,,,,1.514661990163754
11,6.06,6.06,4.67,4.68,2142192,9.41,,,,,,1.527186133723486
12,4.9,5.62,4.15,5.55,1114978,8.34,,,,,,1.5231014098860942
13,5.39,5.39,4.0,5.14,1320938,7.56,,,,,,1.5250227377513732
14,5.04,5.93,4.56,5.8,760305,7.01,,,,,,1.5139496850548466
15,5.83,6.15,5.03,5.22,1074881,6.51,,,,,,1.4858104218366435
16,5.27,5.46,4.9,5.42,1542072,6.0,,,,,,1.419681105991169
17,5.7,6.47,5.6,6.38,846673,5.73,,,,,,1.3932753127060855
18,6.39,8.07,6.16,7.19,1146913,5.75,,,,,,1.4301842189413652
19,7.36,8.6609,6.83,6.97,1817426,5.82,8.98,,,0.31249342712256123,18.166336136989628,1.4588067747312676
20,6.78,6.905,6.205,6.61,744515,6.03,8.5,,,0.5864225647347112,16.939015524732717,1.4092491479647486
21,6.59,6.89,6.3401,6.81,587173,6.17,8.03,,,1.0337603167608869,15.7400134182232,1.3478670659672667
22,6.8,7.61,6.32,6.53,1883834,6.33,7.62,,,1.5385155189656512,14.43002963943914,1.343733704112462
23,6.26,6.5471,5.1,5.3,950813,6.27,7.12,,,2.2917188971449365,13.031973288531116,1.351117010961572
24,5.29,5.74,5.11,5.28,530128,6.28,6.78,,,2.651050972605405,11.33695418572868,1.2996086530357454
25,5.29,5.46,4.75,4.79,694494,6.21,6.48,,,2.8944922763663725,10.493609793260928,1.2574937492474778
26,5.1,5.71,5.1,5.21,933582,6.08,6.25,,,3.0495817096139857,9.93273220526467,1.2333870528726578
27,5.47,5.85,5.34,5.62,1594532,5.9,6.04,,,3.3766323794276363,9.271736090513027,1.1910022633817536
28,5.84,8.04,5.51,7.82,2328008,6.0,5.98,,,3.7281581039629117,8.786829985785571,1.2866449588544855
29,8.01,8.395,7.13,7.525,2790932,6.1,6.01,,,3.7062149310004147,8.773282068995211,1.2850988903648795
30,7.59,7.8499,6.77,7.03,525891,6.12,6.04,,,3.6643874280315734,8.817368858581531,1.270441826767388
31,7.21,7.43,6.82,7.11,705973,6.19,6.17,,,3.719628743636009,8.895170121585377,1.2232674105697174
32,6.95,6.95,6.32,6.75,1708821,6.35,6.23,,,3.930161543943344,8.902317120638918,1.1923197383861663
33,6.95,6.95,6.212,6.505,944887,6.48,6.29,,,4.219814847012093,8.878372021805951,1.1598683285014402
34,7.07,9.75,7.05,9.61,34138425,7.02,6.48,,,4.365150179039537,9.39679887283888,1.3088063050370515
35,10.0,10.78,9.22,9.31,9521704,7.48,6.69,,,4.048425179661924,10.118004157854056,1.3267487118201193
36,9.02,10.1,8.41,9.31,5455601,7.89,6.88,,,4.077809787671901,10.480405567800258,1.3526952324043966
37,9.7,9.73,8.65,9.11,3821552,8.03,7.02,,,4.028739211030653,10.759048432563322,1.3332170015183684
38,9.25,10.29,9.154,9.83,2482354,8.28,7.15,,,3.9055622843057045,11.082717589964668,1.322272929981342
39,10.09,10.1744,9.51,9.97,1877216,8.61,7.3,,,3.7462314830000656,11.30919624316804,1.2752820064112462
40,10.74,11.97,10.13,11.91,6273198,9.15,7.57,,,3.599520414416014,11.985492613185329,1.3270475773818715
41,11.98,12.34,10.9,12.25,1328589,9.76,7.84,,,3.406959357223653,12.64385133162866,1.3351156075688806
42,12.33,12.85,12.024,12.19,788480,10.39,8.12,,,3.14154712983148,13.32906413279309,1.2987502070282462
43,11.8,12.49,11.38,11.79,1108282,10.63,8.45,,,3.269017234816177,13.815939170834344,1.2852680493833715
44,11.4,11.65,10.56,10.82,743600,10.8,8.72,,,3.5608492411000077,14.009473060086842,1.2813203315702735
45,10.62,10.879,10.35,10.39,942126,10.92,9.0,,,4.011496589711632,13.983317561130665,1.2275831650295397
46,10.77,11.88,10.5501,11.24,754363,11.15,9.3,,,4.457158319306476,14.032255091254013,1.246327224670287
47,11.29,11.41,10.66,10.77,541802,11.26,9.56,,,4.926187188112687,13.924209806270811,1.2108752800509808
48,10.85,11.145,10.04,10.12,772418,11.28,9.68,,,5.455767858480149,13.97902791224023,1.2033127600473394
49,10.31,11.055,10.13,10.94,2504708,11.17,9.85,8.76,,5.700268357601912,14.02199775077589,1.184147562901101
50,10.72,11.2,9.95,10.85,943819,11.01,10.04,8.65,,6.045935126713962,14.001974299290245,1.188851308408165
51,11.24,12.94,10.98,11.05,1809928,10.89,10.24,8.55,,6.415765291869874,14.103704621727399,1.253219072093296
52,10.95,11.16,9.79,9.96,1891638,10.68,10.4,8.45,,6.989737479590783,13.759644655316764,1.261560566943775
53,9.79,9.94,8.57,9.55,2233788,10.54,10.55,8.34,,7.583805008201672,13.200213228503591,1.270734812162077
54,9.57,9.91,9.29,9.87,473386,10.48,10.56,8.3,,8.093610184744172,13.185320683464825,1.2242537541505
55,10.31,12.61,10.31,12.24,3519962,10.59,10.71,8.32,,8.18124295350838,13.36293575381302,1.3325213431397502
56,12.0,12.715,11.54,12.21,742223,10.75,10.85,8.37,,8.3981721450931,13.508466173578428,1.3212698186297682
57,12.54,13.255,12.2929,13.15,841198,11.09,11.06,8.44,,8.515510937747024,13.680260313129244,1.3015362601562135
58,12.95,14.53,12.95,14.18,760253,11.45,11.27,8.54,,8.484947495612197,14.176870779121227,1.3214265272879124
59,14.07,14.095,13.42,14.01,368332,11.8,11.47,8.68,,8.39823847941814,14.45214770929211,1.281324632481633
60,14.78,15.37,14.33,14.98,1452128,12.24,11.63,8.86,,8.15762492347344,15.04773948530632,1.2869443015900879
61,15.18,15.361,13.7901,14.47,404019,12.74,11.74,9.05,,8.041850260973835,15.533866603912482,1.3072268514765104
62,14.53,14.6999,13.64,13.77,304898,13.21,11.82,9.22,,7.947148836396867,15.792610371082441,1.2895606477996167
63,13.53,13.7,12.7078,13.4,883600,13.6,11.9,9.38,,7.947324128384091,15.901778949527303,1.2733206015282155
64,13.43,14.27,13.17,13.76,791624,13.77,12.05,9.54,,7.995524864407111,16.099615774827814,1.2609405585619144
65,14.03,14.25,13.64,13.69,385260,13.93,12.21,9.71,,8.062454281361466,16.242470094641945,1.2144448043789207
66,14.0,14.25,13.55,13.625,653214,13.99,12.33,9.88,,8.143693673788901,16.39404339726413,1.1776987469232836
67,13.57,13.75,13.04,13.12,434530,13.87,12.45,10.01,,8.25531758099311,16.458326819046615,1.1442916935716205
68,13.66,15.14,13.41,14.52,1942710,13.93,12.67,10.16,,8.466584118788846,16.66595383680629,1.2068422868879334
69,14.99,15.91,14.86,15.91,1701736,14.03,12.92,10.34,,8.605987170385143,16.953101445817506,1.2199249806816526
70,15.5,15.695,14.82,15.33,1002094,14.12,13.14,10.51,,8.849007602700274,17.145893202925542,1.2106446249186773
71,15.19,15.19,13.42,14.7,1463894,14.23,13.32,10.67,,9.022804303869258,17.303335824089515,1.2605985802816289
72,13.75,13.76,11.23,11.35,1200290,14.0,13.39,10.76,,9.280693498269281,17.20881456577028,1.4184129674043695
73,12.98,13.0,11.79,11.79,249150,13.78,13.5,10.89,,10.003352436146793,16.822727070406643,1.4349548983040574
74,11.27,12.578,10.9,12.44,446621,13.64,13.63,11.04,,10.438746141354214,16.281960116758903,1.4523152627109106
75,13.23,13.81,12.97,13.3,1664344,13.61,13.69,11.21,,10.899169352856836,16.213015871504414,1.4464356010887027
76,13.3,13.36,11.9155,11.94,1216852,13.48,13.67,11.34,,10.967785165920322,16.156382637303285,1.446297343868081
77,11.8,12.44,11.65,12.095,293471,13.21,13.62,11.47,,10.866385933381943,16.24339218810066,1.399418962163218
78,12.34,12.92,12.0,12.05,578378,12.78,13.51,11.56,,10.768286670230495,16.24529312887824,1.365174750580131
79,12.0,12.27,11.66,11.91,394509,12.4,13.41,11.64,,10.610599222662755,16.323486522754568,1.3112336969672647
80,12.2,12.25,11.69,11.76,555988,12.07,13.25,11.74,,10.515235408091607,16.224936597630272,1.2575741471838886
81,11.51,11.62,10.62,10.83,661443,12.01,13.06,11.81,,10.21233375960622,16.153769692546682,1.2491759938136109
82,10.65,11.07,10.11,10.85,720110,11.91,12.92,11.89,,9.838035614983484,16.204387597743356,1.2285205656840674
83,10.8,11.0,10.42,10.47,414244,11.69,12.77,11.97,,9.574103140609179,16.304979360108597,1.1821976681352055
84,10.69,11.26,10.29,11.25,469178,11.46,12.65,12.01,,9.314022854218498,16.28080717634615,1.167040691839834
85,11.18,11.64,10.97,11.56,497635,11.42,12.54,12.05,,9.214322434339746,16.198546141802336,1.1315377852798458
86,11.61,11.93,11.32,11.58,262861,11.36,12.44,12.1,,9.173672084027327,16.08217015123311,1.0942850863312854
87,12.03,12.11,11.06,11.18,523877,11.27,12.34,12.14,,9.096528765414071,16.006796717976318,1.0911218658790507
88,11.47,11.8699,11.28,11.77,261853,11.25,12.2,12.18,,9.079745598750028,15.695927503065416,1.0624631611734043
89,11.65,11.695,11.1,11.47,469443,11.22,11.98,12.21,,9.318972706379048,15.119794873071584,1.034430078232447
90,11.39,12.2,11.36,12.14,449500,11.36,11.82,12.21,,9.753204318396465,14.480343612570746,1.020542215501558
91,12.06,12.22,11.14,11.34,480665,11.42,11.65,12.19,,9.946912040550963,13.86476143413179,1.0247892001085896
92,11.19,11.79,11.14,11.79,359524,11.56,11.68,12.19,,9.941177053588246,13.611364575772953,0.9980185429579761
93,11.96,12.98,11.71,12.22,519705,11.67,11.7,12.19,,9.943312842925598,13.607942909759537,1.0174457898895493
94,12.16,12.48,11.96,12.48,320894,11.77,11.7,12.23,,9.973181715228716,13.597641683978376,0.9819139477545815
95,13.0,14.05,12.895,13.95,1011456,12.04,11.73,12.3,,9.988538119259962,13.670259901849178,1.02392009434354
96,13.81,15.0,13.78,14.71,688377,12.43,11.87,12.37,,9.697396158492971,14.151762270870035,1.03792580189043
97,14.77,15.03,14.4,14.61,423709,12.75,12.0,12.44,,9.373082818782622,14.653060533591475,1.0087882446125422
98,14.68,14.97,13.4,13.4,640293,12.96,12.06,12.51,,9.29611795954767,15.027464452089664,1.0488747985687892
99,13.66,14.39,13.66,14.16,249957,13.18,12.18,12.57,,9.222047715471348,15.270419870810576,1.0446694558138758
100,13.84,15.6267,13.84,15.15,712520,13.61,12.35,12.66,,9.154848252026126,15.757384053195233,1.0976716375414561
101,15.46,16.69,15.305,15.8,1189561,14.05,12.59,12.76,,9.0345900170124,16.43533387928722,1.1292665205742094
102,16.01,16.225,15.67,15.75,468168,14.45,12.84,12.87,,9.054809055622085,16.853172095486734,1.0882474833903375
103,15.65,15.7399,15.16,15.7,357506,14.8,13.1,12.99,,9.190988939758757,17.088396608405322,1.0526583774338847
104,15.52,15.96,15.45,15.49,198736,14.97,13.31,13.11,,9.39511855716741,17.322756373141605,1.0138970647600358
105,15.67,16.23,15.67,16.15,572847,15.13,13.54,13.19,,9.524439532919605,17.576494343925095,0.9943329887057476
106,15.5,16.19,15.3237,15.84,394231,15.27,13.76,13.26,,9.687500656137937,17.788049803148763,0.9851877752267657
107,15.8,16.04,14.985,15.26,400043,15.48,13.96,13.3,,9.963350967862599,17.939516906929306,0.9901743627105681
108,15.48,15.915,15.21,15.46,323191,15.62,14.14,13.33,,10.235089541505452,18.001275101770513,0.9698047653740989
109,15.22,16.3762,15.22,16.0,488062,15.72,14.37,13.37,,10.59691694854601,18.042441441112867,0.9831187107045204
110,17.0,19.37,16.58,19.26,1966385,16.1,14.73,13.45,,10.866146668329547,18.754896057880448,1.1536102313684833
111,19.0,20.27,18.731,20.14,1092174,16.59,15.17,13.56,,10.954291072442933,19.551140596922604,1.1811380719850202
112,20.0,20.96,19.35,19.88,471103,17.05,15.57,13.69,,11.113116576088313,20.281180199888045,1.211771066843233
113,20.05,20.86,19.86,20.18,432150,17.57,15.97,13.82,,11.230963955192195,20.939173092643387,1.1966445620687165
114,20.47,20.83,19.58,20.29,426090,18.03,16.36,13.95,,11.512404375990572,21.367397042924445,1.2004556647780937
115,20.63,20.63,19.605,20.29,357804,18.53,16.68,14.08,,11.722126466651098,21.798982487566736,1.1879231172939442
116,20.31,20.31,19.28,19.39,365296,18.99,16.91,14.2,,11.903323608242893,22.149847452372274,1.1766428946300909
117,19.27,19.75,19.03,19.73,276738,19.46,17.17,14.33,,12.072225503473668,22.352324886141,1.1440255450136558
118,19.76,20.33,19.5,19.89,244404,19.89,17.49,14.44,,12.448994272016328,22.583905765416443,1.1215951489412517
119,19.99,19.99,18.9,19.05,349036,19.87,17.74,14.5,,12.890468515315547,22.633891538153637,1.1193383525883052
120,19.17,19.69,18.725,19.06,409359,19.75,17.93,14.58,,13.373384242144855,22.707822987681542,1.1083141845462834
121,18.85,19.115,18.39,18.46,217866,19.59,18.06,14.65,,13.62441421315489,22.75997900932851,1.0809345999358344
122,18.28,18.59,17.73,17.79,245599,19.33,18.17,14.78,,13.824876895376143,22.735360036656516,1.0651535570832749
123,18.07,18.69,18.03,18.26,283104,19.1,18.29,14.91,,14.146491633669328,22.645031860860534,1.0533568744344697
124,18.3,18.46,17.79,18.22,163383,18.87,18.43,15.03,,14.430517355873624,22.535744982570517,1.0259742405462935
125,18.31,18.72,17.93,18.11,157394,18.73,18.53,15.12,,14.703479577044686,22.43251210414069,1.0091189376501295
126,18.12,18.77,17.9,18.55,149856,18.6,18.66,15.25,,15.07942757143664,22.28685382560859,0.9991818706751203
127,18.165,19.37,18.165,19.36,197380,18.54,18.87,15.4,,15.619659163472683,22.07790691593542,1.0138831656268976
128,19.3,19.925,19.0,19.09,361578,18.54,19.05,15.54,,16.221214748901374,21.754652819741715,1.0075343680821194
129,19.02,19.91,18.25,19.81,179504,18.63,19.24,15.7,,16.963976455794214,21.349919396772528,1.0541390560762538
130,19.85,20.46,19.03,19.94,333645,18.79,19.27,15.86,,17.38599961405592,21.426991767798974,1.0809862663565215
131,19.87,20.11,19.0,19.69,219079,19.0,19.25,16.04,,17.39443645183557,21.410525865467612,1.0830586759024843
132,19.86,20.16,19.19,20.07,180387,19.2,19.26,16.22,,17.39944214833692,21.285334567959886,1.0749830561951639
133,19.58,20.0,19.2,19.43,311216,19.34,19.22,16.4,,17.452056962668912,21.156173547338522,1.0603414093240808
134,19.73,20.9,19.51,20.51,281007,19.61,19.24,16.59,,17.45837341861823,21.171418089277974,1.0896027372295036
135,21.62,22.19,21.02,21.41,404161,19.92,19.29,16.79,,17.198639579782963,21.58426058309838,1.131773970284539
136,21.58,21.9799,20.89,21.61,338578,20.17,19.4,16.99,,17.027513402207195,21.909826501435177,1.128782972407072
137,21.87,22.4,21.315,22.14,395052,20.51,19.52,17.2,,16.837106709418894,22.33470923638725,1.1256556172351382
138,22.29,23.29,21.95,23.09,363936,20.88,19.68,17.43,,16.584377393551286,22.90829259204194,1.1409659302897712
139,23.31,24.75,23.09,23.74,510367,21.3,19.92,17.68,,16.227447511552327,23.827189061018295,1.1780397924119304
140,23.99,24.45,22.91,23.63,465035,21.74,20.15,17.91,,16.05715252267763,24.49596194683472,1.2038940929539352
141,23.84,24.42,22.82,23.52,381075,22.12,20.4,18.15,,16.023757664443934,25.0449770150614,1.2321873720286542
142,22.61,23.22,21.0,21.55,596764,22.36,20.59,18.35,,16.272189991917312,25.255845940720587,1.3241739883123218
143,21.61,22.455,20.23,20.3,513485,22.33,20.69,18.51,,16.489041148327992,25.321811005196192,1.38851870343287
144,20.3,21.18,19.32,19.41,672226,22.11,20.75,18.65,,16.70487810584151,25.231641867379466,1.4221959389019507
145,19.3,19.43,18.4,18.6,622372,21.78,20.77,18.74,,16.78542054689929,25.172478707747963,1.3941819432660971
146,18.42,19.78,18.25,19.49,327306,21.48,20.82,18.83,,16.848525707861885,25.093340366916745,1.4038832330328046
147,19.8,20.385,19.51,19.9,323354,21.13,20.85,18.94,,17.032116684457602,25.043011071293588,1.3675344306733188
148,19.92,20.27,19.54,19.64,308866,20.67,20.87,19.06,,17.093012098493617,25.02915440208579,1.3219962570537962
149,19.68,23.07,19.68,21.88,701344,20.48,20.98,19.22,,17.291424897912414,25.15297025965495,1.472567952978525
150,21.9,22.78,21.131,22.75,444336,20.39,21.12,19.37,,17.435752727908405,25.24264225383467,1.4851702420514876
151,22.06,24.03,21.8,23.35,275826,20.59,21.3,19.52,,17.5892764015653,25.465624464029748,1.5383723676192385
152,24.0,24.93,23.5,24.17,361877,21.02,21.51,19.69,,17.596860693639613,25.811084584737507,1.54134576993215
153,24.48,24.99,23.25,23.38,308570,21.46,21.7,19.84,,17.70083090159385,26.082852306024154,1.555535357794139
154,23.76,24.2737,23.09,23.28,461410,21.98,21.84,20.0,,17.821380230574302,26.242997299481598,1.5289756893802722
155,23.55,23.6,22.83,22.88,220606,22.36,21.92,20.13,,17.82728868686248,26.32576157509489,1.4747631401388244
156,23.04,23.82,23.0,23.12,283969,22.72,21.99,20.28,,17.846691318391006,26.425389762092788,1.4365657729860513
157,23.06,23.38,22.28,22.55,320194,23.04,22.01,20.43,,17.86922970320566,26.473768587128966,1.4125253606299046
158,22.0592,23.72,21.92,23.64,260194,23.24,22.04,20.59,,17.868731606895356,26.50975617394959,1.4402021205849111
159,23.54,24.43,23.4039,23.61,370038,23.33,22.03,20.74,,17.849540022096075,26.462396089855666,1.4106233976859888
160,23.32,24.2595,22.9,24.0,449118,23.4,22.05,20.84,,17.849938395967126,26.436608224113108,1.406971726422704
161,23.98,25.0,23.5,23.64,396592,23.34,22.06,20.91,,17.813906188803987,26.52670703893059,1.4136166031067967
162,23.64,24.44,22.53,22.58,357522,23.26,22.11,20.96,,17.863757308767678,26.64818918177069,1.4490725600277397
163,22.59,22.78,21.81,21.9,149784,23.1,22.19,21.0,,17.990851445241915,26.656872792726823,1.4148530914543298
164,21.93,22.62,21.62,22.16,190803,23.02,22.33,21.03,,18.267186402694794,26.63035977465792,1.3852207277790205
165,22.2,22.88,21.19,21.75,136064,22.87,22.48,21.06,,18.76286686285793,26.357004077828343,1.4069906757948045
166,21.89,22.48,21.38,22.46,142175,22.86,22.63,21.12,,19.408452079067015,26.053805380112713,1.3850627703808902
167,21.93,22.19,21.15,21.9,249353,22.67,22.73,21.17,,19.72911447868354,25.81254518464251,1.3797011439251123
168,21.92,22.08,21.59,21.7,272070,22.45,22.84,21.2,,20.138992517178572,25.473606163656154,1.3161510622161756
169,21.28,21.76,20.925,21.71,346217,22.2,22.83,21.26,,20.46315160083453,25.568020036782606,1.2817831292007345
170,21.57,22.54,20.87,22.2299,235236,22.04,22.8,21.32,,20.412373596378167,25.577056347463206,1.3095129056863963
171,22.22,22.54,21.43,21.78,365284,21.95,22.72,21.39,,20.368183356731784,25.530880587708314,1.2952619838516537
172,22.21,23.99,22.18,23.19,396548,22.1,22.67,21.49,,20.405433128422835,25.382456697020917,1.3606004135765355
173,23.71,24.89,23.58,24.28,754566,22.33,22.72,21.61,,20.37208124060714,25.360981528468812,1.3848432411782117
174,23.37,24.73,22.75,23.0,546342,22.47,22.7,21.71,,20.38617900734968,25.43685488343352,1.427354438236911
175,23.32,24.2,22.75,22.84,306967,22.51,22.7,21.8,,20.38842574275426,25.496410192516333,1.4289719783628458
176,22.85,22.85,21.36,22.3,382790,22.56,22.66,21.88,,20.32289394238058,25.455551676487904,1.4333311227655
177,23.85,25.37,23.11,24.49,577540,22.87,22.76,21.98,,20.303135301360555,25.736966298634076,1.5502360425679642
178,24.88,26.72,24.88,26.08,618642,23.35,22.88,22.12,,20.065831550470836,26.31215757782192,1.5987906109559669
179,26.4,26.41,24.65,24.86,468787,23.65,22.94,22.22,,19.926767286032817,26.668832834755413,1.6103055673162552
180,24.7,24.96,22.513,22.83,398311,23.76,22.88,22.28,,19.92143424079199,26.746584430469138,1.6700694553650939
181,23.07,24.25,22.8723,23.99,233270,23.85,22.9,22.37,,19.941608154517922,26.66242619848936,1.6522073514104445
182,24.35,24.8972,23.8401,24.33,309708,23.86,22.99,22.45,,19.90281639518434,26.71547370979523,1.6096996834525559
183,23.92,25.53,23.7,24.72,433982,24.05,23.13,22.56,,19.934777563390462,26.916742178209216,1.625435420348802
184,24.89,25.24,24.17,24.26,196596,24.21,23.23,22.63,,19.974251585100188,27.04228786397352,1.585761461752459
185,24.19,24.2626,23.0,24.02,259360,24.4,23.35,22.68,,20.1391808818718,27.063901049101332,1.562678500198712
186,23.82,24.675,23.54,23.81,218542,24.32,23.42,22.73,,20.289262628045492,27.083281216428396,1.5321300358988041
187,24.08,25.72,24.005,24.95,237460,24.2,23.57,22.78,,20.49074337924914,27.171306539271903,1.5591207476203182
188,25.55,25.84,24.88,25.49,245001,24.27,23.76,22.83,,20.579239835878155,27.209260197871455,1.5163264085045813
189,25.45,25.96,24.91,25.17,141042,24.53,23.93,22.86,,20.858692585770434,27.13103929388219,1.4830173793256827
190,25.04,25.97,25.04,25.83,85416,24.73,24.11,22.91,,21.21839959550941,27.107339926826388,1.4435161379452768
191,25.6,25.9,24.2,24.43,372382,24.74,24.24,22.92,,21.550751731392296,26.989374620490626,1.4618364138063284
192,24.92,26.62,24.8,25.84,446627,24.87,24.38,23.01,,21.728669683495653,27.156346257366778,1.513848098534448
193,25.56,25.735,24.6502,25.51,176219,25.01,24.44,23.11,,21.741913982960398,27.20247703616826,1.4907018057819874
194,25.69,26.84,25.15,26.59,312257,25.29,24.62,23.26,,21.835089249741408,27.407737986691828,1.5049373910832742
195,26.84,27.91,26.5651,27.68,316584,25.72,24.86,23.44,,21.78307482806414,27.80184365367335,1.4935061488630403
196,27.45,28.34,26.99,27.97,258740,26.06,25.14,23.61,,22.094303993843706,28.01011848374984,1.4832557096585377
197,27.7,28.28,26.59,27.18,204248,26.24,25.28,23.75,,22.146287403583017,28.396758128330102,1.4980231589686424
198,27.47,28.03,26.99,27.38,167878,26.49,25.34,23.91,,22.016347921568876,28.611880153567007,1.465307219042311
199,26.82,29.15,26.82,28.45,636408,26.78,25.52,24.04,16.15,21.95236423607658,29.09760828388786,1.5270709891107175
200,28.15,28.63,26.95,27.18,284288,27.09,25.74,24.13,16.2,22.221403667150575,29.411161133055188,1.5379944898885234
201,27.77,28.13,26.7,26.84,175761,27.2,25.88,24.2,16.26,22.499550390649734,29.524072142341215,1.530280597753629
202,27.11,27.41,26.68,27.08,225293,27.37,26.02,24.26,16.32,22.638299248874052,29.559804429192745,1.473117697914084
203,27.16,27.21,26.35,26.9,108046,27.41,26.13,24.33,16.38,22.846391479679305,29.596190233627468,1.4293235766345067
204,26.84,29.08,26.6604,28.66,211968,27.52,26.35,24.43,16.46,22.990338152130622,29.86537858772551,1.500057606874899
205,28.75,29.4,27.685,28.43,357450,27.57,26.57,24.55,16.55,23.361131255737035,30.014444663216597,1.5154106349552634
206,27.64,28.29,27.45,28.04,224716,27.66,26.78,24.64,16.64,23.698888269468462,29.951357342001657,1.4771670181727448
207,28.11,28.11,27.2131,27.77,158760,27.71,26.92,24.75,16.73,24.00281422734616,29.955420005351826,1.4357193740175487
208,28.18,28.8659,27.91,28.0,108197,27.66,27.05,24.84,16.82,24.108870459369346,30.035880905006515,1.4114465615877239
209,28.0,28.0,26.96,27.7,86033,27.71,27.17,24.92,16.93,24.29744353478342,29.993363820299376,1.3849146643314578
210,28.05,28.37,27.28,28.05,154370,27.85,27.28,25.0,17.04,24.480400885876904,29.949829911405235,1.3638493311649251
211,28.33,29.13,27.6237,28.895,192758,28.05,27.51,25.1,17.16,24.91606487018957,29.9437537284721,1.374024378938859
212,29.15,29.46,27.53,28.22,296664,28.2,27.63,25.22,17.27,25.259046323836422,30.050993432217126,1.4137369233003692
213,28.18,29.215,27.64,29.1,186612,28.24,27.81,25.36,17.39,25.751734160521092,29.855726556493007,1.4252557144932
214,29.45,30.24,26.42,27.53,403552,28.14,27.85,25.47,17.5,26.119833538329747,30.055967087160617,1.5963088777436856
215,27.42,29.27,27.42,28.58,223946,28.2,27.9,25.6,17.62,26.178022771715888,30.122711765725253,1.6144296721905649
216,29.26,31.365,29.26,30.54,342036,28.51,28.03,25.77,17.74,25.87641708814957,30.701853352703782,1.6980418384626674
217,31.0,31.62,29.45,30.26,229036,28.76,28.18,25.93,17.86,25.717799677044066,31.23178905303838,1.7317531357153342
218,30.35,30.5408,29.67,30.33,151888,29.06,28.33,26.11,17.98,25.561763638979244,31.419874264915688,1.670256483164239
219,29.95,32.1,29.55,31.37,307829,29.42,28.47,26.3,18.1,25.51742809258039,31.930347200082924,1.7330953057953649
220,31.77,31.77,30.17,30.75,218451,29.63,28.65,26.47,18.22,25.41754846714767,32.29867920296306,1.723588498238553
221,30.68,31.3003,30.01,30.72,99593,29.91,28.85,26.65,18.34,25.442430057835868,32.51537396830305,1.6926393197929421
222,30.91,31.92,30.13,30.18,189714,30.03,29.0,26.79,18.46,25.509225041131767,32.745620703821686,1.6995936540934466
223,30.2,30.94,28.81,30.63,307280,30.37,29.19,26.92,18.58,25.754260731507806,32.718859517281665,1.7303369645153437
224,30.99,31.94,30.33,30.78,212797,30.62,29.29,27.07,18.71,25.888131622306556,32.96623631390685,1.7217414670499622
225,31.0,32.18,30.745,31.36,205591,30.71,29.44,27.24,18.84,25.86616981294228,33.230431301086085,1.7012599336892504
226,31.61,32.1326,30.67,31.37,277352,30.83,29.61,27.42,18.97,25.92875865873227,33.39107530834363,1.6842127955685893
227,31.11,31.8,30.28,30.86,269270,30.89,29.76,27.55,19.1,26.098162872748212,33.42496856347246,1.672483310170833
228,30.59,31.67,30.13,31.34,433732,30.89,29.93,27.66,19.22,26.197220606733605,33.477872146349405,1.6630202165872021
229,30.87,30.87,28.38,29.16,531719,30.71,30.0,27.74,19.33,26.41808202958154,33.29535038986166,1.7556616296881165
230,28.26,31.2694,27.18,30.5,613185,30.69,30.12,27.89,19.44,26.398522655013227,33.129604672213546,1.9223572275675367
231,31.5682,38.8599,31.5682,36.55,4381954,31.39,30.51,28.15,19.59,26.466036656617483,35.46059141904597,2.382181711312713
232,37.06,38.0425,35.6341,37.29,929439,32.13,30.96,28.4,19.74,25.792422917266194,36.72508691746242,2.384054446218948
233,37.87,41.2,36.31,41.11,800575,33.28,31.56,28.73,19.92,25.344717171001278,38.69111981943553,2.563050557203309
