,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,40.87,41.58,39.85,40.24,339878,,,,,,,1.7299999999999969
1,39.63,40.04,38.22,38.6,366280,,,,,,,1.7507142857142832
2,37.22,37.96,35.89,37.23,892584,,,,,,,1.819234693877549
3,37.83,38.17,36.58,37.59,432890,,,,,,,1.8028607871720101
4,37.84,38.58,36.16,36.65,233042,,,,,,,1.846942159516867
5,37.38,37.54,36.8675,37.2,289415,,,,,,,1.778589148122805
6,36.63,37.39,36.5,37.04,313795,,,,,,,1.715118494685462
7,36.06,38.01,36.06,37.25,332537,,,,,,,1.7318957450650716
8,35.34,36.4,34.4,35.57,1280022,37.49,,,,,,1.811760334703281
9,36.56,38.42,36.1,38.14,455079,37.25,,,,,,1.885920310795904
10,37.22,37.565,36.24,36.83,1111546,37.06,,,,,,1.8869260028819108
11,34.34,36.0,33.83,33.83,1282418,36.68,,,,,,1.9664312883903456
12,35.68,35.7,33.98,35.6,554158,36.46,,,,,,1.959543339219607
13,32.8,34.58,31.63,31.81,871532,35.92,,,,,,2.1031473864182066
14,32.4,33.265,31.17,32.38,471139,35.38,,,,,,2.1025654302454777
15,28.93,31.96,26.716,29.86,1134050,34.59,,,,31.58556082538223,39.72132268816418,2.3569536137993725
16,30.05,32.85,29.88,30.96,334098,33.89,,,,31.001258461977578,39.062879514158695,2.402171212813703
17,32.04,33.0,29.27,29.83,379016,33.25,,,,30.365119932065117,38.57469620790461,2.4970161261841533
18,30.02,31.43,28.904,30.85,407768,32.44,,,,29.73630846085095,38.406500492622065,2.4990864028852853
19,32.11,34.73,31.8421,34.06,473756,32.13,35.08,,,29.542603984326156,38.10059057475354,2.597723088393479
20,34.15,35.65,32.61,34.42,315108,32.2,34.79,,,29.435300496150344,37.75632472516188,2.6293142963653735
21,34.88,36.8,34.59,35.49,2044370,32.18,34.63,,,29.452901388790952,37.663523437038506,2.611506132339275
22,34.65,35.81,34.4119,35.38,181437,32.58,34.54,,,29.468881712694223,37.489360158388315,2.5248342657436127
23,36.1,37.9,35.2523,37.73,208164,33.18,34.54,,,29.483100499791036,37.47181928692544,2.533610389619069
24,37.45,37.745,36.1,36.66,402356,33.93,34.54,,,29.47332840510551,37.642346194756726,2.4701382189319925
25,35.86,36.66,35.4166,36.09,260993,34.5,34.49,,,29.485122802125108,37.38890518708823,2.3825140604368498
26,36.14,38.485,35.105,38.15,363112,35.43,34.54,,,29.50599832563147,37.53848050442938,2.453763056119932
27,38.49,40.645,36.9,38.55,1108255,36.28,34.61,,,29.483347651365335,38.264274971567175,2.54599426639708
28,40.21,41.85,39.8975,41.05,1284168,37.06,34.88,,,29.309097110849134,39.15529857091195,2.5998518187972888
29,42.05,43.42,40.65,43.09,882018,38.02,35.13,,,29.37771913510162,40.279065152137804,2.6120052603117685
30,43.06,44.6,42.16,42.65,665446,38.82,35.42,,,29.54794127405119,41.4720762335898,2.5997191702894997
31,43.38,43.56,40.98,41.53,592258,39.5,35.81,,,30.673494503510398,42.26109001790878,2.5983106581259645
32,41.74,42.56,40.46,42.37,367560,40.02,36.15,,,31.4116417574523,42.79335758325803,2.562717039688396
33,42.61,43.31,42.375,42.68,294894,40.68,36.69,,,32.348924257298975,43.32286892858197,2.446808679710654
34,42.0,43.41,41.62,42.63,608940,41.41,37.2,,,33.604445362873086,43.58277304251889,2.3998937740170354
35,43.29,43.86,42.89,43.6,479100,42.02,37.89,,,34.41089925303431,43.991070387516245,2.3163299330158185
36,43.96,44.63,43.24,43.47,921223,42.56,38.51,,,35.21794270284567,44.44357716894553,2.2501635092289742
37,43.37,44.98,42.88,44.41,913367,42.94,39.24,,,35.81028377464269,44.89410533971668,2.239437544284047
38,44.015,44.225,42.34,42.6065,378503,42.88,39.83,,,36.53954573388696,45.063157995721454,2.2273348625494713
39,43.72,45.07,43.35,44.53,704176,43.09,40.35,,,37.21427375411762,45.370862582731654,2.244203800938795
40,44.62,44.66,43.42,43.5,285368,43.31,40.81,,,37.83677126898891,45.51254323505925,2.172474958014595
41,43.68,44.0,43.185,43.92,451456,43.48,41.23,,,38.72185132226115,45.25300539129339,2.0755124610135525
42,44.33,45.27,44.33,44.84,594168,43.72,41.7,,,39.9138928527589,45.12444148273963,2.0236901423697278
43,45.0,45.26,43.845,44.33,312173,43.91,42.03,,,40.92322382637333,45.126469100722716,1.9802122750576043
44,44.0,47.35,43.65,45.87,801528,44.16,42.49,,,41.31353936434241,45.61820832851041,2.103054255410633
45,45.99,46.41,43.89,43.94,450250,44.22,42.89,,,41.60483082309044,45.887662055927144,2.132836094309873
46,43.04,43.65,41.33,41.63,232311,43.91,43.06,,,41.49673396388776,45.85238785832257,2.1669192304305964
