,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,11.5,11.86,10.98,11.185,2088989,,,,,,,0.879999999999999
1,11.39,11.42,10.95,11.34,1952010,,,,,,,0.8507142857142849
2,11.01,11.25,10.51,10.5483,2894243,,,,,,,0.8492346938775502
3,10.16,10.855,10.1,10.46,2141636,,,,,,,0.8425036443148681
4,9.83,10.32,9.4,10.16,6903090,,,,,,,0.8580390982923776
5,10.56,10.56,9.698,10.21,1763800,,,,,,,0.8583220198429221
6,9.91,10.16,9.81,9.83,3064060,,,,,,,0.8255847327112849
7,9.09,9.2959,8.1,8.18,4712888,,,,,,,0.8901858232319074
8,8.69,8.69,7.9,8.46,3191876,10.04,,,,,,0.8830296930010568
9,7.57,7.61,7.1,7.47,4619974,9.63,,,,,,0.9170990006438385
10,7.54,7.79,7.05,7.34,2755604,9.18,,,,,,0.9044490720264214
11,6.99,7.494,6.67,6.98,4580616,8.79,,,,,,0.8987027097388199
12,6.92,8.05,6.58,7.79,1824843,8.49,,,,,,0.93950965904319
13,7.96,8.18,7.65,7.96,2077107,8.25,,,,,,0.9102589691115335
14,8.0,8.52,7.615,8.26,4347574,8.03,,,,,,0.9098833284607096
15,8.69,9.03,8.47,8.86,2142717,7.92,,,,,,0.8998916621420875
16,8.96,9.3199,8.8,9.11,1457667,8.03,,,,,,0.8727494005605099
17,9.19,9.655,9.07,9.4,1948566,8.13,,,,,,0.8521958719490448
18,9.06,9.11,8.59,8.59,1090722,8.25,,,,,,0.8491818810955417
19,8.7,9.0,8.24,8.4,1368251,8.37,9.03,,,5.919186207697335,12.041135146415932,0.8428117467315744
20,8.32,8.8,8.21,8.48,1316222,8.54,8.89,,,6.002082327041734,11.631403165965988,0.8247537648221763
21,8.23,8.5,7.99,8.04,681217,8.57,8.73,,,6.119507374790183,11.274908040009826,0.8022713530491637
22,8.05,8.27,7.78,7.93,900763,8.56,8.6,,,6.206768544799635,10.904542090378566,0.7799662564027948
23,8.0,8.05,7.67,7.99,1267199,8.53,8.47,,,6.270923180637123,10.585297367071295,0.7513972380883096
24,8.42,8.74,8.4,8.69,1641264,8.51,8.4,,,6.315028640335905,10.35894591745485,0.7512974353677161
25,9.02,9.39,8.71,8.84,2355470,8.48,8.33,,,6.40887440263312,10.095104621775171,0.7476333328414507
26,8.95,9.29,8.82,8.99,2083286,8.44,8.29,,,6.5401878175364985,9.90612995642251,0.7278023804956327
27,9.26,9.46,8.865,9.2,2407176,8.51,8.34,,,6.524013379468389,9.93421136324508,0.7183164961745162
28,9.18,9.2,8.81,8.96,905137,8.57,8.36,,,6.5283803937333165,9.983260152890615,0.6948653178763364
29,9.18,9.5,9.034,9.3,1031277,8.66,8.46,,,6.634675080462259,10.026597634826091,0.6838035094565981
30,9.09,9.6,8.87,9.5,4106400,8.82,8.56,,,6.786706652639549,10.080961508000655,0.6871032587811268
31,9.59,9.83,9.07,9.28,1707212,8.97,8.68,,,7.065391837423005,10.090809958447178,0.6923101688681892
32,9.03,9.15,8.3,8.48,5802901,9.03,8.71,,,7.456886018192862,10.058967057723834,0.7128594425204613
33,8.52,9.16,8.37,8.7,2864231,9.03,8.75,,,7.565286087303401,10.027821616007712,0.7183694823404284
34,8.57,8.73,8.2,8.6,2711092,9.0,8.77,,,7.677537268468265,10.016693975415906,0.7049145193161122
35,8.8,9.0,8.65,8.885,3471912,8.99,8.77,,,7.684633169120322,10.015694330456546,0.6831349107935327
36,8.97,9.17,8.87,8.89,1683993,8.96,8.76,,,7.682684049568049,10.002709384357647,0.6557681314511375
37,8.97,9.0,8.71,8.89,1296011,8.95,8.73,,,7.69890677690119,9.92967136418583,0.6296418363474848
38,9.0,9.56,8.9,9.38,4132562,8.96,8.77,,,7.6961165599332775,9.981355266102437,0.6325245623226645
39,9.62,9.76,9.115,9.46,844483,8.95,8.82,,,7.710942635836504,10.069087103780218,0.6334156650139028
40,9.75,10.0,9.64,9.97,1116047,9.03,8.9,,,7.675847636610773,10.195651384673356,0.6267431175129097
41,10.02,10.385,9.76,10.22,2230480,9.22,9.01,,,7.692689263874991,10.374244296653307,0.6266186091191304
42,9.99,10.04,9.43,9.59,878221,9.32,9.09,,,7.8316111868977325,10.410761295868316,0.638288708467764
43,9.52,9.79,9.41,9.615,1655200,9.43,9.17,,,8.043941232358476,10.318757049377378,0.6198395150057807
