,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,82.78,84.85,82.335,84.72,274589,,,,,,,2.5150000000000006
1,83.06,84.23,83.0031,83.94,631685,,,,,,,2.4579928571428575
2,81.91,82.93,80.51,82.61,858480,,,,,,,2.52742193877551
3,75.0,82.0844,73.1901,78.97,867578,,,,,,,3.0197418002915453
4,80.71,81.37,77.35,80.62,932214,,,,,,,3.0911888145564355
5,79.01,79.01,74.94,75.09,877850,,,,,,,3.2761038992309763
6,67.5,71.41,64.66,64.96,913712,,,,,,,3.787096477857336
7,67.82,69.85,64.94,69.61,956680,,,,,,,3.8673038722960977
8,60.0,66.63,58.47,63.66,1052968,76.02,,,,,,4.386782167132091
9,64.44,66.44,61.745,62.88,1191708,73.59,,,,,,4.408797726622656
10,59.18,60.07,56.22,58.42,921402,70.76,,,,,,4.569597889006753
11,58.58,66.5,57.75,65.94,685406,68.91,,,,,,4.868198039791984
12,66.19,66.51,54.82,55.59,1055618,66.31,,,,,,5.355469608378272
13,55.33,55.37,47.02,49.14,1338996,62.81,,,,,,5.585078922065538
14,50.95,55.93,49.34,53.7,858648,60.43,,,,,,5.671144713346571
15,53.65,57.34,52.03,55.0,939072,59.33,,,,,,5.6453486623932445
16,55.9,61.48,55.06,59.83,683704,58.24,,,,,,5.704966615079441
17,57.02,62.14,56.655,59.59,479570,57.79,,,,,,5.689254714002339
18,60.1,62.15,59.639,61.66,450658,57.65,,,,,,5.465736520145029
19,61.0,62.89,60.55,61.86,756496,58.03,66.39,,,41.12895355100531,88.92194137967482,5.242469625848956
20,59.37,60.81,58.54,60.35,1167058,57.41,65.17,,,41.69106310938428,86.55207081102913,5.105150366859745
21,60.21,63.26,59.87,62.93,937118,58.23,64.12,,,42.96592780813009,83.9060633847514,4.982639626369764
22,61.83,62.7,56.32,56.56,748586,59.05,62.82,,,44.10611947436663,81.17068257164863,5.0988796530576375
23,58.85,62.71,58.85,62.33,400518,60.01,61.99,,,44.6638426444511,78.1754613472221,5.1739596778392345
24,64.89,65.05,60.67,61.49,538498,60.73,61.03,,,46.53586186998221,74.85488860674639,5.117248272279289
25,62.78,63.23,61.36,62.64,374816,61.05,60.41,,,48.604149112286144,71.44375119813103,4.885301967116482
26,63.82,66.71,63.3055,66.46,327982,61.81,60.48,,,48.73527126930939,70.45461079958388,4.827066112322448
27,65.91,66.01,62.85,63.54,296486,62.02,60.18,,,48.94651839547845,69.69217768810073,4.7401328185851295
28,65.34,66.39,62.82,63.92,581198,62.25,60.19,,,48.85225851938862,69.65253672417666,4.656551902971906
29,62.06,63.475,61.14,62.57,525176,62.49,60.18,,,48.87481906811145,69.29075483205962,4.522512481331055
30,62.22,63.64,60.26,61.95,622582,62.38,60.35,,,49.038668673342244,69.38296958009947,4.440904446950266
31,63.61,65.2679,63.05,63.39,437530,63.14,60.22,,,49.0169231153341,69.19570248464588,4.360689843596676
32,61.96,63.5754,60.53,61.18,374166,63.02,60.5,,,49.39116963556244,68.81211263285144,4.266740569054057
33,59.75,60.11,58.0,58.02,495700,62.63,60.95,,,51.699389219449934,68.22178708485387,4.189116242693053
34,59.53,59.7379,57.42,58.45,418180,62.16,61.19,,,53.618136143767806,67.62299474920867,4.055457939643549
35,58.1,59.94,58.1,58.72,448902,61.3,61.37,,,55.01882864964738,67.21311159394017,3.8972109439547244
36,58.96,60.02,58.21,60.0,308394,60.91,61.38,,,55.64742218834684,67.305511620665,3.7481244479579585
37,60.24,63.45,59.68,63.19,313432,60.83,61.56,,,56.07928972222329,67.35637757983625,3.7496869873895333
38,69.61,76.33,69.54,72.93,1029484,61.98,62.12,,,54.74894874166844,71.06557804205814,4.420423631147424
39,73.0,75.86,72.405,74.96,852184,63.43,62.78,,,53.28586845625962,73.47791389983189,4.351464800351179
40,73.79,74.33,71.48,72.1,430608,64.39,63.37,,,52.78902258893743,74.9994465673228,4.289217314611809
41,70.95,71.08,69.5,70.43,405916,65.42,63.74,,,52.692141209802955,75.69875924174843,4.16855893499668
42,69.29,70.14,68.74,70.14,443350,66.77,64.42,,,53.32816761600114,76.18557117433743,3.9915190110683465
43,71.52,73.65,71.26,72.45,455558,68.32,64.93,,,53.45635231266492,77.1806215723993,3.957124795992036
44,72.58,72.7364,70.97,71.61,458088,69.76,65.43,,,53.53949253216271,77.90499104960543,3.8006444534211767
45,72.74,73.28,71.18,71.55,306854,71.04,65.88,,,53.64476670344386,78.63715724768417,3.679169849605378
46,73.07,74.91,72.63,74.81,336896,72.33,66.3,,,53.54588123760046,79.54110457057729,3.656372003204994
47,74.09,75.23,73.14,74.12,428528,72.46,66.82,,,53.55116544308654,80.43547926821681,3.5444882886903515
48,74.19,74.19,69.44,69.52,355496,71.86,67.1,,,53.82844114143775,81.08191552413022,3.6305962680696124
49,68.88,70.36,67.83,68.21,557526,71.43,67.39,65.97,,54.34213025775594,81.21598934757341,3.551982248921783
50,67.11,68.74,65.505,68.73,397008,71.24,67.73,65.65,,54.92783902639549,81.2219762707462,3.529340659713084
51,68.55,69.94,67.67,68.96,350692,71.11,68.0,65.35,,55.259564753366604,81.3196191467373,3.439387755447864
