,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,18.07,18.24,17.45,18.23,3436251,,,,,,,0.7899999999999991
1,18.26,18.72,17.55,17.6,1615659,,,,,,,0.8171428571428562
2,17.6,17.82,16.63,17.28,2047287,,,,,16.65474510357854,18.7553665309647,0.8437755102040808
3,17.42,17.67,17.17,17.54,665220,,,,,16.60812233887081,18.69467991803803,0.819220116618075
4,17.15,17.345,16.9,17.22,882730,,,,,16.602999999999994,17.87876137521277,0.8064186797167839
5,16.8,17.03,16.32,16.71,1605928,,,,,16.318915336649326,17.7003476559586,0.8131030597370136
6,15.65,16.2499,15.01,15.29,1305774,,,,,15.01163411630337,17.495114535350677,0.87645284118437
7,15.5,16.07,15.04,15.82,1187743,,,,,14.634065710349834,17.01131166222049,0.8874204953854865
8,15.51,15.82,14.44,14.67,1055857,16.71,,,,14.458108886903645,16.284123825844755,0.9226047457150948
9,13.69,14.02,13.0,13.42,1409704,16.17,,,,13.006729866856835,16.533580598452545,0.9759901210211595
10,14.13,14.57,12.72,13.68,1310383,15.74,,,,12.371483267800528,15.81798023414824,1.0384193980910768
11,12.79,12.79,11.21,11.21,4054694,15.06,,,,11.250853645618273,14.79586329963523,1.1406751553702854
12,11.29,11.48,9.35,11.06,2197347,14.34,,,,9.236504226136478,14.652707209365836,1.2113412157009793
13,10.51,11.61,9.37,10.1,4412932,13.55,,,,8.801707376591686,12.753907425333663,1.2848168431509093
14,10.07,10.87,9.46,10.63,1716361,12.88,,,,9.328879215284037,11.754604417832953,1.2937584972115586
15,10.95,11.5,10.43,10.99,1578293,12.4,,,,9.106823988208681,11.76588680888837,1.277775747410733
16,11.06,11.8,10.41,11.17,956510,11.88,,,,9.490218891732319,11.912123548597382,1.2857917654528237
17,11.84,12.76,11.78,12.74,1151270,11.67,,,,10.009547287293298,12.743997237563743,1.3075209250633364
18,12.8,13.02,11.75,12.75,1170005,11.59,,,,10.452634586190367,13.23352544558454,1.304840858987384
19,12.81,14.23,12.81,14.05,1280023,11.63,14.11,,,11.449464119305857,14.199611817492189,1.3173522262025708
20,13.57,14.09,13.22,13.63,818813,11.9,13.88,,,11.758902788989799,14.50808035270838,1.28539849575953
21,13.66,14.12,13.41,13.76,670362,12.2,13.69,,,12.809353261458043,14.227748929420585,1.2442986032052779
22,13.66,14.06,13.26,13.5,1261535,12.58,13.5,,,13.186483485856549,14.122999999999404,1.2125629886906153
23,12.89,13.22,12.38,12.75,1216955,12.82,13.26,,,12.404574897947759,14.35350880751796,1.2059513466412854
24,12.52,12.68,11.73,12.05,1551289,12.93,13.0,,,11.612003222842176,14.08495490063137,1.1926691075954792
25,12.18,12.18,11.36,11.69,1557479,12.99,12.75,,,11.255331279346318,13.26547434159377,1.1660498856243735
26,12.08,12.67,11.89,12.47,3126672,12.96,12.61,,,11.360969901180274,12.824415330414933,1.1527606080797754
27,12.97,13.26,12.08,12.315,907143,12.91,12.43,,,11.366212852780782,13.298181493230688,1.1547062789312201
28,12.63,13.08,12.2,12.79,1538676,12.77,12.34,,,11.884723846713454,13.335950731154426,1.1350844018647046
29,13.09,13.69,13.09,13.58,825058,12.77,12.35,,,11.84973641257361,13.688097503938806,1.1182926588743687
