,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.49,7.86,7.405,7.81,1105339,,,,,,,0.45500000000000007
1,7.81,7.99,7.64,7.66,667675,,,,,,,0.4475000000000001
2,7.76,8.06,7.76,7.95,515871,,,,,,,0.444107142857143
3,7.87,7.89,7.68,7.8,548114,,,,,,,0.43167091836734706
4,7.62,7.64,7.3,7.45,735411,,,,,,,0.4365515670553937
5,6.73,6.96,6.04,6.04,828476,,,,,,,0.5060835979800085
6,6.33,6.35,5.52,5.83,1350875,,,,,,,0.5292204838385793
7,5.72,6.02,5.53,5.55,1034658,,,,,,,0.5264190207072522
8,5.22,5.22,4.28,4.5,640684,6.73,,,,,,0.5795319477995913
9,4.83,4.99,4.59,4.97,922644,6.42,,,,,,0.5731368086710491
10,4.37,4.635,4.2,4.29,787331,6.04,,,,,,0.5871984651945455
11,4.37,4.48,3.96,4.36,988494,5.64,,,,,,0.5823985748235067
12,4.06,4.2,3.63,4.16,680664,5.24,,,,,,0.5929415337646848
13,4.11,4.39,3.685,4.09,1095568,4.87,,,,,,0.6009457099243503
14,4.24,4.77,4.24,4.29,718768,4.67,,,,,,0.6065924449297538
15,4.36,4.36,3.72,3.82,843459,4.45,,,,,,0.6089786988633429
16,4.03,4.22,3.95,4.13,1250717,4.29,,,,,,0.5940516489445327
17,4.15,5.16,4.15,4.97,831411,4.34,,,,,,0.6251908168770661
18,5.04,5.47,5.02,5.28,710705,4.38,,,,,,0.6162486156715614
19,5.02,5.27,4.8,5.12,340624,4.47,5.5,,,2.2367519895423484,8.649922334160882,0.6065165716950214
20,5.05,5.07,4.77,5.02,477888,4.54,5.36,,,2.2749000159603043,8.35421803446896,0.5881939594310913
21,5.0,5.45,4.91,5.24,606427,4.66,5.24,,,2.396240448417127,7.993812835022737,0.5847515337574419
22,4.98,5.08,4.82,4.88,613243,4.75,5.09,,,2.6022361658763473,7.5425115102734495,0.5729835670604818
23,4.81,5.17,4.81,5.0,374575,4.83,4.95,,,2.9013599579200164,7.05565116229002,0.5577704551275903
24,5.02,5.21,4.92,5.01,527995,4.96,4.83,,,3.2561600393196093,6.54090383780308,0.5386439940470481
25,5.14,5.38,5.14,5.3,1448454,5.09,4.79,,,3.369076143238844,6.17877624586726,0.526597994472259
26,5.46,5.61,5.3,5.51,1687890,5.15,4.77,,,3.3937942008897393,6.002157916935078,0.5111267091528119
27,5.61,5.95,5.45,5.76,1119958,5.2,4.78,,,3.4043898867876803,5.9840420026317105,0.5103319442133254
28,5.89,6.0,5.6,5.79,1143332,5.28,4.85,,,3.37698444924123,6.116809132291426,0.5024510910552308
29,5.82,5.82,5.4934,5.67,655836,5.35,4.88,,,3.355285895185392,6.2124466510733765,0.489890298837
30,5.75,5.93,5.66,5.68,680458,5.4,4.95,,,3.3658209243237116,6.316492986945059,0.4741838489200714
31,5.41,5.7,5.39,5.48,683398,5.47,5.01,,,3.4514087413507095,6.35751397229135,0.4624564311400664
