,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,41.02,42.08,40.255,42.07,178981,,,,,,,1.8249999999999957
1,41.95,43.01,40.97,41.66,152834,,,,,,,1.840357142857139
2,42.07,42.66,41.21,42.44,79486,,,,,,,1.8124744897959144
3,41.45,41.95,40.88,41.44,102293,,,,,,,1.7944405976676345
4,40.1,41.57,40.1,40.9,244898,,,,,,,1.7712662692628036
5,38.8645,39.9129,38.0,38.08,179614,,,,,,,1.8518901071726033
6,39.23,39.5,37.19,39.47,177659,,,,,,,1.8846122423745606
7,38.39,38.98,37.49,37.79,177003,,,,,,,1.8914256536335203
8,35.61,37.17,33.76,33.9,218987,39.75,,,,,,2.044180964088269
9,35.79,36.52,32.96,35.43,187251,39.01,,,,,,2.1524537523676788
10,32.25,35.48,31.94,32.12,489422,37.95,,,,,,2.25156419862713
11,32.53,35.595,31.79,34.12,290018,37.03,,,,,,2.362523898725192
12,32.3,32.85,27.93,28.9475,341408,35.64,,,,,,2.6359150488162495
13,28.71,31.39,27.31,29.25,280935,34.35,,,,,,2.739063973900803
14,29.38,31.57,27.98,28.3,393637,33.26,,,,,,2.7998451186221742
15,28.91,29.47,27.24,29.05,171649,32.1,,,,,,2.7591418958634475
16,30.86,33.59,30.595,32.55,238055,31.52,,,,,,2.8863460461589154
17,32.35,33.1,30.8,32.43,235352,31.36,,,,,,2.844464185718993
18,32.65,33.6637,31.99,33.52,162098,31.14,,,,,,2.7608381724533504
19,32.41,34.02,32.39,32.65,226055,31.2,35.31,,,24.250395926304066,45.195896942420454,2.680064017278111
20,32.7,34.03,32.21,32.82,190032,31.06,34.84,,,24.249297746462283,44.47775976900936,2.6186308731868175
21,32.82,32.98,30.7226,31.37,256952,31.33,34.33,,,24.291053301065567,43.45771532240518,2.5928286679591874
22,30.17,31.8,29.41,29.49,187412,31.35,33.68,,,24.389599627935567,42.38865850057721,2.578340905962103
23,29.21,31.04,28.72,30.21,125657,31.57,33.12,,,24.587835183735262,41.33878687647362,2.559887984107667
24,30.15,30.93,28.29,28.58,255596,31.51,32.5,,,24.872341989509174,40.165903528141406,2.56561027095712
25,30.1,31.03,29.57,30.33,776112,31.27,32.12,,,25.183956343424267,39.228491476479185,2.557352394460183
26,31.46,33.05,31.16,32.8,171165,31.31,31.78,,,25.654575356367953,38.191933274368964,2.5689700805701703
27,33.53,35.3,32.7801,34.92,268112,31.46,31.64,,,26.405129630965334,37.342483807372055,2.565465074815158
28,36.26,36.97,35.61,36.79,123691,31.92,31.78,,,26.117385914495195,37.29292624112183,2.52864614089979
29,36.44,36.855,34.915,35.94,96710,32.27,31.81,,,25.91825660509398,37.36914281858247,2.486599987978376
30,36.95,37.09,35.49,35.77,178552,32.76,31.99,,,25.651008896399382,37.689433548198046,2.423271417408492
31,34.56,35.42,34.11,34.22,178061,33.28,32.0,,,25.577975156943623,37.66214683663233,2.368752030450743
32,34.25,35.36,33.39,34.13,451119,33.72,32.26,,,25.945249478047778,37.87591807578194,2.340269742561404
33,35.27,35.7,34.61,35.0,238290,34.43,32.54,,,26.444645861895037,38.09229921947817,2.2852504752355896
34,34.22,34.69,33.71,34.3,352640,34.87,32.84,,,26.94562499136962,38.15924865376902,2.2141611555759044
35,33.11,33.54,32.7,32.87,373228,34.88,33.03,,,27.721749997267384,37.86144367885365,2.1702925016061965
36,33.67,34.185,33.39,33.93,303306,34.77,33.1,,,27.89291090267399,37.88679274364799,2.109200180062897
37,33.91,34.85,33.55,34.08,282568,34.47,33.19,,,28.055733185627897,37.96409169758165,2.051400167201262
38,34.48,34.72,34.09,34.34,244953,34.29,33.23,,,28.105406028522303,38.01923801315208,1.950585869544029
39,34.78,35.7,34.59,35.5,470724,34.26,33.37,,,28.12300397809515,38.16172117761748,1.9084011645765986
40,36.47,37.1866,36.005,36.43,116233,34.51,33.55,,,28.078532131783746,38.52985433036727,1.8925582242496988
41,37.81,39.21,37.63,38.54,150580,35.0,33.91,,,28.081104386306926,39.30057266860843,1.9559469225175776
42,37.74,37.89,36.58,37.33,300105,35.26,34.3,,,28.550285349465078,39.59423447114192,1.9562364280520366
43,36.49,37.24,35.28,36.03,79184,35.45,34.59,,,29.375488292764246,39.5926914239348,1.9629338260483193
44,35.73,36.77,35.24,36.52,282643,35.86,34.99,,,30.539313931893126,39.37930810313127,1.9320099813305824
45,37.23,38.27,36.88,37.26,146726,36.23,35.33,,,31.435508043961434,39.23024366039449,1.9190092683783981
46,37.85,38.34,37.1,37.33,384370,36.59,35.56,,,31.982189064051752,39.340371974321826,1.8705086063513698
47,37.62,38.0,35.47,36.89,204866,36.87,35.66,,,32.282446442672175,39.53361513068312,1.9176151344691292
48,37.87,39.67,37.5675,39.13,401090,37.27,35.78,,,32.15972673806803,39.98838630594403,1.9792140534356202
49,39.0,39.27,37.26,39.12,419342,37.57,35.94,34.96,,32.128038018802215,40.31882408529396,1.9814130496187905
50,39.26,39.5,37.6301,38.19,200796,37.53,36.06,34.88,,32.05527077736198,40.651914617895486,1.973447831788877
51,38.22,38.22,36.36,37.0,188166,37.5,36.2,34.79,,32.19098705009942,40.78802271696957,1.9653444152325288
52,36.01,37.31,35.545,37.28,137142,37.64,36.35,34.69,,32.44651323625287,40.8182211989017,1.9510340998587767
53,37.11,38.04,36.68,37.62,411828,37.76,36.48,34.61,,32.5452751713232,40.909033584818246,1.9088173784402929
54,39.26,40.825,39.26,39.97,234681,38.06,36.77,34.59,,32.57639610329915,41.37447184257802,2.001401851408844
55,39.58,40.39,38.87,38.91,121068,38.23,37.07,34.61,,33.00665830648579,41.47395382052057,1.967016004879641
56,39.69,40.015,39.03,39.69,425224,38.55,37.36,34.61,,33.35521725865982,41.480359425224805,1.905443433102524
57,39.61,39.94,39.25,39.61,277954,38.6,37.63,34.65,,33.74525761248046,41.47235457241256,1.8186260450237723
58,39.89,39.89,39.15,39.58,170074,38.65,37.9,34.76,,34.11221248858584,41.30436478419227,1.7415813275220744
59,41.25,41.93,40.75,41.46,108586,39.01,38.19,34.88,,34.230203839785474,41.65198523423244,1.7850398041276407
60,42.56,42.875,41.86,42.41,133358,39.61,38.49,35.09,,34.012345401256034,42.338566358934735,1.758608389547095
61,43.07,43.12,40.61,40.79,149270,40.0,38.61,35.22,,33.932489830737296,42.992644344290554,1.8122792188651595
62,40.36,40.8,39.67,40.75,98840,40.35,38.78,35.46,,34.04882336135611,43.12065829561561,1.7635449889462191
63,41.03,41.45,40.54,40.56,128658,40.42,39.0,35.69,,34.36713421782015,43.26129677917417,1.702577489735775
64,40.76,41.78,40.2,41.56,134626,40.71,39.26,35.95,,34.791939946101856,43.33355120469419,1.6938219547546483
