,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,15.4,15.555,14.99,15.33,4918753,,,,,,,0.5649999999999995
1,15.45,15.79,15.07,15.77,2803908,,,,,,,0.5760714285714281
2,15.82,16.14,15.51,15.83,3351855,,,,,,,0.5799234693877547
3,16.16,16.625,16.06,16.57,2078423,,,,,,,0.5952860787172009
4,16.18,16.345,15.81,15.91,2552971,,,,,,,0.6070513588088293
5,15.41,15.46,14.89,15.37,2614945,,,,,,,0.6365476903224844
6,14.28,14.74,13.79,14.12,2906653,,,,,,,0.7039371410137355
7,14.53,14.57,13.55,14.5,2292473,,,,,,,0.7265130595127544
8,14.02,14.33,13.525,13.62,3306778,15.22,,,,,,0.7442621266904148
9,12.65,12.65,11.105,11.34,2673293,14.78,,,,12.801688280593806,16.523620772308625,0.8707434033553851
10,12.1,12.36,11.005,11.96,3325189,14.36,,,,12.038298094494408,16.52763020450938,0.9053331602585718
11,10.41,10.41,8.85,8.99,2276651,13.6,,,,10.779429558928124,16.568028586360427,1.0628093630972453
12,8.99,9.19,7.37,7.89,3401704,12.63,,,,9.380348202564058,16.385707757569893,1.1168944085902992
13,7.27,7.55,6.12,6.135,2267505,11.55,,,,7.991420352910014,15.944113237694276,1.1635448079767063
14,6.16,7.26,5.89,6.94,3547288,10.61,,,,6.9062325129616156,15.223347168912357,1.1782916074069416
15,7.04,7.43,6.57,6.99,5571720,9.82,,,,6.239992950537053,14.422107945368952,1.15555649259216
16,7.15,7.39,6.56,6.71,3270466,8.95,,,,5.732089801815549,13.572823925556246,1.1323024574070057
17,7.21,8.53,7.21,8.52,3611462,8.39,,,,5.550247654821957,12.559927133571438,1.1814237104493623
18,8.79,9.97,8.485,9.71,2910108,8.2,,,,5.82023576927906,11.511401081612338,1.2031077311315508
19,9.78,10.33,9.285,9.75,3074506,7.96,11.6,,,5.935960848200514,10.926465488614168,1.1918143217650117
20,9.31,9.63,9.0,9.21,1734792,7.98,11.29,,,6.13472630347818,10.1893442814254,1.1602561559246538
21,9.11,9.27,8.775,9.03,1714317,8.11,10.95,,,6.136497061354005,9.947906909942802,1.112737859072893
22,8.98,9.24,8.665,8.77,1724809,8.4,10.6,,,6.21359466322548,9.955802282586204,1.0743280119962577
23,8.22,8.34,7.84,7.86,1638094,8.51,10.17,,,6.513421503970844,9.971408612794049,1.0640188682822393
