,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,34.71,35.14,33.12,33.32,1897986,,,,,,,2.020000000000003
1,33.63,34.15,32.67,33.72,1463331,,,,,,,1.9814285714285742
2,33.07,33.445,32.11,32.6,2693009,,,,,,,1.9548979591836761
3,31.82,31.82,29.89,31.3,3994156,,,,,,,2.008833819241985
4,29.53,30.37,28.59,28.6,2338637,,,,,,,2.0589171178675576
5,29.23,30.27,28.66,30.26,2452767,,,,,,,2.0311373237341606
6,29.45,29.64,26.21,26.235,2945458,,,,,,,2.175341800610292
7,24.8,24.8,19.46,20.04,5376528,,,,,,,2.503888814852414
8,21.03,21.7,18.22,19.67,6072765,28.42,,,,,,2.573611042362956
9,17.6,17.6,14.3,14.69,8561059,26.35,,,,,,2.7733531107656018
10,15.19,15.48,11.08,12.33,12965504,23.97,,,,,,2.8895421742823446
11,11.83,12.09,8.32,9.7201,11582022,21.43,,,,,,2.96957487611932
12,10.0,14.0621,9.55,12.68,10652279,19.36,,,,,,3.079755242110797
13,13.68,14.65,12.57,12.99,9319286,17.62,,,,,,3.0083441533885975
14,13.86,13.86,11.5601,13.29,5152072,15.74,,,,,,2.9577409995751265
15,14.62,15.9,14.51,15.29,4636870,14.52,,,,,,2.9329023567483317
16,16.8,17.2,14.61,16.96,7444874,14.18,,,,,,2.908409331266308
17,16.96,19.71,16.96,18.92,6057958,14.1,,,,,,2.8970943790330006
18,17.72,19.44,17.31,18.02,4449419,14.47,,,,,,2.842301923387786
19,17.92,18.65,17.35,18.22,4391522,15.12,20.94,,,3.0922090818141363,38.22088684397782,2.7321375002886583
20,18.32,18.53,17.45,17.71,4018292,16.01,20.16,,,3.4972432553039656,36.295471226843176,2.614127678839469
21,16.55,17.0,15.22,15.3,4079722,16.3,19.24,,,3.9329590637440344,34.325529011602896,2.6052614160652214
22,15.13,15.85,14.41,15.11,4214445,16.54,18.37,,,4.567306693901747,32.21785204060822,2.5220284577748484
23,15.24,15.31,13.66,14.05,6383176,16.62,17.5,,,5.136039680118321,30.18863620316916,2.4597407107909306
24,15.26,17.31,14.85,17.13,9430668,16.82,16.93,,,5.966511962433685,28.199603789797603,2.5169020885915785
25,18.85,19.7,16.51,16.77,9325562,16.8,16.26,,,7.410929748623678,25.971175148615398,2.564980510835037
26,17.46,18.64,17.23,18.09,5771534,16.71,15.85,,,8.81723664687595,23.26411733828573,2.5153390457753915
27,19.04,19.57,18.15,18.54,9603296,16.77,15.77,,,8.944372964679813,21.992176997829343,2.4413862567914353
28,18.59,18.65,16.95,17.98,6485164,16.74,15.69,,,9.018648065894531,21.407524694005932,2.388430095592047
29,18.5,19.18,17.78,17.99,6620916,16.77,15.85,,,9.022104071120204,21.589327027885325,2.317827945906901
30,17.22,17.78,16.325,17.22,9614010,16.99,16.1,,,9.524366034846626,21.654399479007978,2.2711973783421224
31,17.02,17.09,15.81,15.97,11911474,17.08,16.41,,,10.895439084281527,21.223971059638632,2.2096832798891137
32,16.89,17.64,16.61,17.28,10394836,17.44,16.64,,,12.171547320337137,21.063944215522444,2.1711344741827485
33,16.82,17.76,16.51,17.34,6900358,17.46,16.86,,,12.692331581449873,20.933919583683753,2.1053391545982665
