,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,14.75,15.44,14.41,15.44,889197,,,,,,,1.0299999999999994
1,15.56,15.77,14.985,15.35,779673,,,,,,,1.0124999999999995
2,15.3,15.47,14.595,14.85,582021,,,,,,,1.002678571428571
3,15.09,15.18,14.83,15.11,437461,,,,,,,0.9560586734693874
4,14.93,15.07,14.4336,14.55,435738,,,,,,,0.9360830539358598
5,14.16,14.57,13.85,14.04,1295216,,,,,,,0.9206485500832985
6,13.12,13.19,12.02,12.405,802601,,,,,13.048497785434169,15.90749204588832,0.9991736536487772
7,12.91,12.91,11.95,12.56,862791,,,,,12.382515261453035,15.826414321518703,0.9963755355310074
8,12.25,12.65,11.925,12.08,838609,14.04,,,,11.887909505656507,15.46054803623165,0.976991568707364
9,11.18,11.5,10.5,10.9,955949,13.54,,,,11.031682646141707,15.107780852428697,1.0200635995139808
10,11.74,12.57,11.23,12.535,847342,13.23,,,,10.738170906905902,14.559295414333988,1.066487628120125
11,11.32,11.78,10.51,10.66,1925328,12.76,,,,10.448818449271386,13.845560416343044,1.1349527975401161
12,10.53,10.93,9.08,9.4,1460279,12.13,,,,9.840770384475565,13.1279290511349,1.1860275977158221
13,9.15,9.3,7.01,7.24,2073116,11.31,,,,8.377050460753262,13.047950572746917,1.2720256264504064
14,7.22,9.02,6.78,8.09,1378665,10.65,,,,7.347847587398391,12.712586661679104,1.3411666531325201
15,8.11,8.295,7.33,7.94,1250066,10.16,,,,6.8551424585055205,12.258642697012755,1.3142976064801974
16,8.11,8.19,7.11,7.4,646505,9.58,,,,6.413390316095373,11.931671373781903,1.2975620631601834
17,7.76,8.0499,7.0,7.73,1036499,9.1,,,,6.27727962348925,10.964237586352352,1.2798719157915988
18,7.87,9.33,7.63,8.79,1040672,8.86,,,,6.561107302006465,10.11440761450182,1.3098810646636274
19,8.84,10.44,8.79,10.0,819642,8.58,11.35,,,6.631531077777554,9.878564502540199,1.3341752743305113
20,9.73,9.84,9.25,9.39,574119,8.44,11.05,,,6.653389489522424,10.021715516141247,1.292448469021189
21,9.3,9.81,8.95,9.23,302716,8.42,10.74,,,6.95861526168592,10.18668418280198,1.261559292662533
22,9.0,9.52,8.935,9.14,602293,8.63,10.46,,,7.185042316060063,10.284415740866635,1.2132336289009236
23,8.87,8.91,8.2101,8.505,570882,8.68,10.13,,,7.491036341627598,10.257291159072622,1.1929955125508578
24,8.31,8.81,7.81,8.62,908757,8.76,9.83,,,7.821644739314573,10.149172140434635,1.179210118797225
25,8.58,8.66,8.36,8.5,411758,8.88,9.56,,,8.060364621455967,10.149626404492203,1.1164093960259949
26,8.79,9.35,8.79,9.2,992642,9.04,9.4,,,8.06036462145597,9.802529584150548,1.0973801534527097
27,9.72,9.8,9.28,9.33,562511,9.1,9.23,,,8.057628255443365,9.788372782977964,1.061852999634659
28,9.39,10.48,9.365,10.37,976998,9.14,9.15,,,8.045656698996323,10.067014582519807,1.0681492139464692
29,10.61,11.35,10.56,11.07,584142,9.33,9.16,,,7.898252286431774,10.715457012979087,1.0618528415217214
30,11.08,11.2504,10.38,10.51,378842,9.47,9.06,,,8.113548991778819,11.168680534222489,1.0481776385558843
31,10.75,11.49,10.75,11.42,767202,9.73,9.09,,,8.617436225705564,11.552149345479181,1.043307807230464
32,11.0,11.33,10.35,11.05,1457369,10.01,9.18,,,9.086140307719276,11.666046594392741,1.0452143924282882
33,11.19,11.22,10.74,11.03,1239994,10.28,9.37,,,9.519248866436,11.668510294363475,1.0048419358262677
34,11.82,12.74,11.42,12.68,1797905,10.74,9.6,,,9.82902939879729,12.148136108361712,1.0552103689815344
35,12.48,13.14,12.23,12.74,1927055,11.13,9.84,,,10.170694688026838,12.668199351514467,1.0448381997685676
36,12.51,13.0,12.24,12.51,2492054,11.49,10.09,,,10.261786270884482,13.000222467711579,1.0244926140708128
37,13.12,13.12,12.34,12.75,1906152,11.75,10.34,,,10.515107865467318,13.277804743272203,1.0070288559228977
38,12.97,13.5,12.95,13.15,2444816,11.98,10.56,,,10.71438656414192,13.589303812727044,0.9886696519284051
39,13.28,13.9,13.02,13.49,1881467,12.31,10.73,,,11.239877769649397,13.87794632304646,0.9809075339335191
40,13.66,14.2,13.6083,13.96,3577221,12.6,10.96,,,11.763617537488802,13.94580094110484,0.9615569957954105
41,14.32,14.9146,13.98,14.48,804100,12.98,11.23,,,12.147334338312007,14.45247934931598,0.9610600675243097
42,15.0,15.0,14.44,14.56,574329,13.37,11.5,,,12.32013875725794,14.833717728384848,0.932412919844002
43,14.18,14.64,14.065,14.5,1358153,13.57,11.8,,,12.667674582334186,14.971280675134091,0.9068834255694305
44,14.255,14.4,13.56,14.0,483965,13.71,12.06,,,13.057776430460759,14.96303848298962,0.909248895171614
45,13.72,14.14,13.31,13.96,1664040,13.87,12.34,,,13.180408612456105,14.909416769033257,0.903588259802213
46,14.28,15.0819,14.2,14.38,753171,14.05,12.6,,,13.440163459742463,15.05123072568868,0.9191819555306263
47,14.72,15.01,14.39,14.76,1479138,14.23,12.87,,,13.529882584651467,15.135876759694026,0.8985261015641529
48,14.89,15.105,14.805,14.94,692673,14.39,13.1,,,13.53790305308744,15.187160259586914,0.8589885228809993
49,15.11,15.3,14.88,15.18,1316710,14.53,13.3,11.73,,13.525304782407568,15.279174929662481,0.8276321998180708
50,15.03,15.95,14.89,15.83,1482834,14.68,13.57,11.74,,13.582840364669554,15.65043075013679,0.8442298998310657
51,15.85,15.93,15.19,15.35,1060826,14.77,13.76,11.74,,13.830784518778122,15.895695049049106,0.8367849069859895
52,15.28,15.46,14.4,14.98,541628,14.82,13.96,11.74,,14.289672031994424,15.839996033749783,0.852728842201276
53,14.69,15.04,14.4598,14.92,337268,14.92,14.16,11.74,,14.37988319328746,15.84059492722878,0.8332624963297562
54,14.86,15.08,14.46,15.05,794270,15.04,14.27,11.75,,14.402555591062612,15.838948358804755,0.8180294608776308
55,15.4,15.74,15.35,15.54,695614,15.17,14.41,11.78,,14.38772901168573,15.919973411856658,0.8088844993863715
56,15.5,15.5,14.7,14.71,820460,15.17,14.52,11.82,,14.361892735269421,15.937421791231744,0.8111070351444878
57,14.91,15.2,14.78,14.86,1254764,15.16,14.63,11.87,,14.349616865905896,15.791440218606708,0.7881708183484529
58,14.94,14.99,14.06,14.12,1260392,15.04,14.68,11.91,,14.15780705460974,15.598316136078678,0.7983014741807063
59,14.12,14.35,13.78,14.25,846578,14.86,14.72,11.98,,13.952842488047066,15.610668879696012,0.7819942260249416
