,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,31.35,31.35,30.14,30.47,195505,,,,,,,1.2100000000000009
1,30.67,30.943,29.85,30.64,159614,,,,,,,1.201642857142858
2,29.9,30.0824,28.62,29.04,192881,,,,,,,1.260096938775511
3,28.08,29.01,27.71,28.31,369402,,,,,,,1.2650900145772601
4,26.01,27.3799,24.56,24.9,183025,,,,,,,1.4425835849645987
5,25.81,26.02,24.375,25.78,338371,,,,,,,1.4570419003242703
6,25.1,25.96,24.05,24.43,301639,,,,,,,1.489396050301108
7,22.41,23.5,21.6078,21.7,338627,,,,,,,1.5845963324224575
8,22.98,24.255,21.86,24.06,619653,26.59,,,,,,1.6539108801065676
9,21.33,23.08,20.71,20.76,584114,25.51,,,,,,1.7750601029560984
10,21.02,22.58,19.86,21.82,554995,24.53,,,,,,1.8425558098878057
11,20.51,22.23,20.03,21.01,877412,23.64,,,,,,1.8680875377529624
12,20.51,23.23,19.88,22.68,342245,23.02,,,,,,1.9739384279134653
13,22.64,23.3098,20.53,20.85,494417,22.57,,,,,,2.031499968776789
14,20.87,21.805,19.05,20.6,340094,21.99,,,,,,2.08317854243559
15,21.54,23.5388,20.79,21.99,274689,21.72,,,,,,2.1442943608330474
16,22.1,22.19,20.95,21.24,161994,21.67,,,,,,2.0797019064878297
17,21.43,23.21,21.43,23.08,175403,21.56,,,,,,2.0718660560244135
18,22.38,23.58,21.5,22.9,234495,21.8,,,,,,2.0724470520226697
19,22.27,24.14,22.27,23.91,508220,22.03,24.01,,,16.02967206611482,31.17906909817681,2.0579865483067645
20,23.69,23.94,22.89,23.7,279164,22.33,23.67,,,16.534402371340907,30.057508192738332,1.9859875091419956
21,23.2,23.464,22.0,22.22,274525,22.28,23.25,,,17.178245948036135,28.82374896300347,1.9655598299175674
22,21.95,23.51,21.95,23.03,201105,22.52,22.95,,,17.83575798708003,27.594388155292325,1.9365912706377415
23,22.95,23.25,21.19,21.71,218808,22.64,22.62,,,18.56221594112649,26.43271494663694,1.9454061798779028
24,22.8,23.16,22.335,22.97,774774,22.75,22.52,,,18.767610391499236,25.609277655118728,1.9100200241723382
25,23.82,24.4881,22.87,23.27,374204,22.98,22.4,,,18.96438206043099,25.238022655463094,1.889168593874314
26,23.92,24.44,23.37,24.08,483124,23.09,22.38,,,19.07276662858696,24.807425693387124,1.8377994085975773
27,24.88,26.13,24.52,26.06,208173,23.44,22.6,,,18.814065942797836,25.398401251192755,1.8529565936977503
28,25.84,25.84,24.125,24.51,221226,23.51,22.62,,,18.683285088116605,25.727313918842306,1.858816837005054
29,24.99,25.19,23.24,23.6,407910,23.49,22.76,,,18.755867418300014,25.937962499085483,1.8653299200761218
30,22.58,23.1,22.13,22.2,591612,23.49,22.78,,,19.000530228254966,25.923486227434367,1.8370920686421133
31,22.16,22.28,20.74,21.42,811453,23.31,22.8,,,19.114965560978362,25.91922803478883,1.8158712065962481
32,22.24,23.47,22.24,22.9,520616,23.45,22.81,,,19.396723834995,25.923377618181362,1.832594691839373
33,22.28,23.4,22.12,22.78,388442,23.42,22.91,,,19.57038589774371,25.924901272296577,1.7931236424222747
34,22.02,22.87,21.71,22.53,424194,23.34,23.0,,,20.134955196697593,25.83233975255283,1.7479005251063982
35,23.04,23.49,22.17,22.34,399633,23.15,23.02,,,20.314683418774585,25.831108399961693,1.7173362018845124
36,22.36,23.25,22.2365,22.85,562344,22.79,23.1,,,20.4813921405851,25.76632236976991,1.6670621874641902
37,23.08,23.22,22.47,23.0,270056,22.62,23.1,,,20.584161084385496,25.766181549229096,1.6015577455024623
38,23.31,25.16,23.29,24.87,461352,22.77,23.2,,,20.68479019684841,25.931698687705943,1.6414464779665723
39,25.34,25.7,24.46,24.7,185864,23.04,23.24,,,20.5968117955779,26.163359223112376,1.6127717295403885
40,25.21,25.84,24.73,25.31,527045,23.48,23.32,,,20.475885156528033,26.41233958252541,1.5790023202875036
41,24.68,25.34,24.24,24.68,498773,23.67,23.44,,,20.51076656330095,26.55479881031733,1.5447878688383965
42,24.06,24.16,22.97,23.68,226805,23.77,23.47,,,20.59685605831522,26.56795565672491,1.5565887353499397
43,23.33,23.82,22.8,23.75,392591,23.91,23.58,,,20.81705397399,26.56251157055564,1.5182609685392296
44,24.17,24.37,22.345,22.44,190700,23.92,23.55,,,20.818148115135163,26.56998370855488,1.5544566136435707
45,22.38,22.78,21.2,21.36,314748,23.75,23.45,,,20.596244370162875,26.577027979330623,1.5562811412404587
46,21.45,21.93,21.03,21.09,240497,23.54,23.3,,,20.352643760539067,26.652425547788596,1.5094039168661402
47,21.85,22.6,21.67,22.49,302482,23.28,23.12,,,20.320310777606338,26.36240934086866,1.5094464942328445
48,22.14,22.45,20.92,21.08,643960,22.88,22.95,,,20.162078011820075,26.092940356044313,1.513771744644784
49,21.17,21.21,19.54,19.64,340553,22.25,22.76,23.41,,19.671121747549204,26.03843523973686,1.5249309057415854
50,19.39,19.925,18.26,18.9,256497,21.6,22.59,23.18,,18.91933172320812,26.348667673326556,1.5349358410457579
51,18.47,19.18,17.46,18.94,274904,21.08,22.47,22.94,,18.17607852895117,26.70805642321829,1.5481547095424895
52,18.85,18.94,18.23,18.38,417140,20.48,22.24,22.73,,17.637167832759545,26.963404344087323,1.4882865160037402
53,19.4,20.6,19.35,20.44,185299,20.26,22.12,22.57,,17.37287962477661,26.956172994655187,1.5405517648606162
54,20.27,21.085,19.16,19.17,155934,20.01,21.96,22.46,,17.112008908808075,26.941114266518724,1.568012353084858
55,19.57,20.72,19.57,20.55,335128,19.95,21.87,22.35,,16.92008944439479,26.88236169729644,1.5667257564359394
56,20.53,20.99,20.32,20.36,162830,19.72,21.74,22.27,,16.826993003645732,26.817853873878637,1.5026739166905152
57,20.45,20.74,19.39,19.93,180834,19.59,21.59,22.24,,16.6443627588486,26.749015553494743,1.491768636926907
58,20.97,21.86,20.39,21.53,163917,19.8,21.42,22.19,,16.621109031025476,26.386399925359576,1.5230708771464136
59,22.5,23.31,22.09,23.19,171606,20.28,21.35,22.23,,16.796207467257883,25.97296456795547,1.5414229573502412
60,23.45,23.45,21.79,21.96,195263,20.61,21.18,22.24,,17.066996982173567,25.498515117270834,1.5498927461109382
61,21.57,21.64,21.01,21.43,163371,20.95,21.02,22.25,,17.32434572352006,24.93789289709314,1.5070432642458713
62,21.61,21.91,21.12,21.16,163678,21.03,20.89,22.22,,17.438463546432,24.622900103213162,1.455825888228309
63,21.44,21.795,20.91,21.08,138309,21.24,20.76,22.22,,17.557131263484322,24.345319098266643,1.4150526104977157
64,21.68,22.85,21.53,22.34,344678,21.44,20.75,22.25,,17.62342188885806,24.018492834999893,1.4404059954621646
65,22.17,22.99,21.99,22.82,119004,21.72,20.82,22.27,,17.58002997430233,24.0531119301465,1.4089484243577244
66,24.17,25.11,23.9,24.43,292867,22.22,20.99,22.34,,17.288213716270388,24.677781430155875,1.471880679760744
67,24.96,25.479,24.45,24.67,212880,22.56,21.1,22.37,,16.981806990945362,25.253807010783383,1.4416749169206908
68,24.04,24.82,23.65,24.36,256644,22.69,21.26,22.4,,16.8633653137392,25.619161491288633,1.42226956571207
69,24.34,24.34,22.47,22.49,175067,22.75,21.41,22.37,,16.973711717780645,25.910136817149827,1.4556788824469222
70,20.85,21.09,20.06,20.21,563904,22.62,21.47,22.3,,17.2373196032444,25.863786290816616,1.5252732479864277
71,21.15,21.15,20.5786,20.5786,57392,22.55,21.55,22.27,,17.766624826284893,25.728643733193998,1.483468015987397
72,19.87,20.8764,19.5,20.62,250612,22.5,21.67,22.22,,18.017135750276847,25.53450146186997,1.475820300559726
73,21.65,21.98,21.06,21.5,409881,22.41,21.72,22.21,,18.21919541307827,25.503265179188563,1.467547421948317
74,22.49,22.49,20.43,20.62,202540,22.16,21.79,22.17,,18.416678391629414,25.510064656693004,1.5098654632377229
75,20.21,21.1463,20.21,20.74,471736,21.75,21.8,22.12,,18.51635174794525,25.48491319516213,1.4688965015778854
76,20.81,20.85,19.825,20.25,508734,21.26,21.8,22.04,,18.44560423087779,25.493452045926116,1.4371896086080367
77,20.26,20.9,19.86,20.53,252681,20.84,21.83,21.93,,18.52843729984715,25.48255124403828,1.4088189222788912
78,20.89,21.175,20.23,20.235,139283,20.59,21.76,21.84,,18.508163010316576,25.49473432796343,1.3756889992589705
79,19.92,19.92,19.22,19.55,275840,20.51,21.58,21.76,,18.237808767891906,25.50114860932286,1.3499254993119012
80,19.44,20.2,19.27,19.84,593058,20.43,21.47,21.71,,18.006450428123216,25.421283061071083,1.3199308207896228
81,19.42,19.42,18.62,18.75,586706,20.22,21.34,21.66,,17.697167267235187,25.52383253431663,1.3127929050189353
82,19.14,20.555,19.01,19.84,391607,20.04,21.27,21.6,,17.48050944190395,25.517356319177257,1.3479505546604398
83,19.73,20.62,19.73,20.29,223599,20.0,21.23,21.55,,17.3855151957638,25.508279288560914,1.3152398007561228
84,20.5,20.55,19.74,19.79,310523,19.9,21.11,21.5,,17.284938396020383,25.41208600232034,1.2791512435592571
85,20.29,20.6,19.51,19.61,317963,19.83,20.95,21.44,,17.179667833307274,25.282636070900963,1.2656404404478816
86,20.11,20.355,19.44,19.71,509643,19.74,20.71,21.38,,17.312301971510745,24.69989212278559,1.2405946947016044
87,19.43,19.675,18.9,18.94,240007,19.59,20.42,21.3,,17.667820177399424,23.883661797751035,1.2098379307943472
88,18.99,19.23,18.3558,18.99,354406,19.53,20.15,21.18,,17.966439354045203,23.120961605910928,1.1858637928804654
89,19.43,19.43,18.35,18.47,292455,19.38,19.95,21.05,,18.13540910121465,22.26853338971858,1.1783020933890034
90,18.42,19.48,18.42,19.44,176713,19.45,19.91,20.94,,17.98093783172431,22.24538660256598,1.1698519438612174
91,19.68,19.94,19.105,19.63,229332,19.43,19.87,20.84,,17.983186363000165,22.178173309445242,1.1459339478711303
92,19.53,19.78,19.06,19.39,150801,19.33,19.81,20.75,,17.95178309951527,22.13868909513996,1.1155100944517642
93,19.84,20.6811,19.84,20.55,189996,19.41,19.76,20.69,,18.090763909437396,21.916127393782656,1.1280522305623526
94,20.31,21.11,20.182,20.61,183018,19.53,19.76,20.65,,18.118435326226376,21.542025840948202,1.1137627855221846
95,20.49,20.808,20.0,20.01,119552,19.56,19.72,20.62,,18.13590229668991,21.484663713002362,1.0919225865563142
96,19.89,20.0,19.34,19.47,136374,19.62,19.68,20.59,,18.134137930752136,21.415141450014087,1.061785258945149
97,19.75,20.72,19.75,20.7,206951,19.81,19.69,20.55,,18.138506382363254,21.387163803289642,1.0752291690204956
98,20.46,20.66,20.0201,20.46,241993,20.03,19.7,20.54,,18.159797203750724,21.293170312748508,1.0469913712333174
99,19.76,21.01,19.76,20.95,191772,20.2,19.77,20.57,,18.16855203193134,21.398564896670404,1.0614919875737947
100,20.91,21.34,20.59,20.63,110622,20.31,19.81,20.6,,18.10287717879224,21.555035748518247,1.0392425598899522
101,20.48,20.48,20.0,20.11,138063,20.39,19.88,20.63,,18.19717610828357,21.539643796289567,1.0100109484692412
102,19.96,20.28,19.86,20.01,131638,20.33,19.89,20.66,,18.24557843631631,21.522323961842073,0.967867309292867
103,20.0,20.73,19.78,20.66,155194,20.33,19.91,20.66,,18.245927170392555,21.534349456707584,0.9665910729148051
104,20.19,20.39,19.87,20.24,129332,20.36,19.93,20.68,,18.245862992923296,21.52263865179315,0.9539774248494618
105,20.31,20.43,19.61,19.83,172977,20.4,19.94,20.67,,18.25001409814072,21.508572090068263,0.944407608788786
106,19.89,20.07,19.46,19.84,150767,20.3,19.95,20.66,,18.2512215159113,21.499732016379607,0.9205213510181585
107,19.85,20.05,19.525,19.83,199678,20.23,19.99,20.66,,18.315851092890234,21.487559555949,0.8922698259454331
108,20.0,20.63,19.91,20.62,137785,20.2,20.07,20.64,,18.519919928035502,21.440546313373666,0.885679124092188
109,20.5,21.06,20.38,20.97,318856,20.23,20.2,20.6,,18.747911503464998,21.454950939052477,0.8709877580856031
110,21.03,22.12,20.835,22.05,288374,20.45,20.33,20.6,,18.953689103043022,21.72141501634627,0.9005600610794886
111,22.52,23.07,22.33,22.51,219199,20.73,20.47,20.62,,18.637906035578307,22.28617108460724,0.9090914852880966
112,22.85,23.58,22.82,22.99,275189,20.99,20.65,20.66,,18.40411015198883,22.857887203072238,0.9205849506246608
113,23.61,23.73,22.52,22.97,196668,21.29,20.77,20.69,,18.268335598046242,23.37132978306745,0.9412574541514709
114,22.74,22.95,22.49,22.64,163543,21.6,20.87,20.7,,18.170305022259907,23.60805120231794,0.9083104931406516
115,22.35,23.107,22.23,22.89,182631,21.94,21.02,20.7,,18.157761307555734,23.859076019089066,0.9060740293448908
116,22.73,22.73,22.122,22.52,121372,22.24,21.17,20.66,,18.27074220438516,23.99022763096078,0.8962115986773987
117,22.64,22.64,21.72,21.8,138650,22.37,21.23,20.6,,18.370501793890938,24.11402105411194,0.8979107702004419
118,21.79,22.49,21.72,22.18,242710,22.51,21.31,20.56,,18.450189057237445,24.201968569561974,0.8887742866146959
119,21.88,22.05,21.63,22.01,233543,22.5,21.36,20.55,,18.581026019519168,24.24192542042118,0.8645761232850749
120,21.97,21.97,21.31,21.55,414544,22.39,21.41,20.58,,18.619444564370248,24.270448610621944,0.8528206859075698
121,21.84,22.66,21.62,22.59,180804,22.35,21.54,20.62,,18.734497597731846,24.340825388730536,0.871190636914172
122,22.89,23.0,22.415,22.91,237238,22.34,21.68,20.66,,18.86533051721208,24.415506300014354,0.8507484485631598
123,22.88,22.98,22.55,22.72,456383,22.35,21.78,20.69,,19.033579841239934,24.494007916329032,0.8206949879515055
124,22.67,23.46,22.67,23.12,224022,22.38,21.93,20.74,,19.212880309228748,24.583023630626812,0.8185024888121123
125,23.22,23.26,22.64,22.83,187968,22.41,22.08,20.78,,19.492185626424043,24.60330803639626,0.8043237396112473
126,22.74,22.76,22.09,22.22,213313,22.46,22.2,20.82,,19.87953424444378,24.457010411283694,0.7997291867818723
127,22.3,22.48,21.85,22.44,122829,22.49,22.33,20.86,,20.319360713485835,24.19552809320024,0.78760567344031
128,22.4,22.73,22.24,22.65,134183,22.56,22.43,20.91,,20.737948197396094,23.981914604058108,0.7663481253374308
129,22.71,23.67,22.58,22.93,180026,22.71,22.53,20.97,,21.082390854370626,23.89835152408416,0.7894661163847574
130,23.49,23.6,22.9,23.3,173898,22.79,22.59,21.04,,21.321728162191896,23.957415181186665,0.783075679500132
131,23.12,23.26,22.335,22.73,236107,22.77,22.6,21.12,,21.321849576011317,23.97535789986608,0.7960702738215512
132,22.85,22.85,22.03,22.44,185583,22.74,22.57,21.17,,21.32434670536141,23.89609021181012,0.7977795399771547
133,22.32,22.34,21.95,22.13,144764,22.63,22.53,21.21,,21.3051406301343,23.780307690258997,0.7757952871216438
134,22.1,22.33,21.96,22.14,155275,22.55,22.51,21.26,,21.28970029630379,23.776101154363154,0.7468099094700976
135,22.19,22.83,22.07,22.66,119501,22.6,22.49,21.32,,21.282741521776586,23.752638897219597,0.747752058793662
136,22.8,22.82,22.11,22.47,225794,22.61,22.49,21.37,,21.282130057231193,23.756504200795995,0.7450554831655435
137,22.54,22.82,22.28,22.68,230774,22.61,22.54,21.45,,21.329141566111897,23.762158773445137,0.7304086629394332
138,22.52,22.68,22.27,22.47,237501,22.56,22.55,21.52,,21.38051241273649,23.761532006664346,0.7075223298723308
139,22.76,22.76,22.18,22.44,238773,22.46,22.57,21.6,,21.45050265957917,23.72369983764728,0.6984135920243073
140,22.01,22.95,20.74,20.91,285397,22.26,22.54,21.63,,21.25493525799321,23.663268401123094,0.8063840497368568
141,21.01,21.2,20.07,20.29,251280,22.02,22.42,21.64,,20.797755261902154,23.90934475508435,0.8294994747556528
142,20.38,20.995,19.56,19.605,225813,21.74,22.26,21.65,,20.240836584668962,24.085496078516563,0.8727495122731064
143,19.92,20.71,19.57,20.16,198635,21.52,22.13,21.64,,19.81426877016743,24.241950587453793,0.8918388328250275
144,19.91,20.7,19.91,20.5,161996,21.28,22.0,21.64,,19.55014329412184,24.26690542199955,0.8845646304803827
145,20.84,21.66,20.84,21.41,165548,21.16,21.93,21.66,,19.48142117264692,24.18449054291145,0.9042385854460697
146,21.49,21.49,20.77,21.15,119511,20.99,21.88,21.7,,19.400388905929034,24.15828452056321,0.8910786864856362
147,21.32,21.66,21.16,21.37,125861,20.87,21.82,21.71,,19.366680637609463,24.14122040255001,0.8638587803080909
148,21.6,21.9217,21.14,21.73,204461,20.79,21.78,21.74,,19.33833232216644,24.09679249017603,0.8579902960003702
149,21.29,22.44,21.1018,22.37,141602,20.95,21.75,21.76,,19.333797077529372,23.915125520456233,0.8922909891432009
150,22.58,23.37,22.58,23.33,154392,21.29,21.75,21.82,,19.36521828571871,23.866795552238283,0.8999844899186866
151,23.71,24.41,23.37,23.43,254693,21.72,21.78,21.88,,19.257704374160234,24.143358442373824,0.9128427406387806
152,24.34,24.34,23.54,23.96,108149,22.14,21.86,21.96,,19.13811965393924,24.423530956888335,0.9126396877360106
153,24.09,24.33,23.84,24.23,116008,22.55,21.97,22.04,,19.005530082704528,24.707073645990576,0.8824511386120097
154,23.895,24.44,23.72,23.8,128948,22.82,22.05,22.11,,18.918752170389883,24.98328583795037,0.8708474858540093
155,23.72,24.37,23.61,24.31,97600,23.17,22.13,22.2,,18.860896003749392,25.193282914351247,0.8629298082930087
156,23.5,24.025,23.0414,23.255,112854,23.38,22.17,22.26,,18.850770254298343,25.329699059450526,0.8919062505577937
157,23.1,23.54,22.96,22.98,163537,23.52,22.18,22.33,,18.843870087154652,25.393886879913424,0.8696272326608083
158,22.63,23.63,22.58,23.63,91560,23.66,22.24,22.39,,18.84573858403884,25.47324138218078,0.882511001756465
159,23.5,23.93,23.2201,23.66,76271,23.7,22.3,22.44,,18.834976764496858,25.58264656880742,0.8701816444881462
160,23.345,23.96,23.0705,23.4,45689,23.69,22.43,22.47,,18.954607447485603,25.68053279309062,0.8715615270247072
161,23.76,24.18,23.6,23.86,95388,23.68,22.61,22.5,,19.18957679328878,25.775578543168184,0.865021417951514
162,23.84,24.15,23.84,24.11,65651,23.67,22.83,22.52,,19.580651975455602,25.807868126665458,0.8253770309549772
163,24.12,25.33,23.475,25.21,172373,23.82,23.08,22.56,,20.070633139319376,25.942103173341042,0.8989215287439071
