,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,36.57,36.845,33.87,33.87,2233932,,,,,,,2.9750000000000014
1,32.33,33.46,30.62,30.65,2994762,,,,,,,2.9946428571428583
2,29.24,33.41,29.18,33.01,5435533,,,,,,,3.0828826530612257
3,33.63,33.88,31.81,32.72,5062661,,,,,,,3.010533892128281
4,32.72,33.52,30.25,31.09,4555135,,,,,,,3.02906718554769
5,31.91,31.95,30.16,30.58,2552071,,,,,,,2.9405623865799977
6,29.37,30.5,28.54,28.81,2324384,,,,,,,2.8762365018242835
7,27.35,27.94,23.76,24.39,3859803,,,,,,,3.031505323122549
8,13.01,16.38,13.01,15.03,8044127,28.91,,,,,,3.6278263714709382
9,16.56,18.13,14.63,17.69,5775282,27.11,,,,,,3.6186959163658714
10,17.33,17.83,15.96,16.57,4726983,25.54,,,,,,3.4937890651968804
11,14.9,15.65,14.16,15.15,4826865,23.56,,,,,,3.4163755605399606
12,16.37,18.21,14.87,18.09,4749425,21.93,,,,,,3.410920163358535
13,14.77,18.04,14.03,15.08,4233141,20.15,,,,14.201394790375822,35.06324876758844,3.4572830088329254
14,15.22,15.79,12.51,13.22,4497709,18.23,,,,12.842709165278366,33.34971635378573,3.444619936773431
15,12.16,13.66,12.15,13.59,4331342,16.53,,,,11.59508270709591,32.00976242824132,3.3064327984324717
16,13.3,17.25,13.0,16.38,4692688,15.64,,,,10.667331014626132,30.38126487761225,3.373830455687295
17,16.87,17.27,14.26,14.77,3097580,15.62,,,,10.314635320007195,28.39215550654033,3.3478425659953452
18,14.85,15.1356,13.49,13.57,2374253,15.16,,,,10.104737850361952,26.07572290730884,3.226253811281392
19,14.71,16.4,13.87,16.17,2965319,15.11,21.52,,,10.444212520852354,23.69194274003167,3.1979499676184355
20,16.58,17.76,15.02,16.7,1992169,15.29,20.66,,,11.513743718468396,21.136624463482235,3.16523925564569
21,16.86,18.06,16.32,17.0,1902180,15.16,19.98,,,12.751310452967136,18.33889902743914,3.0634364516709978
22,15.89,16.89,14.97,15.935,2493479,15.26,19.13,,,12.914853894807104,18.368744816465732,2.9896195622659265
23,15.31,15.68,14.1,14.82,2858311,15.44,18.23,,,12.88272323198056,18.173939132845238,2.9071467363897887
