,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,26.63,27.635,25.74,25.84,664117,,,,,,,1.8950000000000031
1,26.22,26.79,25.31,26.23,757804,,,,,,,1.8653571428571458
2,25.55,25.87,23.77,23.88,599359,,,,,,,1.907831632653064
3,23.77,23.895,22.23,22.86,983638,,,,,,,1.890486516034988
4,21.77,22.56,20.26,20.83,2257484,,,,,,,1.9411660506039172
5,21.33,21.79,20.0,21.27,822289,,,,,,,1.9303684755607802
6,20.31,20.6,17.25,17.97,1900636,,,,,,,2.0796278701635815
7,17.27,17.4,15.37,16.42,1428734,,,,,,,2.11679730800904
8,17.65,18.17,14.97,17.775,1450330,21.45,,,,,,2.1941689288655373
9,16.0,19.23,15.19,18.7,1173301,20.66,,,,,,2.326014005375142
10,19.23,23.95,19.01,23.69,5081228,20.38,,,,,,2.534870147848346
11,21.94,23.95,16.415,19.58,1276928,19.9,,,,,,2.892022280144893
12,19.55,22.41,18.01,21.89,1130239,19.79,,,,,,2.9997349744202575
13,22.38,23.86,20.88,22.92,1132985,20.02,,,,,,2.9983253333902393
14,23.5,24.52,22.37,24.2301,998585,20.35,,,,,,2.9377306667195078
15,25.0,26.87,22.98,23.68,1049748,20.99,,,,,,3.0057499048109717
16,23.74,25.6899,22.61,22.75,623576,21.69,,,,,,3.0110463401816165
17,23.01,26.17,22.09,24.11,592778,22.39,,,,,,3.0874001730257867
18,23.06,23.73,21.99,21.99,736806,22.76,,,,,,3.0183001606668025
19,22.59,23.28,21.42,22.19,508251,22.59,21.94,,,13.824401446730604,29.145214474432294,2.9355644349048884
20,22.39,26.21,22.35,25.585,703207,23.26,21.93,,,14.074245206073396,28.88543404867305,3.013024118125968
21,24.56,25.7,23.55,24.02,543123,23.5,21.82,,,14.247902323373344,28.708381120667052,2.951379538259827
22,24.51,25.08,23.05,23.48,888774,23.56,21.8,,,14.297278226332288,28.600829332338638,2.885566714098411
23,23.59,24.28,20.0,20.16,737467,23.11,21.66,,,14.273088930298503,28.632563568090482,2.98516909166281
24,21.26,22.245,20.75,21.95,583166,22.92,21.72,,,14.28849001565084,28.627469289281073,2.9208712994011807
25,22.94,23.6,22.26,23.11,719118,22.96,21.81,,,14.313991252697933,28.67472895654676,2.8300947780153822
26,23.55,24.91,23.22,24.41,747549,22.99,22.13,,,14.621148039115543,28.76964221345387,2.7565165795857123
27,24.8,26.65,24.32,25.27,713440,23.35,22.57,,,15.335510277665183,28.522133767967656,2.7260511096153044
28,25.32,25.48,23.11,24.15,334671,23.57,22.89,,,16.413115541451916,27.980647620274354,2.700618887499926
