,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,2.65,2.75,2.475,2.49,2371426,,,,,,,0.2749999999999999
1,2.55,2.62,2.48,2.54,1499089,,,,,,,0.2653571428571428
2,2.51,2.53,2.42,2.44,1670105,,,,,,,0.2549744897959183
3,2.4,2.74,2.355,2.44,7209650,,,,,,,0.264262026239067
4,2.33,2.5093,2.25,2.35,8869266,,,,,,,0.2639075957934194
5,2.43,2.84,2.4001,2.82,16248986,,,,,,,0.28005705323674657
6,2.77,3.03,2.69,2.72,3399223,,,,,,,0.2843386922912647
7,2.72,2.73,2.43,2.6,2820263,,,,,,,0.2854573571276029
8,2.8,2.85,2.47,2.5,2673893,2.54,,,,,,0.2922104030470598
9,2.29,2.39,2.21,2.25,1765328,2.52,,,,,,0.292052517115127
10,2.3,2.3213,2.01,2.16,4465134,2.48,,,,,,0.29342733732118936
11,2.03,2.2195,1.94,2.11,1877341,2.44,,,,,,0.292432527512533
12,2.1,2.16,1.95,2.04,2428998,2.39,,,,,,0.2865444898330664
13,2.07,2.12,1.89,1.92,2638775,2.35,,,,,,0.2825055977021331
14,1.91,2.02,1.82,2.0,2415460,2.26,,,,,,0.27661234072340934
15,2.06,2.29,2.01,2.28,1697654,2.21,,,,,,0.2775686021003087
16,2.3,2.58,2.25,2.38,2523439,2.18,,,,,,0.28131370195028665
17,2.38,2.55,2.34,2.43,1392509,2.17,,,,,,0.2762198660966948
18,2.37,2.48,2.3,2.36,1647350,2.19,,,,,,0.26934701851835946
19,2.33,2.48,2.323,2.395,905072,2.21,2.36,,,1.7752160494666946,3.047963606386526,0.2613222314813338
20,2.39,2.47,2.34,2.435,961089,2.25,2.36,,,1.7781422346580849,3.0221536978762025,0.25194207208981
21,2.37,2.45,2.25,2.31,1146036,2.28,2.35,,,1.7800212947929683,3.0107352473300013,0.24823192408339503
22,2.28,2.41,2.27,2.37,2029662,2.33,2.34,,,1.7807170763981932,3.0054599253203227,0.24050107236315255
23,2.35,2.43,2.32,2.36,1133422,2.37,2.34,,,1.7808533811922003,2.9759654224078647,0.23117956719435595
24,2.42,2.54,2.42,2.47,2048323,2.39,2.35,,,1.7807312161494409,2.9782278102073887,0.22752388382333055
25,2.53,2.69,2.36,2.36,4877947,2.39,2.32,,,1.7815319352001082,2.951762343911486,0.2348436064073784
26,2.38,2.41,2.31,2.34,1768892,2.38,2.3,,,1.8156388609165557,2.841268502266903,0.2252119202354228
27,2.42,2.54,2.35,2.51,2503375,2.39,2.3,,,1.8194482845840514,2.8108130282132415,0.22341106879003547
28,2.5,2.7,2.48,2.59,1757833,2.42,2.3,,,1.8184933256377596,2.773161950465989,0.2231674210193187
29,2.68,2.84,2.66,2.69,6200072,2.44,2.33,,,1.7913646927784184,2.842811326009798,0.22508403380365308
30,2.62,2.65,2.52,2.6,2108963,2.48,2.35,,,1.8113628177178893,2.866378092680434,0.221149459960535
31,2.61,2.68,2.47,2.61,4049193,2.5,2.37,,,1.8541001752642399,2.8862983666029307,0.22035306996335394
32,2.68,2.78,2.63,2.7,6235106,2.54,2.41,,,1.8910063599291378,2.9109094746121054,0.21675642210882867
33,2.67,2.99,2.66,2.7513,13794398,2.57,2.45,,,1.9530240714858786,2.966758429314309,0.22484524910105522
34,2.85,2.95,2.65,2.82,15423040,2.62,2.49,,,2.060970090078201,2.970142285527493,0.230213445593837
35,2.89,2.925,2.76,2.8,6316160,2.67,2.51,,,2.1126403564961773,3.00050700190845,0.22555534233713437
36,2.8,2.84,2.75,2.76,2473017,2.7,2.53,,,2.120261650330904,3.0245261479648944,0.21587281788448193
37,2.8,2.82,2.73,2.795,3732493,2.73,2.55,,,2.1238321610519124,3.0436065863169905,0.20688190232130466
38,2.87,2.89,2.75,2.85,3349922,2.74,2.58,,,2.136794714971841,3.0687286699590137,0.20210462358406864
39,2.91,2.92,2.76,2.78,1294449,2.76,2.6,,,2.151021209288327,3.094177195139488,0.1990971504709209
40,2.82,2.82,2.67,2.74,3216372,2.78,2.61,,,2.1722803362662466,3.1004074030953275,0.19559021115156938
41,2.73,2.815,2.64,2.66,1207335,2.77,2.63,,,2.2157104949561583,3.1002590621316832,0.19411948178360014
42,2.63,2.665,2.37,2.46,5235660,2.74,2.63,,,2.235836754091043,3.0824586099926377,0.20132523308477157
43,2.47,2.57,2.42,2.56,1072545,2.71,2.64,,,2.253668629426975,3.0670489391872944,0.19765914500728787
44,2.63,2.73,2.53,2.55,10329326,2.68,2.65,,,2.2663038514495812,3.060738599203097,0.19782634893533876
45,2.6,2.66,2.54,2.63,2261898,2.67,2.66,,,2.291521614114326,3.0610362775710724,0.19226732401138602
46,2.65,2.68,2.325,2.54,5933862,2.64,2.67,,,2.295166039285327,3.029360070909081,0.2038910865820013
47,2.53,2.62,2.49,2.525,1185792,2.6,2.67,,,2.3197635960221983,3.020181114342711,0.19861315182614409
48,2.49,2.64,2.46,2.63,1359874,2.59,2.67,,,2.3169058871767665,3.022618889483284,0.19728364098141954
49,2.61,2.77,2.555,2.565,3675782,2.57,2.67,2.5,,2.313355544943865,3.0171829736993767,0.19854909519703243
50,2.56,2.741,2.42,2.53,3559249,2.55,2.66,2.5,,2.299816981363949,3.0156305618255206,0.2072955883972444
51,2.5,2.5195,2.28,2.3,5349725,2.54,2.65,2.5,,2.263096413378144,3.03062097515736,0.21034590351172694
52,2.33,2.43,2.3,2.37,2841151,2.52,2.63,2.49,,2.225499096023746,3.0530501876987066,0.20460691040374648
53,2.48,2.53,2.4,2.49,5324842,2.51,2.62,2.5,,2.209752883593608,3.023031729881367,0.20142070251776456
54,2.51,2.645,2.46,2.48,2365084,2.49,2.6,2.5,,2.2026537587607002,2.9902834268256604,0.20024779519506708
55,2.54,2.59,2.45,2.5,4602862,2.49,2.59,2.49,,2.203957609929044,2.9594258076692777,0.19594438125256228
56,2.52,2.525,2.435,2.5,2872514,2.48,2.57,2.49,,2.206976245844036,2.944776065750204,0.18837692544880782
57,2.5,2.6,2.455,2.49,4258434,2.47,2.56,2.48,,2.213782267204017,2.927341201008082,0.18527857363103586
58,2.58,2.65,2.505,2.523,2842471,2.46,2.54,2.49,,2.231278383569695,2.893372286082076,0.18347296122881898
59,2.65,2.83,2.53,2.74,4746682,2.49,2.54,2.5,,2.2583764779434556,2.870500959987922,0.19229632114104622
60,2.8,2.94,2.735,2.87,4042683,2.55,2.55,2.51,,2.2461272900567675,2.90112896570102,0.19320372677382866
61,2.95,3.79,2.89,3.76,31578016,2.71,2.6,2.54,,2.196739753901174,3.2667350999930433,0.24511774628998378
62,3.82,4.2963,3.7622,4.27,19242520,2.9,2.69,2.59,,1.9119288326403079,3.6922697567208345,0.2659164786978421
63,4.69,4.785,3.93,4.09,19435864,3.08,2.77,2.63,,1.7401929130346454,4.161948113000513,0.30799387307656767
64,4.18,4.18,3.74,3.76,9276212,3.22,2.83,2.67,,1.6710341345266229,4.354435614842968,0.3174228821425271
65,3.7,3.93,3.67,3.73,5006200,3.36,2.88,2.69,,1.6388887247015078,4.47329560084221,0.3133212477037752
66,3.73,3.94,3.63,3.845,2195593,3.51,2.95,2.72,,1.6540450532408726,4.580585104367832,0.3130840157249341
67,3.91,3.985,3.69,3.79,2352032,3.65,3.01,2.75,,1.659336095720422,4.681567848644969,0.31179230031601024
68,3.75,3.805,3.69,3.765,3028732,3.76,3.07,2.78,,1.682899899863456,4.744266816447077,0.29773570743629524
69,3.75,4.1,3.74,3.99,5834382,3.89,3.14,2.81,,1.7043024936242894,4.843145040332925,0.30218315690513126
70,3.92,3.94,3.59,3.59,2326609,3.87,3.19,2.83,,1.7646993628211767,4.906332782034804,0.30917007426905047
71,3.64,3.66,3.32,3.325,1759342,3.77,3.24,2.85,,1.8637903048080817,4.918050046215989,0.3113722118212612
72,3.43,3.64,3.37,3.605,4731740,3.71,3.31,2.88,,1.9710840877287656,4.909016571960994,0.31163133954831396
73,3.65,3.7,3.51,3.55,2224401,3.69,3.36,2.9,,2.071531911031497,4.900610483465376,0.30294338672343446
74,3.53,3.71,3.53,3.58,3087220,3.67,3.41,2.93,,2.1731204235269743,4.891124912022494,0.29416171624318915
75,3.55,3.76,3.55,3.72,1454889,3.66,3.47,2.95,,2.290979316239517,4.865384500498099,0.2881501650829614
76,3.74,3.93,3.74,3.84,5442277,3.66,3.54,2.98,,2.428278366638497,4.822966562841321,0.28256801043417845
77,4.0,4.25,3.7599,4.23,4817493,3.71,3.63,3.02,,2.5858740374043196,4.799147286271692,0.2973917239745943
78,4.18,4.24,4.07,4.14,2395429,3.73,3.71,3.05,,2.7428778568220498,4.741160719275646,0.2882923151192661
79,4.12,4.26,3.95,4.17,2519320,3.8,3.78,3.08,,2.9471810411020023,4.677175361281343,0.2898428640393185
