,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,41.75,42.73,41.39,42.35,72324,,,,,,,1.3399999999999963
1,42.16,42.91,39.75,40.96,102668,,,,,,,1.4699999999999964
2,41.72,42.74,41.39,42.66,39984,,,,,,,1.4921428571428539
3,41.52,41.9,40.38,40.65,64278,,,,,,,1.5484183673469354
4,39.63,41.09,39.63,40.94,89179,,,,,,,1.5421027696792973
5,38.5,38.99,34.96,36.54,119146,,,,,,,1.8590954289879187
6,38.25,39.66,36.7,37.51,156080,,,,,,,1.9491600412030672
7,36.5,36.51,34.62,35.36,81045,,,,,,,2.0163628954028483
8,32.51,34.105,29.9116,31.85,197654,38.76,,,,,,2.2615084028740737
9,33.66,36.31,33.5,36.31,147033,38.09,,,,,,2.418543516954497
10,37.9,37.9,34.12,36.54,208281,37.6,,,,,,2.5157904086006044
11,37.18,41.9,37.01,41.78,192434,37.5,,,,,,2.7189482365577042
12,38.99,40.62,35.425,37.92,133616,37.19,,,,,,2.9786662196607256
13,38.2,42.6,38.2,42.11,106082,37.32,,,,,,3.1001900611135307
14,42.1,42.35,36.29,38.12,217489,37.5,,,,,,3.3116050567482787
15,38.1,39.65,36.06,37.3,95797,37.48,,,,,,3.3314904098376874
16,39.67,41.1495,36.46,39.74,117627,37.96,,,,,,3.4284910948492815
17,39.73,39.9449,37.42,38.31,87596,38.68,,,,,,3.3639488737886185
18,38.84,39.77,36.23,37.08,124840,38.77,,,,,,3.376523954232289
19,36.08,36.99,34.64,35.35,124472,38.63,38.47,,,30.98558290530761,45.04134321063867,3.3096293860728396
20,35.4,35.51,34.5,35.24,131140,37.91,38.11,,,31.011455195553133,44.88404445386309,3.145370144210494
21,35.2,35.52,34.24,34.51,144668,37.53,37.79,,,30.906305410560307,44.582278533947814,3.0121294196240305
22,33.67,36.07,33.33,35.51,267122,36.8,37.43,,,31.012401842105632,44.16600051782833,2.9926916039366
23,35.36,35.4,33.14,34.87,158838,36.43,37.14,,,31.081537461872344,43.87081494766416,2.948213632226843
24,34.94,35.48,33.52,35.28,89151,36.21,36.86,,,31.227599707507295,43.62978030786928,2.8776269442106397
25,36.4,36.7,34.55,36.48,98561,35.85,36.86,,,31.20143699179366,43.55321865316545,2.8256535910527374
26,37.3,37.39,33.36,33.54,169975,35.32,36.66,,,31.056786842366296,43.40611189293105,2.9116783345489705
27,33.84,37.01,33.84,36.55,127462,35.26,36.72,,,30.992741915233413,43.404375956150076,2.9515584535097585
28,37.14,38.26,35.2071,37.85,173707,35.54,37.02,,,32.02951925477075,43.26303543405204,2.9587971354019187
29,37.86,38.65,36.82,37.07,49254,35.74,37.06,,,32.18976796843685,43.28891492907715,2.878168768587496
30,37.69,38.7,36.56,36.73,85957,35.99,37.07,,,32.301456159357706,43.323238592656736,2.8254424279741035
31,34.87,36.7573,34.11,34.37,194927,35.86,36.7,,,32.215783417403344,42.84309020400283,2.812717968833096
32,34.61,34.695,32.8,33.75,335903,35.74,36.49,,,31.90151605250528,42.65907110178438,2.747166685345018
33,34.72,37.7,34.25,37.61,284233,35.99,36.26,,,32.05477478541381,41.872004248662755,2.833083350677517
34,36.92,39.15,36.25,38.33,111907,36.2,36.27,,,32.056985034337266,41.17102346426608,2.8378631113434083
35,38.05,38.05,36.55,37.07,83085,36.59,36.26,,,32.02947979443315,40.962646849955,2.762301460533165
36,37.9,37.9,35.92,36.35,142798,36.57,36.09,,,32.055234646564976,40.3512504529504,2.706422784780796
37,36.81,37.05,35.475,35.79,111358,36.34,35.97,,,32.207509637576806,39.93918488041378,2.625606871582167
38,35.73,36.01,35.18,35.62,318558,36.18,35.89,,,32.239984887541674,39.50085640372973,2.4973492378977267
39,35.6,36.74,35.52,36.38,439772,36.14,35.94,,,32.25819766576581,39.489972545471986,2.406110006619318
40,37.19,38.84,37.185,37.86,369515,36.53,36.08,,,32.171558831046596,39.69859018193175,2.4099592918607953
41,38.83,39.86,38.32,38.73,225153,37.08,36.29,,,31.995340450705854,40.07872452515242,2.38067648529931
42,38.12,38.69,37.45,37.54,150886,37.07,36.39,,,32.14788302459972,40.208501349164614,2.302056736349359
43,37.5,37.72,36.135,36.67,125125,36.89,36.48,,,32.448811412596484,40.15079103473336,2.250838398038691
44,36.09,36.575,34.67,35.83,70919,36.75,36.51,,,32.62009984158128,40.06164830395366,2.2329213696073555
45,35.9,36.99,35.81,36.06,261307,36.72,36.48,,,32.716279968181944,40.056430542797806,2.157712700349687
46,35.87,36.25,34.67,34.8,87167,36.61,36.55,,,32.93961316646596,40.07640512903747,2.1164475074675666
47,35.41,35.7,34.3,35.42,81355,36.59,36.49,,,33.019879539875674,40.139295123400714,2.065272685505598
48,35.8,35.99,35.27,35.78,132516,36.52,36.39,,,33.02514338179332,40.08566817128201,1.969181779398055
49,35.38,35.88,34.6,34.62,132921,36.16,36.27,37.03,,32.93250607650498,39.961598631022284,1.919954509441051
50,34.78,35.25,34.25,34.57,136187,35.7,36.16,36.88,,32.80062236901532,39.84268322771531,1.8542434730524047
51,34.33,34.68,33.2,33.49,92201,35.25,36.11,36.73,,32.63027007062981,39.94098258967168,1.827511796405804
52,33.06,33.63,32.4,32.85,196576,34.82,36.07,36.53,,32.5267061121542,40.092829071295796,1.7848323823768184
53,32.71,34.19,32.71,34.06,200251,34.63,35.89,36.4,,32.24588137669305,40.12120674764101,1.763058640778474
54,35.24,37.03,35.24,36.91,98569,34.72,35.82,36.32,,32.22884804406316,39.82603200660662,1.8492687378657258
55,37.07,38.75,36.43,37.08,146423,34.98,35.82,36.33,,32.23334618537831,39.94040180152492,1.8828923994467455
56,37.92,38.08,36.87,37.02,134549,35.15,35.85,36.32,,32.20622555667858,39.96449661367908,1.834828656629121
57,37.19,37.94,36.66,36.98,97152,35.29,35.91,36.35,,32.2049886197099,40.05325740391341,1.7951980382984696
58,37.42,37.42,36.71,37.37,30452,35.59,36.0,36.46,,32.224205065534115,40.11837790912888,1.7176838927057219
