,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,17.38,17.83,17.12,17.22,320504,,,,,,,0.7099999999999973
1,17.42,17.97,17.42,17.89,176714,,,,,,,0.7128571428571404
2,17.59,17.9201,17.56,17.8,327906,,,,,,,0.6876602040816306
3,17.5,17.88,17.264,17.86,356539,,,,,,,0.6825416180757998
4,16.84,17.0,15.335,15.35,250550,,,,,,,0.8141457882132427
5,15.64,15.71,14.36,15.305,413267,,,,,,,0.852421089055154
6,15.04,15.04,13.84,13.9,574828,,,,,,,0.8961767255512145
7,13.24,13.24,11.61,11.7,595066,,,,,,,0.9957355308689849
8,12.24,12.79,11.4,12.77,465182,15.53,,,,,,1.0238972786640574
9,11.36,11.72,7.94,8.27,641436,14.54,,,,,,1.2957617587594819
10,8.69,9.475,8.27,9.175,734891,13.57,,,,,,1.2892787759909474
11,8.63,9.1,8.28,8.51,433752,12.54,,,,,,1.2611160062773086
12,8.59,9.39,8.31,9.13,497962,11.57,,,,,,1.2481791486860723
13,9.19,9.69,8.01,8.21,750889,10.77,,,,,,1.2790234952084956
14,8.18,8.97,7.52,8.71,631527,10.04,,,,,,1.2912361026936032
15,8.94,9.2,8.01,8.48,424019,9.44,,,,,,1.284004952501203
16,8.5,8.89,8.29,8.62,482840,9.1,,,,,,1.2351474558939743
17,8.74,10.49,8.72,10.08,511679,8.8,,,,,,1.2804940661872621
18,9.74,10.5,9.44,9.99,329095,8.99,,,,,,1.2647444900310294
19,9.99,10.21,9.37,10.14,478597,9.1,11.96,,,3.7884954201859085,19.794231488296305,1.234405597885956
20,10.1,10.84,9.96,10.69,582913,9.34,11.63,,,3.903548337424775,19.050917252906864,1.2090909123226734
21,10.25,10.28,9.32,9.67,382701,9.4,11.22,,,4.129828767615263,18.164183345192587,1.2205844185853396
22,9.61,10.254,9.26,9.73,368581,9.57,10.81,,,4.569994004610285,17.137590629927125,1.2043998172578154
23,9.61,9.93,8.92,9.17,357381,9.62,10.38,,,5.206036259223777,15.911162157314942,1.1905141160251143
24,9.4,10.08,9.34,10.02,456274,9.79,10.11,,,5.71143589868782,14.700696891916122,1.1704773934518917
25,10.54,10.88,10.06,10.34,503788,9.98,9.87,,,6.2386796503851425,13.703429120791704,1.1483004367767569
26,10.38,10.75,10.08,10.61,357111,10.04,9.7,,,6.878030583823881,12.683749048519061,1.1141361198641313
27,10.75,11.65,10.62,11.51,383930,10.21,9.69,,,7.027784294664791,12.274759770411727,1.1088406827309791
28,10.8,10.995,9.5,9.64,1028036,10.15,9.53,,,7.2404015728914555,11.840920322159675,1.173209205393052
29,10.11,10.13,8.5,9.01,722521,9.97,9.57,,,7.320935884104925,11.593212648278675,1.2058371192935484
30,8.66,9.09,8.595,8.64,564706,9.85,9.54,,,7.3605088589529934,11.61600283101816,1.1550630393440093
31,8.73,8.73,8.01,8.27,787301,9.69,9.53,,,7.3177718356451535,11.653852384539027,1.1239871079622943
32,8.56,9.04,8.48,8.93,547518,9.66,9.52,,,7.3391708485540486,11.673700586151597,1.098702314536416
33,8.56,8.9,8.17,8.54,363084,9.5,9.54,,,7.365815109838131,11.7050386080156,1.0745092920695292
34,8.21,8.6,8.11,8.34,390506,9.28,9.52,,,7.489363828257922,11.740047696157633,1.032758628350277
35,8.53,8.62,8.12,8.13,281692,9.0,9.5,,,7.509522943379264,11.781962718538782,0.9947044406109715
36,8.24,8.72,8.08,8.68,489196,8.69,9.51,,,7.474628746019668,11.795395144699054,0.9693684091387593
