,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.19,9.19,8.76,8.76,219920,,,,,,,0.4299999999999997
1,8.76,8.79,8.6,8.7,274456,,,,,,,0.41285714285714253
2,8.7,8.7,8.34,8.49,358418,,,,,8.354691825392205,9.154165335459862,0.4090816326530609
3,8.67,8.96,8.6,8.84,209748,,,,,8.363222263344031,8.948702015468923,0.4134329446064138
4,8.85,8.85,8.55,8.7,88132,,,,,8.358705319422835,8.96717847966968,0.4053305914202413
5,8.45,8.73,8.4,8.72,162324,,,,,8.412583366693362,8.961702892844915,0.39994983489022407
6,8.39,8.4697,7.83,7.91,247007,,,,,7.88013160173555,8.877648773392327,0.434953418112351
7,8.1,8.4164,8.03,8.115,115617,,,,,7.797472383643417,8.706500446960069,0.4400567453900402
8,8.02,8.1,7.25,7.27,170776,8.39,,,,7.298199610553647,8.528544914871501,0.4704098350050373
9,7.05,7.05,5.85,5.875,398100,8.07,,,,5.938736876099597,8.570735604432963,0.5382377039332489
10,6.01,6.33,5.53,5.63,205384,7.73,,,,5.295232269917668,8.050112352458942,0.5569350107951597
11,5.19,5.585,4.42,4.53,346465,7.29,,,,4.516177937015576,7.054202217567319,0.6035825100240769
12,4.52,4.755,4.17,4.34,320078,6.79,,,,3.982765200075182,6.344548849060277,0.6022551878795
13,4.27,4.4,3.68,3.7,425192,6.23,,,,3.713569395505672,5.521493125931722,0.610665531602393
14,3.71,4.5,3.59,3.75,338266,5.68,,,,3.501190203770472,4.734719482360152,0.632046565059365
15,3.76,4.43,3.76,3.8,539170,5.22,,,,3.5916176611857304,4.4946493477275995,0.6354718104122675
16,3.75,5.0,3.75,4.31,292315,4.8,,,,3.604606079858499,4.954192358187549,0.6793666810971056
17,4.4,5.31,4.28,4.55,380032,4.5,,,,3.6268498721755766,5.3596889464192605,0.7044119181615981
18,4.64,5.05,4.499,4.54,228765,4.35,,,,3.7912225267681334,5.286433169770877,0.6934539240071983
19,4.7,4.7,4.16,4.42,123617,4.22,6.25,,,4.141107591790778,5.326104557300249,0.6824929294352556
20,4.4,4.42,4.29,4.29,79813,4.19,6.02,,,4.145306045062429,5.038980816030906,0.6430291487613088
21,4.35,4.3892,4.05,4.16,161609,4.17,5.8,,,4.046527858060545,4.6743098076484735,0.6213270667069296
22,4.11,4.345,4.0,4.23,114003,4.23,5.58,,,3.9583064539436665,4.422432316520087,0.6015894190850061
23,4.01,4.26,4.005,4.06,53210,4.26,5.35,,,3.9907954805975434,4.397064906913676,0.5768330320075057
24,4.02,4.35,4.02,4.29,54007,4.32,5.12,,,3.9979250033376976,4.3689133030181315,0.5592021011498267
25,4.3973,4.62,4.05,4.08,52331,4.29,4.89,,,4.00208712152599,4.597349939951904,0.5599733796391249
26,4.17,4.42,4.11,4.15,109698,4.25,4.7,,,4.014174243050825,4.603452330379828,0.5442609953791874
27,4.25,4.76,4.1,4.46,291482,4.24,4.52,,,4.054521164130572,4.770880074906299,0.5525280671378169
28,4.73,5.02,4.6635,4.8,44720,4.28,4.4,,,3.968677777969245,5.034220909237217,0.5530617766279727
29,4.85,5.22,4.85,4.99,146258,4.36,4.35,,,4.147360436279904,5.230651251893376,0.543557364011689
30,5.31,5.31,4.75,4.765,217726,4.43,4.31,,,4.6611686012107185,5.331769627188019,0.544731838010854
31,4.96,5.1999,4.67,4.67,132273,4.47,4.32,,,4.666481671610408,5.301931646744581,0.5436724210100788
32,4.62,4.855,4.55,4.67,165990,4.54,4.33,,,4.556002207529901,5.3590159429181865,0.5266243909379303
33,4.68,4.7,4.52,4.6,142488,4.58,4.38,,,4.5006274606682855,5.174190933797941,0.5018655058709354
34,4.85,4.925,4.45,4.48,145781,4.62,4.42,,,4.455350652272542,4.94181150299603,0.49994654116586856
35,4.49,4.75,4.37,4.59,73062,4.67,4.46,,,4.37161113167225,4.909812057322909,0.49137893108259223
36,4.6,4.6,4.37,4.54,228340,4.68,4.47,,,4.350478645131877,4.920993510799474,0.47270900743383565
37,4.55,4.7732,4.45,4.6,22492,4.66,4.47,,,4.350478645131877,4.80175148760854,0.4620297926171331
38,4.65,4.87,4.6,4.61,55090,4.61,4.47,,,4.3565714674125715,4.884523001559104,0.4483133788587665
39,4.59,4.75,4.5,4.74,74375,4.61,4.49,,,4.4402904050843,4.861384046866771,0.4341481375117117
40,4.84,4.84,4.68,4.7,44561,4.61,4.51,,,4.50314833827707,4.882449979983842,0.4145661276894466
41,4.81,5.3635,4.81,5.07,344999,4.66,4.55,,,4.507662740948971,5.315794053674346,0.43234711856877184
42,5.28,5.5,5.24,5.43,395483,4.75,4.61,,,4.616912982205003,5.582897402401307,0.432179467242431
43,5.45,5.45,5.17,5.2,61562,4.83,4.67,,,4.842609833591112,5.506891883371036,0.4213095052965431
44,5.07,5.11,4.85,4.91,100576,4.87,4.7,,,4.878740397683408,5.565543920565241,0.4162159692039329
45,4.8,5.0,4.75,4.89,90681,4.91,4.74,,,4.703940231041355,5.421258510798794,0.40434339997508056
46,4.98,5.34,4.91,5.03,54975,4.95,4.79,,,4.7558376289803395,5.323493515728915,0.40760458569114627
47,5.01,5.13,4.93,5.0,45045,5.0,4.81,,,4.7646756760871884,5.328228123099377,0.3927756867132073
48,5.05,5.32,5.0,5.21,84505,5.05,4.83,,,4.899408510404513,5.379235591004664,0.38757742337654966
49,5.29,5.32,5.11,5.15,151483,5.1,4.84,5.31,,4.922595616074751,5.366363217812598,0.3748933217067961
50,5.1,5.345,5.06,5.27,92545,5.12,4.87,5.24,,5.00159096119412,5.342767090062303,0.3684723701563107
51,5.38,5.68,4.88,4.98,95122,5.07,4.88,5.16,,4.895698351255984,5.6493515746282705,0.3992957722880027
52,5.06,5.06,4.53,4.565,367556,5.0,4.88,5.08,,4.553827612924104,5.672002506255506,0.40863178855314536
53,4.56,4.56,4.14,4.19,117265,4.92,4.86,4.99,,4.146486530336669,5.661070405564203,0.409800946513635
54,4.02,5.63,4.0,5.56,730356,5.0,4.91,4.93,,3.9486820392652113,5.618714817261675,0.49695802176266113
55,5.88,6.365,5.79,6.24,507202,5.13,4.99,4.88,,3.647826762117806,6.425999755171945,0.5189610202081854
56,6.29,6.3,5.95,6.0,132850,5.24,5.07,4.84,,4.164061783372074,6.505221933976436,0.5068923759076007
57,5.96,6.55,5.96,6.55,141884,5.39,5.16,4.81,,5.80460607985847,6.534711217710595,0.5128286347713436
58,6.62,6.75,6.57,6.62,223353,5.55,5.27,4.8,,5.804894381908749,6.758795820974396,0.49048373228767617
59,6.58,6.65,6.48,6.62,175570,5.7,5.36,4.81,,6.007374496499651,6.74999999999981,0.4675920371242707
60,6.89,7.2,6.77,7.1,258538,5.94,5.48,4.84,,6.458230372812016,7.159639930520713,0.47562117732967996
61,7.1,7.3,6.75,7.25,153020,6.24,5.59,4.89,,6.504699591823339,7.399999999999937,0.4809339503775599
62,7.29,7.35,6.83,6.84,95481,6.53,5.66,4.94,,6.741700013344353,7.359709594915623,0.48372438249344846
63,6.86,6.96,6.46,6.65,206451,6.65,5.73,5.0,,6.485320776660756,7.4155439205651845,0.48488692660105925
64,6.73,6.87,6.29,6.37,115469,6.67,5.8,5.06,,6.250562821468335,7.315147016443374,0.4916807175581265
65,6.44,6.89,6.44,6.835,232635,6.76,5.9,5.12,,6.3037509342350475,6.953924822928745,0.4937035234468317
66,6.89,7.34,6.89,7.195,127547,6.83,6.01,5.17,,6.227750100080127,7.299102656870287,0.49451041462920087
67,7.05,7.63,7.05,7.58,166414,6.94,6.14,5.23,,6.477052867080193,7.659538405114737,0.500616813584258
68,7.89,7.99,7.73,7.99,415594,7.09,6.28,5.3,,6.7773139017686255,7.978960932491146,0.49414418404252536
69,8.27,8.275,7.92,8.06,129478,7.2,6.42,5.38,,7.109246363954482,8.288225927177793,0.4842053137537736
70,7.99,8.4,7.89,8.36,195517,7.32,6.58,5.46,,7.744522977026499,8.431805509656899,0.48604779134278986
71,8.42,8.5,8.15,8.205,167018,7.47,6.74,5.54,,7.844422744711078,8.504397910486965,0.476330091961162
72,7.75,7.75,7.17,7.54,144452,7.57,6.89,5.61,,7.228992230306802,8.623893057428948,0.5162350853925076
73,7.65,8.11,7.65,8.05,23746,7.76,7.08,5.68,,7.166632654241707,8.495099986670143,0.5200754364358999
74,7.92,8.27,7.76,8.14,212761,7.9,7.21,5.76,,7.21292579694564,8.3096664580724,0.5193557624047642
75,8.4,8.7625,8.18,8.34,261869,8.03,7.31,5.85,,7.583631110722739,8.720909917845221,0.526723207947281
76,8.47,8.64,7.85,8.04,96648,8.08,7.42,5.92,,7.708866556125099,8.813905440659779,0.5455286930939038
77,8.08,8.77,8.08,8.69,296732,8.16,7.52,6.01,,7.867452798046783,8.797153537631702,0.5587052150157679
