,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,17.14,17.51,16.24,17.44,64200,,,,,,,1.2700000000000031
1,17.55,17.99,17.17,17.69,108115,,,,,,,1.2378571428571454
2,17.6,17.6,16.37,16.4,74180,,,,,16.03935108331684,17.980661718087806,1.2437244897959208
3,16.85,17.18,16.34,16.77,45651,,,,,16.108809221674964,18.03560184021164,1.2148870262390694
4,16.55,16.6,15.8,15.85,74978,,,,,15.817141671488397,17.67900834835775,1.1973950957934216
5,15.55,16.08,15.47,16.0,56764,,,,,15.386875792368045,17.225299925656696,1.1554383032367486
6,15.25,15.46,14.8,14.94,110658,,,,,14.796170160581804,16.674470245290856,1.1586212815769807
7,15.14,15.37,14.11,14.85,72031,,,,,14.045306373034883,16.061889353424256,1.1658626186071965
8,14.55,14.7407,13.88,14.13,76527,16.01,,,,13.736671835468394,15.621322706472306,1.1518724315638253
9,13.9,14.59,12.02,12.51,132786,15.46,,,,12.076010356115155,15.355357138064917,1.253167257880695
10,12.92,13.52,11.72,12.24,107114,14.85,,,,11.252858982084705,15.015668659310698,1.2922267394606453
11,11.11,11.11,9.49,9.55,84163,14.09,,,,9.556184396683435,15.03406083437303,1.396353400927742
12,9.65,10.74,9.65,10.62,143280,13.41,,,,8.918400488858644,13.450562856383357,1.3816138722900462
13,10.1,11.59,9.27,11.06,60360,12.88,,,,9.260133375688158,11.615469752549634,1.4486414528407572
14,10.65,11.99,10.643,11.99,51030,12.43,,,,9.074499015459738,12.142192993414243,1.4413813490664174
15,12.0,13.4,10.76,11.12,219747,12.01,,,,9.312934154414803,13.372554009229612,1.5269969669902448
16,10.82,12.44,9.75,11.08,46798,11.59,,,,9.776633026164273,13.402229133521379,1.6100686122052275
17,11.46,12.0,11.12,11.97,55981,11.35,,,,9.76207516004273,13.400839100508005,1.5607779970477111
18,12.0,12.76,11.42,11.95,67303,11.29,,,,9.78400380077886,12.819733248623505,1.5450081401157318
19,12.18,13.12,12.18,12.86,39188,11.36,13.55,,,10.97231308963654,13.255625594843513,1.5182218443931796
20,12.57,13.23,12.57,13.08,73417,11.75,13.33,,,11.413346891334568,13.307081779656603,1.4569202840793811
21,13.22,13.99,13.22,13.73,23379,12.09,13.14,,,12.078739047207852,13.967785015348952,1.4178545495022825
22,13.81,13.98,12.01,12.815,62684,12.29,12.96,,,11.933886646283081,14.212854274829475,1.4572935102521196
23,12.16,12.63,12.0,12.31,28262,12.32,12.73,,,11.638351764078994,14.393891485542323,1.4114154023769683
24,12.12,12.68,11.91,12.48,65698,12.48,12.56,,,11.9127500573131,13.938603916901718,1.3656000164928992
25,12.3,12.43,11.57,12.24,25408,12.6,12.38,,,11.577198565833422,12.72551632210868,1.333057158171978
26,12.57,13.73,12.57,13.72,48036,12.8,12.32,,,11.457358761007052,13.705454076507765,1.3442673611596938
27,13.8,13.98,13.05,13.73,58833,13.0,12.26,,,11.56608775209362,14.295382433740143,1.3146768353625728
28,13.8676,14.39,13.36,14.2,46933,13.15,12.26,,,12.555492799196388,14.39987164420049,1.2943427756938177
29,14.21,15.04,13.99,15.04,45548,13.36,12.39,,,12.939775469802152,15.057960032655288,1.2768897202871166
30,14.98,14.98,14.12,14.28,41413,13.42,12.49,,,13.37619539786675,15.198466644170745,1.2513975974094653
31,13.97,14.875,13.94,14.78,85420,13.64,12.75,,,13.914459360991804,15.056868111986688,1.228797769023075
32,14.7,14.7,13.92,13.98,57766,13.83,12.92,,,13.872166781293114,15.007262564213276,1.2024550712357125
33,14.09,14.26,13.325,14.05,107183,14.0,13.07,,,13.343949302274137,14.960226680628882,1.1833511375760186
34,14.4,14.4,13.3,13.46,219278,14.14,13.14,,,13.12894074289044,14.700609157734633,1.1773974848920172
35,13.33,14.31,13.33,13.97,45412,14.17,13.29,,,13.300653306938539,14.401373921063982,1.1632976645425874
36,13.55,13.78,13.21,13.24,79127,14.11,13.39,,,13.21130502201771,14.53184701467142,1.1344906885038313
37,13.53,13.81,13.4,13.68,59188,14.05,13.48,,,13.20763407442713,14.294151526367623,1.094169925039272
38,13.63,14.59,13.63,14.02,83424,13.94,13.58,,,13.181984390536268,14.565162350141039,1.0845863589650382
39,14.02,14.405,13.795,14.33,35811,13.95,13.66,,,13.390105050717816,14.716653624345623,1.0506873333246785
40,14.54,15.17,14.0,14.9,76552,13.96,13.75,,,13.60443732225583,15.160714594953927,1.05920966665863
41,15.19,15.72,14.89,15.13,37615,14.09,13.82,,,13.588006398609114,15.824798462113325,1.042837547611585
42,15.72,16.25,15.49,16.0,118558,14.3,13.98,,,13.968675626564455,16.307367282980415,1.0483491513536145
43,15.63,16.04,15.3,15.655,16484,14.55,14.14,,,14.88935326145824,16.29691864177588,1.0263242119712135
44,15.11,15.24,14.5801,15.24,65942,14.69,14.28,,,14.595390725895399,16.429575888367772,1.0297939111161267
45,15.09,15.09,14.4,14.54,21823,14.83,14.4,,,14.236195358351269,16.01845695968829,1.0162372031792606
46,14.97,15.73,14.783,15.37,60250,15.02,14.48,,,14.376925618966688,15.72151852224419,1.0286488315235993
47,15.48,15.87,14.925,15.55,20417,15.19,14.57,,,14.403947629219589,16.02077112509667,1.0226739149861994
48,15.67,15.78,15.17,15.42,53220,15.31,14.63,,,14.743985095975079,15.871373921063771,0.9931972067728994
49,15.68,16.24,15.68,15.8001,39677,15.41,14.67,13.96,,14.834642899958558,16.23150181271394,0.9808259777176922
50,15.67,16.1,14.11,15.79,21420,15.49,14.75,13.92,,14.105681801113741,16.299376174696082,1.052909836452143
51,15.77,16.16,15.37,15.61,47220,15.44,14.79,13.88,,14.1386561589525,16.243928127520707,1.0341305624198471
52,15.3,15.52,14.86,15.46,30500,15.42,14.86,13.86,,14.082822117390423,16.315471673493114,1.013835522247001
53,15.3,15.5,14.42,15.5,39270,15.45,14.93,13.84,,14.360360740042532,16.139618641275483,1.0185615563722152
