,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.19,7.3564,6.85,7.03,781362,,,,,,,0.5064000000000002
1,7.0,7.55,7.0,7.52,293911,,,,,6.8083273811042195,7.603785460121487,0.5095142857142859
2,7.59,7.72,7.34,7.39,215473,,,,,6.905542063836231,7.767228968081884,0.5002632653061226
3,7.37,7.7,7.37,7.69,140795,,,,,7.331665476220844,7.725556349186104,0.4881016034985425
4,7.47,7.61,7.41,7.52,88131,,,,,7.358887301627794,7.725003571337468,0.4732372032486466
5,7.35,7.539,7.24,7.41,141834,,,,,7.192771031918116,7.629725039610671,0.4607916887308861
6,7.13,7.34,7.0,7.1,678430,,,,,6.9333238097667484,7.594285674401736,0.4571637109643943
7,7.18,7.25,7.0101,7.22,346938,,,,,6.9971940436609215,7.365003571337476,0.4416448744669375
8,7.09,7.15,6.96,7.05,230511,7.33,,,,6.946081345288789,7.27778174593053,0.428670240576442
9,6.81,6.83,6.32,6.62,875908,7.28,,,,6.142196826044668,7.23890158697767,0.4501937948209818
10,6.82,7.0,6.4,6.4935,542063,7.17,,,,6.297774603255558,7.047228968081894,0.4608942380480545
11,6.26,6.26,5.83,5.9,569751,7.0,,,,5.67164404819603,7.205584919885853,0.47536607818747917
12,5.8,6.0395,5.52,5.73,1335806,6.78,,,,5.433876587615374,6.321258749776814,0.47851850117408784
13,5.41,5.5,4.3,4.3,1255861,6.42,,,,3.961062699647649,6.189382519295166,0.5464814653759388
14,4.1,5.38,4.1,5.13,874688,6.17,,,,4.044436508138926,5.533338095116673,0.5988756464205146
15,5.17,5.45,4.71,4.75,561153,5.91,,,,3.9305313498238155,5.469447222151451,0.6089559573904778
16,4.76,4.7738,3.76,4.395,1061541,5.6,,,,3.49607341366005,5.637860165982188,0.6378733890054437
17,4.7,5.38,4.6501,5.07,527073,5.38,,,,3.512714679472431,5.548412943830825,0.6626681469336263
18,5.12,5.65,5.0695,5.37,356439,5.24,,,,4.533583357567382,5.725010714012428,0.6567989935812245
19,5.4,5.91,5.33,5.61,383190,5.14,6.26,,,4.997128551850968,5.982232539419374,0.6513133511825657
20,5.51,5.95,5.31,5.87,271693,5.14,6.21,,,5.30444365081355,5.961112698372337,0.6505052546695254
21,5.59,5.66,5.18,5.45,261934,5.11,6.1,,,5.143883730290269,6.030567063198528,0.6533263079074164
22,5.4,5.42,5.18,5.22,244193,5.21,5.99,,,5.18,5.726676190233277,0.625945857342601
23,5.08,5.16,4.77,4.85,470719,5.18,5.85,,,4.656094841684849,5.492232539419381,0.6133782961038438
24,4.87,4.94,4.72,4.85,373156,5.19,5.72,,,4.706109127034598,5.221119841047181,0.5852798463821407
25,4.88,4.9082,4.49,4.715,309966,5.22,5.58,,,4.426101984359774,4.948834595206162,0.5733455716405592
26,4.71,4.96,4.67,4.83,255777,5.2,5.47,,,4.439992857325026,4.974390944392167,0.5531066022376622
27,4.88,5.09,4.75,4.88,318974,5.14,5.35,,,4.647774603255499,5.126116269709738,0.5378847020778291
28,5.0,5.2396,4.81,4.91,420643,5.06,5.25,,,4.733330952441574,5.28116149191211,0.5301500805008414
29,5.05,5.75,5.05,5.67,381040,5.04,5.2,,,4.743323809766722,5.891798031229389,0.5522822176079242
30,5.79,5.79,5.22,5.46,218776,5.04,5.15,,,5.0027710319180745,5.80111269837238,0.5535477734930725
31,5.54,5.75,5.42,5.54,398138,5.08,5.13,,,5.164436508138925,5.80111269837238,0.5375800753864245
32,5.5,5.51,5.3101,5.3901,286578,5.14,5.11,,,5.279567861222297,5.816676190233278,0.515602927144537
33,5.44,5.44,5.23,5.36,463980,5.2,5.17,,,5.207746821509569,5.5294472221514726,0.493774146634213
34,5.58,5.66,5.51,5.62,508264,5.3,5.19,,,5.15221111139452,5.721119841047178,0.4799331361603406
35,5.52,5.719,5.09,5.305,882612,5.35,5.22,,,4.973316667091799,5.735391230099122,0.4905807692917449
36,5.22,5.315,5.02,5.02,563526,5.36,5.25,,,5.000552777848538,5.83123825355932,0.4766107143423346
37,5.12,5.2,4.76,4.9,1286580,5.36,5.24,,,4.687767460580621,5.346949007820169,0.4739956633178822
38,4.99,5.25,4.98,5.05,203148,5.29,5.23,,,4.698880158952824,5.263890872965422,0.4651388302237477
39,5.05,5.3,4.9,5.04,425874,5.25,5.2,,,4.877774603255499,5.313890872965418,0.4604860566363371
40,5.02,5.1,4.91,5.06,256548,5.19,5.16,,,4.8972218254062705,5.355563491861081,0.44116562401945586
41,5.03,5.25,5.01,5.05,321301,5.16,5.14,,,4.882218254069413,5.291672618895836,0.42679665087520907
42,5.1,5.28,5.0,5.02,655102,5.12,5.13,,,4.99722182540627,5.288334523779428,0.41631117581269417
43,5.26,5.26,5.01,5.07,225819,5.06,5.14,,,4.99722182540627,5.28555634918651,0.4044318061117875
44,5.05,5.21,4.98,5.05,505904,5.03,5.15,,,4.971665476220618,5.273890872965422,0.39197239138951695
45,5.04,5.1,4.93,5.04,142936,5.03,5.16,,,4.916109127034604,5.240559920523647,0.37611722057598
46,5.1,5.21,4.99,5.035,337062,5.05,5.17,,,4.913330952441575,5.240559920523647,0.3649659905348386
47,5.01,5.025,4.57,4.62,733314,5.0,5.16,,,4.4533166670918,5.261396229971507,0.37211127692520723
48,4.63,4.855,4.63,4.72,257514,4.96,5.15,,,4.553330952441574,5.0722289680819355,0.36231761428769244
49,4.8,4.9,4.7,4.7,223129,4.92,5.1,5.57,,4.610552777848537,4.91250178566893,0.3507234989814287
50,4.69,4.707,4.41,4.55,582899,4.87,5.06,5.52,,4.329432936801468,4.953618769645951,0.3468861061970409
51,4.6,4.6,4.349,4.35,536516,4.79,5.0,5.46,,4.332053134982276,4.736726468145747,0.34003709861153797
52,4.39,4.4,3.96,4.16,435479,4.69,4.94,5.39,,3.8519290083302598,4.655563491861092,0.34717730585357104
53,4.13,4.221,4.03,4.19,135175,4.6,4.88,5.32,,3.940552777848538,4.449729325215696,0.33602178400688737
54,4.15,4.4,4.15,4.31,115271,4.51,4.81,5.26,,3.9966619048833194,4.449729325215696,0.3298773708635383
55,4.39,4.75,4.39,4.69,602656,4.48,4.78,5.21,,4.083323809766725,4.84723611075685,0.3377432729447142
56,4.65,4.85,4.55,4.8,188042,4.5,4.77,5.16,,4.345549206511129,4.877781745930607,0.3350473248772346
57,4.85,4.93,4.8103,4.8474,297200,4.51,4.77,5.11,,4.477684115342834,4.952225396744519,0.3204010873860036
58,4.83,4.95,4.8,4.86,285630,4.53,4.76,5.07,,4.797138480168676,4.9555563491865025,0.3082295811441462
59,4.82,4.84,4.25,4.34,1287780,4.51,4.72,5.02,,4.097200397382128,4.980559920523646,0.3297846110624215
60,4.42,4.844,4.4,4.71,443922,4.55,4.71,4.99,,4.208327381104173,4.845111269839317,0.3422285674151057
61,4.75,5.03,4.7,5.03,459086,4.64,4.7,4.97,,4.316654762208419,5.081674047430811,0.3413550983140268
62,5.02,5.07,4.91,5.0,181238,4.73,4.7,4.96,,4.6416583335458785,5.081112698372403,0.3284011627201677
63,4.92,5.0,4.68,4.8346,253388,4.79,4.69,4.97,,4.616101984359776,5.089447222151475,0.3278010796687272
64,4.76,4.84,4.71,4.71,175390,4.79,4.67,4.96,,4.671665476220643,5.044450793488881,0.31367243112096094
65,4.72,4.7525,4.45,4.475,474404,4.76,4.65,4.95,,4.377767460580624,4.864309027689294,0.3128744003266066
66,4.52,4.72,4.4752,4.57,552666,4.73,4.62,4.96,,4.442999000025267,4.761529067427661,0.30802622887470615
67,4.63,4.8,4.544,4.8,203046,4.72,4.63,4.95,,4.456086158799714,4.822225396744514,0.30431006966937
68,4.94,5.08,4.75,4.77,210174,4.77,4.63,4.94,,4.486769603383099,5.157788888605484,0.30614506469298647
69,4.8,5.05,4.7996,4.85,248269,4.78,4.64,4.92,,4.7362202540183445,5.088334523779427,0.3042775600720589
70,4.8,4.919,4.72,4.82,328386,4.76,4.66,4.9,,4.697885730239233,5.086394087169042,0.2967577343526261
71,4.78,4.82,4.37,4.41,1345354,4.69,4.66,4.88,,4.272763889243162,4.946503928471292,0.30770361047029565
72,4.34,4.35,4.175,4.31,287020,4.64,4.67,4.86,,4.120825595435455,4.950574205873459,0.3025104954367031
73,4.33,4.54,4.33,4.37,137488,4.6,4.68,4.85,,4.131938293807654,4.592785317268022,0.2973311743340815
74,4.26,4.54,4.26,4.51,216882,4.6,4.69,4.85,,4.2405527778485474,4.54,0.2960932333102186
75,4.59,4.71,4.49,4.55,92099,4.6,4.68,4.84,,4.196101984359776,4.757228968081925,0.2906580023594887
76,4.53,4.555,4.3,4.5,394818,4.57,4.66,4.84,,4.247214682731979,4.7530617061923515,0.28811100219095376
77,4.45,4.53,4.29,4.325,144661,4.52,4.64,4.83,,4.287221825406353,4.56194543648289,0.2846745020344571
78,4.4,4.4,4.21,4.23,478264,4.45,4.61,4.81,,4.18777460325551,4.566116269709724,0.27791203760342453
79,4.2,4.3,4.1,4.16,269122,4.37,4.6,4.78,,4.069440079476373,4.427781745930577,0.2723468920603228
80,4.19,4.2499,4.04,4.08,299998,4.34,4.57,4.75,,4.023330952441592,4.313918654711299,0.26788639977029977
81,4.11,4.22,3.97,4.21,438546,4.33,4.52,4.73,,3.950552777848554,4.2582067420334,0.26660879978670693
82,4.2,4.35,4.1101,4.2599,105719,4.31,4.49,4.7,,3.931077773951301,4.386116269709718,0.26470102837337073
83,4.19,4.25,4.07,4.19,172488,4.28,4.45,4.68,,4.058859519881717,4.377781745930575,0.2593580977752728
84,4.14,4.185,4.01,4.11,177570,4.23,4.42,4.65,,3.9933309524415934,4.26805813485492,0.2536896622198962
85,4.06,4.12,3.9968,4.12,170911,4.19,4.41,4.63,,3.993132809536747,4.203058134854919,0.24436897206133218
86,4.1,4.12,3.96,3.99,179853,4.15,4.38,4.61,,3.9497763174974185,4.12,0.23834261691409417
87,4.0,4.08,3.9,4.01,365693,4.13,4.34,4.59,,3.8833309524415975,4.1311126983723385,0.23417528713451605
88,4.0,4.1,3.9,3.92,200306,4.1,4.3,4.57,,3.9000000000000004,4.105556349186364,0.2317341951963363
89,3.92,3.99,3.82,3.89,417681,4.08,4.25,4.54,,3.7977746032555175,4.130559920523619,0.22732460982516947
90,3.89,3.92,3.77,3.78,304425,4.03,4.2,4.52,,3.7561091270346356,4.009447222151439,0.22180142340908593
91,3.77,3.79,3.6,3.66,508967,3.96,4.16,4.49,,3.5527710319180863,3.9561162697097165,0.2195298931655798
92,3.65,3.7,3.61,3.7,361166,3.91,4.13,4.46,,3.5972218254064505,3.815003571337526,0.21027775793946699
93,3.7,3.9789,3.7,3.96,215068,3.89,4.11,4.44,,3.5849964286624756,4.056383289400239,0.21517934665807648
94,3.88,3.99,3.7,3.73,350339,3.85,4.07,4.42,,3.7000000000000006,3.9930837737987455,0.22052367903964246
95,3.76,3.89,3.73,3.82,224329,3.83,4.03,4.39,,3.6916654762206713,4.017781745930572,0.21620055910823943
96,3.83,3.8491,3.71,3.73,117226,3.8,3.99,4.36,,3.7044436508136354,3.9013627340857093,0.2106933763147938
97,3.76,3.7999,3.65,3.67,182215,3.77,3.96,4.35,,3.6333309524416038,3.862768618997922,0.20635099229230852
98,3.69,3.6998,3.52,3.57,422978,3.74,3.93,4.32,,3.4838837302902874,3.827709527676504,0.20445449284285794
99,3.6,3.85,3.58,3.83,262624,3.74,3.91,4.31,,3.5033309524416105,3.891728182387676,0.20985060049693954
100,3.69,3.94,3.69,3.94,127571,3.77,3.9,4.29,,3.5494400794763834,3.9650035713375247,0.21271841474715814
101,3.93,3.99,3.867,3.9,81991,3.79,3.89,4.28,,3.6408263097029483,4.00389087296536,0.2063099565509326
102,3.91,3.95,3.88,3.88,83948,3.79,3.87,4.28,,3.8633883730285863,4.001112698372332,0.19657353108300887
103,3.88,3.88,3.66,3.72,228087,3.78,3.85,4.27,,3.598880158952831,3.969447222151436,0.19824685029136535
104,3.71,3.85,3.67,3.81,129970,3.78,3.83,4.26,,3.6572218254064257,3.888334523779326,0.19694350384198214
105,3.83,3.97,3.78,3.94,154748,3.81,3.82,4.24,,3.6394400794763793,4.003338095116667,0.19644753928184058
106,3.9,4.0,3.82,3.98,117107,3.84,3.82,4.23,,3.7688873016276507,4.008334523779325,0.1952727150474234
107,4.07,4.07,3.88,3.93,221154,3.88,3.82,4.21,,3.8033309524415913,4.089447222151437,0.19489609254403606
108,3.94,4.01,3.83,3.955,116167,3.9,3.82,4.19,,3.816109127034624,4.086669047558397,0.19383208593374776
109,3.94,4.25,3.93,4.1973,433054,3.92,3.84,4.19,,3.8022182540694214,4.316676190233269,0.2028440797956229
110,4.19,4.3193,4.16,4.25,207966,3.96,3.86,4.18,,3.866101984359776,4.338552749929924,0.19973378838164985
111,4.24,4.38,4.2001,4.32,222164,4.01,3.89,4.16,,4.148859519881691,4.3968635197799095,0.19831708921153202
112,4.27,4.4707,4.21,4.4599,154942,4.09,3.93,4.15,,4.197349607152182,4.495898043559037,0.2027730114107083
113,4.4405,4.61,4.44,4.57,159961,4.18,3.96,4.15,,4.146101984359774,4.648699972081251,0.20043208202422916
114,4.61,4.78,4.56,4.66,271565,4.26,4.01,4.15,,4.40666190488332,4.827228968081914,0.20182979045107
115,4.64,4.85,4.6,4.73,212802,4.34,4.05,4.15,,4.5488873016276195,4.869447222151434,0.205270519704565
116,4.73,4.78,4.495,4.56,149070,4.41,4.09,4.15,,4.465829166772889,4.869447222151434,0.2109654825828104
117,4.52,4.63,4.48,4.5446,121635,4.48,4.14,4.15,,4.475832738109955,4.821672618895813,0.20661080525546677
118,4.54,4.629,4.42,4.47,116970,4.51,4.18,4.14,,4.4033309524415705,4.63027781746421,0.2067814620229334
119,4.47,4.59,4.4227,4.48,100242,4.53,4.21,4.13,,4.419249892857219,4.639834880913029,0.20396135759272388
120,4.49,4.68,4.46,4.47,187619,4.55,4.24,4.13,,4.4123374087677245,4.705003571337522,0.20510697490752933
