,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,8.3,8.52,7.82,8.445,185481,,,,,,,0.6999999999999993
1,8.65,9.62,8.4,8.96,322980,,,,,,,0.7371428571428564
2,9.07,9.38,8.9,9.32,92110,,,,,,,0.718775510204081
3,9.07,9.21,8.8,8.815,80739,,,,,,,0.7045772594752181
4,8.71,8.81,8.22,8.25,116356,,,,,,,0.6967503123698453
5,7.73,7.81,7.24,7.415,422498,,,,,,,0.7191252900577134
6,7.46,7.765,7.18,7.21,223092,,,,,,,0.7095449121964482
7,7.03,7.565,6.61,6.77,156186,,,,,,,0.7270774184681305
8,6.33,6.48,5.26,5.35,248487,7.84,,,,,,0.7830004600061212
9,5.52,5.87,5.37,5.59,177357,7.52,,,,,,0.7642147128628268
10,3.0,5.17,3.0,5.13,181889,7.09,,,,,,0.8946279476583392
11,5.19,5.59,4.5086,5.26,319702,6.64,,,,,,0.9079688085398864
12,4.96,5.14,3.8,4.05,181280,6.11,,,,,,0.9473996079298945
13,4.25,4.93,4.25,4.92,153979,5.74,,,,,,0.9425853502206164
14,4.99,5.49,4.41,4.475,165927,5.42,,,,,,0.9524006823477152
15,4.59,4.815,4.0494,4.43,46894,5.11,,,,,,0.9390577764657356
16,4.57,4.7,4.22,4.47,467703,4.85,,,,,,0.9062679352896118
17,4.0,5.545,4.0,5.29,152273,4.85,,,,,,0.9518916541974967
18,5.32,5.73,5.25,5.7,119576,4.86,,,,,,0.9181851074691042
19,5.24,5.73,4.57,5.44,78338,4.89,6.26,,,1.9850105135452494,10.096194133832935,0.9354575997927397
20,5.23,5.76,5.23,5.65,84723,4.94,6.12,,,1.9713766460224313,9.868996960201287,0.9064963426646868
21,5.56,5.99,5.36,5.99,183361,5.15,5.98,,,2.050690759639611,9.362443706927353,0.8867466039029236
22,5.53,5.79,5.33,5.445,171004,5.21,5.78,,,2.261762164569862,8.833554655304475,0.8705504179098577
23,5.42,5.62,5.05,5.43,116678,5.32,5.61,,,2.5434739474078283,8.247501547120349,0.8490825309162964
24,5.33,5.75,5.19,5.33,68886,5.42,5.47,,,2.829724205992404,7.6663409643937825,0.8284337787079894
25,6.02,6.5,5.7,6.33,160193,5.62,5.41,,,2.992956565007012,7.385333070626302,0.852831365943133
26,6.77,7.21,6.39,6.54,93928,5.76,5.38,,,3.124231492771779,7.2268268696796305,0.8547719826614807
