,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,5.05,5.07,4.79,4.91,927837,,,,,,,0.28000000000000025
1,5.0,5.07,4.69,4.71,1207444,,,,,,,0.28714285714285737
2,4.66,4.72,4.5,4.585,924151,,,,,,,0.28234693877551037
3,4.46,4.48,4.32,4.46,974050,,,,,,,0.28110787172011675
4,4.12,4.32,3.95,4.17,1677998,,,,,,,0.29745730945439414
5,4.29,4.348,4.09,4.095,1061752,,,,,,,0.2946389302076517
6,4.05,4.12,3.82,3.955,1283728,,,,,,,0.29502186376424805
7,3.73,3.82,3.41,3.76,1686640,,,,,,,0.31287744492394465
8,3.98,4.16,3.785,4.12,2057854,4.31,,,,,,0.31910048457223433
9,3.5,3.73,3.4,3.44,2257601,4.14,,,,,,0.3477361642456462
10,3.47,3.8199,3.38,3.72,2245188,4.03,,,,,,0.3543192953709572
11,3.51,3.72,2.91,3.15,1915771,3.87,,,,,,0.38686791713017454
12,3.07,3.41,2.98,3.3801,1111698,3.75,,,,,,0.389948780192305
13,3.44,3.685,3.03,3.235,1890261,3.65,,,,,,0.408881010178569
14,3.12,3.19,2.85,3.12,988835,3.54,,,,,,0.40717522373724263
15,3.24,3.41,3.16,3.4,688473,3.48,,,,,,0.3988055648988682
16,3.4,3.53,3.26,3.305,1891586,3.43,,,,,,0.3896051674060919
17,3.35,3.63,3.34,3.5,891863,3.36,,,,,,0.38499051259137107
18,3.46,3.64,3.41,3.535,990279,3.37,,,,,,0.37391976169198743
19,3.6,3.79,3.53,3.73,1517591,3.37,3.81,,,2.447058619831405,5.058768020393297,0.3657826358568455
20,3.75,3.83,3.66,3.79,1309331,3.44,3.76,,,2.5232620181553704,4.868262820659355,0.3517981618670708
21,3.75,4.0,3.62,3.73,862021,3.48,3.71,,,2.609423452297309,4.647659586840663,0.35381257887656575
22,3.7,3.79,3.605,3.77,1936830,3.54,3.67,,,2.6877189724495616,4.490202906313048,0.34175453752823964
23,3.78,3.95,3.7,3.78,637743,3.62,3.63,,,2.7538336550837283,4.391963832168514,0.33520064199050825
24,3.86,4.04,3.81,3.95,655084,3.68,3.62,,,2.7658288712002275,4.337900056315753,0.3298291675626148
25,4.03,4.13,3.88,3.93,753525,3.75,3.62,,,2.7927544888443783,4.287394283731146,0.3241270841652852
26,3.975,4.1,3.95,4.02,667710,3.8,3.62,,,2.779926019972931,4.283615143976027,0.31311800672490764
27,4.08,4.17,4.03,4.13,977105,3.87,3.64,,,2.7588767219497936,4.331354744527601,0.3014667205302714
28,4.14,4.267,4.09,4.09,816356,3.91,3.64,,,2.732978175481467,4.353976614115127,0.29257624049239495
29,4.13,4.36,4.05,4.26,1944006,3.96,3.68,,,2.7246321725574867,4.438979888338893,0.2938207947429382
