,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,5.21,5.42,5.17,5.31,1099990,,,,,,,0.25
1,5.21,5.41,5.08,5.41,1352540,,,,,,,0.2557142857142857
2,5.44,5.44,5.05,5.25,2029909,,,,,,,0.26530612244897966
3,5.25,5.42,5.12,5.4,1304806,,,,,,,0.26778425655976684
4,5.39,5.44,4.89,5.01,1545264,,,,,,,0.28794252394835496
5,4.96,5.29,4.95,5.24,1868023,,,,,,,0.29166091509490105
6,5.12,5.32,5.06,5.12,932112,,,,,,,0.28939942115955103
7,4.9,5.04,4.8,4.95,1227191,,,,,,,0.2915851767910117
8,5.0,5.05,4.94,5.01,1356547,5.19,,,,,,0.2786148070202251
9,4.98,5.13,4.9,4.97,889656,5.15,,,,,,0.27514232080449474
10,5.0,5.15,4.75,5.04,2006109,5.11,,,,,,0.2840607264613166
11,5.1,5.15,4.74,5.11,1317176,5.09,,,,,,0.29305638885693686
12,4.78,4.92,4.63,4.65,1873174,5.01,,,,,,0.30640950393858424
13,4.65,5.38,4.52,5.35,2708018,5.05,,,,,,0.3459516822286854
14,4.81,5.29,4.81,5.18,1554814,5.04,,,,,,0.3598122763552079
15,5.15,5.4,5.07,5.32,1636464,5.06,,,,,,0.35768282804412166
16,5.3,5.4,4.97,5.12,1637217,5.08,,,,,,0.36284834032668445
17,5.04,5.12,4.9,4.9,1369532,5.07,,,,,,0.352644887446207
18,5.04,5.155,4.9,5.0,1013124,5.07,,,,,,0.3456702526286207
19,5.0,5.4,4.98,5.35,3309199,5.11,5.13,,,4.578394990478346,5.589439287863125,0.35097952029800494
20,5.28,5.47,5.16,5.29,1152450,5.13,5.13,,,4.57950259983555,5.597669683045477,0.3480524117052903
21,5.16,5.24,5.0,5.1,585919,5.18,5.12,,,4.582226394642603,5.582519501471901,0.34390581086919814
22,5.15,5.2,5.0,5.11,616515,5.15,5.11,,,4.583614711429377,5.560040668642652,0.33362682437854113
23,5.12,5.35,5.04,5.34,840720,5.17,5.11,,,4.589070359386535,5.549924238410575,0.3319391940657882
24,5.02,5.28,4.91,4.93,877388,5.13,5.1,,,4.59008387967223,5.528464983466651,0.3389435373468033
25,4.98,5.24,4.9301,5.11,1048602,5.13,5.1,,,4.589614628562363,5.5248985488478635,0.33687614182203174
26,5.07,5.21,5.02,5.11,504545,5.15,5.1,,,4.591443782205104,5.516717011999639,0.3263849888347438
27,5.2,5.34,5.09,5.24,752572,5.18,5.11,,,4.598237446833674,5.521388064279455,0.3209289182036907
28,5.5,5.5,5.23,5.3,2758430,5.17,5.13,,,4.582258936872173,5.550630675189178,0.31729113833199846
29,5.33,5.43,5.012,5.35,834758,5.18,5.14,,,4.58610850691898,5.56701536197598,0.32448462845114145
30,5.37,5.45,5.26,5.39,1016491,5.21,5.16,,,4.593766437431784,5.58449103583085,0.3148785835617743
31,5.43,5.46,5.235,5.27,634541,5.23,5.17,,,4.613827879850049,5.600217365663139,0.3084586847359333
32,5.35,5.49,5.28,5.31,1062169,5.22,5.2,,,4.663232527211056,5.573001844359244,0.30214020725479523
33,5.27,5.38,5.21,5.29,598334,5.26,5.2,,,4.775575666715999,5.573001844359245,0.29270162102230984
34,5.32,5.5,5.29,5.495,1108750,5.31,5.22,,,4.804157532443982,5.592721616430303,0.28679436237785916
35,5.58,5.62,5.42,5.6,769800,5.36,5.23,,,4.7806237644210485,5.631550608637288,0.28059476506515496
36,5.53,5.72,5.47,5.485,813367,5.39,5.25,,,4.7687010142559405,5.691479266456888,0.27840942470335817
37,5.45,5.47,5.32,5.39,900466,5.4,5.27,,,4.794136942498459,5.686697837709016,0.2703087515102612
38,5.48,5.67,5.37,5.665,708600,5.43,5.31,,,4.821867370739295,5.714070855452716,0.27242955497381394
39,5.67,5.83,5.51,5.54,887062,5.45,5.32,,,4.8259695893779995,5.787562923323599,0.2758274439042558
40,5.53,5.61,5.48,5.505,447693,5.48,5.33,,,4.819553093051554,5.802500670940165,0.2654111979110947
41,5.52,5.73,5.52,5.65,475264,5.51,5.35,,,4.833453133335956,5.833730893571111,0.262524683774588
42,5.72,5.79,5.54,5.55,759805,5.54,5.38,,,4.852883872970251,5.865382504921718,0.2616300635049746
43,5.64,5.7099,5.3,5.32,832481,5.52,5.38,,,4.878737682965569,5.887013322530155,0.2722207732546193
44,5.38,5.415,5.23,5.36,1169352,5.5,5.4,,,4.932348239996146,5.87970134137789,0.26599071802214647
45,5.35,5.36,5.07,5.12,773728,5.46,5.4,,,4.964329697014499,5.8686662941784595,0.2677056667348503
46,5.14,5.155,4.92,4.97,855925,5.41,5.39,,,4.9394048672655675,5.877835054828983,0.26536954768236104
47,5.01,5.09,4.9,4.91,630421,5.32,5.37,,,4.898268415960051,5.909646765643004,0.25998600856219234
48,5.0,5.1,4.93,5.02,704266,5.27,5.36,,,4.852777985674414,5.932363157453605,0.25498700795060714
49,5.04,5.065,4.95,5.04,703773,5.22,5.34,5.23,,4.84084597421805,5.9551460982280675,0.24498793595413523
50,5.05,5.29,5.05,5.26,960808,5.17,5.34,5.23,,4.819933943872192,5.9546657861311445,0.24534594052883985
51,5.25,5.515,5.2,5.46,790643,5.16,5.35,5.23,,4.817646412206988,5.957737155702754,0.2503212304910656
52,5.4,5.565,5.3999,5.43,647862,5.17,5.35,5.23,,4.8184552116187795,5.963125718120095,0.24423399974170382
53,5.36,5.44,5.31,5.36,543533,5.17,5.36,5.23,,4.823285823816474,5.964275400766543,0.23607442833158218
54,5.35,5.3927,5.15,5.27,396714,5.19,5.35,5.24,,4.813891332984267,5.960464339130857,0.23654768345075483
55,5.06,5.32,5.06,5.13,528505,5.21,5.32,5.23,,4.795373520817778,5.945383358068126,0.23822284891855813
56,5.18,5.35,5.16,5.21,787017,5.24,5.31,5.24,,4.793284535827132,5.913425868310516,0.23692121685294681
57,5.2,5.3789,5.16,5.26,639224,5.27,5.3,5.24,,4.787309807367793,5.909549838050737,0.2356339870777363
58,5.34,5.41,5.15,5.18,480538,5.28,5.28,5.25,,4.782373306410277,5.88385807108824,0.2373744165721837
59,5.07,5.17,4.9,5.05,890524,5.26,5.25,5.25,,4.758312946132996,5.82247158609998,0.24041910110274198
60,5.0,5.0598,4.875,4.95,699145,5.2,5.22,5.25,,4.735458107342336,5.806709098999499,0.23644630816683185
61,5.02,5.175,5.01,5.05,1222999,5.16,5.2,5.24,,4.748840248312221,5.751343472513723,0.23562871472634384
62,5.11,5.14,4.84,4.87,863284,5.11,5.16,5.25,,4.754191914842644,5.668229299630783,0.24022666367446213
63,4.81,5.15,4.81,4.87,1228913,5.06,5.14,5.24,,4.726210506999242,5.591946364040842,0.24735333055485775
64,4.89,5.19,4.85,5.19,1734214,5.07,5.13,5.24,,4.706175305558677,5.575989424669812,0.2539709498009394
65,4.98,5.11,4.89,4.96,1222698,5.04,5.12,5.23,,4.691430647615112,5.5676309730656515,0.2572587391008724
66,4.87,5.1,4.7501,5.09,1493500,5.02,5.13,5.23,,4.663549630225033,5.569432465649381,0.2638759720222386
67,5.1,5.49,5.07,5.49,2093054,5.06,5.16,5.24,,4.675762400219664,5.5971123457669005,0.2750276883063644
68,5.42,5.48,5.03,5.18,1364075,5.07,5.16,5.25,,4.6836768937923425,5.618536113116456,0.28823999628448127
69,5.25,5.49,5.22,5.44,1389814,5.13,5.18,5.25,,4.689482835436209,5.6335544001692925,0.2897942822641612
70,5.42,5.4727,5.31,5.39,650687,5.16,5.19,5.25,,4.683071947815158,5.650457261955793,0.28071611924529255
71,5.4,5.4,5.2,5.26,842080,5.21,5.18,5.25,,4.683071947815158,5.634255716211305,0.2749506821563431
72,5.26,5.28,5.17,5.26,581693,5.25,5.17,5.26,,4.703101389575649,5.597582386084294,0.2631684905737472
73,5.16,5.23,4.98,4.99,696042,5.23,5.15,5.25,,4.709137288261925,5.581035408518098,0.2643707412470509
74,5.02,5.11,4.99,5.0,176563,5.23,5.14,5.25,,4.705880699575216,5.573168245358539,0.2540585454436901
75,5.0,5.01,4.75,4.77,1640454,5.2,5.12,5.24,,4.66867384172627,5.579353506026656,0.2544829350548551
76,4.86,5.07,4.855,4.99,1076916,5.14,5.11,5.24,,4.655213482063741,5.573157614864632,0.25773415397950833
77,4.94,5.0479,4.813,4.825,1019920,5.1,5.09,5.23,,4.638882520694488,5.561707910942152,0.2561031429809721
78,4.78,4.8672,4.76,4.82,1294525,5.03,5.07,5.22,,4.617324389001329,5.560090845256637,0.24546720419661697
79,4.81,4.95,4.69,4.95,1406537,4.99,5.07,5.22,,4.58723013226288,5.56635289291623,0.24650526103971573
80,4.84,4.84,4.6344,4.71,1363270,4.92,5.06,5.2,,4.550120218292194,5.583387905466553,0.25144059953687886
81,4.7,4.78,4.65,4.78,1088766,4.87,5.04,5.19,,4.514215418502477,5.601602801742037,0.24276627099853038
82,4.78,4.85,4.66,4.77,779165,4.85,5.04,5.18,,4.490421048515746,5.60846806123599,0.23899725164149246
83,4.71,4.76,4.625,4.65,962822,4.81,5.03,5.17,,4.464377843703992,5.620073661339617,0.23228316223852868
84,4.71,4.72,4.28,4.29,2147347,4.75,4.98,5.15,,4.355417270262059,5.627595129823566,0.2471200792214909
85,4.32,4.4,4.22,4.28,1540911,4.68,4.95,5.12,,4.246195304819703,5.678953535107917,0.24232578784852732
86,4.29,4.3,4.25,4.27,1120874,4.61,4.91,5.09,,4.166275994581092,5.728122143133924,0.2285882315736325
87,4.29,4.415,4.265,4.39,1183199,4.57,4.85,5.07,,4.095013432900578,5.689711673566425,0.2229747864612302
88,4.43,4.53,4.31,4.53,1383185,4.52,4.82,5.05,,4.041303387361846,5.626650272361671,0.22276230171399952
89,4.63,4.8,4.61,4.69,793944,4.52,4.78,5.04,,4.048800692976365,5.541346451609627,0.22613642302014236
90,4.69,4.77,4.57,4.6,803258,4.5,4.74,5.02,,4.0764753039105095,5.44722961292535,0.22426953566156071
91,4.63,4.7683,4.53,4.65,1153098,4.48,4.71,5.0,,4.097767562245364,5.358030043345467,0.22527171168573493
92,4.68,4.86,4.67,4.8,1272935,4.5,4.69,4.98,,4.136175609032835,5.292805480509134,0.22418087513675386
93,4.72,4.77,4.465,4.48,1125784,4.52,4.66,4.97,,4.141416252334284,5.226794471832147,0.2320965269127
94,4.51,4.72,4.46,4.48,897589,4.54,4.64,4.95,,4.157266552055286,5.179971842226975,0.2340896321332214
95,4.45,4.685,4.37,4.56,726076,4.58,4.63,4.94,,4.141537794760039,5.148027833615384,0.23986894412370555
96,4.58,4.68,4.36,4.41,2164424,4.58,4.6,4.93,,4.140166214840843,5.098998178473208,0.24559259097201225
97,4.35,4.495,4.3,4.44,1655535,4.57,4.58,4.92,,4.132402340269431,5.052282627782556,0.24197883447401142
98,4.45,4.52,4.43,4.47,663951,4.54,4.56,4.9,,4.140321444656765,5.034043593906873,0.23112320344015347
99,4.5,4.605,4.05,4.5,1890127,4.53,4.54,4.89,,4.076331867360484,4.994408924415569,0.2542572603372854
100,4.57,4.68,4.5,4.62,707254,4.53,4.53,4.88,,4.080417506086786,4.976009331466482,0.24895317031319358
101,4.54,4.55,4.3025,4.37,845481,4.48,4.51,4.86,,4.0750501452914225,4.962184778150912,0.2538493724336798
102,4.39,4.39,4.255,4.26,871961,4.46,4.49,4.84,,4.069376180838859,4.942940218201798,0.24536013154555977
103,4.12,4.21,4.09,4.15,970016,4.42,4.46,4.81,,4.035613868509433,4.95672077102928,0.23997726500659122
104,4.16,4.295,4.16,4.25,607431,4.39,4.46,4.79,,4.018923914460869,4.953562470667546,0.23319317464897754
105,4.24,4.2799,4.09,4.13,1619662,4.35,4.45,4.77,,3.9966549977478594,4.962461583194071,0.23010080503119343
106,4.18,4.275,4.14,4.23,1428010,4.33,4.45,4.75,,3.981245336657452,4.964887035656616,0.22402217610039393
107,4.2,4.215,4.11,4.18,1123760,4.3,4.44,4.73,,3.9598962573274554,4.979887210039144,0.21659202066465152
108,4.25,4.25,4.11,4.22,925537,4.27,4.42,4.71,,3.936392942612902,4.987253350961334,0.21112116204574782
109,4.15,4.43,4.15,4.39,2158226,4.24,4.41,4.7,,3.9292367800657493,4.953964043209595,0.2160410790424801
110,4.38,4.62,4.3401,4.59,1842194,4.27,4.41,4.69,,3.938254468240264,4.933361465587892,0.22060243053944584
111,4.63,4.64,4.45,4.59,1694578,4.3,4.41,4.68,,3.9437453880894346,4.9143341461236085,0.2184165426437711
112,4.6,4.72,4.495,4.68,2110450,4.36,4.4,4.68,,3.968143861733993,4.8860793441814785,0.21888678959778743
113,4.6,4.75,4.46,4.75,4194042,4.42,4.41,4.68,,3.968503529759957,4.882233160330685,0.2239663046265169
114,4.71,4.7311,4.4,4.45,4441020,4.45,4.41,4.66,,3.971639398444068,4.8841616835927715,0.23296871143890852
115,4.45,4.58,4.295,4.57,4409110,4.49,4.41,4.65,,3.970800799547497,4.871095930952492,0.23668523205041508
116,4.58,4.73,4.45,4.47,6907747,4.52,4.42,4.64,,3.9673918327836484,4.879383889093123,0.23977914404681402
117,4.35,4.365,4.2,4.26,3748006,4.53,4.41,4.62,,3.9606139546680703,4.8775273157365024,0.24193777661489874
118,4.3,4.57,4.26,4.48,3627220,4.54,4.41,4.6,,3.9608464059668482,4.8814424108978685,0.24679936399954888
119,4.46,4.64,4.33,4.35,2213950,4.51,4.4,4.58,,3.991233263989169,4.885608230226069,0.25131369514243823
120,4.27,4.33,4.13,4.165,2732431,4.46,4.38,4.56,,3.985129627761837,4.864745797082563,0.24907700263226407
121,4.16,4.29,4.15,4.17,1590048,4.41,4.37,4.53,,3.973939630418907,4.8590538741199305,0.2412857881585309
122,4.2879,4.3,4.11,4.17,1969470,4.34,4.36,4.51,,3.9594469101785514,4.860209424686197,0.23762251757577868
123,4.17,4.24,4.11,4.15,1308436,4.31,4.36,4.5,,3.962607720606669,4.857944851282965,0.2299351948917945
124,4.12,4.25,4.1,4.24,1514320,4.27,4.36,4.48,,3.954522990923512,4.8601958864504935,0.22422553811380921
125,4.24,4.35,4.163,4.31,2353390,4.26,4.37,4.47,,3.9645790274934334,4.858234808177541,0.22156657110567995
126,4.27,4.31,4.19,4.27,1010900,4.26,4.37,4.46,,3.9702164618208013,4.856755056371786,0.21431181602670277
127,4.17,4.22,4.0,4.0,4070194,4.2,4.36,4.44,,3.949228233048203,4.856336688720342,0.21828954345336682
128,4.02,4.26,4.0,4.22,3062288,4.19,4.36,4.43,,3.929423459366551,4.855697279408803,0.22126886177812632
129,4.25,4.33,4.12,4.19,2437390,4.19,4.35,4.41,,3.925822038810482,4.8552021678523865,0.22046394307968872
130,4.14,4.18,3.97,4.0,5635983,4.17,4.32,4.4,,3.889498014447115,4.844859733667389,0.2204308042882824
131,4.04,4.19,3.99,4.13,1827258,4.17,4.3,4.39,,3.8701462706057495,4.825397977114629,0.21897146112483368
132,4.06,4.1,3.8845,3.91,1943145,4.14,4.26,4.37,,3.843134220858035,4.791610825877128,0.2208663567587741
133,3.9,3.9681,3.8845,3.93,1169520,4.11,4.22,4.35,,3.8223525562818104,4.7554290098988075,0.21106161699029025
134,3.775,3.79,3.67,3.69,2521013,4.04,4.18,4.34,,3.7473561727093845,4.737684133734311,0.21455721577669812
135,3.68,3.75,3.575,3.62,2563994,3.97,4.14,4.33,,3.6529196196259304,4.739482665940816,0.21173170036407682
136,3.63,3.65,3.35,3.45,3258308,3.9,4.09,4.31,,3.5270035313807218,4.70454586396224,0.2180365789094999
137,3.5,3.59,3.41,3.5,2145753,3.82,4.05,4.29,,3.427575249284854,4.729346267845317,0.2153196804159642
138,3.535,3.54,3.43,3.45,921830,3.74,4.0,4.27,,3.3535090517460584,4.709508299538451,0.20779684610053817
139,3.49,3.49,3.36,3.38,1064002,3.67,3.95,4.25,,3.2843839640248005,4.660145468727239,0.20223992852192835
140,3.38,3.38,3.2,3.25,1524820,3.58,3.9,4.22,,3.177906389675048,4.668878146104436,0.20065136219893345
141,3.201,3.22,3.0,3.02,4474680,3.48,3.84,4.19,,3.0404718230339474,4.688824292657445,0.20417626489900964
142,3.05,3.305,3.05,3.22,2084888,3.4,3.8,4.16,,2.937761061022202,4.674772475045976,0.2099493888347947
143,3.25,3.25,3.0,3.06,1335554,3.33,3.74,4.13,,2.841612173632115,4.6612591030431325,0.2128101467751665
144,3.06,3.19,3.01,3.1,4012860,3.27,3.68,4.1,,2.7637920638452336,4.63810013270731,0.2104665648626546
145,3.13,3.13,2.93,3.02,2459933,3.22,3.62,4.07,,2.69134974375888,4.587085608113094,0.2097189530867507
146,3.03,3.05,2.99,3.005,847418,3.17,3.56,4.04,,2.651807149247289,4.533655448646397,0.19902474215198276
147,3.01,3.04,2.94,2.99,2094436,3.12,3.51,4.01,,2.6002173723694777,4.480350587245042,0.191951546283984
148,3.0,3.04,2.9,3.01,3180601,3.08,3.45,3.98,,2.5561493492249716,4.4011396641309055,0.18824072154941374
149,3.03,3.06,2.975,3.0,1204706,3.05,3.39,3.95,,2.5571830515346914,4.2826232036645475,0.18086638429588417
