,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,15.18,15.18,14.81,14.94,652949,,,,,,,0.3699999999999992
1,15.01,15.4261,15.01,15.4,257100,,,,,,,0.37829285714285643
2,15.41,15.64,15.4,15.46,113750,,,,,,,0.36841479591836673
3,15.58,15.96,15.58,15.93,124445,,,,,14.812337775892466,15.915491439879194,0.37781373906705484
4,15.77,15.83,15.41,15.54,147339,,,,,15.084628562200075,15.969905592643654,0.38796990056226516
5,15.37,15.41,15.15,15.35,152582,,,,,15.190182991844486,15.973235002738367,0.38811490766496043
6,14.05,14.63,14.05,14.4,252711,,,,,14.290581961724609,16.116972706031117,0.4532495571174632
7,14.64,14.6782,14.24,14.43,341262,,,,,13.977315045946483,15.779185126044354,0.4521745887519301
8,14.32,14.32,13.427,13.94,445439,15.04,,,,13.432990222283207,15.267495344927314,0.49151926098393517
9,12.83,13.09,12.2,12.59,579403,14.78,,,,12.466352313903315,14.99740633218799,0.5806964566279398
10,12.81,13.25,12.78,13.13,379735,14.53,,,,12.197825924929756,14.696831299866805,0.5863609954402298
11,11.82,12.48,11.82,12.4,366354,14.19,,,,11.784854375039368,14.12717674312857,0.6380494957659277
12,12.3,12.42,11.79,12.18,491793,13.77,,,,11.640275937084963,13.273655763111645,0.6374745317826472
13,11.68,11.73,10.025,10.1801,789543,13.18,,,,10.340350196889345,13.15359490928471,0.7458692080838867
14,9.83,10.8192,9.52,10.28,515225,12.61,,,,9.478099692264669,12.713916817353887,0.7853928360778948
15,10.55,11.29,10.4,10.67,297870,12.2,,,,9.363001323060951,12.313579429204598,0.8014362049294737
16,10.74,10.74,9.5503,9.69,462858,11.67,,,,9.411661527234793,11.650249892274157,0.829169333148797
17,9.82,10.97,9.82,10.53,489270,11.29,,,,9.373901029031032,11.222076972944961,0.8613715236381688
18,10.58,11.78,10.3117,11.52,426692,11.18,,,,9.57589221936626,11.690570042139983,0.9047235576640139
19,11.43,12.03,11.42,11.97,653167,11.05,13.03,,,9.367397759830945,12.064066760874473,0.8836718749737271
20,11.86,12.12,11.56,11.96,260282,11.0,12.88,,,9.844784410793288,12.300830125413128,0.8605524553327466
21,12.12,12.4426,11.94,12.21,307403,11.0,12.72,,,10.538426536134274,12.39432179742904,0.8349844228089791
22,12.28,12.88,12.16,12.67,412908,11.28,12.58,,,11.395568875937498,12.791069635667712,0.826771249751195
23,12.1,12.27,11.85,12.1,374339,11.48,12.39,,,11.604136536213462,12.789839339396824,0.8262875890546811
24,11.88,12.4,11.641,12.36,292188,11.67,12.23,,,11.661176891144885,12.789585009736271,0.8214813326936325
25,12.35,12.46,11.85,11.91,299367,11.91,12.06,,,11.639984754301928,12.79275204564306,0.8063755232155161
26,12.02,12.43,12.0,12.05,378027,12.08,11.94,,,11.672947805005474,12.482032602918629,0.7859201287001221
27,12.23,12.66,12.23,12.5,281361,12.19,11.84,,,11.657221852794065,12.616837736179273,0.7733544052215419
28,12.67,12.99,12.53,12.9,218510,12.3,11.79,,,11.826635636601102,12.918521310192574,0.7531148048485746
29,13.2,14.1,13.2,13.47,372365,12.46,11.83,,,11.917224884153159,13.858925672282172,0.7850351759308193
30,13.39,13.55,13.11,13.29,314457,12.58,11.84,,,12.255605886600211,14.022351417866192,0.7603898062214751
31,13.4,13.5296,13.3,13.3571,190685,12.66,11.89,,,12.65495570433608,14.040966276169303,0.7231905343485127
32,12.95,13.29,12.88,13.26,136862,12.79,11.94,,,12.925239808036821,13.994378158164801,0.7056126390379046
33,13.16,13.2,12.9,12.98,255038,12.86,12.08,,,12.829826888814093,13.584154874079704,0.6809260219637686
34,13.27,13.52,13.1,13.51,378295,13.04,12.25,,,12.828418221757495,13.567186208291586,0.6708598775377851
35,13.43,13.43,13.15,13.15,114606,13.16,12.37,,,12.856308344586463,13.516854497332156,0.6486556005708004
36,13.05,13.05,12.8,12.9778,67080,13.21,12.53,,,12.805777913651955,13.535752695283263,0.6273230576728861
37,13.06,13.22,13.0,13.21,79030,13.24,12.67,,,12.84223672347405,13.537566119630501,0.5998142678391085
38,13.21,13.32,13.05,13.05,136375,13.2,12.74,,,12.838084384117263,13.432483332550756,0.5762561058506007
39,13.11,13.1498,13.04,13.04,83898,13.17,12.8,,,12.843787464997824,13.310230985920935,0.542937812575558
40,13.05,13.1248,12.95,13.02,154415,13.13,12.85,,,12.959993333777527,13.299801557276288,0.5166422545344467
41,12.96,13.03,12.92,12.92,141330,13.1,12.89,,,12.918711852317374,13.289038908365802,0.48759637921055765
42,13.02,13.26,12.9882,13.24,209153,13.12,12.91,,,12.917574565819821,13.245160201262445,0.47705378069551785
43,13.28,13.28,13.18,13.26,100386,13.1,12.97,,,12.880838358076335,13.303525291321279,0.45012136778869516
44,13.18,13.25,12.97,13.02,85320,13.08,13.01,,,12.889142875933281,13.334064583316474,0.4386841272323597
45,13.04,13.08,12.93,13.07,120403,13.09,13.06,,,12.894597995388592,13.31926238663338,0.41806383243004835
46,13.15,13.28,13.08,13.13,195708,13.08,13.12,,,12.915873720214647,13.328151549917587,0.4032021301136163
47,13.2,13.23,13.1,13.12,130581,13.09,13.15,,,12.928848112105753,13.307976187583114,0.383687692248358
48,13.18,13.3821,13.12,13.16,129255,13.1,13.16,,,12.962290144067515,13.381374228494373,0.3750028570877611
49,13.26,13.35,13.2,13.3,105438,13.14,13.15,12.95,,13.067140975926977,13.385929999999927,0.3617883672957781
50,13.26,13.3,13.24,13.27,72800,13.17,13.15,12.92,,13.092311165460698,13.388425233367176,0.34023205534607975
51,13.37,13.38,13.3,13.3301,87593,13.18,13.15,12.88,,13.131951821211937,13.395122137966721,0.32378690853564557
52,13.32,13.32,13.05,13.07,138772,13.16,13.14,12.83,,13.080266969955787,13.375999999999857,0.32066641506881366
53,12.92,12.93,12.68,12.92,155165,13.15,13.14,12.77,,12.76010625141899,13.457462774698367,0.3256188139924699
