,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.09,9.27,8.28,8.37,1212940,,,,,,,0.9900000000000002
1,8.5,8.54,8.12,8.43,443433,,,,,,,0.9492857142857145
2,8.15,8.24,7.57,8.06,802056,,,,,,,0.9429081632653064
3,7.67,8.05,7.375,7.45,431244,,,,,,,0.9244861516034988
4,6.85,6.91,5.93,6.345,639004,,,,,,,0.9670228550603919
5,6.63,6.74,5.995,6.7,824022,,,,,,,0.9511640796989353
6,6.47,6.81,6.03,6.62,743249,,,,,,,0.9389380740061543
7,6.1,6.24,5.86,5.97,636630,,,,,,,0.9261567830057147
8,6.27,6.96,6.27,6.96,763555,7.21,,,,,,0.9307170127910208
9,5.72,5.865,5.05,5.05,980567,6.84,,,,,,1.0006657975916622
10,5.19,5.27,4.725,4.9,889105,6.45,,,,,,0.9681182406208292
11,4.59,4.87,3.61,3.72,656126,5.97,,,,,,0.9911097948621986
12,3.7,4.725,3.62,4.43,727472,5.63,,,,,,0.9992448095148987
13,4.41,4.8,4.27,4.53,991692,5.43,,,,,,0.9657273231209774
14,4.54,4.92,4.3,4.67,697599,5.21,,,,,,0.9410325143266219
15,4.96,5.31,4.94,5.15,587552,5.04,,,,,,0.9195301918747204
16,5.25,6.11,5.14,5.65,561840,5.01,,,,,,0.9231351781693833
17,5.43,6.57,5.25,6.44,911687,4.95,,,,,,0.9514826654429989
18,6.12,6.67,6.09,6.09,717275,5.06,,,,,,0.9249481893399276
19,6.11,6.64,5.92,6.36,570046,5.23,6.09,,,3.0114891380417115,9.094670017190058,0.9103090329585042
20,6.31,6.53,6.08,6.39,583776,5.52,6.0,,,3.1751262258816726,8.6051276828433,0.8774298163186111
21,6.01,6.31,5.91,5.99,384453,5.7,5.87,,,3.3627710749326565,8.243206443063961,0.8490419722958531
22,5.83,6.39,5.83,6.17,393880,5.88,5.78,,,3.5017516688741717,7.918194864157279,0.8283961171318636
23,6.03,6.18,5.78,5.98,380081,6.02,5.71,,,3.6479054410458502,7.581371110445382,0.7977963944795876
24,5.41,6.625,5.41,6.48,525977,6.17,5.71,,,3.645038371688325,7.5382751099120835,0.8275966520167599
25,6.72,6.94,6.31,6.35,485790,6.25,5.69,,,3.6275186017381795,7.5706246088874,0.8134826054441343
26,5.93,6.19,5.5401,5.81,728810,6.18,5.65,,,3.6323835007395697,7.498329099552533,0.8132267050552675
27,6.06,6.73,6.025,6.19,524498,6.19,5.67,,,3.6272527699218102,7.554763641167328,0.8208533689798913
28,6.18,6.55,5.92,6.34,309717,6.19,5.63,,,3.6453067654861573,7.49206495694368,0.8072209854813277
29,6.46,6.52,6.08,6.11,359645,6.16,5.69,,,3.6636713599295243,7.540212290549542,0.7809909150898042
30,5.84,5.87,5.46,5.48,348225,6.1,5.72,,,3.7249491230674616,7.5285165557184826,0.7716344211548183
31,5.46,5.755,5.195,5.24,389680,6.0,5.79,,,4.023383745700212,7.468985089339906,0.756517676786617
32,5.4,5.77,5.18,5.415,686344,5.94,5.84,,,4.379270858087224,7.366737340505883,0.7446235570161444
33,5.29,5.39,5.05,5.22,385417,5.8,5.88,,,4.553146303281153,7.27743758660521,0.7175075886578484
34,4.98,5.51,4.93,5.39,583284,5.69,5.91,,,4.720313132413359,7.185141577824305,0.7076856180394306
35,5.56,6.21,5.43,6.15,506025,5.73,5.96,,,4.796554118828173,7.12754450778732,0.7157080738937571
36,6.18,6.56,6.1,6.45,587535,5.76,6.0,,,4.852016080285802,7.15565237328229,0.6974432114727744
37,6.48,6.95,6.39,6.87,851804,5.81,6.02,,,4.875557791900909,7.2159777342026565,0.6876258392247192
38,6.95,7.31,6.75,7.13,727342,5.93,6.08,,,4.805656994976868,7.34167837597086,0.6785097078515249
39,7.36,7.63,7.23,7.45,608616,6.15,6.13,,,4.668808520002798,7.540003128446218,0.6657590144335588
40,7.68,8.13,7.57,7.88,762631,6.44,6.2,,,4.508354494653623,7.858395327721148,0.6667762276883046
41,7.67,7.76,7.4,7.41,715759,6.66,6.28,,,4.430875928167605,8.041875195215257,0.6534350685677114
42,7.33,7.5,7.09,7.47,544097,6.91,6.34,,,4.4186835440435965,8.154003735139812,0.6360468493843034
43,7.29,7.605,7.2,7.53,413870,7.15,6.42,,,4.415418142474853,8.273447916075279,0.6195435029997104
44,7.75,7.9,7.23,7.24,415644,7.27,6.46,,,4.470350678267101,8.427900607838687,0.623147538499731
45,7.27,7.37,7.09,7.22,481082,7.36,6.5,,,4.464790081398528,8.47098438815011,0.5986370000354646
46,7.75,8.5,7.62,8.16,726595,7.5,6.62,,,4.499927209139596,8.730208868039353,0.6473057857472171
47,8.53,8.57,7.945,8.41,854713,7.64,6.73,,,4.471034910098693,8.968524668022969,0.6457125153367016
48,8.36,8.36,8.005,8.03,302960,7.71,6.81,,,4.473858486459672,9.141468782139667,0.6285187642412229
49,8.46,8.47,7.6,7.64,380677,7.68,6.89,6.43,,4.510907137578975,9.314036632048479,0.6457674239382785
50,7.56,7.765,7.39,7.55,674262,7.69,6.99,6.41,,4.6553666334204,9.336231832499191,0.6264268936569729
51,7.48,7.82,7.47,7.82,364278,7.73,7.12,6.4,,4.874864330915389,9.329237760505375,0.6066821155386177
52,7.75,7.91,7.65,7.8,354258,7.76,7.24,6.4,,5.130310731347412,9.302254149243183,0.5819191072858594
53,8.2,8.5,8.185,8.44,237059,7.9,7.4,6.42,,5.444858546306702,9.232890064961186,0.5903534567654409
54,8.43,8.55,8.23,8.24,654118,8.01,7.54,6.45,,5.889888766357204,9.096926453404638,0.5710424955679095
55,8.46,8.55,8.31,8.4,191789,8.04,7.66,6.49,,6.2625935903996215,9.036284172000238,0.5523966030273446
