,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,12.23,12.6,11.9,12.28,523264,,,,,,,0.6999999999999993
1,12.39,13.01,12.16,12.91,464827,,,,,,,0.7107142857142851
2,12.95,13.68,12.65,12.97,320187,,,,,,,0.7335204081632647
3,13.18,13.84,13.18,13.81,410575,,,,,,,0.7432689504373171
4,13.27,13.57,13.0601,13.36,285747,,,,,,,0.7437425968346516
5,12.84,12.94,11.99,12.05,387017,,,,,,,0.7884752684893193
6,11.11,11.38,10.355,10.51,426667,,,,,,,0.8532270350257966
7,11.03,11.2,10.04,10.53,458312,,,,,,,0.8751393896668112
8,10.21,10.3,9.35,9.43,535893,11.98,,,,,,0.8969151475477533
9,8.82,8.83,7.35,7.83,874615,11.49,,,,,,0.9814212084371995
10,8.38,8.51,7.61,7.92,595111,10.93,,,,,,0.9756054078345424
11,6.8,7.06,5.97,6.02,733263,10.16,,,,,,1.0452050215606465
12,6.21,6.33,5.28,5.47,1598872,9.24,,,,,,1.0455475200206004
13,5.08,5.77,4.71,5.29,661015,8.34,,,,,,1.0465798400191288
14,5.24,5.53,4.5501,4.85,950183,7.54,,,,,,1.0418169943034767
15,4.96,5.1402,4.3863,4.75,936961,6.9,,,,,,1.0212514947103712
16,4.77,5.06,4.41,4.97,665457,6.28,,,,,,0.9947335308024876
17,5.35,5.7862,5.25,5.7,782959,5.87,,,,,,0.9819811357451671
18,5.84,7.155,5.46,6.39,847698,5.71,,,,,,1.0329110546205122
19,6.58,7.69,6.47,7.39,970925,5.65,8.72,,,1.669084825995971,15.774591835648948,1.051988836433333
20,7.14,7.67,6.8,7.16,794377,5.77,8.47,,,1.6062768345479954,15.368315418981627,1.038989633830952
21,7.22,7.225,6.58,6.61,403541,5.9,8.15,,,1.5987178571332876,14.83653144164887,1.0108475171287412
22,6.62,7.0,6.2,6.44,715813,6.03,7.82,,,1.6889160413492208,14.079151117430017,0.995786980190974
23,6.1,6.1799,5.35,5.435,478362,6.09,7.41,,,1.9047342431622285,13.159082162274453,1.0025164816059045
24,5.41,5.79,4.9,5.005,432552,6.12,6.99,,,2.262029031523115,12.139634937926669,0.9944795900626255
25,5.26,5.26,4.57,4.91,1125220,6.12,6.63,,,2.593234635240883,11.1134526748393,0.9727310479152952
