,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,4.23,4.38,4.0,4.21,231101,,,,,,,0.3799999999999999
1,4.25,4.31,4.06,4.13,324297,,,,,,,0.3707142857142856
2,4.08,4.105,4.0,4.05,178107,,,,,,,0.35352040816326524
3,3.99,4.25,3.99,4.09,225629,,,,,,,0.3468403790087463
4,3.99,4.07,3.27,3.515,291938,,,,,,,0.38063749479383585
5,3.66,3.81,3.52,3.73,208737,,,,,,,0.37452053087999043
6,3.62,3.69,3.42,3.49,277506,,,,,,,0.36991192153141966
7,2.95,3.18,2.62,2.71,400657,,,,,,,0.4056324985648897
8,2.9,2.925,2.62,2.73,265072,3.63,,,,,,0.3984444629531118
9,2.6,2.8,1.7,1.78,842310,3.36,,,,,,0.4485555727421753
10,2.18,2.25,1.73,2.1101,690663,3.13,,,,,,0.4536587461177342
11,2.0,2.0,1.7,1.85,153768,2.89,,,,,,0.45054740710932467
12,1.85,1.93,1.71,1.73,228849,2.63,,,,,,0.43407973517294435
13,1.88,2.14,1.72,1.75,430258,2.43,,,,,,0.4330740398034484
14,1.78,1.83,1.7102,1.72,250554,2.21,,,,,,0.41069732267463066
15,1.86,1.975,1.74,1.77,451151,2.02,,,,,,0.3995760853407285
16,1.77,2.3,1.77,2.19,456733,1.96,,,,,,0.4088920792449622
17,2.3,2.5,2.23,2.34,495598,1.92,,,,,,0.40182835929889343
18,2.3,2.3,2.0,2.02,239013,1.94,,,,,,0.3974120479204011
19,2.0,2.06,1.81,1.86,189941,1.91,2.69,,,0.6623438617565491,4.8134894541626485,0.38688261592608675
20,1.88,1.98,1.8,1.85,392212,1.91,2.57,,,0.6494615818978546,4.610814377360859,0.37210528621708056
21,1.78,1.88,1.72,1.76,320048,1.92,2.45,,,0.6721611963240983,4.390746251706685,0.35695490863014623
22,1.75,1.83,1.71,1.79,396307,1.92,2.34,,,0.7326450958580322,4.182165251971524,0.3400295580137072
