,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,10.73,12.11,10.73,11.54,672409,,,,,,,1.379999999999999
1,11.61,11.77,10.73,11.07,648370,,,,,,,1.3557142857142848
2,10.98,11.2199,9.99,10.26,524410,,,,,10.05609413413301,12.149130337652347,1.3467275510204073
3,10.35,10.4999,9.95,10.31,570052,,,,,9.784091562399222,11.800207796861077,1.2898112973760927
4,10.07,10.205,9.46,9.62,1354689,,,,,9.504872908732521,11.163677264396755,1.258396204706372
5,9.32,9.83,9.145,9.51,1023987,,,,,9.11267543148334,10.514047181670971,1.217439332941631
6,8.57,9.61,8.42,9.12,722133,,,,,8.475033855241199,10.182512695946317,1.2154793805886575
7,9.41,9.66,8.74,9.33,770666,,,,,8.40500382265006,9.815325625946706,1.1943737105466103
8,8.99,9.14,8.33,8.51,789328,9.92,,,,8.281182715214713,9.756879765755619,1.1804898740789953
9,7.73,8.16,7.46,7.8,1008793,9.5,,,,7.523035782043435,9.748331509844641,1.1711691687876384
10,8.17,8.74,6.895,7.0,1764970,9.05,,,,6.838784703042344,9.172747399790193,1.2192999424456643
11,6.48,6.62,4.82,4.96,1035674,8.46,,,,5.001555759820251,8.935627673984184,1.2879213751281169
12,5.01,5.06,3.16,3.28,1547214,7.68,,,,3.0869946859118214,8.653754464616004,1.33164127690468
13,3.16,4.4,3.12,3.42,1271903,6.99,,,,2.7298453731491823,6.499999999999997,1.3279526142686313
14,3.38,4.92,3.19,4.81,1638465,6.47,,,,3.1215478208230536,5.141088036153191,1.356670284678015
15,5.03,5.92,4.73,5.11,1598757,6.02,,,,2.769999999999972,5.852528316633115,1.344765264343871
16,5.01,5.22,4.45,4.55,850666,5.49,,,,3.3030081945417806,5.866493477278015,1.3037106026050231
17,4.78,6.105,4.78,5.69,731809,5.18,,,,4.475475712373821,6.215139859994354,1.321659845276093
18,5.93,6.6941,5.8,6.22,653114,5.0,,,,4.306224467603455,6.748349889747435,1.2989769991849436
19,6.25,7.27,5.9,6.08,829560,4.9,7.41,,,4.873548424406559,7.272212463385965,1.3040500706717333
20,5.8,6.09,5.57,5.8,431233,5.0,7.12,,,5.587452798046599,7.2747561583442595,1.248046494195181
21,6.25,6.53,5.14,5.42,975321,5.23,6.84,,,5.155571752854672,7.226322060635012,1.2581860303240968
22,5.41,5.61,5.13,5.2,663362,5.43,6.59,,,5.028802866258312,6.536811571379655,1.2026013138723757
23,4.84,4.84,3.78,3.8,1125846,5.32,6.26,,,3.901007740416051,6.506108740056499,1.2181297914529203
24,4.08,4.21,3.5,3.58,1245437,5.15,5.96,,,3.2650972010855344,5.587832362728115,1.1818348063491404
25,3.68,3.82,3.215,3.37,1244037,5.02,5.65,,,3.2158296460416693,4.804684369298317,1.1406323201813446
26,3.52,4.26,3.505,4.16,1153577,4.85,5.4,,,3.240659638702827,4.337567752868745,1.122730011596963
27,4.63,6.88,4.63,5.56,3357152,4.77,5.22,,,3.0358988323010463,6.641034622513651,1.2368207250543226
28,5.69,6.445,5.64,5.9,1826788,4.75,5.09,,,3.523650593129674,7.26569954852283,1.2116906732647281
29,5.97,6.415,5.35,5.47,1844478,4.72,4.97,,,4.686634616372292,6.840240273593431,1.2012127680315332
30,5.71,5.97,5.26,5.73,1198966,4.75,4.91,,,5.218088386551822,6.542671052595396,1.1661261417435667
31,5.85,6.905,5.8,6.46,2272482,4.89,4.98,,,5.18069047717015,6.897680446458888,1.1667599887618834
32,6.0,6.29,5.7,6.0,996320,5.14,5.12,,,5.299380514314404,6.863526276603031,1.1377057038503202
