,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,25.2,26.04,25.02,26.04,534523,,,,,,,1.0199999999999996
1,25.97,27.11,25.86,26.94,368967,,,,,,,1.036428571428571
2,27.0,27.26,25.99,26.39,524710,,,,,,,1.053112244897959
3,26.76,27.08,26.71,26.86,315881,,,,,,,1.027175655976676
4,26.39,26.55,25.68,25.95,331564,,,,,,,1.0380916805497706
5,25.25,26.05,25.01,25.99,346798,,,,,,,1.03822798908193
6,24.7,25.42,24.34,24.41,321083,,,,,,,1.081925989861792
7,24.92,25.77,24.09,25.71,583622,,,,,,,1.124645562014521
8,25.0,25.67,24.63,25.25,307112,25.95,,,,,,1.1214565932991982
9,23.9,24.02,21.49,21.49,518010,25.44,,,,,,1.3099239794921127
10,22.47,23.14,21.69,22.99,452627,25.0,,,,,,1.334215123814105
11,20.93,21.26,19.04,19.93,441268,24.29,,,,,,1.5210569006845258
12,20.1,20.76,19.2,20.71,349083,23.6,,,,,,1.5238385506356313
13,19.51,19.96,17.02,17.98,367490,22.72,,,,,,1.6785643684473721
14,17.97,19.85,17.11,18.28,381700,21.86,,,,,,1.7543811992725602
15,18.3,19.27,16.85,17.27,531109,21.07,,,,,,1.80192539932452
16,17.31,18.28,16.905,17.55,321848,20.16,,,,,,1.7714307279441972
17,17.87,19.05,17.86,18.96,307690,19.46,,,,,,1.752042818805326
18,18.85,19.97,17.9,19.52,358495,19.24,,,,17.589705677462288,26.87450190248086,1.7747540460335172
19,19.61,21.29,19.61,20.73,288979,18.99,22.45,,,17.372002251050535,26.579681953697722,1.7744144713168373
20,19.98,20.78,19.65,20.12,196347,19.01,22.15,,,17.202713617785406,26.115272672228635,1.7283848662227779
21,20.31,20.98,20.12,20.83,124933,19.03,21.85,,,17.114645470462495,25.58329575465526,1.6663573757782937
22,21.0,21.0,20.46,20.92,263890,19.35,21.57,,,17.14248911296335,25.02178379588954,1.5859032775084154
23,20.0,20.51,19.52,20.02,302377,19.55,21.23,,,17.120342843662087,24.471227502705798,1.5726244719721
24,19.97,20.99,19.9,20.93,315211,19.95,20.98,,,17.146272639630396,23.955179344762563,1.5381512954026644
25,20.75,20.89,19.995,20.49,348466,20.28,20.7,,,17.19159210370742,23.484931580163483,1.4950690600167598
26,20.98,21.7257,20.43,21.29,437023,20.54,20.55,,,17.290681125868105,22.929545555014492,1.4808284128727054
27,22.02,22.58,21.24,21.32,364754,20.74,20.33,,,17.533176843272404,22.381300322097722,1.470769240524655
28,21.76,22.36,21.46,21.86,274623,20.86,20.16,,,17.53418052304288,22.108620829893006,1.4400000090586083
29,22.38,22.79,22.005,22.76,258750,21.16,20.22,,,17.519430149621964,22.050870778232074,1.4035714369829935
30,22.55,22.67,21.46,21.97,183097,21.28,20.17,,,17.56464195814449,22.20822583397427,1.3961734771984942
31,22.5,22.5,21.48,21.86,287265,21.39,20.27,,,17.61315942377799,22.36251913848122,1.3693039431128873
32,21.4,21.825,20.94,21.57,346003,21.56,20.31,,,17.911002416767268,22.454171920179956,1.3372108043191095
33,21.72,21.77,21.31,21.67,323246,21.64,20.5,,,18.232845057031305,22.531977738404652,1.2745528897248875
34,22.26,22.64,21.92,22.535,269250,21.87,20.71,,,18.644701353747095,22.668546673814525,1.2527991118873953
35,22.11,22.41,21.56,21.76,138956,21.92,20.93,,,19.12821200417229,22.652114736772898,1.2329563181811531
36,21.37,21.9,21.1467,21.65,201545,21.96,21.14,,,19.48737327975836,22.59670179691367,1.198695152596785
37,22.2,22.2,21.495,21.67,111150,21.94,21.27,,,19.919661935300095,22.60581193805812,1.1634312131255862
38,21.61,21.99,21.44,21.78,191447,21.83,21.39,,,20.064712151939247,22.63361079560859,1.1196146979023298
39,21.87,22.36,21.6,22.19,127422,21.85,21.46,,,20.222437039359775,22.678450729941943,1.093927933766449
40,22.4,22.72,22.29,22.53,157835,21.93,21.58,,,20.314684726457884,22.7555853822138,1.053647367068845
41,23.16,23.535,22.705,23.23,207261,22.11,21.7,,,20.365373921745512,22.934401413508922,1.050172555135356
42,23.85,24.38,23.34,24.07,221473,22.38,21.86,,,20.546011963345425,23.205511939994967,1.057303086911402
43,23.56,23.85,22.92,23.74,227787,22.51,22.04,,,20.733943548077324,23.359655839220697,1.063924294989159
44,23.25,23.44,22.52,22.8,195339,22.63,22.14,,,20.952981411760835,23.41635310153664,1.0750725596327904
45,22.44,22.89,22.21,22.69,129726,22.74,22.25,,,21.1218322697787,23.444232925739367,1.046853091087591
46,23.02,23.29,22.59,22.67,109428,22.86,22.32,,,21.18848012219692,23.496464154269216,1.0220778702956204
47,21.73,22.85,20.57,21.45,386379,22.82,22.32,,,21.072725768885437,23.51722361735063,1.1119294509887905
48,21.67,22.3,21.59,21.7,338832,22.76,22.31,,,21.048779933255208,23.498978118487088,1.0932202044895911
49,22.22,22.49,21.93,22.48,178204,22.76,22.3,22.11,,21.08003889214496,23.491451216226473,1.0715616184546202
50,22.14,22.3,21.88,21.95,183407,22.62,22.3,22.03,,21.107982718844553,23.48596474030011,1.0378786457078617
51,21.76,21.76,21.0,21.05,326359,22.28,22.26,21.91,,21.11590596883638,23.487464338433927,1.0316015995858716
52,20.71,20.73,20.26,20.69,249386,21.94,22.22,21.8,,20.968097694389773,23.547833711245794,1.014344342472595
53,20.61,20.86,20.235,20.84,222686,21.72,22.17,21.68,,20.790627708211893,23.557751158144494,0.9865340322959811
54,20.77,21.34,20.59,21.16,222177,21.55,22.1,21.58,,20.69636710653901,23.545460866287115,0.9696387442748396
55,21.7,22.56,21.65,22.41,258205,21.53,22.14,21.51,,20.733542926432577,23.568824594103443,1.000378833969494
56,22.16,22.41,21.71,21.73,146144,21.56,22.14,21.46,,20.746755389208815,23.576934883648086,0.9789232029716729
57,22.17,22.41,21.96,22.31,286273,21.62,22.17,21.39,,20.77596219017986,23.589830499351013,0.9575715456165534
58,22.22,22.45,22.04,22.24,154931,21.6,22.2,21.33,,20.797846997163706,23.593700801087387,0.9184592923582282
59,22.42,22.47,21.92,22.27,146741,21.63,22.2,21.34,,20.786583186987073,23.579805308504742,0.8921407714754974
60,22.92,23.23,22.67,22.68,148799,21.81,22.21,21.34,,20.78694326371289,23.546854815882277,0.8969878592272477
61,23.17,23.83,22.82,23.78,179936,22.16,22.24,21.41,,20.80803799261977,23.458446491051436,0.9150601549967299
62,23.93,24.0,23.05,23.11,164629,22.41,22.19,21.46,,20.80331545589549,23.481166335923525,0.9175558582112492
63,22.79,22.95,22.34,22.68,278613,22.58,22.13,21.56,,20.802699219852936,23.43137105741603,0.9070161540533028
64,22.86,23.1,22.63,22.67,149689,22.61,22.13,21.64,,20.804747061534727,23.449953580186136,0.8758007144780671
65,22.82,23.0,22.5,22.67,110565,22.71,22.13,21.75,,20.805013084885427,23.421144857214443,0.8489578063010623
66,22.98,23.87,22.77,23.86,319036,22.88,22.19,21.88,,20.943314379048463,23.535093190108896,0.8740322487081292
67,23.59,24.82,23.49,24.55,571702,23.14,22.34,21.99,,20.961639365891287,23.81880103861446,0.9066013738004058
68,25.17,26.69,25.13,26.32,920227,23.59,22.57,22.13,,20.853534938215805,24.420737969198044,0.9947012756718056
69,26.56,26.6,25.68,25.97,533471,23.96,22.75,22.23,,20.777117718554848,24.899597556888658,0.9893654702666768
70,25.58,25.82,25.175,25.3,246409,24.13,22.91,22.33,,20.886080600359655,25.198707365882147,0.9754822223904854
71,25.19,25.365,24.92,25.11,250352,24.35,23.12,22.42,,21.14858134210394,25.375392215024878,0.9375906350768791
72,24.25,24.52,23.7,23.79,341756,24.47,23.27,22.48,,21.467089482957398,25.430339621841007,0.9713341611428163
73,24.49,24.53,23.87,23.8823,55785,24.61,23.42,22.55,,21.76739502686808,25.477211903663875,0.9548102924897582
74,22.88,23.85,22.87,23.82,226103,24.73,23.56,22.61,,21.88760897785356,25.502172649199068,0.9589167001690612
75,24.66,24.66,24.07,24.22,223455,24.77,23.65,22.69,,22.05964951623858,25.567481949791492,0.9504226501569853
76,24.32,24.32,23.55,23.72,278972,24.68,23.75,22.73,,22.197108161358305,25.59560886810774,0.9375353180029149
77,23.43,24.03,23.41,24.01,811754,24.42,23.83,22.79,,22.325909925432224,25.59828612120832,0.9148542238598497
78,24.21,24.4,23.38,23.4,530164,24.14,23.89,22.82,,22.479593471398438,25.605315734575736,0.9223646364412891
79,23.41,23.96,23.07,23.93,292619,23.99,23.97,22.84,,22.51839783199421,25.60975596297723,0.9200528766954827
80,24.19,24.36,23.68,23.73,294548,23.83,24.03,22.88,,22.583811486020213,25.626761580773806,0.9029062426458054
81,23.39,23.415,22.255,22.41,223428,23.68,23.96,22.89,,22.49411132621359,25.62085459103555,0.9437700824568195
82,22.28,22.65,22.14,22.61,294918,23.54,23.93,22.91,,22.46724833822262,25.632409885040218,0.912786505138475
83,22.61,23.25,22.46,23.03,311175,23.45,23.95,22.94,,22.447756316452708,25.629890484193425,0.9040160404857268
84,23.39,23.79,23.08,23.57,154753,23.38,24.0,22.96,,22.50641182229955,25.62406988876481,0.8937291804510319
85,23.39,24.04,23.36,23.96,152674,23.41,24.06,23.0,,22.557898880622332,25.627884592397592,0.8784628104188154
86,24.09,24.2,23.65,23.79,131313,23.38,24.06,23.04,,22.56712078930163,25.59347851255974,0.8550011811031858
87,24.07,24.1935,23.71,23.88,146125,23.43,24.02,23.09,,22.5651825280457,25.294626301605476,0.8284653824529582
88,24.27,24.27,23.7092,23.74,127759,23.41,23.89,23.13,,22.62709843223247,24.960350439090725,0.8093464265634612
89,23.55,23.71,23.11,23.12,132534,23.35,23.75,23.15,,22.645558480552133,24.72283815855793,0.796535967523214
90,23.03,23.34,22.66,23.11,180161,23.42,23.64,23.16,,22.636117735896253,24.54307151696959,0.7882119698429845
91,23.1,23.25,22.39,22.52,177295,23.41,23.51,23.14,,22.543260962262682,24.484357989678927,0.7933396862827713
92,22.6,22.99,22.43,22.89,128298,23.4,23.47,23.12,,22.468638742042454,24.42193444174946,0.7766725658340019
93,23.21,23.42,22.82,22.99,115785,23.33,23.42,23.11,,22.464644098233798,24.407904942740487,0.764053096845859
94,22.94,23.07,22.72,23.07,119667,23.23,23.38,23.11,,22.442271526232343,24.305518067324346,0.7344778756425835
95,23.63,24.16,23.49,24.07,151317,23.27,23.38,23.14,,22.44248739532278,24.2873850730938,0.7598723130966847
96,24.02,24.02,23.52,23.56,153475,23.23,23.37,23.16,,22.44281104455464,24.286491831230254,0.7448814335897788
97,23.66,23.82,23.41,23.48,138931,23.2,23.34,23.2,,22.443159109786286,24.227159657540682,0.7209613311905089
98,23.26,23.26,22.77,23.06,94537,23.19,23.33,23.22,,22.423732432969913,24.194679064931307,0.7201783789626155
99,23.29,23.575,23.17,23.44,188101,23.23,23.3,23.24,,22.421539787860297,24.11928008637987,0.7055227804652858
100,23.21,23.49,23.12,23.34,146031,23.32,23.28,23.27,,22.501475502482737,24.121758637366124,0.6815568675749081
101,23.2,23.5,23.1,23.15,199596,23.35,23.32,23.31,,22.608265474611454,24.101257569681522,0.6614456627481289
102,23.08,23.08,22.77,22.8,85761,23.33,23.33,23.36,,22.645957817436575,24.104315397358867,0.6413424011232625
103,22.77,22.84,22.4102,22.71,109617,23.29,23.31,23.39,,22.578286201793194,24.094090540339415,0.6262322296144581
104,22.65,22.82,22.49,22.5,175527,23.12,23.26,23.42,,22.518230914554724,24.050465225597684,0.605072784641997
105,22.65,22.89,22.65,22.77,326370,23.03,23.2,23.43,,22.486328986893525,23.972578220782633,0.5897104428818544
106,22.92,23.855,22.74,23.23,492340,23.0,23.17,23.46,,22.474462184665757,23.92866845724998,0.6272311255331506
