,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,51.25,51.88,50.76,51.32,186158,,,,,,,1.1200000000000045
1,50.75,51.46,50.3,50.86,149511,,,,,,,1.1228571428571474
2,50.25,50.5,48.57,49.53,191759,,,,,,,1.2062244897959227
3,48.69,48.99,44.03,44.16,209875,,,,,,,1.5129227405247854
4,45.01,45.82,42.53,45.78,178659,,,,,,,1.6398568304873007
5,44.98,45.31,41.79,42.46,128651,,,,,,,1.807724199738208
6,39.38,39.53,33.77,34.38,256668,,,,,,,2.299315328328336
7,35.41,37.19,33.48,37.19,252086,,,,,,,2.4000785191620264
8,34.0,34.0,26.92,27.42,159434,42.57,,,,,,2.96221576779331
9,28.0,29.57,25.43,28.89,287522,40.07,,,,,,3.046343212950931
10,27.04,27.04,20.28,22.0,200595,36.87,,,,,,3.4437472691687216
11,21.0,30.19,20.1184,27.9,280445,34.46,,,,,,3.917165321370956
12,28.55,30.7415,25.16,26.14,386893,32.46,,,,,,4.036046369844459
13,26.24,27.15,24.6972,26.5401,195454,30.32,,,,,,3.9229573434269973
14,27.55,31.42,27.55,30.17,223084,28.96,,,,,,3.9913103903250695
15,30.98,32.0613,29.01,30.14,131619,28.49,,,,,,3.924166791016136
16,31.04,33.24,30.5,32.73,129672,27.99,,,,,,3.865297734514984
17,31.82,34.32,31.22,33.26,108429,28.64,,,,,,3.8106336106210565
18,35.02,38.86,33.635,37.99,188823,29.65,,,,,,3.9384454955766954
19,38.65,39.6922,37.54,38.46,164067,31.48,35.87,,,14.608817579050317,54.652152219982526,3.8108565316069316
20,36.31,36.48,28.3565,29.77,253227,31.69,34.79,,,15.086779698077798,52.54431486302649,4.260331065063579
21,29.66,31.82,29.5,31.67,162792,32.3,33.83,,,16.065701778073105,50.166193220545445,4.121735988987609
22,31.31,32.13,29.4,30.48,145966,32.74,32.88,,,17.25760568884419,47.60718435361089,4.022326275488495
23,31.59,33.25,31.01,32.89,188619,33.04,32.31,,,18.136098030362962,45.01160257231663,3.932874398667888
24,34.65,35.8383,31.465,31.7,134346,33.22,31.61,,,19.07432134161191,43.102120280385016,3.9643333701916106
25,32.36,34.375,31.395,34.16,165336,33.38,31.19,,,20.214702155450087,40.84783626586031,3.894023843749353
26,35.28,37.56,33.82,35.97,125878,33.68,31.27,,,20.21150062842254,40.45500173681644,3.883022140624399
27,35.48,35.48,33.31,33.9,96354,33.22,31.11,,,20.220785256349032,40.21429146002592,3.795663416294085
28,34.71,36.49,34.05,35.96,144219,32.94,31.54,,,20.359660926119044,40.48219852977789,3.7095446008445077
29,34.21,35.4,32.14,33.75,160370,33.39,31.78,,,20.8143020467351,40.590400134149476,3.717434272212757
30,33.64,33.64,31.49,33.27,125857,33.56,32.34,,,22.53992511207795,40.17656970884892,3.6133318241975605
31,34.43,35.745,34.31,35.4,80455,34.11,32.72,,,24.70427715980062,40.22677581449049,3.532022408183449
32,34.88,34.99,31.36,32.31,137201,34.05,33.03,,,25.64356521455516,40.2050203292691,3.5683065218846313
33,31.44,34.3017,31.2006,33.88,168250,34.29,33.39,,,26.893940203477495,39.40285754499884,3.5349346274643003
