,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,21.41,21.63,20.1,20.38,859873,,,,,,,1.5299999999999976
1,20.04,20.19,19.11,19.2,1109128,,,,,,,1.5114285714285693
2,18.52,19.68,17.64,19.41,1966046,,,,,,,1.5491836734693858
3,19.62,20.81,19.15,20.69,1226808,,,,,,,1.5570991253644297
4,20.425,21.48,19.46,19.57,1346972,,,,,,,1.5901634735526846
5,20.06,20.6,19.76,20.56,764107,,,,,,,1.5501517968703502
6,20.04,20.63,19.84,20.49,877959,,,,,,,1.4958552399510394
7,19.67,20.58,18.92,19.46,853787,,,,,,,1.5075798656688222
8,17.92,18.94,17.47,17.83,1206357,19.73,,,,,,1.542038446692478
9,18.43,18.43,15.67,17.55,2639492,19.42,,,,,,1.6290357005001581
10,17.06,17.5,15.53,15.86,2977414,19.05,,,,,,1.6569617218930042
11,14.22,15.22,13.14,14.44,2380234,18.49,,,,,,1.7328930274720753
12,14.97,15.33,13.4,14.95,1464999,17.86,,,,,,1.7469720969383558
13,13.0,14.17,12.61,12.96,3436560,17.12,,,,,,1.7893312328713302
14,12.92,13.48,12.2,13.39,2296927,16.33,,,,,,1.752950430523378
15,12.48,12.9,10.8616,11.66,1519614,15.34,,,,,,1.808339685485994
16,11.61,14.0,11.22,12.86,3083900,14.61,,,,,,1.877743993665566
17,13.0,14.3,12.73,13.8,1427622,14.16,,,,,,1.8557622798323112
18,14.0,14.88,13.66,14.24,953607,13.8,,,,,,1.8103506884157177
19,15.0,16.74,14.84,16.29,1282377,13.84,16.78,,,9.405303326244175,23.658323157400808,1.8596113535288805
20,16.21,17.32,15.77,15.9624,2336593,14.01,16.56,,,9.503761582794748,23.135543858343713,1.8374962568482462
21,16.02,17.42,16.02,16.71,899919,14.21,16.43,,,9.56400503839992,22.841994369593237,1.8103608099305146
22,16.0,17.0,15.69,16.26,1366476,14.57,16.28,,,9.551507603876955,22.58762055570691,1.774620752078335
23,16.36,16.83,15.86,16.69,660117,14.94,16.08,,,9.652548205485797,22.101961167096547,1.7171478412155967
24,16.79,17.26,15.65,16.11,1668788,15.44,15.9,,,9.821131507184592,21.429618754537575,1.7094944239859113
25,15.63,15.93,15.01,15.15,1081986,15.69,15.63,,,10.078591937739208,20.829237327680396,1.6659591079869176
26,14.96,15.57,14.4,14.96,1267158,15.82,15.36,,,10.44357998244328,20.11928545800968,1.6305334574164236
27,14.86,15.19,14.12,14.36,984703,15.83,15.1,,,10.762606288095512,19.280070617927553,1.5904953533152506
28,14.85,15.97,14.85,15.95,585472,15.79,15.01,,,10.947797423526913,18.817477060546643,1.5918885423641613
29,16.5,16.63,15.94,16.08,1204966,15.81,14.93,,,10.93247888581958,18.49419599526589,1.5274679321952926
30,16.37,16.56,15.63,16.49,1236100,15.78,14.97,,,10.928386402989052,18.348967769269123,1.4847916513242003
31,16.94,17.21,16.39,16.68,607822,15.83,15.08,,,10.986578825920802,18.529122467676473,1.4373065333724717
32,17.1,17.1,15.74,15.83,608882,15.73,15.12,,,11.07887378190702,18.675198413412666,1.431784638131581
33,14.91,15.17,14.23,14.82,10810630,15.59,15.21,,,11.270649376818378,18.63688056715078,1.4438000211221824
34,14.5,14.81,14.12,14.47,16326544,15.52,15.27,,,11.5482872462196,18.51878978392768,1.3906714481848839
35,14.69,15.07,14.32,14.98,9354180,15.52,15.43,,,12.273232746939456,18.242851391684408,1.3449092018859636
36,15.57,15.64,14.98,15.53,7362660,15.65,15.57,,,13.10609144662255,18.11521906520216,1.2959871160369663
37,15.43,17.12,15.2101,16.55,7251530,15.71,15.71,,,13.55953103232828,18.103673054943467,1.3398380363200402
38,15.74,16.835,15.7,16.2,5325388,15.73,15.8,,,13.80338993353534,18.094462286198617,1.325206748011466
39,16.52,16.67,15.96,16.37,1805976,15.71,15.81,,,13.834944887789575,18.088073493418204,1.2812634088677899
40,16.55,17.17,16.4601,16.62,3161062,15.71,15.84,,,13.789371066523092,18.06430231079323,1.2468874510915193
41,16.66,17.45,16.66,17.33,3498426,15.87,15.87,,,13.734585287582629,18.069781696347818,1.2171097760135536
42,17.52,18.22,17.42,17.7,5337340,16.19,15.94,,,13.576212835835776,18.305121837050276,1.1937447920125857
43,18.0,18.19,16.88,16.98,1850952,16.47,15.96,,,13.52455240297364,18.527195225252253,1.2020487354402583
44,17.42,17.45,16.485,16.82,1971414,16.68,15.99,,,13.516406036692894,18.55353637790481,1.1851166829088113
45,16.66,17.055,16.485,16.58,1228962,16.79,16.07,,,13.561704017348575,18.60593772348301,1.1411797769867533
46,16.26,16.66,15.58,16.01,1375629,16.73,16.12,,,13.700108824170199,18.60761585720446,1.136809792916271
47,15.85,16.19,15.56,16.02,811287,16.71,16.2,,,13.909137333681102,18.555656043300495,1.1006090934222519
48,16.35,16.84,16.1,16.6,2539558,16.74,16.23,,,14.013489452324238,18.57239371031314,1.0805655867492339
49,16.82,16.82,15.8706,16.14,538004,16.69,16.24,16.37,,14.010960258256135,18.58228396176014,1.0711966162671458
50,16.37,17.15,16.22,16.56,1969640,16.6,16.24,16.29,,14.032013010618257,18.62031286434837,1.066825429390921
51,16.8,17.41,16.52,17.31,2285452,16.56,16.27,16.26,,14.028838842117377,18.642906863179945,1.0541950415772838
52,17.18,17.9,16.92,17.7,1775906,16.64,16.36,16.22,,14.023242550800521,18.746727351571334,1.0488953957503349
53,17.89,18.27,16.95,16.96,2110552,16.65,16.47,16.15,,14.274206080847586,18.851528245588835,1.0682600103395967
54,16.93,17.425,16.08,16.38,810540,16.63,16.57,16.08,,14.618632429411948,18.70365948539992,1.0880271524581973
55,16.13,16.57,15.78,16.44,766014,16.68,16.64,16.0,,14.938354232874893,18.50430810265314,1.0667394987111833
56,16.37,16.99,16.2,16.62,1773920,16.75,16.69,15.92,,15.136329685965917,18.374500143794354,1.0469723916603844
57,17.17,17.28,16.44,16.85,4520196,16.77,16.71,15.87,,15.30965804743327,18.381822032810163,1.0321886493989283
58,16.72,17.21,16.45,16.82,1833153,16.85,16.74,15.85,,15.388475370076833,18.385836553379953,1.0127466030132908
59,17.19,17.82,16.93,17.23,679941,16.92,16.78,15.85,,15.4222969968288,18.436999936154912,1.0118361313694844
60,17.14,17.45,15.93,16.26,2040208,16.81,16.77,15.85,,15.374192070783234,18.450973933487123,1.0481335505573783
61,16.16,17.14,16.15,17.12,1502642,16.74,16.76,15.91,,15.35351079633083,18.436322891002675,1.0439811540889943
62,17.72,17.72,16.9,16.99,1217744,16.75,16.72,15.95,,15.423009163818358,18.346310648575955,1.0279825002254948
63,18.29,19.72,18.29,19.15,11301646,17.05,16.83,16.07,,15.152467773201685,18.83666198497812,1.1495551787808167
64,19.22,19.49,17.7,18.24,3090268,17.25,16.9,16.17,,15.081896704878915,19.22042999712081,1.1953012374393297
65,18.18,18.94,17.99,18.62,3600894,17.48,17.0,16.31,,14.994164518901608,19.422649454968443,1.1777797204793778
66,18.64,19.0,18.18,18.63,2192576,17.67,17.13,16.42,,15.024965412886514,19.59709568761252,1.1522240261594223
67,18.88,19.28,18.13,19.18,2604730,17.94,17.29,16.53,,15.113300815584761,19.748560301949336,1.1520651671480353
68,19.1,19.65,18.81,18.82,2078168,18.11,17.4,16.62,,15.055174611808138,19.994671866621918,1.1297747980660329
69,18.72,19.27,18.54,18.73,881909,18.39,17.53,16.67,,15.124561041058566,20.122746027131676,1.1012194553470307
70,19.19,19.63,18.76,18.79,865417,18.57,17.64,16.73,,15.151416545289202,20.30824818295662,1.086846637107957
71,18.9,18.92,18.21,18.75,1956630,18.77,17.71,16.77,,15.211495451873589,20.37145051038282,1.0599290201716745
72,18.7,19.06,18.34,18.55,1922588,18.7,17.76,16.81,,15.235404110704067,20.448923899350817,1.0356483758736976
73,18.66,18.8547,17.945,17.95,814603,18.67,17.81,16.84,,15.276740077063401,20.490157613396203,1.0266520633112908
74,17.2,17.23,16.02,16.145,3305004,18.39,17.79,16.84,,15.265759488111467,20.50043296015631,1.091176915931913
75,16.57,16.59,15.65,15.84,600064,18.08,17.76,16.85,,15.237843558026407,20.49792313934207,1.0803785647939192
76,15.76,16.76,15.57,16.66,1989652,17.8,17.77,16.89,,15.116667926929253,20.519751817556326,1.0882086673086395
77,17.13,17.44,16.62,17.15,1947178,17.62,17.78,16.94,,15.139666980939486,20.512248461422143,1.0690509053580224
78,17.22,17.56,17.0,17.12,2462482,17.44,17.8,16.97,,15.20110167420053,20.495865384139766,1.032690126403878
79,16.89,17.31,16.77,16.97,1273745,17.24,17.78,16.99,,15.184947269181379,20.51043338466785,0.9974979745178866
80,17.15,17.59,16.88,17.31,1060882,17.08,17.84,17.0,,15.325173767146588,20.50601830413895,0.9769624049094663
81,17.0,17.74,16.7,17.585,1160310,16.97,17.86,17.02,,15.409273775893418,20.480456395468757,0.9814650902730757
82,17.82,18.02,17.58,17.71,1233339,16.94,17.9,17.06,,15.459276250982382,20.47954441960703,0.9427890123964275
83,17.64,17.72,16.86,17.11,843031,17.05,17.79,17.1,,15.406671146011206,20.303700161089722,0.9368755115109684
