,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,20.55,21.53,20.55,21.44,140962,,,,,,,0.9800000000000004
1,21.48,21.48,20.3838,21.33,83904,,,,,,,0.9883000000000004
2,21.32,21.415,19.78,20.06,140313,,,,,,,1.0344928571428573
3,20.27,20.42,19.63,20.17,83055,,,,,,,1.0170290816326535
4,19.69,19.72,18.0,18.45,305632,,,,,,,1.0993841472303212
5,19.3,19.83,18.05,18.955,342250,,,,,,,1.1479995652852981
6,18.15,18.65,16.8201,17.59,272580,,,,,,,1.2184924534792052
7,18.01,18.3,17.0701,18.3,369266,,,,,,,1.2193072782306906
8,17.76,17.76,16.345,16.5301,550544,19.2,,,,,,1.27185675835707
9,15.47,16.0,14.48,14.48,241046,18.43,,,,,,1.327445561331565
10,15.1,15.97,13.35,14.64,288711,17.69,,,,,,1.4197708783793106
11,13.68,14.2,11.6,11.65,413222,16.75,,,,,,1.5355015299236459
12,11.81,12.82,10.675,11.89,249105,15.83,,,,,,1.5790371349291
13,11.18,11.54,8.1,8.29,288645,14.7,,,,,,1.7369630538627356
14,8.51,10.175,8.2301,10.01,415522,13.71,,,,11.276927122028837,21.047024936127745,1.7518156928725404
15,10.3,11.02,8.3039,8.41,390500,12.69,,,,10.31866753009459,20.48390208024405,1.8206931433816447
16,8.63,8.73,7.28,8.31,287595,11.58,,,,9.349905950698318,19.882796667545268,1.7942150617115273
17,9.51,11.12,9.51,10.61,326860,10.92,,,,8.855135198801964,19.043302502495635,1.8667711287321325
18,10.68,13.54,10.3,12.54,964834,10.71,,,,8.573473741227197,18.311392448683986,1.9648589052512657
19,12.6,13.26,11.77,11.85,340611,10.4,14.78,,,8.455489273564341,17.610418638111863,1.9309404120190325
20,11.75,11.83,10.5,10.69,346196,10.29,14.24,,,8.32377987262609,16.74248398850758,1.8894446683033872
21,10.27,10.79,9.4037,9.76,269959,10.05,13.66,,,8.12120187606001,15.96759168473913,1.8535057634245737
