,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,11.6,11.86,11.27,11.85,429860,,,,,,,0.5899999999999999
1,11.81,12.355,11.628,11.71,422266,,,,,,,0.5997857142857141
2,11.85,12.11,11.8,11.94,321207,,,,,,,0.5855153061224487
3,11.74,11.83,11.2,11.34,195041,,,,,,,0.5965499271137024
4,11.0,11.38,10.9,11.23,308963,,,,,,,0.5882249323198666
5,10.65,10.65,9.39,9.43,326088,,,,,,,0.6776374371541619
6,9.84,10.28,9.7,10.25,567055,,,,,,,0.6899490487860075
7,10.0,10.29,9.58,9.64,757613,,,,,,,0.6913812595870069
8,8.75,9.34,8.12,8.15,596800,10.62,,,,,,0.7505683124736494
9,8.83,8.99,8.3,8.66,579096,10.26,,,,,,0.756956290154103
10,7.82,7.96,7.42,7.61,533705,9.81,,,,,,0.7914594122859528
11,7.64,8.47,7.59,8.44,674471,9.42,,,,,,0.7977837399798134
12,7.99,8.16,7.05,7.44,709271,8.98,,,,,,0.8400849014098268
13,7.34,8.86,7.31,7.61,688392,8.58,,,,,,0.8907931227376963
14,7.64,8.29,7.27,7.41,725018,8.36,,,,,,0.9000221853992895
15,7.22,7.64,6.8,7.21,766853,8.02,,,,,,0.8957348864421973
16,7.4,7.8,7.0897,7.19,1116366,7.75,,,,,,0.8824895374106119
17,7.26,7.425,6.88,7.21,891278,7.64,,,,,,0.8583831418812825
18,6.85,7.5,6.82,7.24,1457094,7.48,,,,,,0.8456414888897624
19,7.05,7.5423,7.02,7.07,1166659,7.42,8.93,,,4.985370984874473,12.926328790873189,0.8225456682547795
20,6.94,7.41,6.5,7.34,977853,7.3,8.71,,,4.843142353085557,12.61969044795064,0.828792406236581
21,7.3,7.44,7.0,7.25,884652,7.28,8.48,,,4.8988731346504295,12.11946167878544,0.8010215200768253
22,6.94,7.11,6.61,6.95,860669,7.21,8.23,,,5.045903651047386,11.602015786416413,0.7895199829284806
23,6.82,7.22,6.79,7.1,686302,7.17,8.02,,,5.233811445935041,11.042471535797016,0.7638399841478748
24,6.89,7.34,6.84,7.06,690142,7.16,7.81,,,5.515283837749415,10.49282233989247,0.7449942709944551
25,7.29,7.5375,7.15,7.285,1473540,7.17,7.71,,,5.608829825626575,10.056358069726333,0.7258875373519941
26,7.48,7.75,7.29,7.36,1782839,7.18,7.56,,,5.8575421004233785,9.646923097591532,0.7072527132554232
27,7.42,7.42,7.23,7.31,2770025,7.19,7.44,,,6.248711736748577,9.119075166501569,0.6703060908800358
28,7.49,8.38,7.445,8.26,1975577,7.32,7.45,,,6.322680582057917,8.894298874553495,0.6988556558171762
29,8.15,8.28,7.8,8.17,823297,7.42,7.43,,,6.433629777354679,8.735688984758,0.6832231089730922
30,8.39,8.64,8.19,8.41,702971,7.54,7.47,,,6.32035089503451,8.8425022724966,0.6679928869035857
31,8.08,8.31,7.7601,8.24,835587,7.69,7.46,,,6.3055449039288805,8.815281397516262,0.6667005378390438
32,8.25,8.34,8.08,8.13,702766,7.8,7.49,,,6.2598044282336645,8.840718439547013,0.6376504994219693
33,8.29,8.615,8.22,8.42,583353,7.95,7.53,,,6.198854692023855,8.780645102068867,0.6267468923204
34,8.25,8.51,8.19,8.35,718509,8.07,7.58,,,6.161141676149192,8.819341847450973,0.6048364000118001
35,8.15,8.57,8.11,8.46,748572,8.19,7.64,,,6.193515357476715,8.917179490312181,0.5944909428681001
36,8.68,8.68,8.39,8.44,515809,8.32,7.7,,,6.177043223533062,9.022491431399693,0.5727415898060929
37,8.41,8.7925,8.3012,8.44,555272,8.34,7.76,,,6.214897958224917,9.13457171086834,0.566924333391372
38,8.54,8.71,8.47,8.53,797738,8.38,7.83,,,6.265853449439549,9.21788754324703,0.5457154524348455
39,8.6,9.15,8.6,9.0,711886,8.45,7.93,,,6.29448599225548,9.374485675064284,0.5510214915466424
40,9.23,9.67,9.15,9.35,727395,8.57,8.03,,,6.382217419301097,9.620915440729831,0.5595199564361679
41,9.6,10.24,9.435,10.09,796594,8.79,8.17,,,6.372408360925018,9.975099297513488,0.5831256738335846
42,9.93,10.18,9.78,10.1,641462,8.97,8.33,,,6.440594323378711,10.208804263780847,0.5700452685597571
43,9.87,9.93,9.61,9.79,565991,9.13,8.46,,,6.556713131345703,10.34109801908844,0.5643277493769174
44,9.55,9.7809,9.51,9.66,536325,9.27,8.59,,,6.722581751122978,10.415984589833725,0.5440186244214232
45,9.8,10.06,9.42,9.42,509744,9.38,8.7,,,6.86819675318452,10.529572994786266,0.5508744369627502
46,9.35,9.64,9.24,9.35,450995,9.48,8.8,,,7.027357625949836,10.561147108086587,0.5400976914654109
47,9.45,10.2,9.45,9.98,693105,9.64,8.93,,,7.221240094262418,10.60200107706697,0.562233570646453
48,10.25,10.56,10.01,10.48,407209,9.8,9.04,,,7.347307427951083,10.796536055800829,0.5635026013145635
49,10.26,10.34,10.02,10.13,474245,9.89,9.14,8.71,,7.43616225727089,10.903879065201048,0.5561095583635234
50,10.12,10.23,9.5,9.52,510264,9.83,9.19,8.66,,7.517717422417281,10.99394210238945,0.5685303041947003
51,9.4,9.44,8.505,8.55,325585,9.65,9.21,8.6,,7.65020010746617,10.960073067495847,0.6004209967522216
52,8.3554,8.3554,7.96,8.31,335520,9.49,9.22,8.53,,7.626038848965661,10.958352384579609,0.5996766398413487
53,8.29,8.335,8.09,8.27,264375,9.33,9.21,8.47,,7.6029226043252685,10.98379909094814,0.5743425941383953
54,8.48,9.24,8.47,9.15,333722,9.3,9.25,8.42,,7.645498436972388,10.956900896113533,0.6026038374142242
55,9.08,9.19,8.76,8.79,250518,9.24,9.27,8.41,,7.738114864717814,10.929104468073485,0.5902749918846367
56,8.82,9.02,8.78,8.89,184084,9.12,9.29,8.38,,7.786995715609001,10.909936239159595,0.5652553496071627
57,8.91,9.34,8.87,9.19,260572,8.98,9.33,8.38,,7.861844742409403,10.89409175812707,0.558451396063794
58,9.22,9.22,8.75,8.9,314635,8.84,9.35,8.39,,7.899194722995238,10.867187581420396,0.5521334392020945
59,9.2,9.46,9.01,9.32,534914,8.82,9.36,8.4,,7.9415948874340625,10.866603827168824,0.5526953364019449
60,9.6,9.64,9.37,9.6,334590,8.94,9.37,8.44,,7.947145414847562,10.864930402616524,0.5360742409446632
61,9.7,9.83,9.47,9.52,380168,9.07,9.35,8.46,,7.946869807478928,10.814591548161342,0.5234975094486157
62,9.42,9.56,9.24,9.27,377539,9.18,9.3,8.5,,7.958470897915507,10.752476072896245,0.5089619730594289
63,9.28,9.69,9.2107,9.44,314263,9.21,9.29,8.54,,7.962175691686104,10.729868656617331,0.5068432606980412
64,9.52,9.9,9.43,9.72,237408,9.32,9.29,8.58,,7.964061102863644,10.741811415438244,0.5042115992196098
65,9.89,10.3,9.8401,10.15,527304,9.46,9.33,8.64,,7.942844434171808,10.779725337560464,0.5096250564182091
66,10.15,10.3,9.88,10.26,286179,9.58,9.37,8.7,,7.924066116874608,10.855653187225087,0.5032232666740514
67,10.6,10.9,10.45,10.49,496673,9.75,9.4,8.77,,7.842661926670865,10.995465725911865,0.5129930333401906
68,10.67,11.15,10.56,11.12,328934,9.95,9.43,8.85,,7.778914500147385,11.130787796680336,0.5234935309587485
69,10.81,10.89,10.44,10.57,211599,10.06,9.45,8.92,,7.738673072401877,11.230269355673475,0.5346725644616951
70,10.75,10.75,10.21,10.35,349640,10.15,9.49,8.98,,7.714407186967254,11.310897175909494,0.535053095571574
71,9.88,10.04,9.52,9.635,423636,10.19,9.55,9.03,,7.803911204853599,11.340855744085054,0.5561207316021759
72,10.11,10.15,9.84,9.855,107961,10.24,9.62,9.08,,8.024301865959515,11.294196895252957,0.5531835364877348
73,9.62,10.33,9.6,10.29,542707,10.3,9.73,9.15,,8.245703465440199,11.22047720687717,0.565813283881468
74,10.76,10.86,10.44,10.67,358545,10.36,9.8,9.22,,8.371027700073256,11.318608948884727,0.5661123350327917
75,10.66,10.66,10.26,10.31,273118,10.37,9.88,9.28,,8.475300568964228,11.358697321604872,0.5549614539590209
76,10.17,10.53,10.08,10.45,390028,10.36,9.96,9.34,,8.602303852470731,11.33915770318921,0.5474642072476622
77,10.46,10.56,9.87,9.97,830725,10.23,9.99,9.4,,8.72578753144248,11.342352946443993,0.5576453353014007
78,9.88,10.12,9.73,10.04,309275,10.17,10.05,9.43,,8.891132297083287,11.281503031374475,0.5456706684941578
79,10.1,10.17,9.67,9.9,334538,10.12,10.08,9.47,,9.001818898246677,11.241913705493834,0.5424084778874323
80,9.7,9.78,9.23,9.57,513537,10.12,10.08,9.49,,8.975968498722274,11.229277363141179,0.5515221580383299
81,9.51,9.88,9.5,9.85,320406,10.12,10.1,9.52,,8.980109274627383,11.226301703816436,0.5392705753213065
82,9.78,10.14,9.54,10.13,565815,10.1,10.14,9.56,,9.029742578277174,11.186118460110762,0.5436083913697847
83,10.26,10.3,9.95,10.09,289494,10.03,10.17,9.59,,9.125249587774881,11.156459074618674,0.5297792205576574
84,10.03,10.2,9.94,10.05,237196,10.01,10.19,9.63,,9.183185104213843,11.14282848453189,0.5105092762321104
85,10.06,10.24,9.85,10.02,255067,9.96,10.18,9.66,,9.183911720008297,11.142020333043924,0.5019014707869597
86,10.29,10.3,9.99,10.01,156145,9.96,10.17,9.69,,9.189279461096191,11.142020333043922,0.4881942228736055
87,10.22,10.32,9.94,10.0,244525,9.96,10.14,9.72,,9.204457086185279,11.074810651797172,0.48046606409691944
88,9.93,9.95,9.64,9.76,323401,9.94,10.08,9.75,,9.22037049549402,10.934608280529343,0.4718613452328538
89,9.75,9.87,9.51,9.65,434482,9.95,10.03,9.76,,9.216888448596553,10.849405931359863,0.4638712491447928
90,9.52,9.56,9.08,9.22,419032,9.88,9.97,9.76,,9.10630034310931,10.819935857244422,0.4714518742058791
91,9.08,9.54,9.08,9.48,369675,9.81,9.97,9.74,,9.023547312821611,10.858614591750417,0.4706338831911734
92,9.52,9.63,9.39,9.43,338067,9.74,9.94,9.73,,8.986489734022673,10.874449763141602,0.4541600343918039
93,9.38,9.69,9.38,9.49,296208,9.67,9.9,9.73,,8.961687851839933,10.864526166110462,0.44386288907810356
94,9.64,9.81,9.54,9.61,306008,9.63,9.85,9.72,,9.000327890050219,10.735494095539934,0.43501553985823904
95,9.52,9.62,9.45,9.53,242018,9.57,9.81,9.73,,9.018610837250947,10.648934763596449,0.4160858584397934
96,9.51,9.75,9.49,9.59,196684,9.53,9.77,9.73,,9.028038723812948,10.570385807584675,0.40493686855123673
97,9.53,9.6058,9.41,9.48,252894,9.5,9.75,9.72,,9.01603231501565,10.475444803964283,0.389998520797577
98,9.47,9.74,9.47,9.55,246652,9.49,9.72,9.7,,9.007131944656242,10.454161843778758,0.38142719788346435
99,9.53,9.855,9.53,9.75,216988,9.55,9.71,9.7,,9.002895171418503,10.424277518942981,0.37739668374893126
100,9.73,9.852,9.63,9.68,209968,9.57,9.72,9.7,,9.042735083527315,10.42575384150107,0.3662969206240076
101,9.72,9.72,9.48,9.53,153925,9.58,9.7,9.72,,9.041131356649961,10.423325348642539,0.3572757120080071
102,9.47,9.5507,8.98,9.19,267936,9.55,9.66,9.74,,8.951340552543734,10.399486736821954,0.37252030400743524
103,9.1,9.59,9.1,9.56,373091,9.54,9.63,9.76,,8.911829831352454,10.333597176680708,0.38091171086404707
104,9.53,9.63,9.29,9.51,368644,9.54,9.6,9.77,,8.912538300636216,10.278840872995266,0.37798944580232957
105,9.32,9.33,9.06,9.12,331634,9.49,9.56,9.78,,8.877067362927011,10.226785342415305,0.3831330568164488
106,9.0,9.01,8.55,8.65,481784,9.39,9.49,9.77,,8.743960223643475,10.194206345610548,0.3964806956152738
107,8.65,8.76,8.23,8.31,545078,9.26,9.4,9.75,,8.538342847225021,10.177904504797022,0.4060177887856114
108,8.31,8.77,8.31,8.69,363856,9.14,9.35,9.75,,8.378973620372175,10.204838863493633,0.40987366101521056
109,8.8,8.8,8.476,8.64,423400,9.02,9.3,9.74,,8.2809674262702,10.210858312556065,0.40373982808555264
110,8.68,9.13,8.68,8.95,563264,8.96,9.29,9.72,,8.236374846435211,10.206123118933766,0.40990126893658463
111,8.85,9.21,8.82,9.2,366734,8.96,9.27,9.72,,8.212991491472916,10.197679417860453,0.40847974972682866
112,9.2,9.6,9.11,9.45,386240,8.95,9.27,9.72,,8.208449879698021,10.194795661288236,0.41430262474634094
113,9.61,9.7899,9.37,9.41,448428,8.94,9.27,9.72,,8.208602245506537,10.207843748097513,0.4147024372644595
114,9.44,9.5,9.15,9.31,399800,8.96,9.25,9.71,,8.213030782092149,10.174188436893834,0.4100808346027124
115,9.23,9.37,9.01,9.02,172794,9.0,9.23,9.69,,8.208497723104433,10.157328731112719,0.4065036321310901
116,8.97,9.19,8.88,8.98,245867,9.07,9.2,9.66,,8.19990839506273,10.120245224432917,0.39961051555029786
117,9.04,9.11,8.885,8.99,319886,9.11,9.17,9.63,,8.19174386878271,10.099772829166179,0.38713833586813373
118,8.93,8.93,8.53,8.59,332778,9.1,9.13,9.58,,8.150378791929375,10.063996150157891,0.3923427404489814
119,8.6,8.64,8.29,8.39,405440,9.04,9.06,9.54,,8.084310004381436,10.02297772705524,0.38931825898833994
120,8.27,8.47,8.225,8.25,705925,8.93,8.99,9.5,,8.040537592578865,9.983809947569817,0.3790098119177443
121,8.25,8.26,8.06,8.25,706314,8.8,8.92,9.47,,7.963511163218392,9.978343875082935,0.36622339678076254
122,8.19,8.27,8.15,8.27,527800,8.67,8.88,9.44,,7.8862779222288335,9.972716604112208,0.3486360112964223
123,8.27,8.47,8.23,8.38,401576,8.57,8.82,9.4,,7.8378824321547835,9.919317771965034,0.34087629620382076
124,8.33,8.42,8.19,8.2,489776,8.48,8.75,9.35,,7.8119986191063,9.846591267624762,0.33295656076069075
125,8.19,8.42,8.19,8.23,418616,8.39,8.71,9.31,,7.776905776568487,9.812521419564488,0.32560252070635576
126,8.27,8.27,8.1,8.19,383677,8.31,8.68,9.26,,7.727222254552719,9.817100680263206,0.314488054941616
127,8.17,8.19,8.005,8.03,603033,8.24,8.67,9.22,,7.691909802661354,9.835504136112506,0.30523890816007193
128,8.03,8.14,7.92,8.08,433494,8.21,8.64,9.18,,7.633456829094992,9.852126299148454,0.2991504147200668
129,8.05,8.08,7.88,8.03,511325,8.18,8.61,9.15,,7.559071535257881,9.865940475550492,0.29206824224006206
130,8.03,8.34,8.02,8.08,465721,8.17,8.57,9.12,,7.508617620207978,9.82921333775117,0.29406336779434333
131,8.11,8.28,7.92,8.07,603344,8.14,8.51,9.08,,7.451974814087143,9.776485408112157,0.2987731272376045
132,8.1,8.13,7.9,8.06,736730,8.11,8.44,9.04,,7.4267129767081554,9.640172801095904,0.2938607610063471
