,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,20.62,21.04,19.76,19.95,47643,,,,,,,1.2799999999999976
1,20.21,21.12,19.9,21.0,33287,,,,,,,1.2757142857142838
2,20.43,20.72,19.2,19.55,113558,,,,,,,1.3131632653061207
3,18.91,20.43,18.91,19.53,46253,,,,,,,1.327937317784255
4,18.41,19.1,16.63,16.8,61026,,,,,,,1.4402275093710941
5,17.33,18.85,16.1601,17.17,108350,,,,,,,1.5294898301303017
6,16.68,16.91,15.0901,15.36,120308,,,,,,,1.5688048422638519
7,14.24,14.6154,13.1,13.57,147386,,,,,,,1.618175924959291
8,14.55,15.3397,13.42,15.08,59021,17.56,,,,,,1.6397133588907704
9,15.24,15.24,12.8,13.185,102592,16.8,,,,,,1.6968766903985724
10,13.29,15.53,12.62,15.44,57244,16.19,,,,,,1.7835283553701031
11,14.32,15.76,13.53,13.53,47526,15.52,,,,,,1.8154191871293814
12,13.41,15.6,13.155,14.09,150730,14.91,,,,,,1.8603892451915685
13,14.22,15.78,13.31,13.31,106901,14.53,,,,,,1.9039328705350278
14,13.47,14.2,12.22,12.9,94073,14.05,,,,,,1.9093662369253828
15,13.08,13.99,12.0,13.68,178288,13.86,,,,,,1.9151257914307127
16,13.82,14.7,13.44,13.88,127498,13.9,,,,,,1.868331092042805
17,14.06,15.47,14.06,15.43,40702,13.94,,,,,,1.8484502997540333
18,14.81,14.87,14.05,14.19,75112,14.05,,,,,,1.8149895640573166
19,14.41,14.95,14.23,14.59,55075,13.96,15.61,,,9.650034192996479,21.67429490508472,1.7396331666246512
20,14.61,15.14,14.07,14.78,88578,14.09,15.35,,,9.89084705173638,20.98127494731908,1.691802226151462
21,14.13,14.696,13.52,13.65,60728,14.05,14.99,,,10.273744626979205,20.14094692860686,1.6609592099977863
22,13.49,14.3,12.96,13.74,105490,14.09,14.7,,,10.667420458597967,19.253965819353613,1.6380335521408016
23,13.44,13.83,12.3,12.53,68551,14.05,14.35,,,11.217042404884157,18.251622643865854,1.63031686984503
24,13.43,14.0,13.43,13.79,49239,14.06,14.19,,,11.511527443089623,17.476678546972614,1.6188656648560995
25,14.18,14.96,12.38,12.9,38410,13.96,13.98,,,11.72547511887839,16.499002796926423,1.6875181173663782
