,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,4.78,4.86,4.7,4.8,385894,,,,,,,0.16000000000000014
1,4.85,5.02,4.7981,4.97,255672,,,,,,,0.1644214285714287
2,4.99,5.22,4.99,5.03,165665,,,,,,,0.1705341836734695
3,5.06,5.1302,5.01,5.05,151146,,,,,,,0.1669388848396503
4,4.98,5.005,4.88,4.97,233446,,,,,,,0.16715753592253244
5,4.87,4.96,4.755,4.88,134855,,,,,,,0.17057485478520867
6,4.7,4.7334,4.21,4.275,382968,,,,,,,0.20624807944340806
7,4.32,4.68,4.25,4.64,490810,,,,,,,0.2222303594831646
8,4.5,4.5067,4.08,4.19,533566,4.76,,,,,,0.24635676237722426
9,3.77,3.9,3.62,3.78,497829,4.64,,,,,,0.26947413649313684
10,3.84,4.02,3.53,3.72,382563,4.5,,,,,,0.2852259838864842
11,3.25,3.44,3.0,3.32,721694,4.31,,,,,,0.31628127075173534
12,3.22,3.54,3.1,3.44,395460,4.14,,,,,,0.3251183228408971
13,3.13,3.18,2.76,2.79,504879,3.89,,,,,,0.35046701406654734
14,2.77,2.92,2.62,2.64,546250,3.64,,,,,,0.3468622273475082
15,2.73,2.912,2.62,2.74,351583,3.47,,,,,,0.3429434968226862
16,2.71,2.7164,2.315,2.4,403748,3.22,,,,,,0.34880467562106576
17,2.4,2.63,2.34,2.54,387358,3.04,,,,,,0.34460434164813253
18,2.55,3.34,2.55,3.21,932092,2.98,,,,,,0.37713260295898016
19,3.19,3.59,3.12,3.33,243129,2.93,3.84,,,1.699667602786339,5.8167141028807485,0.3837659884619101
20,3.3,3.48,2.95,3.12,471078,2.91,3.75,,,1.651290068104708,5.7169207593890015,0.39421127500034514
21,3.1,3.2458,3.0773,3.18,69282,2.88,3.66,,,1.6432588080146309,5.578779314359195,0.37808904107174907
22,3.19,3.53,3.1801,3.46,316584,2.96,3.58,,,1.6903155104217484,5.374400751437893,0.37608268099519554
23,3.37,3.37,3.16,3.35,135071,3.04,3.5,,,1.7740164848099869,5.160883627446007,0.370648203781253
24,3.37,3.39,3.11,3.19,252260,3.09,3.41,,,1.8757239597706268,4.946733899249505,0.3641733320825921
25,3.23,3.2427,2.98,3.12,270496,3.17,3.32,,,1.9968236437591789,4.70656226971225,0.35692523693383554
26,3.2,3.38,3.035,3.05,121797,3.22,3.26,,,2.058885595726516,4.4926911659165345,0.3560734342957044
27,3.2,3.33,3.06,3.19,235407,3.22,3.19,,,2.165383477279698,4.250080168112617,0.350639617560297
28,3.22,3.38,3.22,3.29,219422,3.22,3.14,,,2.278455222289891,4.014164861108118,0.33916535916313295
29,3.4,3.67,3.26,3.44,193650,3.25,3.13,,,2.3156519218877243,3.9691668829555775,0.3442249763657663
30,3.46,3.4629,3.27,3.3,96785,3.27,3.1,,,2.343449349943723,3.856932996176733,0.3334160494824973
31,3.36,3.65,3.28,3.3,167006,3.25,3.1,,,2.3382127168052143,3.8866923192001006,0.33602918880517607
32,3.26,3.3,3.05,3.14,408993,3.22,3.09,,,2.3378811196872,3.863601178270605,0.3298842467476635
33,3.14,3.32,2.99,3.21,354003,3.23,3.11,,,2.355654249178909,3.8685826004425428,0.32989251483711607
34,3.3,3.55,3.18,3.18,267161,3.23,3.14,,,2.398156257708407,3.88283249025222,0.3327573352058935
35,3.08,3.3,3.01,3.03,820970,3.23,3.15,,,2.443605574483323,3.867786264942833,0.32970323983404404
36,3.06,3.15,2.9,2.96,534012,3.21,3.18,,,2.5721229010979973,3.809990105187349,0.32401015127446947
37,2.99,3.08,2.87,2.88,235102,3.16,3.2,,,2.721843483635882,3.7021369864853644,0.3158665690405788
38,2.98,3.06,2.87,2.96,265539,3.11,3.18,,,2.8187357294000575,3.720458902824553,0.3068760998233946
39,2.9896,2.99,2.8201,2.9,243951,3.06,3.16,,,2.7802478113403755,3.714791641070349,0.2970920926931521
40,2.94,3.07,2.9015,2.97,809804,3.03,3.16,,,2.7729407015239658,3.7077427796598523,0.2880140860722127
41,3.06,3.075,2.94,3.02,585020,3.01,3.15,,,2.761191806860177,3.7137982830654237,0.2770845084956261
42,3.06,3.305,3.06,3.18,598632,3.01,3.13,,,2.7611749961945167,3.6894943562684404,0.27764990074593854
43,3.17,3.22,3.05,3.16,314440,3.01,3.12,,,2.760507645235095,3.6824059494544548,0.2699606221212287
44,3.14,3.14,2.82,2.95,247147,3.0,3.11,,,2.731136289646492,3.6733027665800924,0.2749634348268552
45,2.89,3.1,2.87,3.07,152893,3.01,3.11,,,2.717899608633465,3.674475244014492,0.27175176091065123
46,3.11,3.22,2.88,2.94,442270,3.02,3.1,,,2.7036425408731812,3.6641523196474823,0.276626635131319
47,2.95,2.99,2.81,2.85,265712,3.0,3.09,,,2.678905982051791,3.664879300685648,0.2697247326219391
48,2.85,3.07,2.83,2.94,505978,3.01,3.07,,,2.6676719828806528,3.6523527389958033,0.2676015374346577
49,3.02,3.2322,2.92,3.19,369660,3.03,3.06,3.4,,2.678054075728187,3.577004485690084,0.27078714190361075
50,3.19,3.45,3.02,3.44,369498,3.08,3.06,3.38,,2.7016527206012344,3.5745392678919954,0.28215948891049575
51,3.42,3.79,3.38,3.72,643636,3.14,3.08,3.35,,2.677134882605394,3.6205024587014796,0.2912909539883175
52,3.78,3.78,3.34,3.38,272984,3.16,3.1,3.32,,2.645674720166033,3.715820266620349,0.30191302870343767
53,3.33,3.38,3.12,3.2,282510,3.19,3.1,3.28,,2.6456632968664495,3.7215970302467194,0.2989192409389064
54,3.2,3.345,3.13,3.22,485236,3.21,3.1,3.25,,2.6487798382416985,3.6922969992242405,0.2929250094432703
55,3.35,3.54,3.3,3.45,468140,3.27,3.12,3.22,,2.6329427160016894,3.723509354217911,0.2948589373401796
56,3.45,3.63,3.37,3.48,105661,3.34,3.14,3.2,,2.6217893931026515,3.774175765684242,0.29236901324445247
57,3.49,3.665,3.41,3.59,104131,3.41,3.18,3.18,,2.6178030963776493,3.823795005641242,0.28969979801270584
58,3.55,3.6527,3.41,3.49,376986,3.44,3.21,3.17,,2.622755753456489,3.862666744711844,0.28634266958322685
59,3.51,3.608,3.3394,3.54,364890,3.45,3.24,3.16,,2.6492875560440896,3.8814849229117985,0.2850753360415678
60,3.56,3.8,3.51,3.51,127453,3.43,3.27,3.16,,2.653065636634972,3.9336419661849544,0.28542709775288444
61,3.6,3.6537,3.44,3.57,419326,3.45,3.29,3.16,,2.6666109639814053,3.951100307739324,0.2803037336276784
62,3.61,3.61,3.36,3.45,158277,3.48,3.31,3.16,,2.6748665172737156,3.968960648806358,0.27813918122570136
63,3.48,3.48,3.14,3.25,295244,3.48,3.31,3.17,,2.6821830875064383,3.9713965200719388,0.28255781113815126
64,3.11,3.48,3.11,3.46,425240,3.48,3.34,3.19,,2.7240105630757108,3.966315520385596,0.28880368177114046
65,3.49,3.735,3.46,3.67,297690,3.5,3.37,3.21,,2.7628359571351537,3.978059259806572,0.2878177045017733
66,3.8,3.98,3.66,3.95,352992,3.54,3.42,3.24,,2.7887296035627527,4.040944102994341,0.2901164398945038
67,3.92,4.01,3.86,3.9038,195304,3.59,3.47,3.27,,2.8153886013903806,4.061166550215607,0.2801081227591821
68,4.04,4.196,4.0,4.02,170517,3.64,3.52,3.28,,2.8350765887902782,4.122655444353278,0.2809718282763834
69,4.09,4.31,4.0,4.21,589246,3.72,3.58,3.3,,2.8601898240959236,4.219455580463293,0.2830452691137846
70,4.19,4.32,4.04,4.12,224066,3.78,3.61,3.32,,2.878816560184286,4.316561274834152,0.28282774989137144
71,4.08,4.12,3.8,3.93,219846,3.83,3.62,3.34,,2.8834822091739545,4.356828482530938,0.28548291061341635
72,3.72,3.78,3.57,3.6,353036,3.87,3.63,3.34,,2.898241991785245,4.356828482530938,0.2908055598553152
73,3.7,3.79,3.54,3.59,69420,3.89,3.65,3.34,,2.9465324408844267,4.348945255892308,0.28789087700850696
74,3.54,3.61,3.36,3.41,242920,3.86,3.66,3.35,,2.9823574086395666,4.330168315098772,0.2851843857936136
75,3.9,3.9,3.43,3.5,587294,3.81,3.66,3.36,,2.9974693812158186,4.33554190847177,0.2998140725226412
76,3.49,3.57,3.35,3.47,298498,3.76,3.66,3.36,,2.995075649513049,4.337748791353743,0.2941130673424525
77,3.44,3.48,3.19,3.19,498464,3.67,3.64,3.36,,2.964521226290521,4.345776927010167,0.29381927681799164
78,3.2,3.33,3.14,3.29,624530,3.57,3.63,3.36,,2.926678925964809,4.366625435803207,0.2864036141881351
79,3.34,3.375,3.101,3.16,107373,3.46,3.61,3.36,,2.890614834795591,4.3791301492335535,0.28551764174612543
80,3.2,3.3899,3.1606,3.2,227314,3.38,3.6,3.36,,2.854334842519874,4.3826834037010824,0.28154495304997357
81,3.17,3.27,3.0353,3.1,140282,3.32,3.57,3.35,,2.802779004161013,4.399159277180017,0.27819888497497547
82,3.16,3.345,3.02,3.26,334943,3.29,3.56,3.35,,2.7575522182896224,4.406859779816583,0.2815418217624773
83,3.31,3.31,3.1,3.14,109957,3.26,3.56,3.35,,2.7515732056599234,4.415139124423729,0.27643169163658604
84,3.17,3.22,3.06,3.07,195310,3.21,3.54,3.35,,2.7436387492574412,4.42963212547563,0.2681151422339728
85,3.08,3.1074,2.875,2.96,308913,3.15,3.5,3.35,,2.669776524128192,4.444907166046391,0.26556406064583193
86,2.96,3.04,2.9001,2.94,174650,3.12,3.45,3.35,,2.607363432459099,4.43220652326402,0.2565880563139868
87,2.95,3.07,2.91,2.97,142217,3.09,3.41,3.35,,2.5682682861222803,4.39980051042724,0.2496889094344163
88,3.01,4.25,3.01,4.17,1835624,3.2,3.41,3.37,,2.575877378208534,4.411360787628506,0.3232825587605294
89,3.88,4.0199,3.57,3.71,354680,3.26,3.39,3.39,,2.6242425928242374,4.35213596820001,0.3430480902776345
90,3.73,3.735,3.52,3.65,204497,3.32,3.37,3.4,,2.6985643730141735,4.244302842381031,0.3339017981149463
91,3.65,3.65,3.37,3.42,132683,3.34,3.34,3.41,,2.742817490932512,4.168446681573525,0.3300516696781644
92,3.46,3.65,3.32,3.5,319456,3.38,3.34,3.42,,2.758226271707316,4.153293863429813,0.33004797898686694
93,3.57,3.8392,3.49,3.61,272379,3.44,3.34,3.43,,2.7634067537486686,4.160657065697587,0.33141598048780496
94,3.59,3.61,3.4901,3.55,57858,3.5,3.34,3.44,,2.755807046775215,4.160657065697587,0.31630769616724747
95,3.63,3.7627,3.59,3.605,190105,3.58,3.35,3.45,,2.741431564259908,4.139156766779309,0.3089071464410155
96,3.6,3.655,3.5575,3.57,18449,3.64,3.35,3.46,,2.7300837881145696,4.146461703224659,0.293806635980943
97,3.72,3.72,3.52,3.64,115151,3.58,3.38,3.48,,2.7290101890445593,4.165403531013155,0.2871061619823042
98,3.65,3.71,3.55,3.55,165777,3.57,3.39,3.49,,2.7331599466778034,4.183544251063641,0.27802715041213966
99,3.63,3.79,3.54,3.57,417959,3.56,3.41,3.5,,2.7460149405161007,4.209092537846828,0.2760252110969868
100,3.57,3.7,3.53,3.635,483128,3.58,3.43,3.5,,2.756290865349518,4.222590769307561,0.26845198173291634
101,3.66,3.92,3.61,3.83,456114,3.62,3.47,3.51,,2.78271147489937,4.2563613395113045,0.2714196973234223
102,3.83,3.86,3.73,3.82,133980,3.64,3.5,3.51,,2.8098623546135864,4.279511141188449,0.2613182903717493
103,3.84,4.135,3.84,4.08,186494,3.7,3.54,3.53,,2.8222040444483962,4.339482219049905,0.26515269820233867
104,4.06,4.1499,3.99,4.01,207004,3.74,3.59,3.55,,2.834872197303325,4.382887310022905,0.257634648330743
105,4.03,4.14,3.935,3.96,116901,3.79,3.64,3.56,,2.912915109069546,4.393719430769897,0.2538750305928328
106,3.92,3.92,3.72,3.73,145822,3.8,3.68,3.56,,3.0191608751763064,4.336713992384075,0.25288395697905897
107,3.74,3.8049,3.65,3.665,121598,3.81,3.71,3.56,,3.1474113409657463,4.2391195074839825,0.24588510290912619
108,3.61,4.03,3.54,3.98,300975,3.86,3.7,3.57,,3.265549343906635,4.191223944693237,0.26332188127276007
109,4.24,4.34,3.74,3.74,610641,3.87,3.71,3.58,,3.2690379848535422,4.266000628160864,0.2873703183247058
110,3.81,3.919,3.58,3.59,283445,3.84,3.7,3.58,,3.2743735883275438,4.272004954216515,0.2910581527300839
111,3.57,3.66,3.54,3.6,224844,3.82,3.71,3.58,,3.300571373097107,4.271413719397418,0.27883971324936363
112,3.6,3.61,3.43,3.52,237183,3.76,3.71,3.58,,3.3246162461559976,4.274259032898794,0.27177973373155195
113,3.565,3.57,3.4,3.4,129636,3.69,3.7,3.58,,3.309014608603859,4.2813346341577905,0.2645097527507268
114,3.4,3.46,3.31,3.33,137455,3.62,3.69,3.58,,3.2746127117913972,4.296088417660706,0.25633048469710346
115,3.32,3.355,3.19,3.28,216166,3.57,3.68,3.57,,3.20502219641045,4.324880140032402,0.24980687864731035
116,3.25,3.35,3.23,3.265,258434,3.52,3.66,3.56,,3.155879172391722,4.348072533798617,0.24053495874393108
117,3.25,3.36,3.22,3.295,103114,3.45,3.64,3.55,,3.1118199285578694,4.3651154151272245,0.2333538902622217
118,3.3,3.6599,3.24,3.57,502536,3.43,3.64,3.54,,3.0736390790175667,4.364493426729822,0.24667861238634872
119,3.55,3.6,3.33,3.485,325358,3.42,3.64,3.52,,3.053183183141887,4.360980664595064,0.24834442578732382
120,3.48,3.5901,3.44,3.51,156543,3.41,3.63,3.51,,3.046712556209154,4.360591192319884,0.241326966802515
121,3.5,3.54,3.45,3.53,106837,3.41,3.62,3.5,,3.038764483365907,4.345947966078654,0.2305178977451925
122,3.51,3.57,3.48,3.53,306333,3.42,3.6,3.5,,3.0356593101769915,4.334572342567507,0.2204809050491073
123,3.54,3.55,3.2,3.33,536729,3.42,3.57,3.5,,3.0102712404816785,4.28023355860648,0.22973226897417104
124,3.31,3.52,3.24,3.46,201696,3.44,3.54,3.5,,3.0272758737803356,4.214826853747255,0.23332282119030168
125,3.42,3.49,3.37,3.38,102277,3.45,3.51,3.5,,3.0687418061011296,4.141619195763014,0.225228333962423
126,3.4,3.4067,3.25,3.33,155149,3.46,3.49,3.49,,3.069449006979849,4.109110594131648,0.2203334529651071
127,3.33,3.67,3.33,3.6,176338,3.46,3.49,3.5,,3.076556245388778,4.095267220747035,0.22888106346759943
128,3.68,3.68,3.4,3.41,198618,3.45,3.46,3.5,,3.079379737279119,4.037764306746941,0.23253241607705663
129,3.49,3.532,3.34,3.44,216229,3.45,3.44,3.51,,3.1182347067768155,3.8250737256215097,0.22963724350012404
130,3.43,3.46,3.28,3.39,103993,3.43,3.43,3.51,,3.1290984344482626,3.743474928442008,0.22609172610725806
