,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,60.52,61.845,58.12,58.18,16214,,,,,,,3.7250000000000014
1,59.49,60.23,58.6,59.69,14807,,,,,,,3.605357142857144
2,58.63,60.09,57.83,58.52,24886,,,,,,,3.5092602040816345
3,57.4,59.095,57.4,58.71,30536,,,,,,,3.3796701895043753
4,55.97,56.42,53.6,53.6,60478,,,,,,,3.503265175968348
5,54.1,57.12,52.0,54.56,68010,,,,,,,3.618746234827752
6,53.89,54.14,52.99,53.575,53366,,,,,,,3.4724072180543413
7,51.3,51.3,47.5,48.01,81384,,,,,,,3.6583067024790314
8,49.86,51.315,48.18,49.67,39920,54.95,,,,,,3.633070509444815
9,46.25,46.25,40.1,42.95,61352,53.25,,,,,,4.057136901627328
10,43.5,43.5,39.9,41.0,101610,51.18,,,,,,4.024484265796805
11,39.15,39.99,35.5167,37.91,98392,48.89,,,,,,4.128685389668462
12,37.79,38.19,36.0,37.25,143984,46.5,,,,,,3.990207861835
13,38.63,39.14,37.04,38.33,122998,44.81,,,,,,3.8551930145610713
14,38.4,38.64,36.9381,38.37,62726,43.01,,,,,,3.7013863706638523
15,39.33,42.31,39.33,42.13,80166,41.74,,,,,,3.71843020133072
16,42.06,42.47,40.82,41.6,54980,41.02,,,,,,3.5706851869499547
17,41.7,44.07,41.7,42.69,44228,40.25,,,,,,3.4920648164535293
18,41.16,41.65,40.55,40.55,24002,39.98,,,,,,3.3954887581354205
19,41.575,42.41,40.0,42.38,39128,40.13,46.98,,,29.014822005959374,65.17126730365904,3.32509670398289
20,40.1115,46.64,40.1115,45.02,100700,40.92,46.33,,,29.015555508711465,63.19187435857032,3.5539112251269698
21,44.97,45.15,43.01,43.63,71194,41.63,45.52,,,29.62529735970228,61.30282400351186,3.4529175661893294
22,44.94,44.94,42.14,43.09,160270,42.16,44.75,,,30.37992615655817,59.16360552992609,3.406280597175806
23,43.1,43.82,42.02,43.13,70188,42.69,43.97,,,31.470699677784836,56.9216129144543,3.2915462688061057
24,42.6,44.25,42.6,43.7,62488,42.87,43.48,,,32.24260487422393,55.091838629815676,3.174292963891384
25,44.79,45.145,40.44,41.625,57544,42.87,42.83,,,32.89613754017259,52.720655895764736,3.283629180756286
26,42.46,42.84,40.67,40.67,70644,42.64,42.19,,,34.30042858359456,50.774878263315706,3.2040842392736946
27,41.2,42.54,39.61,40.19,81768,42.6,41.79,,,34.741687193586586,49.37519781300171,3.1845067936112876
28,40.23,41.12,37.76,38.26,42910,42.15,41.22,,,35.50432696955066,47.609410791363764,3.1970420226390526
29,38.83,40.05,37.28,37.28,71108,41.29,40.94,,,35.220685400839216,47.1487722597329,3.1665390210219773
30,36.77,37.9,36.57,37.603,128384,40.62,40.77,,,34.84587347562699,47.2546382658548,3.03535766237755
31,37.06,37.1,36.16,36.92,48128,39.93,40.72,,,34.98634899303863,47.517582292309626,2.921617829350583
32,37.41,39.0,37.41,39.0,57454,39.47,40.81,,,35.2479034615121,47.450221277588966,2.8615022701112554
33,38.34,38.35,36.19,36.32,48086,38.65,40.71,,,35.085096763290395,47.511418785772804,2.8578235365318805
34,36.0,36.72,34.69,35.58,54886,37.98,40.57,,,34.59801376373391,47.72271258871041,2.7986932839224608
35,35.87,37.09,35.87,36.81,38490,37.55,40.3,,,34.166833322746825,47.84568702565033,2.706643763642285
36,36.34,37.89,36.34,37.11,68956,37.21,40.08,,,33.83548733117445,47.826501549092214,2.62402635195355
37,38.3,38.3,36.64,37.42,20092,37.12,39.81,,,33.63177885508432,47.55782766958193,2.5551673268140105
38,37.7,40.75,37.19,40.67,57912,37.49,39.82,,,33.48446487492501,47.510544742382,2.6269410891844385
39,42.11,42.5,41.05,42.44,32058,38.03,39.82,,,33.45759171256583,47.519041177970436,2.5700167256712643
40,40.61,44.9,40.61,43.27,79864,38.74,39.74,,,33.44929755282027,47.15724121413337,2.6928726738376025
41,41.28,43.02,41.28,42.47,57954,39.12,39.68,,,33.60907957743852,46.81842839403443,2.6426674828492027
42,41.45,41.45,39.81,40.29,25992,39.56,39.54,,,33.733743350112356,46.3412691117244,2.6439055197885453
43,40.91,41.1,40.02,40.96,17802,40.16,39.43,,,33.865092332038174,46.01916137623429,2.532197982660792
44,41.23,41.23,38.53,38.53,19996,40.35,39.17,,,34.10924184648158,45.60173528418133,2.5441838410421638
45,39.21,39.85,37.86,38.7,168942,40.53,39.02,,,34.11620741584019,44.84143866625896,2.504599280967724
46,39.66,39.66,38.19,38.92,73544,40.69,38.94,,,34.183342190596264,44.51487466849695,2.430699332327172
47,39.34,43.11,38.82,42.6,48476,40.91,39.06,,,34.20082313907031,44.61721145148076,2.5635065228752314
48,42.5,43.55,41.175,43.28,68292,41.0,39.31,,,34.09730911360884,44.981152497716984,2.5500417712412866
49,42.65,43.01,39.99,40.33,29332,40.68,39.46,42.91,,34.16428133995216,45.29237747527722,2.6028959304383377
50,39.69,40.14,35.8,37.2,56768,40.09,39.44,42.49,,34.04600244170078,45.27356963774166,2.7405462211213134
