,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,12.56,13.68,12.44,13.52,1364616,,,,,,,1.2400000000000002
1,13.52,13.67,12.77,13.34,1003675,,,,,,,1.215714285714286
2,13.31,13.64,12.57,13.0,1271918,,,,,12.410477287949723,13.686231659327461,1.20530612244898
3,13.1,14.55,12.95,14.53,1993681,,,,,12.554236864369049,14.521974110391515,1.233498542274053
4,13.97,14.1,13.35,13.65,1536514,,,,,12.527619660694905,14.59717673982537,1.2296772178259063
5,13.01,13.68,13.0,13.24,873580,,,,,12.860260558105265,14.588594818191755,1.1904145594097701
6,12.36,12.77,12.07,12.45,1661507,,,,,12.078974194991074,14.264531850595784,1.1889563765947866
7,12.97,13.1,11.94,12.28,2183445,,,,,11.70072458334985,13.69009001393393,1.1868880639808734
8,11.85,11.98,11.0,11.1,1701914,13.01,,,,11.027746934612223,13.249748283311265,1.1935389165536683
9,9.79,10.185,9.0,9.44,2036115,12.56,,,,8.995005280869528,13.372514373970137,1.2582861367998348
10,10.03,10.32,8.88,9.89,1592642,12.18,,,,8.316727227862977,11.92795285086353,1.2712656984569894
11,8.53,8.61,4.79,5.95,6603722,11.39,,,,4.920236441279822,10.7507668239144,1.544746719995776
12,5.88,5.92,3.7,4.07,4408196,10.23,,,,2.7859525636235363,10.723259630034391,1.595121954281792
13,3.81,3.81,2.6,3.17,4449442,9.07,,,,2.4921624809813947,8.759749841242348,1.5861846718330928
14,3.2,5.95,2.89,5.87,4268675,8.25,,,,2.436204691559303,6.576323783616503,1.6914571952735862
15,6.43,6.43,4.86,5.5301,4460208,7.48,,,,2.097357770879526,6.931051668331288,1.6827816813254728
16,5.54,5.66,4.77,5.12,1543939,6.68,,,,2.949792433594653,6.441109365075813,1.6261544183736534
17,5.5,6.83,5.4405,6.81,1938637,6.21,,,,4.623181979546255,6.960804521658522,1.632143388489821
18,7.02,7.77,6.545,7.05,2396252,5.94,,,,4.599237345755002,7.916129245492188,1.6030617178834052
19,7.05,7.16,6.41,6.54,1619239,5.57,9.33,,,5.469077551892435,7.777923014258669,1.5421287380345907
20,6.12,6.47,5.81,6.12,1254528,5.59,8.96,,,5.824627196491225,7.848784473058014,1.4841195424606917
21,5.97,6.0,4.9925,5.4,2789520,5.73,8.56,,,4.954821785469913,7.185146649908601,1.4586467179992137
22,5.27,5.66,4.875,4.96,1896695,5.93,8.16,,,4.66559999281053,6.490741796969577,1.4105290952849843
23,4.68,4.68,4.07,4.08,1689380,5.73,7.64,,,4.093484805831592,6.200574707035878,1.3733484456217713
24,4.07,4.5,4.02,4.1,1471321,5.58,7.16,,,3.7938290180157352,5.633381551705097,1.3095378423630732
25,4.04,4.12,3.61,3.81,1200867,5.43,6.69,,,3.622372551789251,4.74781279742176,1.2524279964799967
26,4.07,4.72,4.01,4.22,2895325,5.14,6.28,,,3.622731657602393,4.780554871509761,1.2279688538742826
27,4.53,5.17,4.5,4.58,3003612,4.87,5.89,,,3.54966644006349,5.24946095640691,1.2081139357404052
28,4.78,5.56,4.63,5.25,1754907,4.72,5.6,,,4.020348780066008,5.6123926902536505,1.1918200831875192
29,5.48,5.88,5.245,5.47,1693567,4.65,5.4,,,4.353929778418328,5.927798784158111,1.1520472201026966
30,5.6,5.7,5.24,5.4804,1435254,4.66,5.18,,,4.649333868894965,5.889791071427591,1.1026152758096468
31,5.7,5.9,5.24,5.4,1442889,4.71,5.15,,,5.238491240185792,5.947833218706993,1.0709998989661007
32,5.34,5.34,4.86,5.04,1341418,4.82,5.2,,,4.872000920812063,5.958829017588974,1.0330713347542364
33,5.2,5.34,4.77,4.8,988065,4.89,5.28,,,4.682253960449666,5.882314432487488,0.9999948108432195
34,5.25,5.83,5.1901,5.44,1418210,5.08,5.26,,,4.69672436507828,5.8145251284265544,1.0021380386401324
35,5.21,5.25,4.9411,5.22,1868947,5.19,5.24,,,4.7346913000002795,5.816690775852557,0.9661924644515516
36,4.95,5.29,4.9,5.11,916358,5.25,5.24,,,4.837726731368159,5.812994231322198,0.9250358598478693
37,5.2,5.22,4.665,4.67,963160,5.18,5.14,,,4.67150394047996,5.291964063760569,0.8986047270015929
38,4.6,4.87,4.52,4.68,1216104,5.09,5.02,,,4.484055101981565,5.374187036198836,0.8594186750729077
39,4.85,4.95,4.585,4.75,2398186,5.01,4.93,,,4.510107885245107,5.215066655651046,0.824103055424843
40,4.8,5.76,4.73,5.63,1842911,5.04,4.9,,,4.493406008232249,5.7349460485952095,0.8388099800373542
41,6.13,6.32,5.67,6.12,2446033,5.16,4.94,,,4.3470495775138325,6.4343369995511885,0.8281806957489718
42,6.53,6.91,6.46,6.83,1814122,5.38,5.03,,,4.66730854942432,6.9625717350625225,0.8254535031954738
43,7.06,7.06,6.32,6.34,1533970,5.48,5.15,,,5.686300744016135,7.19364755960681,0.8193496815386543
44,6.01,6.19,5.83,6.13,1315375,5.58,5.25,,,5.839445530111899,7.231588701986281,0.7972532757144647
45,5.93,6.32,5.73,5.93,1628704,5.68,5.35,,,5.612671625115382,7.03955260199089,0.7824494703062886
46,6.06,6.5469,5.7,5.76,1202532,5.8,5.43,,,5.678457881192292,6.550992004620241,0.7870530795701252
47,5.8,5.88,5.18,5.26,1428187,5.86,5.47,,,5.196495631254585,6.621951352724076,0.7808350024579734
48,5.4,5.76,5.4,5.44,1419249,5.94,5.48,,,5.139540678060048,6.528637563037776,0.7607753594252611
49,5.62,6.08,5.57,5.99,2088562,5.98,5.5,6.89,,5.168246529151096,6.0844905495771044,0.7521485480377424
50,5.82,5.82,5.29,5.405,1483904,5.9,5.5,6.73,,5.264825904223694,6.0737744787252375,0.7484236517493323
51,5.43,5.68,5.2,5.21,1393834,5.72,5.49,6.57,,5.141077983970052,6.083275614432055,0.7292505337672371
52,5.11,5.13,4.53,4.59,3133148,5.52,5.47,6.4,,4.549890645696509,5.944544416596676,0.7257326384981488
53,4.52,4.9,4.17,4.88,1875089,5.38,5.47,6.21,,4.058344347931585,5.677536639939223,0.7260374500339953
54,4.63,5.1,4.53,4.96,1012298,5.28,5.45,6.03,,4.1813692934009055,5.180869995112455,0.71489191788871
55,5.28,5.6,5.25,5.46,1609953,5.24,5.46,5.88,,4.045100008265829,5.596610640301053,0.7095424951823736
56,5.44,5.63,5.1,5.32,1052939,5.25,5.47,5.73,,4.542144761909107,5.770818193034272,0.6967180312407756
57,5.53,5.53,5.26,5.32,1070606,5.24,5.5,5.59,,5.1047415824951985,5.6431142825006795,0.6662381718664345
58,5.32,5.85,5.32,5.81,1041218,5.22,5.56,5.49,,5.101569371198984,5.850077760981223,0.6565068738759748
59,5.81,5.91,5.42,5.56,1196473,5.23,5.6,5.41,,5.24442139187816,5.988049450542011,0.6446135257419767
60,5.95,6.34,5.85,6.32,1409085,5.36,5.63,5.34,,5.2202371875127795,6.327330498852568,0.6542839881889784
61,6.8,7.429,6.58,7.37,2306298,5.67,5.69,5.37,,5.304927135898594,7.420925456655685,0.686763703318337
62,7.59,7.63,6.95,7.01,2107299,5.9,5.7,5.43,,5.844294713357125,7.896480039031811,0.6862805816527415
63,6.74,6.81,6.02,6.12,1574129,6.03,5.69,5.49,,6.001620714024265,7.75979324891165,0.7079748258204028
64,6.1,6.89,6.035,6.45,1190754,6.14,5.71,5.5,,5.749075730149377,7.607316800440136,0.7184766239760884
65,6.56,6.78,6.38,6.66,1219060,6.29,5.74,5.52,,5.920980469601446,6.8892153144006265,0.6957282936920821
