,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,10.65,10.65,9.1,9.18,487468,,,,,,,1.5500000000000007
1,8.86,8.86,8.46,8.53,455957,,,,,,,1.4907142857142863
2,8.2,8.9531,8.14,8.7,395629,,,,,,,1.442313265306123
3,9.0,9.0,8.53,8.98,391618,,,,,,,1.3728623177842572
4,8.98,9.09,8.63,8.85,412211,,,,,,,1.3076578665139529
5,8.95,8.97,8.295,8.69,292713,,,,,,,1.2624680189058135
6,8.49,8.59,7.89,8.11,291359,,,,,,,1.2294345889839697
7,7.76,8.04,7.54,7.91,369671,,,,,,,1.1823321183422577
8,7.03,7.76,6.93,7.21,272199,8.46,,,,,,1.1678798241749537
9,7.5,7.6,7.27,7.44,274868,8.27,,,,,,1.1123169795910284
10,7.09,7.2,6.52,6.59,298212,8.05,,,,,,1.0985800524773837
11,5.55,5.98,5.21,5.23,512462,7.67,,,,,,1.1186814773004277
12,5.69,6.0,5.38,5.99,338350,7.34,,,,,,1.0937756574932542
13,5.17,5.865,4.92,5.38,430529,6.95,,,,,,1.0920773962437362
14,5.53,6.07,5.22,5.66,432939,6.61,,,,,,1.074786153654898
15,5.2,5.75,5.2,5.47,390616,6.32,,,,,,1.0373014283938338
16,5.5,6.9546,5.29,5.75,432596,6.08,,,,,,1.0821084692228458
17,5.79,5.9537,5.2,5.32,421368,5.87,,,,,,1.058650721421214
18,5.33,5.33,4.52,4.61,213098,5.56,,,,5.037836896010691,9.190551964552263,1.040889955605413
19,4.89,5.19,4.505,4.67,212478,5.34,6.91,,,4.827625667693701,8.776963626001743,1.0154692444907407
20,4.7,4.8789,4.04,4.13,331038,5.22,6.66,,,4.57014244437888,8.608880350072772,1.0028571555985448
21,4.31,5.39,4.21,5.35,299927,5.15,6.5,,,4.363789678596408,8.38253303212276,1.0212245016272203
22,5.03,5.36,4.74,5.25,168573,5.13,6.33,,,4.266995242865141,8.11806481776674,0.9925656086538475
23,5.3,5.44,5.0,5.26,111722,5.09,6.14,,,4.243347642125773,7.80010646982941,0.9530966366071442
24,5.27,5.44,5.06,5.21,111666,5.06,5.96,,,4.248209813712012,7.455223075609711,0.9121611625637769
25,4.99,5.0,4.425,4.53,197543,4.93,5.75,,,4.211295557680309,7.13081307194547,0.9030782223806499
26,4.44,4.92,4.41,4.61,178759,4.85,5.58,,,4.194686895861024,6.8636341115919635,0.8750012064963177
27,4.56,4.66,4.12,4.29,190149,4.81,5.4,,,4.136723374425603,6.611579441284009,0.851072548889438
28,4.49,4.75,4.45,4.71,157449,4.82,5.27,,,4.217825281664484,6.340770350157008,0.8231387953973353
29,4.94,5.02,4.23,4.42,352421,4.85,5.12,,,4.251749794879016,6.103150152349499,0.8207717385832398
30,4.705,4.82,4.53,4.75,251752,4.78,5.03,,,4.22954818619642,6.0470924537230495,0.7907166143987228
31,4.94,5.65,4.94,5.62,273945,4.82,5.05,,,4.235976409982955,6.0128092652086185,0.7985225705130997
32,5.57,5.83,5.42,5.81,318495,4.88,5.04,,,4.228225653924548,6.009234667397977,0.7707709583335925
33,6.0,6.3,5.92,6.11,309457,4.98,5.08,,,4.1891239825537685,6.040733809359757,0.7507158898811931
34,5.89,6.02,5.77,5.96,236525,5.14,5.09,,,4.171625746062195,6.068327279361529,0.7213790406039651
35,5.88,6.145,5.63,5.72,228065,5.27,5.1,,,4.164653288298735,5.920915788899649,0.7066376805608248
36,5.89,6.0568,5.8168,5.96,176845,5.45,5.11,,,4.152915426295712,5.934249085396782,0.6802207033779087
37,5.8,5.94,5.48,5.5,235720,5.54,5.12,,,4.189586253260524,5.983801204373913,0.6659192245652009
38,5.34,5.785,5.17,5.63,155687,5.67,5.17,,,4.228409408238429,6.019344254283725,0.662282137096258
39,5.79,5.79,5.55,5.66,74179,5.77,5.22,,,4.331776298958082,6.053117161684687,0.6321191273036681
40,5.62,5.9799,5.54,5.87,110927,5.8,5.31,,,4.42282491100135,6.096644074564042,0.6183891896391205
41,5.85,5.98,5.72,5.91,123604,5.81,5.34,,,4.4600647112645175,6.138781124073164,0.5927899618077548
42,6.06,6.2,5.94,6.13,166448,5.82,5.38,,,4.4783906477208255,6.199889831025055,0.5711621073929152
43,6.36,6.39,6.02,6.34,98089,5.86,5.44,,,4.496703529460609,6.280322089777457,0.5567933854362784
44,6.59,7.41,6.47,7.24,253244,6.03,5.54,,,4.570877208544413,6.523253911569213,0.5934510007622585
45,7.08,7.49,6.87,7.28,231107,6.17,5.68,,,4.646647561208333,6.738427119020203,0.5953473578506686
46,6.99,7.31,6.79,7.28,254121,6.37,5.81,,,4.802293387574778,6.87985075187165,0.589965403718478
47,7.14,7.39,6.97,7.26,185802,6.55,5.96,,,4.924019235681899,7.009150457878281,0.5778250177385869
48,7.48,7.75,7.06,7.16,233828,6.72,6.08,,,5.11055529515944,7.180974036355411,0.5858375164715449
49,7.14,7.248,6.83,6.93,115202,6.84,6.21,6.2,,5.285028615740094,7.237211627188415,0.5738491224378632
50,7.66,8.5,7.365,7.77,219494,7.04,6.36,6.17,,5.391489921409715,7.510836596111479,0.6450027565494445
51,7.91,8.02,7.7,7.88,288883,7.24,6.47,6.16,,5.436281262195919,7.667665322031849,0.6217882739387699
52,7.72,7.9,7.6,7.71,232604,7.39,6.56,6.14,,5.46097334958229,7.789386834893601,0.5988033972288578
53,7.76,7.76,6.97,6.99,252726,7.36,6.61,6.1,,5.523457222004158,7.885555866932207,0.6124602974267965
