,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,84.64,86.61,81.3904,83.68,365829,,,,,,,5.2196
1,84.79,90.3,83.395,90.09,527505,,,,,,,5.339985714285715
2,88.18,88.18,77.39,78.8,654228,,,,,,,5.865701020408164
3,76.14,76.62,72.36,74.0,468675,,,,,,,5.9067223760932945
4,67.55,68.72,61.0,61.04,546473,,,,,,,6.413385063515203
5,64.33,64.355,56.32,60.12,605642,,,,,,,6.529214701835546
6,58.31,58.31,50.87,51.33,1054160,,,,,,,6.723556508847293
7,47.87,47.87,34.14,35.0,1786253,,,,,,,7.4711596153582
8,38.51,43.0,35.64,42.68,1381807,64.08,,,,,,7.5089339285469
9,34.9,37.61,32.65,33.26,1009745,58.48,,,,,,7.689010076507836
10,33.77,35.0,29.0,30.47,882265,51.86,,,,,,7.56836649961442
11,28.0,28.2335,14.16,20.23,1402633,45.35,,,,,,8.192768892499105
12,17.26,20.0,16.0,17.76,2276722,39.1,,,,,,7.909713971606312
13,19.0,19.5,16.83,17.42,1751895,34.25,,,,,,7.535448687920147
14,18.41,19.46,17.38,18.88,1820068,29.67,,,,,,7.145773781640137
15,20.77,26.565,20.5,25.06,2620401,26.75,,,,,,7.184289940094413
16,27.64,34.8,27.14,29.75,2940518,26.17,,,,,,7.366840658659098
17,29.95,38.48,29.95,36.23,2161575,25.45,,,,,,7.464209183040591
18,34.16,34.49,31.0,32.5,991529,25.37,,,,,,7.304622812823406
19,31.46,31.85,27.4001,28.25,1014655,25.12,43.33,,,-5.7577646563184,95.14274469387504,7.147142611907449
20,28.01,31.4,27.89,28.59,838615,26.05,40.57,,,-4.577252061356411,89.12708407766857,6.887346711056916
21,26.11,26.69,22.0,22.33,1316117,26.56,37.18,,,-2.420112528503701,81.04583948620329,6.866107660267137
22,22.51,24.48,20.4001,20.98,1037606,26.95,34.29,,,0.025781498464411357,71.84473070356863,6.667092827390913
23,21.05,22.74,18.9308,20.38,1083758,27.12,31.61,,,3.064723744611147,64.54535171229861,6.462957625434419
24,22.43,28.4,22.43,27.98,2074749,27.44,29.96,,,5.576290035052644,58.10607935866658,6.57417493790339
25,30.87,34.125,28.55,29.0,1810830,27.36,28.4,,,8.832495977974219,51.889017933280925,6.543519585196005
26,31.58,33.8,30.0501,32.58,1632003,26.95,27.47,,,12.079546920690412,46.41016970778167,6.418982471967719
27,35.17,39.01,34.0,35.98,1743055,27.34,27.52,,,12.092867737773723,44.34837920477155,6.41976943825574
28,37.3,37.3,31.11,32.84,1469864,27.85,27.02,,,12.497299667283658,43.18665211709411,6.403357335523187
29,34.93,36.2966,32.01,32.4,1042396,28.27,26.98,,,12.547007251826722,42.97564834478107,6.252160382985816
30,30.0,31.5,29.04,30.79,1038084,29.21,27.0,,,12.546141687977894,42.61536918632457,6.04557749848683
31,30.59,30.89,28.5502,29.18,981278,30.13,27.44,,,14.252433912835873,42.72782651398078,5.780879105737771
32,32.11,34.68,31.18,33.87,1652392,31.62,28.25,,,15.695735175186492,42.67547205396272,5.760816312470788
33,32.0,33.33,29.8102,30.57,1294988,31.91,28.91,,,17.236755397700808,42.13526577582044,5.639315147294303
34,29.76,32.06,29.68,31.8,1027726,32.22,29.55,,,18.9051380460482,41.12235227174769,5.406506922487567
35,32.6,33.49,31.27,31.96,1178533,32.15,29.9,,,19.973431719604314,41.08871103108966,5.178899285167026
36,31.9,33.17,30.78,30.86,1000203,31.59,29.95,,,20.08523501398504,40.94572136632556,4.979692193369382
37,31.5,31.78,29.59,30.78,838888,31.36,29.68,,,20.08087445448009,40.11931840387314,4.7804284652715685
38,31.85,34.84,30.9263,33.53,1192254,31.48,29.73,,,20.08226304943495,40.16043315834566,4.728969289180743
39,35.5,37.45,34.06,37.26,1614950,32.2,30.18,,,20.033557410528168,40.786374773517565,4.671185768524976
40,43.6965,48.44,41.55,46.33,2320829,34.11,31.07,,,18.963109393218247,44.264877942695236,5.136101070773192
41,45.26,48.57,42.7,44.43,1413272,35.28,32.17,,,18.978578888205213,46.86611277589803,5.188522422860821
42,42.0,42.99,38.17,39.08,1360031,36.23,33.08,,,20.36922043064714,47.462683222363566,5.265056535513619
43,37.11,39.83,34.1901,39.12,851513,37.04,34.02,,,22.744300210173506,46.949436590434956,5.291831068691217
44,41.46,42.0,36.85,37.21,1096351,37.62,34.48,,,24.40087941808758,47.297846991128594,5.281700278070416
45,37.79,38.5999,36.1,36.44,645604,38.24,34.85,,,24.887666765581713,47.47429287430927,5.083000258208244
46,37.09,39.33,36.76,39.25,707754,39.18,35.18,,,25.196230718257603,47.68672520943606,4.926357382621942
47,40.85,42.39,39.42,41.5673,810515,40.08,35.46,,,25.03994442898081,48.08144968055709,4.798760426720374
48,40.41,41.42,38.5901,40.09,870575,40.39,35.83,,,25.238054438149497,48.43407814420694,4.668648967668919
49,40.62,41.26,38.12,38.25,913443,39.49,36.12,37.44,,25.420364048669224,48.77887056861215,4.5594597556925685
50,37.81,38.24,33.28,34.11,1367652,38.35,36.28,36.45,,25.969244469998117,48.69018839972029,4.588784058857384
51,32.12,35.85,30.6,35.31,994237,37.93,36.59,35.35,,26.328946572534406,48.426968765810116,4.636013768939
52,34.82,37.59,34.36,36.5,646101,37.64,36.72,34.51,,26.649073243771554,48.421961483262855,4.5355842140147855
53,39.97,42.28,38.9305,41.68,1361371,38.13,37.28,33.86,,27.270367830098493,48.6652074215705,4.624471055870872
54,41.26,43.3,39.03,40.77,932155,38.61,37.73,33.45,,28.031437269572187,48.8031274593131,4.599151694737238
55,42.35,43.52,40.67,42.15,738388,38.94,38.24,33.1,,28.508824344992494,48.979249387627966,4.474212287970293
56,41.95,44.3199,41.81,42.81,866023,39.07,38.83,32.92,,29.12510367291777,49.079640740341404,4.333904267400986
57,43.28,44.1,42.26,43.72,573455,39.48,39.48,33.1,,30.180075583378457,48.685097957412424,4.155768248300916
58,47.21,47.99,46.3095,47.22,909534,40.47,40.16,33.19,,30.59358515683221,49.25577796345874,4.163927659136565
59,50.59,53.1127,47.5,52.68,1123926,42.54,40.94,33.58,,30.46704762833359,51.257457027358726,4.2874113977696675
60,53.05,53.46,48.5501,48.8801,925211,44.05,41.06,33.95,,29.820094754551036,52.45839666994145,4.331874869357549
61,47.64,48.7,44.4,45.47,1194798,45.04,41.12,34.45,,29.74270131470845,52.481169522947646,4.342462378689152
62,45.5,48.73,45.4,47.87,869712,45.73,41.55,35.05,,29.74306483182217,53.107049009683315,4.270143637354213
63,48.74,49.25,45.1,48.195,914111,46.56,42.01,35.67,,30.354628432796318,53.77891508418519,4.261561948971769
64,49.45,52.9798,49.45,52.75,1294465,47.73,42.79,36.35,,30.29922173799606,55.09396907607081,4.298936095473786
