,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.08,9.43,8.81,9.33,2890367,,,,,,,0.6199999999999992
1,9.43,10.08,9.13,9.43,5928874,,,,,,,0.6435714285714278
2,9.48,9.8769,9.26,9.65,4079001,,,,,,,0.6416663265306115
3,9.76,9.9,9.4169,9.65,4590415,,,,,,,0.6303401603498535
4,9.68,9.72,8.93,9.38,4855621,,,,,,,0.6417444346105784
5,8.75,8.97,8.33,8.34,2371792,,,,,,,0.6709055464241086
6,8.49,8.73,7.98,8.4,2473721,,,,,,,0.676555150250958
7,8.27,8.47,7.42,7.57,2994433,,,,,,,0.7032297823758897
8,6.6,7.57,5.91,6.56,5214742,8.7,,,,,,0.7715705122061833
9,6.85,6.87,5.75,5.75,4620719,8.3,,,,,,0.7964583327628845
10,4.66,6.475,4.6,6.03,6046320,7.93,,,,,,0.8734970232798213
11,5.86,7.06,5.82,6.65,5660396,7.59,,,,,,0.8996758073312626
12,6.42,6.79,5.26,5.365,4568212,7.12,,,,,,0.9446989639504582
13,5.41,6.44,4.82,5.51,5284076,6.69,,,,,,0.9929347522397112
14,5.9,5.98,5.16,5.1601,3918932,6.33,,,,,,0.9805822699368747
15,5.6,5.93,5.09,5.63,4259583,6.03,,,,,,0.9705406792270979
16,6.18,6.6,6.01,6.37,4460259,5.89,,,,,,0.9705020592823052
17,6.37,7.36,6.23,7.11,5388409,5.95,,,,,,0.9818947693335691
18,7.4,7.73,6.82,7.02,4282408,6.09,,,,,,0.9767594286668857
19,6.78,7.01,6.48,6.66,3812463,6.16,7.28,,,3.565395286871223,10.680304240845926,0.945562326619251
20,6.66,6.93,6.06,6.24,3328737,6.12,7.12,,,3.542737151615633,10.4812833385113,0.9401650175750188
21,6.1,6.685,6.1,6.175,3045298,6.21,6.96,,,3.591425691799931,10.111707556440274,0.9147960877482318
22,6.16,6.54,6.04,6.35,2634980,6.3,6.8,,,3.706596293723345,9.733637383919792,0.8851677957662153
23,6.5,6.92,6.43,6.62,2462450,6.46,6.64,,,3.955472877154698,9.27030396284595,0.8626558103543428
24,6.7,6.85,6.47,6.48,2212284,6.56,6.5,,,4.198149399713737,8.761478138480427,0.8281803953290326
25,6.84,7.11,6.6,7.0,3628360,6.63,6.43,,,4.388315356904242,8.416492108963308,0.8140246528055304
26,7.01,7.27,6.75,6.87,2823279,6.6,6.36,,,4.550913745273363,8.097290987066462,0.7930228918908496
27,6.86,7.13,6.79,6.9,1335290,6.59,6.32,,,4.627521258269857,7.786453177214184,0.7606641138986461
28,7.16,7.805,7.16,7.74,3651683,6.71,6.38,,,4.58651585280712,7.841069392049041,0.7709738200487428
29,7.9,8.85,7.51,8.73,5146198,6.98,6.53,,,4.535653017580749,8.282935679446538,0.8116185471881183
30,9.12,9.51,8.35,8.58,4844315,7.25,6.66,,,4.5925490051802615,8.834037894932633,0.8365029366746813
31,8.28,8.7,8.105,8.39,2583037,7.48,6.75,,,4.543141525337926,9.054659686140672,0.819252726912204
32,8.54,8.795,8.3,8.53,2446099,7.69,6.9,,,4.5975919108375525,9.27341772588601,0.7960918178470464
33,8.13,8.6,8.13,8.33,2592928,7.9,7.04,,,4.824844373702474,9.417796996623098,0.7727995451436859
34,8.44,8.96,8.33,8.69,2769792,8.08,7.22,,,5.005728480463098,9.560600024683199,0.7625995776334227
35,8.34,8.76,8.28,8.63,2875888,8.28,7.37,,,5.268890392176868,9.613590540065069,0.7424138935167497
36,8.97,9.28,8.92,9.23,3162412,8.54,7.51,,,5.299266785336998,9.79642676108457,0.7358129011226962
37,9.45,10.19,9.3599,9.64,4765637,8.75,7.64,,,5.281451280801225,10.185496798198514,0.7518262653282178
38,9.96,9.96,9.42,9.75,2446806,8.86,7.78,,,5.23238344103427,10.462849875754737,0.7366958178047738
39,9.77,9.88,9.38,9.735,1957891,8.99,7.93,,,5.276851524607386,10.676810494295475,0.7197889736758614
40,9.62,9.8,9.32,9.57,2897512,9.12,8.1,,,5.444459469033648,10.834381444090084,0.7026611898418713
41,9.43,9.76,9.1643,9.75,2842817,9.26,8.28,,,5.662369975070289,10.925588055059404,0.6950211048531663
42,9.5,9.81,9.26,9.47,2339720,9.38,8.43,,,5.936569587409477,10.95884228590673,0.6846624545065116
43,9.0,9.62,8.78,9.27,4662375,9.45,8.56,,,6.18490375340409,10.965954569634308,0.6957579934703322
44,9.43,9.725,9.36,9.58,3178506,9.56,8.72,,,6.445232524986988,10.927063390352359,0.678560993936737
45,9.57,9.655,9.3,9.55,2990638,9.59,8.85,,,6.728482297612924,10.864740765923232,0.6554494943698271
46,9.33,9.38,9.1,9.21,2534330,9.54,8.96,,,7.03252515478132,10.746575010148106,0.6407745304862682
47,9.36,9.74,9.19,9.63,3026359,9.53,9.1,,,7.389080169623972,10.540637479266913,0.6342906354515349
48,9.51,9.63,9.21,9.24,2829573,9.47,9.18,,,7.700794424497125,10.395288722975456,0.618984161490711
49,9.17,9.22,8.76,8.925,2975906,9.4,9.18,7.97,,7.948282988626216,10.38056698564516,0.6090567213842317
50,8.92,9.32,8.86,8.9,2294602,9.31,9.2,7.96,,8.009234794571274,10.372311034840076,0.5984098127139296
51,9.11,9.11,8.46,8.74,2622955,9.23,9.22,7.95,,8.08181773145732,10.341001950352446,0.602094826091506
52,8.69,8.9712,8.48,8.91,3100278,9.19,9.24,7.93,,8.115728007357719,10.325004297878392,0.5941737670849698
53,9.3,9.37,9.03,9.32,3323963,9.16,9.29,7.92,,8.255631502572157,10.262361622288452,0.5845899265789005
54,9.57,9.57,8.81,8.82,3097209,9.08,9.29,7.91,,8.342170246053616,10.247765955006228,0.5971192175375505
55,9.22,9.62,9.1,9.53,3864725,9.11,9.34,7.94,,8.479535177409195,10.18945566438369,0.6116107019991539
56,9.73,9.74,9.33,9.4,2434142,9.09,9.35,7.96,,8.492462395264594,10.199261438465165,0.5972099375706429
57,9.23,9.29,8.875,9.04,2210323,9.07,9.32,7.99,,8.476189716883333,10.101358589766612,0.5920520848870255
58,9.15,9.285,8.94,8.99,1779703,9.07,9.28,8.03,,8.475622133793603,10.046021891046639,0.5744055073950952
59,9.0,9.0,8.48,8.5,2623388,9.03,9.22,8.09,,8.403214284152634,10.02388880944035,0.570519399724017
60,8.23,8.6084,8.12,8.59,2893176,9.01,9.17,8.14,,8.247558338349672,10.068354935793934,0.5646537283151587
61,8.78,8.85,8.33,8.42,2103039,8.96,9.1,8.18,,8.165265194936358,10.049961623795786,0.5614641762926473
62,8.59,8.63,8.355,8.395,2335193,8.85,9.05,8.24,,8.104737877470505,10.035968946021189,0.5410024494146012
63,8.41,8.6,8.4,8.6,1895173,8.83,9.01,8.3,,8.059771634052794,10.037181992844108,0.5170022744564154
64,8.62,8.65,8.18,8.285,2749666,8.69,8.95,8.36,,7.9926930860066925,9.998353366792127,0.5136449691381001
65,8.05,8.2815,7.91,8.01,2421725,8.54,8.87,8.41,,7.876959483040603,10.003234102279574,0.5037417570568072
66,8.18,8.39,8.08,8.27,1673682,8.45,8.83,8.45,,7.805119056056122,10.008591105514336,0.49490306012417823
67,7.99,8.36,7.79,8.35,2944893,8.38,8.76,8.47,,7.6940137106031,9.942541516424473,0.5002671272581655
68,8.44,8.56,8.3,8.51,3156632,8.38,8.73,8.5,,7.693765844333608,9.86492910436084,0.48310518959686793
69,8.66,8.85,8.51,8.68,2496938,8.39,8.71,8.54,,7.688333347447431,9.840047907402937,0.4728833903399488
70,8.8,8.88,8.2,8.88,3479012,8.44,8.71,8.59,,7.660294636222493,9.801375084182578,0.4876774338870954
71,8.78,8.89,8.1,8.25,4919519,8.43,8.69,8.64,,7.624543868610683,9.786392073342423,0.5092719028951601
