,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,39.78,40.05,38.13,38.56,233808,,,,,,,1.9199999999999946
1,38.47,40.52,38.47,40.46,140462,,,,,,,1.9292857142857096
2,40.08,40.55,39.48,39.65,146219,,,,,37.920953677119286,40.68179132615138,1.8679081632653018
3,39.95,41.11,39.52,41.08,148539,,,,,38.502158963630755,41.09221328932011,1.8480575801749228
4,40.29,40.79,39.57,40.0,129461,,,,,39.473731586052175,41.12571251008369,1.8239106101624283
5,38.98,40.26,38.91,40.08,140193,,,,,38.9291176318405,41.19223193454065,1.7900598522936835
6,34.26,38.84,34.26,38.38,215423,,,,,34.39651181877487,41.07244393797713,2.077912719986992
7,39.07,39.37,37.155,37.8,241595,,,,,34.192007694552686,40.27932186084005,2.087704668559349
8,36.99,37.75,36.39,36.99,185699,39.22,,,,34.284807511227854,39.56190492288108,2.0392971922336813
9,35.34,36.1,33.19,33.28,168703,38.64,,,,33.26456279947884,39.538525229180834,2.1650616785027044
10,34.81,37.07,33.98,35.02,274500,38.03,,,,32.686362358588816,37.885493589721044,2.281128701466797
11,33.0,34.715,32.37,32.8,217457,37.27,,,,32.294448759246556,37.26360314105137,2.307476651362026
12,33.16,36.87,31.68,36.79,356353,36.79,,,,31.378371502486615,37.65466897771917,2.513371176264738
13,34.56,38.45,33.57,35.75,265403,36.32,,,,31.487960552070422,38.740681772209086,2.6824160922458287
14,35.94,37.24,34.625,35.5,242619,35.81,,,,31.65035816935931,38.42901540140965,2.6776006570854127
15,35.55,36.31,33.34,34.3,328709,35.36,,,,33.091259162576414,38.5136868114632,2.698486324436455
16,34.57,35.48,32.71,34.92,274522,35.04,,,,32.48474328898059,37.311854026624545,2.703594444119565
17,37.04,38.36,36.11,36.76,295409,35.01,,,,32.06369107068073,38.34735251419625,2.7561948409681674
18,36.53,37.51,34.57,35.26,258167,35.23,,,,32.590574583965605,38.744381731821896,2.7693237808990125
19,35.51,37.2,35.12,36.01,332978,35.34,36.97,,,34.408220201630314,38.35064135504824,2.7200863679776552
20,35.14,37.54,34.44,35.93,255092,35.69,36.84,,,34.31293199574878,37.623727849251175,2.7472230559792514
21,36.15,40.17,35.42,39.91,202923,36.04,36.81,,,34.44099165164219,40.091377609444336,2.8902785519807335
22,39.84,40.63,39.305,40.4,227568,36.55,36.85,,,33.55803775100743,41.28054625195392,2.778472941124967
23,39.13,39.58,36.8,37.43,219373,36.77,36.67,,,35.0085933553462,40.70564018362006,2.8371534453303267
24,36.93,38.42,35.41,35.92,205353,36.95,36.46,,,35.00035517742024,40.759335115130284,2.849499627806732
25,35.5,36.34,34.08,34.6,148365,36.91,36.19,,,33.93387868138975,39.91912106541408,2.8073925115348235
26,35.41,36.43,34.67,36.3,186417,36.86,36.08,,,33.98695088841194,38.3566795102455,2.7375787607109077
27,36.99,37.31,35.31,36.35,215428,36.98,36.01,,,34.00998037795278,37.28286902634379,2.6848945635172714
28,36.59,36.88,32.91,33.16,442952,36.67,35.82,,,32.92959485679954,37.35737499820663,2.776687808980324
29,33.99,36.12,33.68,35.7,221561,36.64,35.94,,,32.618714021603296,37.43283557538803,2.7897815369103007
30,35.3,35.3,33.67,34.14,112828,36.0,35.9,,,32.93412861784214,36.969208835666066,2.7355114271309935
31,34.9,35.14,33.64,33.97,122137,35.29,35.96,,,33.64043500733933,36.09831133483614,2.647260610907351
32,32.95,33.41,31.7314,31.88,142426,34.67,35.71,,,31.79203850232545,35.76953453998663,2.6180705672711118
33,31.83,32.24,30.94,31.9,157168,34.22,35.52,,,30.577012949622663,35.20154869763758,2.52392266960889
34,32.67,34.23,32.67,34.08,153917,34.16,35.45,,,30.827819255221463,34.39346165918141,2.510071050351112
35,33.48,33.8,32.73,33.09,88011,33.81,35.39,,,30.99509617899922,34.57515117194034,2.42720883246889
36,32.58,32.79,30.48,31.09,321318,33.22,35.19,,,30.549724495001097,34.4197990872067,2.4402653444353986
37,31.73,32.259,31.43,31.62,83424,33.05,34.94,,,30.304185949177164,33.810756849709826,2.349460676975727
38,31.67,32.03,30.81,30.95,145919,32.52,34.72,,,30.376113810361844,32.78852608807806,2.2687849143346037
39,29.44,29.5,26.675,28.75,512911,31.93,34.36,,,26.794858156136755,32.94719914796321,2.4120859918821322
40,28.79,28.79,27.52,27.8625,185776,31.25,33.96,,,25.93187760403268,31.980039115843113,2.3305084210334086
41,28.47,29.66,27.91,29.27,179161,30.96,33.42,,,26.673887091113663,29.826043082820153,2.2924363909595935
42,30.88,32.39,30.62,31.52,298445,30.91,32.98,,,26.825982980456132,32.34621465487012,2.3515480773196225
43,30.98,31.07,29.89,30.38,239573,30.5,32.63,,,27.93088646768995,32.54177195339373,2.3000089289396497
44,30.11,30.11,29.08,29.56,230722,30.11,32.31,,,29.01595246658384,32.449199745870374,2.228579719729675
45,29.25,29.54,28.46,29.36,158522,29.92,32.05,,,28.354522625157347,31.09056393057783,2.1479668826061262
46,29.35,30.26,29.17,29.19,179512,29.65,31.69,,,28.478110646576038,30.387855238090914,2.0723978195628314
47,29.99,29.99,28.54,28.55,214267,29.38,31.3,,,28.295557301591156,30.33010373654843,2.0279408324512005
48,28.94,29.96,28.94,29.12,203151,29.42,31.1,,,28.532653517357144,30.251749828060476,1.983802201561829
49,29.6,29.825,29.17,29.46,213905,29.6,30.79,34.42,,28.532653517357144,30.021681177071926,1.8924591871645555
50,28.88,29.23,28.4,28.75,242291,29.54,30.52,34.22,,28.4018766790484,30.098912009921982,1.8329978166528018
51,28.67,29.17,27.85,27.92,298076,29.14,30.22,33.97,,27.743979966759163,29.806631065354686,1.796355115463316
52,27.5,27.935,26.47,26.73,255803,28.74,29.96,33.71,,26.479602866841226,29.582393706273926,1.772686892930222
53,26.25,26.73,25.53,26.59,432461,28.41,29.69,33.42,,25.333040033516276,29.287033811049497,1.731780686292349
54,26.49,27.59,26.03,27.1,345634,28.16,29.34,33.16,,25.492649055282918,28.100961404345185,1.719510637271467
55,28.27,29.75,28.22,28.95,310232,28.13,29.14,32.94,,25.01951303440051,29.73486169515892,1.785974163180648
56,28.73,29.47,28.57,28.9,189837,28.17,29.03,32.75,,26.092404360019287,30.22874922336858,1.7226902943820304
57,29.31,29.855,29.13,29.58,159715,28.22,28.92,32.59,,28.135077233628998,29.910586933735193,1.6678552733547427
58,29.39,30.295,29.19,30.01,178933,28.28,28.88,32.45,,28.587182654305522,30.327419320051,1.6276513252579754
59,30.27,30.35,29.43,29.89,151492,28.41,28.93,32.38,,29.07538041347042,30.465106079836833,1.5771048020252632
60,30.61,31.0,30.22,30.25,199183,28.67,29.05,32.28,,29.02052279586533,30.97966566846873,1.543740173309173
61,30.97,31.76,30.84,31.5,270744,29.2,29.17,32.26,,29.385956762208945,31.812952911123798,1.5413301609299463
62,31.98,32.0,30.45,30.61,161512,29.64,29.12,32.13,,30.15856916272808,32.16091864387994,1.541949435149236
63,30.06,30.21,29.48,29.92,157247,29.96,29.1,32.02,,29.486326265718414,32.392108488982714,1.5125244754957192
64,29.86,30.26,29.71,29.99,144016,30.07,29.12,31.91,,29.32246166051134,31.944596163062986,1.4437727272460252
65,30.21,30.97,30.0,30.52,128720,30.25,29.18,31.83,,29.4433660871429,30.94759704875032,1.4106461038713092
66,31.07,32.15,30.77,31.73,189250,30.49,29.3,31.77,,29.55740477930888,32.176825860947865,1.4263142393090726
67,31.46,32.105,31.09,32.03,204356,30.72,29.48,31.67,,30.00370542757559,32.47719442503703,1.3969346507869957
68,33.0,33.76,32.655,33.25,144138,31.09,29.68,31.63,,30.39543037622698,33.708738787270306,1.4207250328736387
69,33.62,33.77,33.02,33.1,99298,31.41,29.87,31.58,,31.127178094733118,34.265922604915694,1.3728161019540932
70,32.58,32.89,32.12,32.36,145695,31.5,30.05,31.5,,32.10039851497538,34.02906018470307,1.3447578089573726
71,32.0,32.12,30.84,31.15,141010,31.56,30.21,31.33,,30.788276764813354,33.83483864010196,1.3572751083175603
72,30.17,30.17,28.6,28.7,136276,31.43,30.31,31.09,,28.560146944283886,33.26887817399417,1.4424697434377343
73,29.74,29.86,28.89,28.91,27348,31.31,30.42,30.92,,28.103303358544306,32.064349987530065,1.4222933331921819
74,28.22,30.19,28.15,29.61,192051,31.2,30.55,30.8,,28.136507754374033,30.276858106600386,1.466415237964169
75,30.62,30.95,29.9,30.03,118653,31.02,30.6,30.71,,28.01368897346675,30.94818643231991,1.4573855781095855
76,30.04,30.04,29.35,29.51,125675,30.74,30.63,30.57,,28.148951124365148,30.93000859206379,1.4025723225303293
77,29.16,29.83,29.065,29.45,130150,30.31,30.63,30.43,,28.971437645483157,30.928210675538274,1.3570314423495913
78,29.46,29.975,28.78,29.79,417101,29.95,30.62,30.37,,28.7515000000004,30.066593991768006,1.345457767896049
79,29.45,29.48,28.99,29.08,148457,29.58,30.57,30.23,,28.782493846271134,30.041590912371475,1.3064964987606171
