,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,21.83,22.19,21.32,22.16,120540,,,,,,,0.870000000000001
1,21.48,21.665,20.9,21.0,236830,,,,,,,0.8978571428571439
2,20.17,21.09,20.17,20.95,264965,,,,,,,0.899438775510205
3,20.09,20.09,19.09,19.37,417235,,,,,,,0.9680502915451903
4,20.0,20.07,18.8496,19.91,302589,,,,,,,0.986075270720534
5,19.27,19.93,19.12,19.52,354688,,,,,,,0.9734984656690672
6,17.87,19.11,17.21,17.85,629981,,,,,,,1.0689628609784194
7,18.81,19.1,17.57,19.1,571977,,,,,,,1.1018940851942467
8,18.62,18.62,15.93,16.2601,427276,19.57,,,,,,1.2496159362518005
9,16.69,19.37,15.99,19.36,533393,19.26,,,,,,1.401786226519529
10,18.1,18.205,14.74,17.47,420992,18.87,,,,,,1.6316586389109913
11,16.11,19.62,13.28,18.52,684113,18.6,,,,,,1.9679687361316347
12,18.67,18.81,15.47,15.91,979500,18.21,,,,,,2.0659709692650896
13,16.26,16.28,14.42,15.135,756108,17.68,,,,,,2.0512587571747263
14,15.68,16.6,15.18,16.32,631391,17.33,,,,,,2.009383131662246
15,16.21,17.22,16.02,16.59,428970,17.19,,,,,,1.9515700508292286
16,16.85,17.105,16.41,17.0,615050,16.95,,,,,,1.8618150471985695
17,16.33,16.77,15.69,16.1,226284,16.93,,,,,,1.8223996866843861
18,16.25,16.83,15.23,16.79,283776,16.65,,,,,,1.8065139947783584
19,16.55,16.92,15.91,16.52,442323,16.54,18.09,,,12.400716520493079,22.30875981341196,1.749620138008476
20,15.79,15.85,15.07,15.39,325407,16.2,17.75,,,12.524006210584574,21.837577052098965,1.728218699579299
21,15.11,16.2,14.95,15.82,684605,16.19,17.49,,,12.701843961597893,21.350853640785115,1.6940602210379205
22,15.68,16.57,15.51,16.01,1057834,16.28,17.25,,,12.946072316342661,20.889269534399645,1.648770205249498
23,16.63,17.66,16.63,17.64,762196,16.43,17.16,,,13.143209848196133,20.592520333548403,1.6488580477316765
24,18.19,18.265,16.66,16.74,1208120,16.45,17.0,,,13.355013659034539,20.305900955848777,1.645725330036557
25,17.24,17.53,16.74,17.1,1716544,16.46,16.88,,,13.711104832603246,19.97151668877365,1.5846020921768034
26,17.5,18.18,16.97,17.14,2750812,16.57,16.85,,,13.733564365354807,19.83661327120868,1.5578447998784604
27,17.03,17.03,15.74,16.37,1107176,16.53,16.71,,,13.842869959896388,19.627767793127802,1.5465701713157134
28,16.73,17.0108,16.41,16.635,625956,16.54,16.73,,,13.837043579702932,19.48745083338196,1.4818723019360196
29,16.07,16.55,15.4,15.84,805912,16.59,16.55,,,13.811570952248443,19.15896399479911,1.464238566083447
30,15.88,16.26,15.45,16.0,968760,16.61,16.48,,,13.89259045212522,19.057215327182085,1.4175072399346296
31,16.4,16.78,16.1101,16.38,1462298,16.65,16.37,,,14.426444136726646,18.525371500980484,1.3719710085107275
32,15.95,16.52,15.44,15.84,467122,16.45,16.37,,,14.42336729326342,18.16626187473438,1.351115936474247
33,15.35,15.73,15.08,15.14,786886,16.27,16.37,,,14.568522496251626,18.21788004846304,1.3088933695832294
34,15.3,15.565,15.02,15.46,895822,16.09,16.33,,,14.541283360536692,18.286173261301382,1.2543295574701416
35,15.39,16.15,15.3,15.48,1219812,15.9,16.27,,,14.488351667857259,18.250405786395255,1.2254488747937027
36,15.56,15.97,15.3,15.87,816242,15.85,16.21,,,14.450392265696326,18.226925977430817,1.185773955165581
37,15.96,16.715,15.76,16.54,814442,15.84,16.24,,,14.453975789025705,18.223970172333512,1.1692901012251824
38,16.95,17.095,16.45,16.76,814344,15.94,16.23,,,14.499916056945832,18.246121582509463,1.1318408082805265
39,17.37,17.88,17.095,17.64,537768,16.12,16.29,,,14.434580099520058,18.378101818037507,1.1309950362604888
40,17.17,17.35,16.79,17.01,719754,16.19,16.37,,,14.512252515150294,18.41055692352497,1.1109239622418825
41,16.64,16.64,16.01,16.17,347044,16.23,16.39,,,14.64346069914091,18.40611481296071,1.103000822081748
42,15.87,15.99,15.6,15.85,449204,16.31,16.38,,,14.654158396260971,18.422468484630972,1.064929334790195
43,16.18,16.315,15.53,15.55,539548,16.32,16.28,,,14.618208824730464,18.32304336434267,1.044934382305181
44,15.66,15.69,15.29,15.35,1191760,16.3,16.21,,,14.564268185321438,18.09822808414276,0.9988676407119539
45,15.7,15.8,15.41,15.52,803508,16.27,16.13,,,14.548775947500838,17.996405275937988,0.9596628092325288
46,15.86,16.24,15.67,16.24,495974,16.23,16.08,,,14.608359987623192,17.684924425583233,0.942544037144491
47,15.86,16.03,15.38,15.6,2163036,16.1,16.04,,,14.578810130424953,17.619137437248657,0.936648034491313
48,15.58,15.6,14.41,14.46,1757748,15.75,15.94,,,14.385343356092799,17.566546670366616,0.9547446034562191
49,14.21,14.32,13.715,14.14,2024790,15.43,15.85,16.87,,14.036030347190096,17.747430805518984,0.9397628460664893
50,13.72,14.5,13.35,14.5,1322228,15.25,15.78,16.72,,13.63954579817171,17.845558418812505,0.9547797856331687
