,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,26.05,26.73,25.11,25.21,477214,,,,,,,1.620000000000001
1,25.45,25.89,24.44,24.96,373115,,,,,,,1.6078571428571438
2,24.41,24.94,23.45,23.78,400790,,,,,,,1.6008673469387764
3,23.07,23.29,22.35,22.85,362918,,,,,,,1.5886625364431495
4,21.95,22.23,21.24,21.82,431034,,,,,,,1.5901866409829248
5,22.34,23.02,21.49,22.37,654852,,,,,,,1.5858875951984304
6,22.35,22.8,21.2509,21.77,881276,,,,,,,1.5832599098271138
7,20.7,20.8,18.39,19.11,553585,,,,,,,1.7115984876966057
8,20.17,20.19,18.745,19.92,596125,22.42,,,,,,1.6925557385754197
9,17.92,19.36,15.21,15.98,1095484,21.4,,,,,,1.9080874715343186
10,16.42,16.52,14.42,15.87,933607,20.39,,,,,,1.9217955092818673
11,14.97,15.64,10.12,12.44,600876,19.13,,,,,,2.1952386871903053
12,12.41,15.72,11.58,14.84,1198384,18.24,,,,,,2.3341502095338553
13,15.36,15.43,13.56,14.13,875167,17.38,,,,,,2.30099662313858
14,14.45,14.45,12.065,12.65,427442,16.3,,,,,,2.306996864342967
15,13.38,14.37,13.22,13.83,358134,15.42,,,,,,2.265068516889898
16,13.84,16.3,13.84,15.83,909655,15.05,,,,,,2.279706479969191
17,15.79,16.84,15.41,15.48,565734,14.56,,,,,,2.219013159971392
18,15.0,15.55,13.79,13.91,738344,14.33,,,,,,2.1862265056877215
19,13.91,15.48,13.36,15.26,723644,14.26,18.1,,,7.690897332112188,27.543126667744335,2.1814960409957416
20,15.13,15.58,14.995,15.26,1446406,14.58,17.6,,,7.923712315478413,26.34873239108155,2.067460609496046
21,14.62,15.19,12.85,13.06,604392,14.38,17.01,,,8.009761533002616,25.170185828067254,2.0919277088177575
22,13.57,14.3,12.15,12.5,1366816,14.2,16.44,,,8.063698732957635,24.069567700307662,2.0960757296164894
23,12.47,13.03,12.29,12.71,707706,14.2,15.94,,,8.175420363857114,23.294187277994677,1.999213177501026
24,13.3,13.92,13.2,13.74,751645,14.19,15.53,,,8.40335975953856,22.544774817168722,1.942840807679524
25,14.38,14.79,13.38,13.64,524258,13.95,15.1,,,8.902194981650426,21.37329789012881,1.9047807499881293
26,13.93,14.73,13.38,14.31,1264556,13.82,14.72,,,9.678427783140048,19.982515047719243,1.8651535535604058
27,14.85,15.5,14.486,15.08,964245,13.95,14.52,,,10.0714925782367,19.0051420125985,1.8169282997346625
28,15.1,15.36,14.07,14.86,467887,13.91,14.27,,,10.777085379582763,17.99444422241628,1.7792905640393295
29,15.32,15.32,14.51,15.0,839200,13.88,14.22,,,10.829340936649144,17.003453298905917,1.710055523750806
30,14.44,14.44,13.54,13.72,1247387,13.95,14.11,,,10.83526755658237,16.817160335244175,1.6921944149114627
31,13.69,13.8999,12.681,12.9,1300713,14.0,14.14,,,11.438347960012155,16.78951723094319,1.6583876709892156
32,13.38,15.26,13.38,14.96,2623842,14.25,14.14,,,11.726409155006612,16.739565287471034,1.708502837347129
33,14.67,15.03,14.21,14.58,1198337,14.34,14.16,,,11.731398890713265,16.707366007603046,1.6450383489651912
34,14.0,14.6,13.95,14.46,1143996,14.43,14.25,,,11.957701936374873,16.706759104666425,1.5739641811819634
35,14.76,15.52,14.5,15.15,941150,14.52,14.32,,,11.99090578356594,16.75609943019282,1.5372524539546801
36,15.2,16.0,15.2,15.7,1228216,14.59,14.31,,,11.931631432938023,16.699364469997278,1.4881629929579174
37,15.76,16.63,15.45,16.45,1203565,14.77,14.36,,,11.926018127220674,16.64295306928448,1.4661513506037804
38,16.59,18.02,16.59,17.45,1831044,15.04,14.54,,,11.675141374553995,17.242675811794886,1.473569111274939
39,17.76,18.52,17.51,18.24,1518456,15.54,14.69,,,11.382195993676865,17.88194627118304,1.444742746183872
40,18.96,20.12,18.0,19.6,875462,16.29,14.91,,,11.042644693173186,18.893034996326413,1.4929754071707384
41,19.31,20.18,18.9,19.91,858824,16.84,15.25,,,10.813212818095248,19.728573262770944,1.4777628780871142
42,18.98,19.55,18.61,19.17,268311,17.35,15.58,,,10.907899869525794,20.26952178390745,1.4650655296523205
43,18.82,19.26,18.03,18.7,329374,17.82,15.88,,,11.15726846899426,20.571210334415678,1.4482751346771547
44,19.43,20.23,18.9,19.49,410300,18.3,16.17,,,11.230426088964574,21.066174420471036,1.4541126250573582
45,19.56,19.91,18.93,19.67,281625,18.74,16.47,,,11.358114940198412,21.460061650995783,1.4202474375532612
46,19.95,20.96,19.95,20.62,557778,19.21,16.79,,,11.453196471739497,21.992271233083095,1.4109440491565997
47,22.45,23.2392,20.81,21.1,654852,19.61,17.09,,,11.376588027628946,23.006759251622537,1.497248045645414
48,21.52,21.52,19.74,20.29,778536,19.84,17.36,,,11.570998772342016,23.47636950866699,1.5174446138135989
49,20.21,20.66,19.71,19.8,569210,19.86,17.6,17.08,,11.764770553952385,23.732460918979292,1.476912855684056
50,19.75,20.17,18.8,19.67,290955,19.83,17.9,16.97,,12.222489088586745,23.79383012067593,1.469276223135195
51,19.02,19.79,18.5,19.7,402051,19.89,18.24,16.87,,12.964663284300043,23.6602123227172,1.4564707786255382
52,19.76,20.1,19.3,19.43,358730,19.97,18.46,16.78,,13.632133175260783,23.64618950269501,1.409580008723714
53,20.15,21.18,19.93,20.84,456568,20.12,18.77,16.74,,14.173524584921045,23.651449487497395,1.433895722386306
54,20.68,21.77,20.56,20.78,589608,20.25,19.09,16.72,,14.870123326633571,23.530990692770963,1.4179031707872842
55,21.16,21.67,20.88,21.03,192495,20.29,19.38,16.69,,15.535880625078693,23.403529713934578,1.3801958014453355
56,21.17,21.48,20.68,21.15,315520,20.3,19.65,16.68,,16.160134503020686,23.180303535844846,1.3387532441992402
57,21.03,21.69,20.7333,21.57,247418,20.44,19.91,16.73,,16.863089971646726,22.952734790378884,1.3114637267564375
58,22.26,23.08,21.97,23.0,217313,20.8,20.19,16.79,,17.183667815211617,23.171845244240593,1.3256448891309776
59,23.06,23.76,22.72,23.68,813196,21.24,20.46,16.94,,17.2364257155278,23.5475341808732,1.3052416827644795
60,23.9,24.2199,22.38,22.505,308069,21.55,20.61,17.08,,17.34975909369511,24.088712253527323,1.3434315625670168
