,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,2.02,2.145,1.96,2.12,583585,,,,,,,0.18500000000000005
1,2.19,2.19,2.035,2.05,255802,,,,,,,0.1828571428571429
2,2.08,2.24,2.01,2.025,512194,,,,,,,0.18622448979591846
3,2.04,2.18,2.0276,2.09,322152,,,,,,,0.18399416909621003
4,2.14,2.14,2.0,2.03,367116,,,,,,,0.18085172844648076
5,1.95,2.02,1.9125,2.0,230808,,,,,,,0.17632660498601782
6,1.8,1.9,1.75,1.81,602229,,,,,,,0.1815889903441594
7,1.86,1.95,1.68,1.74,708090,,,,,,,0.18790406246243374
8,1.72,1.86,1.53,1.6,1086020,1.94,,,,,,0.19805377228654564
9,1.5,1.51,1.2,1.205,842004,1.84,,,,,,0.2124785028375067
10,1.31,1.424,1.18,1.3301,619525,1.76,,,,,,0.21473003834911336
11,1.28,1.28,1.04,1.15,1522130,1.66,,,,,,0.2201136070384624
12,1.19,1.39,1.09,1.38,545969,1.58,,,,,,0.22581977796428648
13,1.29,1.34,1.12,1.15,330625,1.49,,,,,,0.22826122239540886
14,1.16,1.3,1.13,1.16,551370,1.39,,,,,,0.22409970651002253
15,1.19,1.45,1.19,1.23,288272,1.33,,,,,,0.2288068703307352
16,1.23,1.37,1.14,1.27,648127,1.28,,,,,,0.22889209387853984
17,1.35,1.57,1.31,1.465,451546,1.26,,,,,,0.23397123003007272
18,1.48,1.64,1.48,1.57,968064,1.3,,,,,,0.22975899931363894
19,1.6,1.75,1.6,1.69,354578,1.34,1.6,,,0.7694581279283566,2.4179296169567395,0.22620478507695044
20,1.65,1.73,1.59,1.7,580874,1.4,1.58,,,0.7790127206582165,2.3691493296464996,0.22004730042859683
21,1.74,1.8,1.64,1.76,345273,1.44,1.57,,,0.8003703411395329,2.311972318126415,0.2157582075408399
22,1.8,1.9,1.76,1.89,404966,1.53,1.56,,,0.8203693239015627,2.2486246520502475,0.21034690700220848
23,1.9,1.94,1.74,1.84,452081,1.6,1.55,,,0.8467378543203755,2.201088894808115,0.20960784221633647
24,1.85,1.92,1.79,1.85,463698,1.67,1.54,,,0.869628220713236,2.157014546458192,0.20392156777231243
25,1.85,1.91,1.8,1.89,275673,1.74,1.53,,,0.8814088716027487,2.1368252686276934,0.1972128843600044
26,1.94,2.1,1.91,1.98,393016,1.8,1.54,,,0.8664030438494812,2.175885232131229,0.19812624976286125
27,2.02,2.09,1.81,1.82,353828,1.82,1.55,,,0.8591021127172948,2.202924042881113,0.20397437477979974
28,1.87,2.14,1.86,1.88,6034498,1.85,1.56,,,0.8487827205855918,2.2517952057482784,0.2122619194383855
29,1.99,2.06,1.88,2.01,509049,1.88,1.6,,,0.8704412862699707,2.2978630710525785,0.209957496621358
30,2.08,2.2,1.96,2.14,252192,1.92,1.64,,,0.8972283145827594,2.360284281634275,0.21210338971983245
31,2.19,2.22,2.08,2.16,503538,1.95,1.69,,,0.951950649543937,2.4016390095629334,0.2069531475969873
32,2.1,2.25,1.97,2.19,1103628,1.99,1.73,,,1.021264963486622,2.4468587026988233,0.2121707799114882
33,2.2,2.44,2.13,2.18,1314098,2.03,1.78,,,1.0850964953087492,2.5125349143982914,0.2191585813463819
34,2.21,2.26,2.1,2.21,674168,2.06,1.84,,,1.167638399978583,2.515822761710081,0.21493296839306889
35,2.28,2.4,2.16,2.17,967495,2.08,1.88,,,1.2479627307902512,2.550835403690856,0.21672347065070682
36,2.21,2.22,2.07,2.09,420891,2.11,1.92,,,1.3746575623636506,2.522287263801737,0.21195750846137065
37,2.16,2.24,1.94,1.98,678510,2.13,1.95,,,1.4761051925462785,2.514556569626576,0.21824625785698704
38,1.97,2.15,1.97,2.05,611788,2.13,1.97,,,1.543075904612409,2.495744464655461,0.21551438229577366
39,2.05,2.14,1.98,2.09,373761,2.12,1.99,,,1.5879817692059779,2.4838329082616064,0.21154906927464698
40,2.12,2.17,1.99,2.02,1260368,2.11,2.01,,,1.6434807627430945,2.4625962155623538,0.2092955643264579
41,2.06,2.13,1.9912,2.05,507940,2.09,2.02,,,1.6943367026707614,2.4415973967062152,0.20426016687456805
42,2.08,2.08,1.96,2.02,1125736,2.08,2.03,,,1.7198904370194663,2.4296795600462184,0.19824158352638466
43,2.03,2.12,1.9998,2.09,1002496,2.06,2.04,,,1.7551861464001222,2.4206279587605177,0.19266718470307148
44,2.07,2.07,1.89,2.01,269483,2.04,2.05,,,1.7734956937363422,2.4063632739077896,0.19319095722428067
45,2.01,2.2,2.0001,2.09,329164,2.04,2.06,,,1.800640659545052,2.387071156831399,0.19367017456540347
46,2.13,2.2,2.0201,2.04,613576,2.05,2.06,,,1.8087453820500763,2.388251229937432,0.1926865906678747
47,2.05,2.18,2.0201,2.1,359090,2.06,2.08,,,1.8397242485670307,2.387328464587147,0.1903446913344551
48,2.17,2.17,2.036,2.09,521118,2.06,2.09,,,1.8619098917146029,2.387545278338698,0.18632007052485117
49,2.32,2.456,2.11,2.22,7162470,2.08,2.1,1.85,,1.8795707295167008,2.4291068139988004,0.19915435120164754
50,2.24,2.67,2.2,2.66,3660626,2.15,2.13,1.86,,1.8728319951194374,2.533560170732615,0.2185004689729584
51,2.7,2.75,2.3201,2.46,2532322,2.2,2.14,1.87,,1.839224910380052,2.6379953629767776,0.23360043547488996
52,2.46,2.6,2.35,2.51,584271,2.24,2.16,1.88,,1.8196054286604897,2.6842872215827143,0.23477183294096923
53,2.5,2.65,2.35,2.57,413259,2.3,2.18,1.89,,1.799587889352411,2.722168986206258,0.2394309877309
54,2.52,2.6,2.46,2.55,630592,2.36,2.19,1.9,,1.7672723349248232,2.7601133879515705,0.23232877432155
