,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,26.93,27.44,26.23,26.75,40975,,,,,,,1.2100000000000009
1,26.17,26.48,24.7,25.33,42709,,,,,,,1.270000000000001
2,24.37,25.695,24.37,25.03,30953,,,,,,,1.2739285714285722
3,23.28,24.4753,20.8601,20.8601,39921,,,,,,,1.4807836734693887
4,21.69,22.05,20.21,21.62,110340,,,,,,,1.5064419825072894
5,20.93,21.2,19.98,20.13,124678,,,,,,,1.515981840899626
6,19.0,19.98,17.91,18.28,60416,,,,,,,1.5662688522639385
7,19.33,19.89,18.6,19.53,85867,,,,,,,1.5693925056736573
8,17.89,17.89,16.22,16.22,127004,21.53,,,,,,1.6937216124112535
9,16.56,18.83,16.18,18.32,64495,20.59,,,,,,1.7620272115247353
10,17.27,17.27,14.27,14.28,62020,19.36,,,,,,1.9254538392729685
11,14.13,17.91,13.51,15.78,219398,18.34,,,,,,2.1022071364677566
12,16.25,16.85,12.78,14.41,295278,17.62,,,,,,2.242763769577203
13,14.65,16.6375,13.52,14.33,71676,16.81,,,,,,2.3052449288931167
14,14.7,16.08,13.12,16.06,46275,16.36,,,,,,2.352013148257894
15,16.77,16.87,15.57,15.87,33263,16.09,,,,,,2.2768693519537586
16,15.97,17.78,15.9053,17.59,38235,15.87,,,,,,2.250664398242776
17,16.86,17.83,16.75,17.26,47245,15.99,,,,,,2.1670455126540062
18,17.42,18.73,17.0243,18.45,40620,16.0,,,,,,2.134092261750149
19,18.3,18.94,17.845,18.15,132722,16.43,18.71,,,9.90930747053637,26.927084234392243,2.059871385910853
20,17.58,17.58,16.32,16.44,95212,16.51,18.2,,,10.47888406580665,25.5404153221646,2.043452001202935
21,16.18,17.02,15.9,16.67,43253,16.76,17.76,,,10.986570002293206,24.171838752916177,1.9774911439741538
22,16.47,17.16,15.12,15.57,46813,16.9,17.29,,,11.68051709899158,22.72286666895191,1.9819560622617143
23,15.81,17.26,15.81,16.79,127732,16.98,17.09,,,11.925267197439112,21.32331137313849,1.9611020578144491
24,17.59,17.75,16.27,16.64,36513,17.06,16.84,,,12.19016170560524,20.52952951374084,1.926737625113417
25,17.2,17.47,16.66,17.37,38772,17.04,16.7,,,12.519012183224696,19.848116391588505,1.8483992233196014
26,17.69,18.9,17.69,18.89,40027,17.22,16.73,,,12.537277168387261,19.5996016762571,1.8256564216539155
27,18.8,18.805,17.501,17.85,53712,17.15,16.65,,,12.654169710414884,19.33229745568826,1.7944666772500644
28,18.2,18.33,16.98,17.36,49414,17.06,16.7,,,12.646121775061026,19.377700376767518,1.7627190574464884
29,16.58,16.68,15.85,16.08,105750,17.02,16.59,,,12.636080253130633,19.240631351386533,1.7446676962003107
30,16.03,16.27,14.83,15.43,194056,16.89,16.65,,,12.709675119373872,19.28955574833363,1.7229057179002885
31,15.86,17.59,15.86,17.3,97621,17.08,16.73,,,13.015656016974932,19.265230214562838,1.754126738050268
32,16.64,17.69,16.14,16.45,119756,17.04,16.83,,,13.581052938649206,19.27875847816997,1.7395462567609634
33,15.7,16.7,15.7,16.27,113679,17.0,16.92,,,13.984278360470825,19.274933628879765,1.6867215241351803
34,16.74,16.79,16.1,16.31,41928,16.88,16.94,,,14.666199997953111,19.20590560294953,1.6155271295540958
35,16.22,17.05,16.22,16.52,84141,16.62,16.97,,,14.733817086695323,19.199381058178144,1.5594180488716605
36,16.66,17.05,16.34,16.91,41300,16.51,16.94,,,14.767801518874101,19.180547416421224,1.4987453310951133
37,17.3,18.44,17.3,18.08,66051,16.59,16.98,,,14.747176742653126,19.25379711075253,1.5009778074454625
38,18.5,19.07,18.29,18.73,29044,16.89,16.99,,,14.616729651639798,19.325681087178562,1.4644793926279298
39,19.71,21.22,19.53,20.71,37689,17.48,17.12,,,14.311904072835794,20.01821907266976,1.5377308645830776
40,20.02,21.54,19.19,19.33,84808,17.7,17.26,,,14.15742916918538,20.77686255283378,1.595750088541429
41,16.53,17.92,15.8,17.42,61660,17.81,17.3,,,14.145622357160534,20.78883510863529,1.7339107965027556
42,16.95,18.01,16.9447,17.65,32853,17.96,17.4,,,14.341804043244741,20.804375405762396,1.6861528824668446
43,18.41,19.5569,16.7,16.9,67872,18.03,17.41,,,14.426908084391044,20.975111681644524,1.7697776765763555
44,16.85,16.87,15.81,15.96,32695,17.97,17.38,,,14.37370167036051,20.983559836547627,1.7212221282494728
45,16.74,17.58,16.44,16.96,94598,17.97,17.36,,,14.358528045186993,20.984439387589696,1.7139919762316531
46,17.15,17.95,17.01,17.95,110964,17.96,17.31,,,14.360930069825358,20.912846035505037,1.6622782636436777
47,17.41,17.9175,16.56,16.77,31455,17.74,17.25,,,14.34144211458122,20.84695163647499,1.6428298162405581
48,16.79,17.1332,15.26,15.34,117052,17.14,17.15,,,14.176745437689922,20.809211640726357,1.6592848293662326
49,15.21,15.21,14.02,14.34,124890,16.59,17.07,17.7,,13.840527665639296,20.94158674053504,1.6350501986972161
50,14.0,14.6,13.21,14.4,120064,16.25,17.02,17.46,,13.46316024967228,21.122243054242062,1.6175466130759864
51,14.26,14.62,13.68,14.34,85032,15.88,16.87,17.24,,13.116012091447157,21.264503367554344,1.5691504264277016
52,14.8,16.72,14.8,16.56,137816,15.85,16.87,17.07,,12.978411209043719,21.239439244351775,1.6270682531114373
53,16.32,16.435,15.5,15.51,75658,15.8,16.83,16.96,,12.96016977813437,21.24182999523713,1.5865633778891917
54,15.91,16.5084,15.88,16.48,41217,15.74,16.84,16.86,,12.945781212152333,21.242758497467264,1.544551708039964
55,16.5,16.69,16.05,16.33,57016,15.56,16.83,16.78,,12.936353598592898,21.23899132567189,1.4799408717513953
56,16.46,16.96,16.46,16.85,70674,15.57,16.83,16.75,,12.940957496339259,21.237290016800475,1.4192308094834387
57,17.76,18.58,17.76,18.07,43435,15.88,16.83,16.73,,12.925900274710182,21.251942185111844,1.4414286088060502
58,18.87,20.42,18.57,19.76,75992,16.48,16.88,16.8,,12.901434013681241,21.481664314246526,1.5063265653199038
59,20.21,20.21,18.16,18.28,85268,16.91,16.76,16.8,,13.066159693087048,21.255375060421475,1.5451603820827677
60,17.82,17.9,16.9006,17.62,43972,17.27,16.67,16.86,,13.262142807672468,20.573622123290487,1.5333203547911416
61,17.78,18.2832,17.28,17.33,38427,17.36,16.67,16.89,,13.289222271020785,20.608618917561717,1.4954546151632029
62,17.65,17.7999,17.07,17.53,66774,17.58,16.66,16.96,,13.287618624452815,20.591162705599388,1.4407721426515456
63,18.0,19.23,17.5763,18.85,32201,17.85,16.76,17.05,,13.270327649075366,20.531331961568835,1.4592884181764352
64,18.76,19.7,18.75,19.45,74574,18.19,16.94,17.11,,13.211848216000968,20.82667892522177,1.4229106740209756
65,20.81,21.68,20.56,21.17,70943,18.67,17.15,17.22,,12.894336527109633,21.51946079002181,1.4805599115909058
66,21.97,22.19,21.342,21.74,93596,19.08,17.34,17.3,,12.530131403884397,22.225736020738005,1.4476627750486981
67,20.97,21.48,20.31,20.99,62610,19.22,17.55,17.38,,12.434381884394906,22.686785891948105,1.4464011482595054
68,20.85,20.86,19.66,19.69,41555,19.37,17.76,17.4,,12.574580038385724,23.006143469536838,1.4380867805266835
69,18.29,18.44,17.085,17.22,45072,19.33,17.91,17.38,,12.9728463061387,22.936429672108147,1.5214377247747777
70,18.35,18.35,17.35,17.43,15910,19.34,18.06,17.4,,13.63434255623666,22.739404529643977,1.4934778872908654
71,16.88,18.08,16.61,17.85,108326,19.38,18.24,17.43,,14.192180052392237,22.461655440071063,1.4918008953415178
72,18.57,18.98,18.05,18.64,62280,19.35,18.34,17.49,,14.627955157788108,22.4369565372789,1.4659579742456952
73,18.59,18.59,17.49,17.62,30863,19.15,18.44,17.5,,14.91531165133027,22.347156390492156,1.44338954751386
74,17.25,18.15,17.25,17.48,25501,18.74,18.49,17.52,,15.121614251384123,22.239671082771537,1.4045760084057273
75,17.86,17.86,17.12,17.68,146498,18.29,18.56,17.53,,15.290811521994293,22.14533731421007,1.3571062935196039
76,17.28,17.75,17.21,17.71,18163,17.92,18.61,17.5,,15.400405046505213,22.078819181791562,1.2987415582682036
77,18.11,18.23,17.45,17.46,15807,17.68,18.58,17.5,,15.373048956786917,22.082243416009945,1.2616885898204748
78,17.16,17.16,16.36,16.65,39953,17.61,18.42,17.48,,15.166714016597615,21.998800078908058,1.2501394048332983
79,16.5,17.49,16.47,17.49,24970,17.62,18.38,17.51,,15.004606376718513,21.887550533347888,1.2337008759166341
80,17.11,17.76,16.15,16.96,154151,17.52,18.35,17.54,,14.894148260416396,21.89118949460466,1.260579384779732
81,16.92,17.95,16.92,17.59,80180,17.4,18.36,17.55,,14.857072737475153,21.892743661126733,1.2441094287240366
