,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,15.0,16.55,14.85,16.53,2254823,,,,,,,1.700000000000001
1,16.53,17.02,15.82,16.0,1378458,,,,,,,1.6642857142857153
2,16.41,17.09,16.3,16.89,1269468,,,,,,,1.62326530612245
3,16.5,17.22,16.435,16.99,1212744,,,,,,,1.5633892128279894
4,16.35,17.0309,16.12,16.78,1057057,,,,,,,1.516782840483133
5,15.61,16.65,15.09,15.88,1412662,,,,,,,1.5291554947343378
6,16.38,16.4801,14.79,15.2,2027152,,,,,,,1.5406515308247424
7,14.87,15.0,13.28,13.31,2940893,,,,,,,1.5677478500515467
8,11.64,12.5,10.5298,11.24,2977501,15.42,,,,,,1.654351575047865
9,12.54,12.75,11.25,12.73,2174495,15.0,,,,,,1.6440407482587318
10,11.38,13.55,11.14,12.73,1810096,14.64,,,,,,1.6987521233831082
11,13.06,14.22,12.47,13.795,2601676,14.3,,,,,,1.7024126859986006
12,12.92,13.13,11.3,11.88,2275288,13.73,,,,,,1.759026065570129
13,11.74,12.25,10.6,12.17,2301246,13.22,,,,,,1.751238489457977
14,12.61,12.63,11.5,11.68,2052218,12.75,,,,,,1.7068643116395503
15,11.5,11.6,9.95,10.01,2295767,12.17,,,,,,1.708516860808154
16,10.95,11.5,10.03,10.73,1628636,11.88,,,,,,1.6929085136075717
17,10.89,11.82,10.54,11.25,1578141,11.89,,,,,,1.663415048349888
18,11.6,12.27,11.135,11.68,1110148,11.77,,,,,,1.6256711163248958
19,11.29,11.905,11.0,11.38,858900,11.62,13.44,,,8.000742659879341,18.566474177951445,1.5741946080159746
20,11.44,11.98,11.03,11.71,1006148,11.39,13.2,,,7.866310349940613,18.289484078848883,1.5296092788719764
21,11.84,12.28,11.51,12.14,1086481,11.42,13.01,,,7.903027937800569,17.856089160722505,1.4753514732382638
22,11.35,11.85,11.01,11.67,1274046,11.36,12.75,,,8.032915900932458,17.346052308062596,1.450683510864102
23,11.6,11.76,10.9002,11.41,1015574,11.33,12.47,,,8.309895366937013,16.70467880641113,1.4084775458023804
24,11.26,11.3052,10.26,10.73,1821025,11.41,12.17,,,8.637021000310524,16.001966460479952,1.3900148639593533
25,11.6,12.28,11.38,11.86,2324976,11.54,11.97,,,9.023467388917526,15.235009180167934,1.4014423736765422
