,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.14,1.14,1.03,1.03,2356637,,,,,,,0.10999999999999988
1,0.99,1.17,0.985,1.15,3277828,,,,,,,0.11535714285714274
2,1.2,1.2,1.08,1.15,1471822,,,,,0.9841447419020558,1.2,0.11568877551020397
3,1.15,1.18,1.11,1.13,915775,,,,,0.9930774268318273,1.198608585649853,0.11242529154518939
4,1.16,1.19,1.1,1.15,1549479,,,,,1.0813914143501484,1.2000000000000002,0.1108234850062473
5,1.13,1.15,1.11,1.13,624233,,,,,1.100893163974774,1.1941499933279947,0.10576466464865819
6,1.1,1.12,0.995,1.02,3654565,,,,,1.0046282838212788,1.1884521791761757,0.10785290288803974
7,0.99,1.06,0.98,0.99,2156958,,,,,0.9572113723554939,1.1558257569495585,0.10586340982460833
8,1.02,1.05,1.0,1.035,3006116,1.09,,,,0.981258336669335,1.114526055638669,0.10258745197999346
9,1.01,1.04,1.0,1.035,3374386,1.09,,,,0.9817863279495399,1.0600000000000014,0.09811691969570822
10,1.01,1.06,0.975,1.01,2526745,1.07,,,,0.9772329099369252,1.0600000000000014,0.0971799968603005
11,0.99,1.03,0.86,0.93,3162990,1.05,,,,0.8703340773846593,1.0586085856498537,0.10238142565599333
12,0.75,0.92,0.75,0.9139,3747858,1.02,,,,0.7491574077884152,1.0770444812916535,0.10792560953770809
13,0.9027,0.95,0.88001,0.95,2089349,1.0,,,,0.7599997617577814,1.0235290736974403,0.10521592314215752
14,0.88,0.96,0.86,0.8873,1490928,0.97,,,,0.7599997617577814,0.9641499933279956,0.10484335720343199
15,0.86,1.05,0.83,1.025,4048882,0.98,,,,0.8314992491172772,1.041742372139528,0.11306883168890115
16,1.0,1.17,0.99,1.08,5907190,0.99,,,,0.8082843278521792,1.1653565375285273,0.11784962942540822
17,1.02,1.12,1.0,1.1,2965556,0.99,,,,0.844606079858305,1.1736104710667503,0.11800322732359336
18,1.1,1.1101,1.02,1.08,1860963,1.0,,,,0.9880580810168121,1.1654759072888508,0.11601013965762243
19,1.07,1.08,1.04,1.065,1581357,1.0,1.04,,,0.999999999999999,1.1241994133250732,0.11058084396779226
20,1.06,1.13,1.04,1.1,1482661,1.02,1.05,,,1.0217863279495394,1.1318728027839573,0.10911078368437853
21,1.08,1.12,1.07,1.07,798761,1.04,1.04,,,1.0326794919243103,1.136457513110646,0.10488858484978007
22,1.05,1.15,1.05,1.15,1556851,1.06,1.04,,,1.038058081016813,1.148608585649853,0.10453940021765291
23,1.13,1.19,1.12,1.18,1831884,1.09,1.05,,,1.0439444872453596,1.1884521791761757,0.10207230020210627
24,1.16,1.17,1.07,1.075,2154332,1.1,1.04,,,1.0439444872453596,1.1900000000000002,0.10263856447338437
25,1.06,1.08,1.02,1.035,1771497,1.09,1.04,,,1.0199999999999996,1.20526131943749,0.09959295272528551
26,1.02,1.07,0.95,1.06,2869180,1.09,1.04,,,0.9530561955999162,1.1617423721395277,0.1010505989591937
27,1.06,1.12,1.05,1.11,3191392,1.09,1.04,,,0.9553506522721975,1.1164575131106462,0.09883269903353702
28,1.1,1.15,1.04,1.04,991706,1.09,1.04,,,0.9582576278604722,1.1537478521766071,0.09963036338828438
29,1.09,1.1,1.01,1.065,1259702,1.09,1.05,,,1.0125166733386712,1.148499448117569,0.09894248028912121
30,1.1,1.12,1.04,1.11,1493501,1.09,1.05,,,1.0126794919243105,1.148499448117569,0.09758944598275542
31,1.14,1.15,1.05,1.11,2571300,1.09,1.06,,,1.0125166733386715,1.148499448117569,0.09776162841255859
32,1.12,1.24,1.11,1.22,4219231,1.09,1.08,,,1.0288072776946644,1.2324499799839836,0.10006436924023296
33,1.22,1.23,1.13,1.2,2836336,1.11,1.09,,,1.0550333466773436,1.2559954952898287,0.10005977143735918
34,1.19,1.2,1.12,1.17,3904342,1.12,1.1,,,1.1099999999999985,1.2441499933279936,0.09862693062040494
35,1.2,1.21,1.18,1.19,2716473,1.14,1.11,,,1.1111878307966896,1.2286085856498514,0.09443929271894745
36,1.2,1.22,1.15,1.16,5736148,1.14,1.11,,,1.1199999999999994,1.2199999999999982,0.09269362895330835
37,1.14,1.17,1.1,1.14,3590160,1.15,1.12,,,1.1029188144900592,1.2264575131106454,0.09107265545664346
38,1.15,1.16,1.12,1.1573,1267947,1.16,1.12,,,1.098167218549097,1.2154788358699766,0.08742460863831178
