,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.0,9.0598,8.5,8.63,958387,,,,,,,0.5597999999999992
1,8.65,9.27,8.65,9.26,506363,,,,,,,0.5655285714285706
2,9.3,9.57,9.02,9.09,389322,,,,,,,0.5644193877551014
3,9.2,9.31,9.06,9.16,231437,,,,,,,0.5419608600583085
4,9.1,9.18,8.96,9.03,193441,,,,,,,0.5189636557684293
5,8.92,8.95,8.7,8.87,211199,,,,,,,0.5054662517849701
6,8.39,8.4,7.755,7.885,313717,,,,,,,0.5490043766574721
7,8.21,8.33,7.94,8.25,518248,,,,,,,0.5415754926105099
8,8.16,8.2,7.75,7.84,689966,8.67,,,,,,0.538605814566902
9,7.44,7.44,6.5101,6.61,587094,8.44,,,,,,0.5951268278121233
10,6.92,7.26,6.52,7.26,424092,8.22,,,,,,0.6054749115398288
11,6.74,7.0,6.06,6.44,933058,7.93,,,,,,0.647940989286984
12,6.5,6.565,5.81,6.33,387196,7.61,,,,,,0.6555880614807709
13,6.1,6.1401,4.75,4.91,611607,7.15,,,,,,0.7216174856607158
14,4.69,6.04,4.04,5.82,1338834,6.82,,,,,,0.812930522399236
15,5.94,6.25,5.54,5.6,837230,6.56,,,,,,0.8055783422278621
16,5.54,5.54,4.27,4.305,1277128,6.12,,,,,,0.843037032068729
17,4.55,5.4,4.55,5.05,350677,5.81,,,,,,0.8610343869209628
18,5.22,6.85,5.22,5.53,523040,5.69,,,,4.867513543057708,9.156407865625805,0.9281033592837512
19,5.68,7.22,5.68,6.23,798403,5.58,7.1,,,4.75264924675332,9.013058301457164,0.9825245479063404
20,6.12,6.86,6.01,6.22,382174,5.56,6.98,,,4.682067717310429,8.818793672091827,0.9730585087701732
21,6.14,6.2,5.5,5.53,325019,5.47,6.8,,,4.6045442755801105,8.546164923063339,0.9549829010008751
22,5.61,6.1555,5.43,5.62,469432,5.54,6.62,,,4.558264142608943,8.280967472339302,0.9385912652150984
23,5.32,5.5,4.995,5.04,618504,5.46,6.42,,,4.511828810026644,8.007153463431143,0.9161918891283056
24,5.04,5.18,4.91,4.93,227567,5.38,6.21,,,4.493170727260118,7.739079801201654,0.8700353256191409
25,5.0,5.0,4.5,4.7,498094,5.43,6.01,,,4.4053900730395235,7.532257078836397,0.8436042309320594
26,4.93,5.4086,4.93,5.05,603884,5.43,5.86,,,4.421443983651459,7.287628317379216,0.8339610715797695
27,5.37,5.88,5.3301,5.8,405928,5.46,5.74,,,4.510459830891729,7.030341790298534,0.8336781378955003
28,5.95,6.51,5.81,6.29,329167,5.46,5.66,,,4.528899463343942,6.9188457866009445,0.8248439851886789
29,6.57,6.99,6.19,6.4,492724,5.48,5.65,,,4.546188307914438,6.881048440560423,0.823069414818059
30,6.46,6.57,5.77,6.2,698678,5.56,5.6,,,4.55048455565857,6.83236437605097,0.8214215994739119
31,6.31,6.51,6.0901,6.39,569720,5.64,5.6,,,4.5453647869770215,6.827289604989187,0.7927414852257754
32,6.11,6.38,5.83,6.19,769005,5.77,5.59,,,4.599701140145978,6.843031722565281,0.7761170934239342
33,6.21,6.31,5.92,5.935,1000684,5.88,5.64,,,4.76834667671081,6.8582389442775415,0.7485373010365103
34,6.23,6.34,5.8917,6.0397,1115409,6.03,5.65,,,4.775122840041157,6.864241378043531,0.7270917795339024
35,6.01,6.28,5.96,6.19,915368,6.16,5.68,,,4.928206912677944,6.8851180742550815,0.6980137952814809
36,6.08,6.12,5.91,5.98,667655,6.18,5.77,,,5.051036954869097,6.891435108326012,0.6681556670470894
37,6.17,6.25,5.96,6.0539,655827,6.15,5.82,,,5.090169632623034,6.838884597418635,0.6411445479722973
38,6.08,6.1251,5.85,5.94,745968,6.1,5.84,,,5.095858096003337,6.720463684784664,0.6149985088314189
39,5.95,6.17,5.9407,6.17,515324,6.1,5.83,,,5.095389446118567,6.651710530954347,0.5874986153434604
40,6.2,6.4,6.19,6.26,961929,6.08,5.84,,,5.113333631785482,6.666979207110881,0.5619629999617847
41,6.42,6.55,6.26,6.27,247935,6.09,5.87,,,5.139707638078696,6.6987138126416355,0.5425370713930857
42,6.5,6.89,6.435,6.77,341504,6.19,5.93,,,5.218915629199919,6.776492065501917,0.548070137722151
43,6.73,6.93,6.51,6.74,525194,6.26,6.01,,,5.323838133462459,6.827199911520778,0.5389222707419974
44,6.6,6.66,6.45,6.56,215269,6.3,6.1,,,5.546513078830201,6.794068785371248,0.5211421085461404
45,6.46,6.54,6.18,6.325,282929,6.34,6.18,,,5.713766988475047,6.762452363581266,0.5110605293642733
46,6.29,6.607,5.6,5.75,464900,6.31,6.21,,,5.762991180889213,6.765491689946394,0.5464847772668252
47,5.87,6.33,5.87,6.11,253547,6.33,6.23,,,5.769097238045337,6.758382698209449,0.5488787217477663
48,6.22,6.4155,6.06,6.15,477776,6.33,6.22,,,5.765015397741061,6.692799222208001,0.5350659559086401
49,6.29,6.42,6.22,6.33,288560,6.33,6.22,6.44,,5.794632620770987,6.68257089400543,0.5161326733437372
50,6.37,6.59,6.2382,6.4,178529,6.35,6.23,6.4,,5.798658978782892,6.6892446584956,0.504394625247756
51,6.45,6.5394,6.35,6.3799,322344,6.3,6.23,6.34,,5.824834957963751,6.698409494173982,0.48189500915863065
52,6.38,6.38,6.0,6.11,382764,6.23,6.22,6.28,,5.831783679381549,6.7001788660677555,0.4746167942187285
53,5.99,6.18,5.79,6.14,518940,6.19,6.23,6.22,,5.819973404846229,6.69957234136419,0.46857273748881934
54,6.11,6.37,6.08,6.24,129393,6.18,6.24,6.16,,5.828556433690929,6.7015282746485,0.4558175419539037
55,6.33,6.45,6.26,6.39,230378,6.25,6.25,6.11,,5.849058581317559,6.703771970290927,0.4382591461000535
56,6.42,6.56,6.34,6.38,211564,6.28,6.27,6.08,,5.866987234469995,6.714292017298304,0.4226692070929068
57,6.46,6.64,6.46,6.6,123946,6.33,6.3,6.05,,5.898964364215535,6.724537700539794,0.41104997801484205
58,6.61,6.7,6.6,6.66,90232,6.37,6.34,6.03,,5.920457576690178,6.7380126835143965,0.3888321224423534
59,6.65,6.7,6.54,6.65,215802,6.39,6.36,6.03,,5.92666080264763,6.754572385829149,0.3724869708393282
60,6.72,7.0,6.72,6.8,195903,6.44,6.39,6.02,,5.925428057281233,6.807662296712779,0.37088075863651904
61,7.0,7.66,6.98,7.63,523668,6.61,6.46,6.04,,5.9068896106230016,6.968136315154542,0.40581784730533915
62,7.76,7.76,7.21,7.29,495674,6.74,6.48,6.06,,5.877618358057538,7.109981660415437,0.4161165724978149
63,7.32,7.3511,6.93,7.03,195649,6.83,6.5,6.1,,5.876674924924338,7.179028404481659,0.4164725316051139
64,7.0,7.13,6.58,7.085,407525,6.9,6.52,6.13,,5.895916928487667,7.220212854324781,0.4260102079190343
65,7.13,7.1609,6.97,7.09,244874,6.98,6.56,6.16,,5.990511679499198,7.260082243539033,0.40921662163910333
66,7.27,7.5298,7.2,7.32,281343,7.06,6.64,6.22,,6.046832522346334,7.345667195182044,0.4114011486648817
67,7.34,7.67,7.23,7.53,347122,7.16,6.71,6.27,,6.089312161021282,7.441522071291294,0.4134439237602473
68,7.77,8.04,7.72,7.74,263845,7.28,6.79,6.31,,6.095617739747344,7.583210236853937,0.420340786348801
69,8.18,8.265,7.99,8.18,419718,7.43,6.88,6.35,,6.1026457842728155,7.7431452666318075,0.42781644446674383
70,8.18,8.18,7.72,7.96,646904,7.47,6.96,6.39,,6.137260030820393,7.86999406736139,0.43011526986197646
