,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,5.46,5.76,5.3728,5.61,1847797,,,,,,,0.3872
1,5.69,5.92,5.37,5.91,755878,,,,,,,0.3988285714285714
2,5.94,6.03,5.55,5.69,764781,,,,,,,0.4046265306122449
3,5.78,5.78,5.25,5.31,653116,,,,,,,0.413581778425656
4,5.18,5.18,4.76,4.84,1008491,,,,,,,0.4233259371095377
5,4.66,4.76,4.435,4.45,832463,,,,,,,0.42201694160171366
6,4.08,4.08,3.46,3.48,1221163,,,,,,,0.4625871600587341
7,3.72,4.22,3.61,3.95,1616736,,,,,,,0.48240236291168165
8,3.95,4.0,3.63,3.86,1171151,4.79,,,,,,0.47437362270370437
9,3.56,3.64,3.32,3.47,880420,4.55,,,,,,0.4790612210820112
10,3.75,4.04,3.6,4.04,895181,4.34,,,,,,0.4855568481475818
11,3.0,3.99,3.0,3.51,824930,4.1,,,,,,0.5251599304227546
12,3.63,4.09,3.48,3.6,759193,3.91,,,,,,0.5312199353925579
13,3.6,3.78,3.165,3.49,869816,3.76,,,,,,0.5372042257216608
14,3.51,3.71,3.1,3.14,702803,3.62,,,,,,0.5424039238843994
15,3.23,3.74,3.21,3.71,1140982,3.64,,,,,,0.546517929321228
16,3.62,3.62,3.125,3.2,514394,3.56,,,,,,0.5492666486554261
17,3.44,3.45,3.1,3.21,465994,3.49,,,,,,0.53503331660861
18,3.29,3.38,3.01,3.02,994571,3.44,,,,,,0.5232452225651378
19,3.1,3.39,2.67,3.3,827625,3.35,4.04,,,1.935430589727694,6.133798846406822,0.5372991352390566
20,3.23,3.69,3.19,3.665,708314,3.37,3.94,,,1.9596935171402499,5.918544987906941,0.5346349112934097
21,3.59,3.59,3.32,3.39,549952,3.35,3.82,,,2.03870598217194,5.621999235208037,0.5210895604867376
22,3.52,3.9,3.46,3.62,1113944,3.36,3.71,,,2.2329030871064646,5.216342853168561,0.5202974490233991
23,3.58,3.7,3.36,3.51,686615,3.4,3.62,,,2.4463799051261046,4.782673191498342,0.5074190598074421
24,3.69,3.7221,3.19,3.23,577522,3.35,3.54,,,2.611833214661564,4.473727531535733,0.5091819841069105
25,3.38,3.4,2.94,3.09,763147,3.34,3.47,,,2.746774787562751,4.262216852271963,0.5056689852421312
26,3.2,3.28,3.1,3.21,1264410,3.34,3.46,,,2.7351792355839852,4.240733126059177,0.483121200581979
27,3.24,3.37,2.9,2.92,2035556,3.33,3.41,,,2.7131043297447444,4.16303022073797,0.4821839719689805
28,3.05,3.4,2.95,3.34,1592722,3.33,3.38,,,2.714210029424946,4.122348142190893,0.48202797397119623
29,3.5,3.8,3.465,3.65,2155340,3.33,3.39,,,2.7060037517644298,4.1353854110288335,0.48045454725896797
30,3.66,3.91,3.65,3.76,1015408,3.37,3.38,,,2.6981787125129224,4.110048546963221,0.4647077938833274
31,3.8,4.34,3.8,4.27,1366722,3.44,3.42,,,2.6680498230054397,4.202512782372667,0.47294295146308973
32,4.23,4.23,3.57,3.66,1010232,3.46,3.42,,,2.661683308757951,4.235830280084163,0.48916131207286906
33,3.79,4.0,3.75,3.92,686490,3.54,3.44,,,2.6419885717874396,4.264118584657104,0.4785069326390927
34,4.01,4.13,3.72,3.84,850384,3.62,3.48,,,2.640940594788836,4.318785381175131,0.47361358030772893
35,3.63,5.47,3.63,4.98,7634474,3.82,3.54,,,2.643289699491047,4.791838875183538,0.5712126102857483
36,5.11,5.2,3.92,3.98,3369920,3.93,3.58,,,2.631737871632662,5.048109770671825,0.6218402809796234
