,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,18.5,18.54,17.73,18.47,1148447,,,,,,,0.8099999999999987
1,18.5,19.04,18.39,18.97,766726,,,,,,,0.7985714285714274
2,19.14,19.7,18.97,19.08,700610,,,,,,,0.7936734693877541
3,19.31,19.86,19.31,19.84,399044,,,,,,,0.7926967930029146
4,19.63,19.67,19.11,19.41,383578,,,,,,,0.7882184506455636
5,19.02,19.48,18.66,19.41,402838,,,,,,,0.7904885613137377
6,18.34,18.39,17.425,17.49,670774,,,,,,,0.875810806934185
7,17.89,18.49,17.6289,18.45,672376,,,,,,,0.8846814635817433
8,18.07,18.17,16.0019,16.26,822165,18.6,,,,,,0.9963542161830473
9,15.21,15.33,13.09,13.14,943686,18.01,,,,15.753010483467689,19.99210838131159,1.1516146293128298
10,13.92,14.76,12.6,14.74,885152,17.54,,,,14.659207187991939,20.10323047659944,1.2236421557904849
11,14.0,14.0,12.12,12.3,767586,16.78,,,,13.626568174234217,20.018936485718037,1.3233820018054503
12,12.71,13.78,11.755,12.17,1004649,15.93,,,,12.697592105511594,19.63754971995526,1.373497573105061
13,11.5,11.63,8.9,9.02,1250981,14.78,,,,11.25230319835678,19.175613420745396,1.5089620321689852
14,9.05,11.58,8.77,11.47,1055823,13.89,,,,10.129528667285488,18.47366372930347,1.6018933155854862
15,11.66,13.26,11.65,12.27,1602174,13.31,,,,9.848778065085355,17.57253775577855,1.6153295073293799
16,12.31,12.47,11.19,11.55,697350,12.55,,,,9.606315009165078,16.776028383714134,1.5913773996629956
17,12.12,13.0,12.02,12.92,691623,12.18,,,,9.75225228259516,15.76261927326617,1.5812790139727815
18,13.02,14.6,12.6164,13.35,693891,12.2,,,,9.97940555222898,14.7316454027174,1.61001622726044
19,13.59,15.39,13.46,15.06,580037,12.23,15.27,,,9.967988082384933,14.747504602922353,1.6407293538846943
20,14.54,14.97,13.59,13.71,722054,12.39,15.03,,,9.960845029670146,14.793517089876838,1.6285344000357875
21,13.53,13.67,12.72,13.62,821805,12.55,14.76,,,9.98944263078626,14.749865857120882,1.5829248000332314
22,13.57,13.65,12.44,13.34,697968,13.03,14.48,,,10.040067764112909,14.73371473863625,1.5562873143165723
23,12.5,12.68,11.39,11.66,621073,13.05,14.07,,,10.596864415196098,14.71557571160706,1.5844096490082458
