,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,29.0,29.15,27.19,27.34,18722,,,,,,,1.9599999999999973
1,27.47,29.119,27.47,28.15,10484,,,,,,,1.9470714285714261
2,28.47,28.55,28.22,28.49,10159,,,,,27.040837055488353,29.31126537943803,1.8365663265306102
3,28.4,29.06,28.0,28.5,5081,,,,,27.47258373452563,29.2538284067444,1.7810973032069952
4,28.14,29.005,28.01,28.08,15320,,,,,27.94001260220704,29.17958481055126,1.724947495835067
5,28.0,29.2,27.74,28.4,64957,,,,,27.74827921661965,29.198927561633614,1.7060226747039908
6,27.5,27.7,25.25,25.54,22057,,,,,25.326300206130142,29.53214087522529,1.8091639122251342
7,26.09,26.09,24.3,24.725,93004,,,,,23.809158230295395,29.374189941390636,1.8077950613519103
8,24.35,26.114,24.35,24.72,198146,27.1,,,,24.04523611914734,27.64961881003763,1.8046668426839165
9,24.0,24.39,21.82,22.03,26139,26.52,,,,21.898873669377572,26.618679484902973,1.882904925349351
10,23.35,25.8,22.96,24.5,26627,26.11,,,,21.64957068017702,26.444719067947567,2.0176974306815403
11,22.5,22.5,20.02,20.81,112300,25.26,,,,19.969474931195478,26.05138875586734,2.193576185632859
12,21.97,26.1,21.945,26.1,17460,24.99,,,,19.999050130973288,26.997248279098194,2.4147493152305124
13,26.1,26.15,23.0,23.01,24007,24.43,,,,19.99288034425918,27.21901510539902,2.467267221285476
14,23.01,24.2,23.01,23.52,51150,23.88,,,,21.978453785526305,26.70618178401449,2.376033848336513
15,24.06,24.8,21.03,21.96,103414,23.49,,,,21.092361148328603,26.14862413954909,2.4756028591696193
16,22.3,23.86,20.62,21.26,253488,23.1,,,,20.147469067718287,24.81021736462562,2.530202654943218
17,22.08,23.79,22.02,22.83,32163,22.89,,,,20.431613475471142,24.77040390069693,2.530188179590131
18,22.82,24.27,22.57,22.93,34196,22.99,,,,20.63072438366392,24.258556637664,2.470889023905122
19,23.84,25.0042,22.77,24.46,32948,22.99,24.87,,,22.02612339274987,25.027403986872873,2.4539826650547565
20,23.66,24.43,20.05,20.79,25721,22.98,24.54,,,20.129111170338785,24.99275672792701,2.593698188979417
