,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,17.72,17.79,16.96,17.075,234128,,,,,,,0.8299999999999983
1,16.62,16.92,16.06,16.45,249982,,,,,,,0.8432142857142841
2,15.86,16.74,15.27,16.73,169383,,,,,,,0.8879846938775494
3,16.71,16.865,16.1,16.58,141335,,,,,15.407071389159846,17.558860664326463,0.8792000728862956
4,16.93,18.08,16.48,17.63,202556,,,,,15.469275968035095,17.774980377112843,0.9306857819658458
5,17.75,17.9703,17.28,17.88,91448,,,,,15.447340334626563,18.12298002947757,0.9135153689682854
6,16.97,17.83,16.57,17.03,142470,,,,,16.115065571200926,18.243352547942354,0.9418356997562649
7,16.35,16.7,15.27,15.47,289592,,,,,15.566013589239406,18.283378759323625,1.000276006916532
8,13.63,13.64,9.67,10.32,347989,16.13,,,,11.244044001535082,18.547151959056652,1.3431134349939227
9,11.11,11.48,10.73,11.08,411202,15.46,,,,9.687305725882254,17.805495852053713,1.3300339039229283
10,10.74,11.06,9.8,10.07,257691,14.75,,,,8.723357101693141,15.800697580112786,1.3264600536427191
11,9.27,10.09,8.43,8.82,316571,13.88,,,,8.712782229093477,13.066774824706927,1.350284335525382
12,9.47,10.41,8.99,9.86,200123,13.13,,,,8.486288234188232,11.387109772421582,1.3674068829878547
13,8.0,9.57,8.0,8.28,406351,12.09,,,,8.027632647971428,10.905790996779713,1.4025921056315793
14,8.44,8.44,6.22,6.96,432334,10.88,,,,6.71264179684333,10.491536071777857,1.4609783838007522
15,7.0,7.22,5.82,6.29,474843,9.68,,,,5.763548305109379,10.295953342167998,1.4566227849578413
16,6.48,7.06,6.03,6.13,208935,8.65,,,,5.515755687978937,9.245739816349001,1.426149728889424
17,6.6,7.1,5.4401,5.84,395911,8.15,,,,5.543265865245923,8.115176744011253,1.4428461768258938
18,5.92,6.5,5.92,6.07,259774,7.59,,,,5.546138242996944,7.290624390837574,1.3869285927669015
19,6.66,6.86,5.99,6.28,441480,7.17,11.54,,,5.571273891935496,7.154226184015978,1.35000512185498
20,6.28,7.06,6.22,6.61,230626,6.92,11.02,,,5.564813486877236,7.154226184015979,1.3135761845796243
21,6.63,7.16,6.31,6.97,227073,6.6,10.54,,,5.925067579911253,7.186376045686609,1.2804635999667942
