,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,10.96,11.51,10.8827,11.45,109213,,,,,,,0.6273
1,11.54,11.61,11.1464,11.33,91641,,,,,,,0.6156071428571428
2,11.65,11.65,10.41,11.19,221561,,,,,,,0.6602066326530611
3,11.02,11.3,10.7,10.83,85398,,,,,,,0.6559061588921282
4,10.53,10.61,9.96,10.38,174175,,,,,,,0.671198576114119
5,9.67,9.99,9.52,9.66,151715,,,,,,,0.6846843921059678
6,9.89,9.99,9.08,9.47,247918,,,,,,,0.7007783640983987
7,9.21,9.34,8.5,8.52,183858,,,,,,,0.7200084809485131
8,8.02,8.42,7.8,7.81,105141,10.07,,,,,,0.7200078751664765
9,8.46,8.52,7.655,8.02,195567,9.69,,,,,,0.7303644555117281
10,7.5,7.73,6.21,6.26,221028,9.13,,,,,,0.8074812801180332
11,6.33,6.75,5.8278,6.24,258700,8.58,,,,,,0.8156754743953166
12,6.59,6.59,5.75,6.25,142364,8.07,,,,,,0.8174129405099368
13,6.01,7.0425,6.0,6.39,420648,7.62,,,,,,0.83349058761637
14,6.53,6.76,6.11,6.19,645138,7.24,,,,,,0.8203841170723435
15,6.09,6.26,5.6606,5.92,753152,6.84,,,,,,0.8045995372814618
16,6.1,6.59,6.1,6.56,138225,6.63,,,,,,0.7949852846185003
17,6.69,7.575,6.54,7.35,141585,6.58,,,,,,0.812129192860036
18,7.45,8.45,7.38,8.38,124014,6.62,,,,,,0.8326913933700334
19,8.08,8.18,7.31,7.47,152252,6.75,8.28,,,4.045694250839796,12.498971621955306,0.8496420081293168
20,7.45,7.62,7.0509,7.25,87332,6.86,8.07,,,4.097740432567402,12.098450391582256,0.829603293262937
21,7.19,8.1,7.05,8.05,379472,7.06,7.91,,,4.258622709913711,11.6198322897561,0.8453459151727272
22,7.64,7.835,7.23,7.41,418978,7.18,7.72,,,4.392813041029562,11.043924610408931,0.8435354926603896
23,7.33,7.54,6.85,6.9,96450,7.25,7.52,,,4.6409022290312265,10.460240261637763,0.8325686717560761
24,6.88,6.93,6.125,6.2,228032,7.29,7.32,,,4.775171905993355,9.986695743698132,0.8305994809163564
