,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,20.35,20.65,19.6,19.97,1392586,,,,,,,1.0499999999999972
1,20.02,21.2,19.41,19.62,1475825,,,,,,,1.10285714285714
2,19.89,19.95,19.35,19.8,714823,,,,,,,1.0669387755102013
3,19.11,19.17,17.99,18.0,1074657,,,,,,,1.120014577259473
4,17.2,18.04,17.15,17.5,1474797,,,,,,,1.1035849645980822
5,16.55,18.5,15.79,15.81,1265245,,,,,,,1.2183288956982192
6,16.43,16.5464,14.83,15.2,1959784,,,,,,,1.2539054031483463
7,14.75,15.68,14.625,14.93,1501158,,,,,,,1.239697874352036
8,13.54,14.09,10.29,11.68,1424750,16.95,,,,,,1.4825765976126049
9,12.68,12.77,10.8,12.73,1480143,16.14,,,,,,1.5173925549259901
10,11.54,11.98,10.4,11.19,1117395,15.2,,,,,,1.575435943859848
11,11.32,11.85,9.93,10.1,1128606,14.13,,,,,,1.600047662155573
12,9.59,12.11,8.9,11.2,1074992,13.37,,,,,,1.7150442577158893
13,11.42,14.45,11.33,14.24,1314392,13.01,,,,,,1.824683953593326
14,14.36,15.0603,11.73,12.14,1514132,12.6,,,,,,1.9322279569080885
15,12.3,13.38,11.29,12.69,950069,12.32,,,,,,1.9434973885575109
16,13.35,14.53,13.18,13.79,884521,12.2,,,,,,1.9361047179462603
17,13.94,15.84,13.54,13.66,1192182,12.42,,,,,,1.962097238092956
18,13.85,14.4,13.46,14.29,714512,12.59,,,,,,1.8890902925148878
19,13.93,13.93,13.01,13.46,769427,12.84,14.6,,,7.022806338057118,21.60332810363475,1.8455838430495388
20,13.48,13.765,12.78,13.58,629290,13.23,14.28,,,7.2382119598863905,20.832345324903248,1.7841135685460006
21,13.74,15.75,13.59,15.16,1193793,13.67,14.06,,,7.599946427064995,19.82960286817641,1.8116768850784293
22,14.8,15.94,14.5,15.43,1017305,13.8,13.84,,,8.109825749446212,19.06967854399651,1.7851285361442557
23,15.29,16.36,14.83,15.49,723276,14.17,13.71,,,8.463941082103165,18.489117582555316,1.766905069276809
24,15.44,15.55,13.84,14.09,771814,14.33,13.54,,,8.771232306233372,18.05640421915934,1.7628404214713225
25,14.69,15.61,14.6,15.39,636287,14.51,13.52,,,8.88378284316456,17.43506442875425,1.7454946770805138
26,15.99,17.01,15.5,15.79,680971,14.74,13.55,,,8.820085609819124,17.532828684774554,1.736530771574763
27,16.06,16.67,15.42,16.5,719103,14.99,13.63,,,8.75534506933939,17.693606600268748,1.7017785736051374
28,16.75,17.26,16.37,16.75,662375,15.35,13.88,,,8.888089637932207,18.066477282550938,1.643794389776199
29,16.67,16.9799,16.2287,16.56,589835,15.68,14.08,,,9.04066109769309,18.292502636679902,1.5800376476493279
30,17.0,17.26,16.34,16.45,499988,15.83,14.34,,,9.337641655354563,18.41048425978331,1.5328921013886618
31,15.9,16.105,15.44,15.5,419825,15.84,14.61,,,9.89189914795666,18.234855946803382,1.495542665575186
32,15.36,15.97,14.5001,14.71,982588,15.75,14.78,,,10.9182280116742,17.975068180939658,1.49371104660553
33,15.38,16.43,15.3701,16.33,572404,16.0,14.89,,,11.351000921380265,18.038748254691797,1.5098745432765635
34,16.05,16.6,14.76,14.78,1342659,15.93,15.02,,,11.754733262555483,18.1297198947594,1.5334549330425233
35,14.71,15.61,14.3,15.34,828001,15.88,15.15,,,12.346553211074484,17.960750088751524,1.5174938663966286
36,15.84,16.2,15.06,15.26,633386,15.74,15.23,,,12.531990448121558,17.94828836941159,1.4905300187968695
37,15.42,15.82,15.23,15.61,911416,15.62,15.32,,,12.671940921681534,17.947567091741007,1.4262064460256645
38,15.72,15.86,15.09,15.64,885019,15.51,15.39,,,12.841256096128866,17.88147640419386,1.3793345570238313
39,15.69,16.9,15.54,16.7,663229,15.54,15.55,,,13.142439479787669,17.7781974857575,1.377953517236415
40,17.4,17.74,16.51,16.98,582097,15.71,15.72,,,13.516455551337366,17.669758955115096,1.3673854088623851
41,17.8,18.15,17.3684,18.03,1221740,16.07,15.87,,,13.595301600811116,17.975822406688376,1.3532864510865004
42,17.66,17.66,16.36,16.42,777176,16.08,15.92,,,13.678534772099246,18.12334362687059,1.3759088474374648
43,16.14,16.215,15.12,15.435,515852,16.16,15.91,,,13.7092966586933,18.121967080401227,1.3704867869062174
44,15.16,15.7299,14.85,15.5,335034,16.18,15.98,,,13.903704266804265,18.10758516922715,1.3354448735557733
45,15.88,16.53,15.24,15.34,424235,16.18,15.98,,,13.986713207793715,18.08280955970822,1.3321988111589327
46,15.4,15.455,14.6805,14.69,350623,16.08,15.93,,,13.899569862132372,18.085066434617435,1.2923631817904375
47,15.0,15.52,15.0,15.11,435953,16.02,15.86,,,13.863707605986415,18.09478044944586,1.2593372402339778
48,15.56,15.89,15.05,15.88,421823,15.93,15.81,,,13.846095054913118,18.00635398204101,1.2293845802172652
49,15.72,16.01,14.93,15.27,360638,15.74,15.75,15.23,,13.818500148965047,17.946415062755545,1.2187142530588893
50,15.33,15.6089,14.46,14.49,391765,15.35,15.65,15.12,,13.753459840770399,17.843051831518924,1.21372752069754
51,14.31,14.31,13.4207,13.7,401019,15.05,15.56,15.01,,13.44889329694529,17.99154925507852,1.2034112692191443
52,13.31,13.75,12.58,13.73,416800,14.86,15.51,14.88,,13.01549794899086,18.192948611122045,1.2010247499892055
