,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,2.49,2.55,2.36,2.43,1511084,,,,,,,0.18999999999999995
1,2.48,2.51,2.425,2.47,1072260,,,,,,,0.18249999999999994
2,2.44,2.49,2.28,2.31,1185223,,,,,,,0.1844642857142857
3,2.25,2.345,2.22,2.26,1097137,,,,,,,0.18021683673469385
4,2.05,2.05,1.67,1.825,1326952,,,,,,,0.2094870626822157
5,1.97,2.01,1.795,1.895,944081,,,,,,,0.20988084391920028
6,1.81,1.95,1.715,1.75,2161956,,,,,,,0.2116750693535431
7,1.63,1.63,1.39,1.46,1479961,,,,,,,0.22226970725686146
8,1.62,1.73,1.5,1.73,874702,2.01,,,,,,0.22567901388137138
9,1.5,1.65,1.46,1.61,526543,1.92,,,,,,0.22884479860413057
10,1.68,1.74,1.5,1.53,1175018,1.82,,,,,,0.22964159870383555
11,1.46,1.54,1.23,1.43,1306310,1.72,,,,,,0.23538148451070445
12,1.43,1.555,1.3189,1.51,885109,1.64,,,,,,0.23543280704565414
13,1.64,1.64,1.33,1.38,795271,1.59,,,,,,0.24075903511382168
14,1.39,1.4021,1.3097,1.35,526333,1.53,,,,,,0.23016196117712015
15,1.45,1.71,1.45,1.69,1156052,1.52,,,,,,0.23943610680732585
16,1.7,2.09,1.68,1.91,1487767,1.57,,,,,,0.251619242035374
17,1.91,1.93,1.77,1.81,731225,1.58,,,,,,0.24507501046141872
18,1.73,1.77,1.65,1.71,586765,1.59,,,,,,0.23899822399988882
19,1.69,1.8,1.6301,1.79,697463,1.62,1.79,,,0.9532980081591922,2.590006194768052,0.23406263657132534
20,1.87,2.03,1.81,1.91,1017194,1.67,1.77,,,0.9947248285951671,2.497109050873855,0.2344867339590878
21,1.72,1.895,1.7,1.735,564716,1.7,1.73,,,1.0647570308772165,2.390712428118247,0.23273768153343868
22,1.76,1.91,1.73,1.89,662709,1.76,1.71,,,1.1276000271606823,2.271796076567477,0.2289707042810502
23,1.93,1.93,1.69,1.73,638778,1.8,1.68,,,1.2020421739397018,2.182375351513919,0.22975851111811807
24,1.81,1.92,1.8,1.89,522735,1.82,1.69,,,1.1963304955967173,2.1620854532097824,0.22691861746682393
25,1.97,2.08,1.97,2.075,992093,1.84,1.69,,,1.1763226473482418,2.175463609043734,0.22428157336205082
26,2.1,2.245,2.04,2.235,803038,1.88,1.72,,,1.1466183238063032,2.235668645797511,0.22290431812190434
27,2.29,2.36,2.1319,2.205,1612810,1.94,1.76,,,1.1362160589463506,2.3286573051768955,0.22327543825605403
28,2.19,2.26,2.16,2.25,684412,1.99,1.78,,,1.1217597175631058,2.3855244614825835,0.21447004980919301
29,2.3,2.46,2.26,2.31,1110066,2.04,1.82,,,1.1110895018632176,2.477309512816695,0.2141507605371078
30,2.22,2.24,2.0771,2.1,851955,2.08,1.85,,,1.1266409995335773,2.514157833487846,0.21548999192731438
31,2.09,2.12,1.98,2.02,581966,2.09,1.88,,,1.204447465934343,2.516487423776001,0.21009784964679196
32,2.16,2.19,2.09,2.125,965971,2.13,1.91,,,1.2690063260247526,2.5205843510571126,0.20723371752916397
33,2.04,2.235,2.01,2.14,639105,2.16,1.94,,,1.3468695106529582,2.5316277726790393,0.20850273770565228
34,2.1,2.155,2.01,2.08,1727256,2.16,1.98,,,1.4463608891945152,2.475723912456636,0.20396682786953427
35,2.15,2.2499,2.12,2.2,1165113,2.16,2.01,,,1.5183839101167746,2.473916846043795,0.2015334830217104
36,2.25,2.34,2.24,2.29,1429713,2.17,2.02,,,1.5374160364820433,2.502041570759711,0.19713823423444535
37,2.33,2.41,2.315,2.395,944501,2.18,2.05,,,1.541206126893213,2.5390956849432706,0.19162836036055642
38,2.42,2.48,2.36,2.465,786345,2.2,2.09,,,1.570986243268944,2.5661991458811184,0.186512048906231
39,2.5,2.51,2.335,2.4,852417,2.24,2.12,,,1.6205412162825228,2.591020696724285,0.18568975969864304
40,2.46,2.555,2.46,2.53,1017920,2.29,2.15,,,1.6286186697702367,2.6388833720796954,0.18349763400588284
41,2.5,2.51,2.39,2.44,1124629,2.33,2.19,,,1.6784527001308769,2.6568147349020848,0.18039066014831978
42,2.34,2.385,2.32,2.35,1076234,2.35,2.21,,,1.7373220796969888,2.648600804025736,0.17607704156629697
43,2.31,2.39,2.27,2.37,1116632,2.38,2.24,,,1.8228735182940308,2.6345566558216067,0.17207153859727578
44,2.4,2.49,2.34,2.36,1159629,2.4,2.27,,,1.8885391567774727,2.618581517669558,0.17049500012604182
45,2.36,2.44,2.35,2.37,1419481,2.41,2.28,,,1.919140906951648,2.613828925230533,0.16474535725989597
46,2.45,2.475,2.375,2.405,1403317,2.41,2.29,,,1.9392284342206347,2.625882470375828,0.16047783174133198
47,2.45,2.63,2.45,2.51,1503644,2.42,2.31,,,1.9430951169078576,2.6652246967918245,0.16508655804552255
48,2.5,2.5,2.3402,2.355,673766,2.41,2.31,,,1.9521063709799682,2.6768319054548386,0.16542323247084237
49,2.37,2.4,2.25,2.26,865687,2.38,2.31,2.04,,1.9516107901989315,2.6719323630023886,0.16432157300863934
50,2.25,2.25,2.1237,2.19,1318867,2.35,2.31,2.04,,1.959006118352375,2.6713987873204665,0.1623200320794508
51,2.12,2.1612,2.04,2.05,1526279,2.32,2.31,2.03,,1.9727290872368966,2.6658834022348263,0.16144002978806146
52,2.03,2.24,2.03,2.225,1152876,2.3,2.32,2.03,,1.9611371429743987,2.6617148045391876,0.16490859908891425
53,2.33,2.51,2.33,2.42,666499,2.31,2.33,2.03,,1.9995319930391346,2.67014821259565,0.17348655629684892
54,2.42,2.51,2.355,2.425,1115127,2.32,2.35,2.05,,2.0444136923250418,2.664257942585609,0.17216608798993113
55,2.49,2.55,2.46,2.495,833479,2.33,2.37,2.06,,2.063816962813908,2.671488242437776,0.16879708170493604
56,2.51,2.52,2.37,2.505,929212,2.32,2.38,2.07,,2.0708748248945037,2.6786547949306905,0.16745443301172633
57,2.47,2.5,2.43,2.495,430914,2.34,2.38,2.09,,2.0710509354015145,2.683718843020138,0.16085054493946016
58,2.5,2.55,2.465,2.54,549640,2.37,2.38,2.11,,2.0683209481286684,2.69115945056648,0.15543264887235586
59,2.55,2.62,2.47,2.61,735311,2.42,2.4,2.13,,2.066879270742261,2.7070139480806397,0.15504460252433044
60,2.63,2.66,2.55,2.555,475535,2.47,2.4,2.15,,2.0593268828262454,2.724930411448563,0.15182713091544972
61,2.69,2.795,2.578,2.7,1283288,2.53,2.41,2.18,,2.0488239305151614,2.7779597136182717,0.15812519299291758
62,2.7,2.86,2.7,2.81,1109817,2.57,2.43,2.2,,2.028385205719154,2.842932665115596,0.15825910777913774
63,2.84,3.04,2.84,2.955,1184016,2.63,2.46,2.23,,1.9986567050521473,2.9468216500125424,0.16338345722348505
64,3.0,3.02,2.94,3.0,1039365,2.69,2.49,2.27,,1.95999613433799,3.0259651697431984,0.15742749599323613
65,2.96,3.04,2.91,3.005,869530,2.74,2.53,2.29,,1.9410039707226958,3.098474457228601,0.1554683891365764
66,3.13,3.2416,3.05,3.095,1195158,2.81,2.56,2.32,,1.9103882438954551,3.2102987050020046,0.16126350419824953
67,3.19,3.22,3.07,3.08,1059598,2.87,2.59,2.34,,1.884921331455911,3.296980457235594,0.16045896818408886
68,3.02,3.08,2.98,3.06,884811,2.92,2.62,2.37,,1.889914711165884,3.347841950765497,0.15614047045665394
69,3.07,3.14,2.99,3.095,1182850,2.98,2.67,2.39,,1.9141392134266624,3.399586279088546,0.1557018654240358
