,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,42.39,43.05,42.1,42.92,27753,,,,,,,0.9499999999999957
1,43.04,43.58,42.28,42.84,12756,,,,,,,0.9749999999999959
2,42.89,44.39,42.89,44.26,12006,,,,,,,1.0160714285714245
3,43.6,44.98,42.73,43.28,26296,,,,,,,1.1042091836734658
4,41.5,44.73,40.7802,44.37,41461,,,,,,,1.3074656705539323
5,42.35,42.46,40.45,40.95,29587,,,,,,,1.4940752655143652
6,42.2,43.065,40.37,41.57,26422,,,,,,,1.5798556036919105
7,40.52,40.71,38.72,39.62,63882,,,,,,,1.670580203428203
8,36.75,37.9178,35.5,35.8,54194,41.73,,,,,,1.8455387603261881
9,38.22,39.24,36.435,37.92,37573,41.18,,,,,,1.959428848874318
10,38.34,38.34,36.27,36.99,62022,40.53,,,,,,1.9673267882404382
11,37.36,39.85,35.9,39.75,77787,40.03,,,,,,2.1089463033661215
12,37.5,37.5,33.0,33.12,80279,38.9,,,,,,2.44045013883997
13,33.4,35.46,33.36,34.91,62805,37.85,,,,,,2.4332751289228294
14,34.97,37.09,33.37,34.28,96692,37.11,,,,,,2.525184048285485
15,33.85,35.54,31.61,35.54,58631,36.44,,,,,,2.6255280448365217
16,36.91,38.32,35.51,37.81,27721,36.24,,,,,,2.638704613062485
17,38.1,39.99,36.57,36.89,24187,36.36,,,,,,2.6945114264151644
18,38.2126,39.26,37.91,39.0,25896,36.48,,,,,,2.671332038814081
19,37.86,38.57,37.19,37.28,25961,36.51,38.96,,,30.64948400912074,46.22008807219031,2.6098083217559327
20,37.3,39.48,37.2,39.105,34567,36.44,38.76,,,30.725122654227057,45.89593901805705,2.5862505844876513
21,39.04,40.59,38.73,39.93,36677,37.19,38.62,,,30.914948160483295,45.5128141078303,2.534375542738534
22,39.13,40.2,38.08,39.27,31332,37.68,38.37,,,31.242540432007015,44.89330502531454,2.504777289685782
23,39.75,41.035,37.73,39.45,28975,38.25,38.18,,,31.647900903295223,44.117384648508526,2.561936054708226
24,39.17,41.75,38.32,39.26,20666,38.67,37.92,,,31.826850048622955,43.41660175374411,2.6239406222290675
