,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,6.1,6.37,6.09,6.35,548646,,,,,,,0.28000000000000025
1,6.2,6.325,6.16,6.23,696418,,,,,,,0.27357142857142874
2,6.08,6.28,6.0,6.11,2622105,,,,,,,0.27403061224489816
3,5.82,5.94,5.57,5.57,833065,,,,,,,0.2930284256559769
4,5.75,5.795,5.36,5.61,1441562,,,,,,,0.30316925239483566
5,5.49,5.67,5.34,5.53,1105040,,,,,,,0.3050857343666331
6,5.13,5.43,4.9,4.91,778763,,,,,,,0.32829389619758786
7,5.12,5.15,4.75,5.02,543087,,,,,,,0.33341576075490303
8,4.44,4.95,4.44,4.685,1089450,5.56,,,,,,0.35102892070098135
9,4.77,5.3,4.62,5.29,830730,5.44,,,,,,0.3745268549366255
10,5.09,5.44,4.74,4.95,577624,5.3,,,,,,0.39777493672686653
11,4.95,5.54,4.95,5.26,1642280,5.2,,,,,,0.4115052983892332
12,5.37,5.98,4.92,4.98,2727402,5.14,,,,,,0.45782634850428805
13,5.0,5.13,4.7,5.03,1656288,5.07,,,,,,0.4558387521825532
14,5.25,5.5,5.11,5.47,720299,5.07,,,,,,0.4568502698837994
15,5.47,5.76,5.38,5.46,686588,5.13,,,,,,0.4513609648920994
16,5.49,6.13,5.49,6.07,1094860,5.24,,,,,,0.4669780388283781
17,5.92,6.15,5.76,5.85,1151122,5.37,,,,,,0.461479607483494
18,5.92,5.93,5.58,5.69,516775,5.42,,,,,,0.4535167783775301
19,5.68,5.8,5.56,5.76,797800,5.51,5.49,,,4.249527378835109,6.563964572936267,0.43826557992199233
20,5.54,5.63,5.41,5.49,717922,5.53,5.45,,,4.287582450019737,6.471014693828625,0.43196089564185003
21,5.41,5.74,5.41,5.64,613776,5.61,5.42,,,4.349547060126268,6.383392915976546,0.42467797452457506
22,5.65,5.76,5.42,5.53,488223,5.66,5.39,,,4.399650161390553,6.29872442850351,0.41862954777281974
23,5.74,5.82,5.57,5.71,1052148,5.69,5.4,,,4.399650161390554,6.2832469372056785,0.40944172293190406
24,5.8,5.97,5.7549,5.92,411008,5.74,5.41,,,4.379746672523559,6.3058354172389235,0.39876731415105376
25,6.0,6.04,5.85,5.88,369600,5.72,5.43,,,4.354881796795461,6.348064223927377,0.38385536314026425
26,5.97,6.11,5.85,6.05,353545,5.74,5.49,,,4.37145609300935,6.401585984415378,0.3750085514873883
27,6.01,6.06,5.78,5.79,515096,5.75,5.53,,,4.428809786793075,6.416972135652012,0.36822222638114627
28,6.14,6.595,6.09,6.22,1789326,5.8,5.6,,,4.54773712890484,6.4963512129893,0.39942063878249295
29,6.09,6.355,6.05,6.28,2324858,5.89,5.65,,,4.654705493716999,6.543129448647657,0.3926763074408864
30,6.26,6.7,6.26,6.67,3283612,6.01,5.74,,,4.733361294352991,6.66899412015428,0.39605657119510884
31,6.8,6.84,6.49,6.64,4379350,6.13,5.81,,,4.7574427734368,6.8127341767793865,0.3927668161097439
32,6.55,6.83,6.49,6.74,6202666,6.24,5.89,,,4.8192751027306695,6.935740699570069,0.3889977578161908
33,6.64,6.76,6.36,6.37,2186857,6.29,5.96,,,4.99071149952925,6.962448441750411,0.3897836322578914
34,6.52,6.73,6.38,6.53,2796355,6.37,6.01,,,5.078187621461963,7.011580791257258,0.38765622995375637
35,6.56,6.84,6.55,6.73,1461530,6.44,6.08,,,5.108672895423478,7.089322891765354,0.3821093563856309
36,6.74,6.8,6.62,6.7,566956,6.54,6.11,,,5.1296765426063375,7.156792068901188,0.3676729737866573
37,6.88,6.89,6.47,6.55,2616628,6.58,6.14,,,5.141180293948312,7.2331924016835965,0.3714106185161818
38,5.97,6.13,5.47,5.66,4081383,6.51,6.14,,,5.123072557403648,7.230101208946745,0.42202414576502595
39,5.75,6.1,5.67,5.92,1654127,6.43,6.15,,,5.138749104843829,7.218515704444471,0.4233081353532383
40,5.86,5.99,5.68,5.78,2264488,6.33,6.17,,,5.183197588796588,7.189454925327883,0.41521469711372133
41,5.74,5.79,5.61,5.72,585303,6.22,6.17,,,5.2193426883250895,7.18450638052272,0.3984136473198841
42,5.68,5.69,5.48,5.63,479042,6.14,6.17,,,5.231413661879126,7.192109015482364,0.3870983867970352
43,5.67,5.82,5.62,5.66,488188,6.04,6.17,,,5.239646993993993,7.192109015482365,0.3737342163115327
44,5.65,5.725,5.52,5.53,528904,5.91,6.15,,,5.204185571099584,7.2099192212921706,0.36168177228928033
45,5.53,5.61,5.41,5.54,1150672,5.78,6.14,,,5.1405579461266795,7.239360742527743,0.35013307426861745
46,5.62,5.81,5.59,5.78,880314,5.69,6.12,,,5.110635647435176,7.248104625409595,0.34440928324943043
47,5.72,5.77,5.58,5.66,341794,5.69,6.12,,,5.086479466174262,7.257910651502661,0.3340943344458997
48,5.66,5.7039,5.42,5.43,1012324,5.64,6.08,,,5.021936775191472,7.235748937222308,0.3305090248426212
49,5.34,5.45,5.165,5.22,1538466,5.57,6.02,5.78,,4.917236491141674,7.250021435650117,0.3272583802110054
