,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,10.43,10.78,9.77,9.98,97519,,,,,,,1.0099999999999998
1,10.11,11.78,10.1,11.78,72207,,,,,,,1.0664285714285713
2,11.9,12.43,11.6066,11.66,40047,,,,,9.513098105404751,12.494497175986112,1.0490693877551018
3,12.17,12.27,11.83,12.0,44078,,,,,10.237887467463336,12.498673884437522,1.0177072886297374
4,11.83,11.89,11.2899,11.4899,23188,,,,,11.304110224953098,12.474035254169532,0.9957353394418991
5,11.25,11.4799,10.69,11.12,32792,,,,,10.699705320147952,12.27511221369122,0.981747100910335
6,10.71,11.1,10.45,10.67,61189,,,,,10.37735598333426,11.885062861704451,0.959479450845311
7,11.02,11.0913,10.0112,10.24,92384,,,,,10.039515650270237,11.445622817837071,0.9680952043563602
8,10.01,10.067,9.2,9.2,139818,10.9,,,,9.252888605446223,11.346673951799062,0.9732312611880489
9,9.17,9.17,6.56,6.58,122484,10.53,,,,6.78584895334048,11.070785955076953,1.0922861711031884
10,7.38,7.96,6.8,7.46,75360,10.05,,,,6.060136992728443,10.123034310078042,1.112837158881532
11,6.85,7.04,5.8,5.89,133564,9.41,,,,5.864619414654679,9.124951896992968,1.1519202189614226
12,6.0,8.07,6.0,7.62,60596,8.92,,,,5.6708497377871465,8.255597029695158,1.2253544890356067
13,7.44,10.2,7.3683,8.15,73246,8.55,,,,5.53583215987276,10.048260081065385,1.3400934541044918
14,8.25,9.94,7.15,7.38,220216,8.13,,,,6.1043143202930805,10.565328743536543,1.4436582073827424
15,7.52,8.2786,7.31,8.08,183164,7.84,,,,7.163070667524101,10.51526997313366,1.4097254782839752
16,8.34,8.4777,7.08,7.51,116136,7.54,,,,7.062101738774713,9.805979620351371,1.4088665155494056
17,7.97,8.87,7.97,8.51,47432,7.46,,,,6.99134487748916,8.843013625480786,1.4053760501530195
18,8.94,9.15,8.17,8.21,58028,7.65,,,,7.159741436943879,9.170276250974432,1.374992046570661
19,8.31,8.79,7.9,8.74,50390,7.79,9.11,,,7.87321433628693,9.125699291716744,1.3403497575298995
20,8.46,8.62,7.9,7.91,54104,8.01,9.01,,,7.83411542731894,9.123949913263912,1.3046104891349068
21,8.17,8.4,8.0,8.35,41583,8.09,8.84,,,7.875598306414754,8.798866791680812,1.2464240256252705
22,8.3,8.46,7.83,8.24,101134,8.1,8.67,,,7.824559962547085,8.607058147394849,1.2023937380806085
23,8.01,8.1959,7.3,7.39,158198,8.1,8.44,,,7.34489727472949,8.490413780516423,1.183651328217708
24,7.48,7.9164,7.48,7.69,28671,8.06,8.25,,,7.267160946257462,8.462603020624941,1.136704804773586
