,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,23.79,26.03,23.65,24.63,83569,,,,,,,2.3800000000000026
1,25.0,25.17,23.73,24.56,147978,,,,,,,2.3128571428571454
2,24.66,26.8,24.02,25.43,140314,,,,,,,2.346224489795921
3,26.48,27.6027,25.82,26.68,111061,,,,,,,2.333829883381927
4,25.74,26.38,24.19,24.7,128289,,,,,,,2.3449848917117895
5,23.97,24.4271,22.695,23.25,94154,,,,,,,2.3207002565895185
6,19.7,21.1599,18.48,18.48,161266,,,,,,,2.495650238261696
7,19.32,19.325,13.781,16.97,347744,,,,,,,2.7133895069572893
8,16.28,16.28,12.65,12.85,289990,21.95,,,,,,2.8281473993174826
9,9.37,10.92,8.77,10.2,296775,20.35,,,,,,2.9175654422233768
10,11.05,11.2305,7.3,9.86,219439,18.71,,,,,,2.9899179106359925
11,8.2,8.3,6.75,7.12,312283,16.68,,,,,,2.9984952027334217
12,7.14,7.7795,6.09,7.08,281946,14.5,,,,,,2.9049955453953205
13,6.81,6.97,5.12,5.81,269100,12.4,,,,,,2.837495863581369
14,5.78,8.87,5.46,7.6,404938,10.66,,,,,,2.8783890161827
15,7.96,8.6538,7.012,7.88,268880,9.49,,,,,,2.7900612293125073
16,7.59,7.7,6.25,6.9,210904,8.37,,,,,,2.7071997129330425
17,7.55,10.46,7.55,9.45,303000,7.99,,,,,,2.768114019152111
18,9.9,11.81,9.2,11.12,307534,8.09,,,,,,2.7568201606412464
19,11.8,11.8,10.11,10.385,305263,8.15,14.55,,,-2.1327342823137645,31.434650810797713,2.6806187205954433
20,10.28,10.28,9.26,9.61,158443,8.43,13.8,,,-2.1791287213122814,30.068076183464797,2.569503097695769
21,9.51,9.51,8.25,8.3,198093,8.56,12.98,,,-2.128158452137443,28.693021028795094,2.483110019288928
22,8.03,9.15,8.03,8.21,138105,8.83,12.12,,,-1.8094064697827168,26.70796159807262,2.3857450179111477
23,7.8,8.78,6.92,6.94,207390,8.76,11.14,,,-0.8634107974463472,24.100990254285264,2.348191802346066
24,7.2,7.5099,6.35,6.61,179920,8.61,10.23,,,0.3142080516888228,21.327491718429478,2.2633138164642044
25,6.76,6.9378,6.16,6.44,198391,8.56,9.39,,,1.978250145991808,18.54532725842212,2.1572056867167615
26,6.99,8.0,6.94,7.5,313474,8.35,8.84,,,3.400755292479479,16.2197129770426,2.114548137665564
27,8.0,8.77,7.28,7.65,310320,7.96,8.38,,,4.027126123276879,13.892139724243526,2.069937556403738
28,8.0052,9.9609,7.7,9.55,524110,7.87,8.21,,,4.700502033794457,12.223514208073572,2.087149159517757
29,10.24,12.0,9.8349,10.49,486329,7.97,8.23,,,4.592096693178997,12.441618152235257,2.11306707669506
30,10.5,11.0,9.07,10.08,223219,8.16,8.24,,,4.580433389512395,12.40135277768533,2.0999908569311274
31,10.61,11.4899,10.12,10.55,252766,8.42,8.41,,,4.539285139654618,12.685410812676263,2.0506986528646185
32,10.3,10.3,9.6,9.81,246274,8.74,8.54,,,4.6858250933855485,12.747594379545927,1.9720773205171458
33,9.75,9.84,8.52,9.05,130235,9.01,8.71,,,5.1128156479701055,12.666891394336893,1.9255003690516355
34,9.86,10.37,9.35,9.79,190842,9.39,8.82,,,5.506425067478553,12.735767759594449,1.8822503426908042
35,9.49,9.527,9.0,9.21,161580,9.58,8.88,,,5.640398513197992,12.739745528201146,1.8042324610700324
36,9.0,9.4084,8.51,9.18,203323,9.75,9.0,,,5.931203386931617,12.670491462115464,1.739530142422173
37,9.34,9.35,8.7,8.82,77544,9.66,8.96,,,6.017601749979893,12.607740361014773,1.6617065608205892
38,8.98,9.2,8.6,8.74,117421,9.47,8.85,,,6.0121684714641805,12.320696605030324,1.5858703779048329
39,8.77,9.7575,8.6813,9.61,181136,9.42,8.81,,,6.071471933139124,12.022198747870787,1.5494653509116305
40,9.92,10.2833,9.75,9.92,270226,9.35,8.82,,,6.0443984798979695,12.02256792149144,1.4868821115607997
41,10.3,12.24,10.19,11.91,500392,9.58,9.0,,,6.004284977008717,12.434930181725637,1.5463905321635998
42,11.96,14.174,11.96,13.25,413527,10.05,9.25,,,5.75917315239877,13.323110006700333,1.5976483512947712
43,12.42,12.8,11.45,12.62,238181,10.36,9.54,,,5.853971970119559,13.705758114632767,1.612102040488002
44,12.05,12.3254,11.0121,11.58,112774,10.63,9.79,,,6.193691182658045,13.845810979582327,1.611801894738859
45,11.35,12.2641,11.0001,11.99,106472,10.94,10.07,,,6.676097239450351,13.800177178933913,1.5869589022575121
46,12.57,13.33,10.722,10.9,425832,11.17,10.24,,,7.057865035480902,14.02313583349532,1.6598904092391185
47,10.78,11.4261,10.38,10.54,117106,11.37,10.38,,,7.431763694852009,13.991621648357699,1.6160482371506102
48,11.31,11.31,10.41,10.8,158384,11.5,10.44,,,7.755629097108673,14.015207484052704,1.5649019344969952
49,11.09,12.33,10.65,12.24,249274,11.76,10.53,11.66,,7.765452172980126,14.056482753415455,1.5731232248900668
50,12.38,12.49,11.33,11.83,171465,11.75,10.62,11.4,,7.820898063778943,14.191736863715601,1.543614423112205
51,11.86,12.08,11.27,11.44,78906,11.55,10.66,11.14,,7.80514021442489,14.244464996584803,1.4912133928899047
52,11.36,11.46,10.195,10.54,143180,11.32,10.7,10.84,,7.844470481445309,14.270651010800398,1.4750552933977688
53,10.32,10.94,9.67,10.84,161595,11.24,10.79,10.52,,8.014840473992983,14.251826087788208,1.4604084867264997
54,10.82,11.58,10.3289,11.08,98979,11.13,10.85,10.25,,8.095668218044484,14.276196517820837,1.4454578805317495
55,11.74,13.29,11.74,13.1,286428,11.38,11.05,10.05,,8.202313990767092,14.436712490936173,1.5000680319223387
56,13.06,13.9674,12.51,13.27,165827,11.68,11.25,9.94,,8.369858830600938,14.655161326998162,1.4970203153564576
57,13.48,14.5,12.44,12.92,213776,11.92,11.46,9.86,,8.57553998210005,14.899722197118155,1.5372331499738536
58,12.82,13.64,12.52,12.85,207794,11.99,11.66,9.86,,8.871275736932816,14.849868845787697,1.5074307821185784
59,13.0,13.6,12.68,13.53,100348,12.17,11.86,9.93,,9.21223162044746,14.798971118382852,1.46547144053868
60,14.23,15.55,13.98,14.95,223287,12.56,12.11,10.03,,9.140462982989519,15.195263587935418,1.5050806233573457
61,15.75,17.25,14.55,17.15,271724,13.3,12.37,10.23,,8.99379620629769,16.149001694950037,1.5904320074032496
62,17.9,17.95,15.89,16.03,272778,13.88,12.51,10.41,,8.532220757005778,17.013813985459258,1.6239725783030174
63,15.7,16.67,15.38,16.3333,91698,14.46,12.7,10.62,,8.343775334218993,17.502569961781433,1.6001173941385165
