,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,23.31,23.8,21.33,21.73,145911,,,,,,,2.4700000000000024
1,21.85,23.05,21.7,22.91,76336,,,,,,,2.3900000000000023
2,22.29,23.0,22.22,22.9,141910,,,,,,,2.275000000000002
3,22.05,23.6,22.05,23.51,157893,,,,,,,2.223214285714288
4,22.79,23.49,22.1801,23.39,196979,,,,,,,2.159406122448982
5,24.0,24.735,22.34,23.14,367782,,,,,,,2.176234256559769
6,22.23,22.35,21.095,21.93,255962,,,,,,,2.1668603810912144
7,20.44,21.89,20.25,20.79,184401,,,,,,,2.1320846395846993
8,21.75,23.62,21.03,22.6,140814,22.54,,,,,,2.181935736757221
9,20.6,22.02,20.34,21.51,392202,22.52,,,,,,2.1875117555602768
10,21.93,22.955,19.03,22.49,216695,22.47,,,,,,2.3116180587345423
11,21.66,22.47,21.11,21.76,226315,22.35,,,,,,2.245073911682075
12,21.88,22.4,20.57,21.69,630090,22.14,,,,,,2.2154257751333555
13,21.7,22.24,21.105,21.35,449670,21.92,,,,,,2.1382525054809727
14,21.57,22.28,19.41,20.49,239852,21.62,,,,,,2.1905201836609036
15,21.05,22.06,19.39,19.95,107861,21.4,,,,,,2.2247687419708386
16,20.06,20.81,17.99,18.13,163058,21.11,,,,,,2.267285260401493
17,18.23,21.67,18.1,21.55,151669,20.99,,,,,,2.3603363132299577
18,21.06,22.22,20.31,21.71,172372,21.01,,,,,,2.3281694337135326
19,22.13,23.4,21.67,22.86,169067,21.05,21.82,,,18.037550715864793,24.506153378185882,2.285443045591137
20,22.39,23.33,21.8902,22.48,374131,21.13,21.86,,,18.023855435486876,24.43405167463012,2.2250399709060558
21,21.69,22.77,21.4427,22.27,170278,21.2,21.82,,,18.02911595412904,24.41205420154868,2.160915687269909
22,22.18,23.45,22.05,22.88,87362,21.37,21.82,,,18.040472411387984,24.46404350349753,2.10656456675063
23,22.59,22.875,20.11,20.625,240563,21.38,21.68,,,18.01612061126815,24.378323348084518,2.153952811982728
24,21.16,21.91,20.1,21.28,209284,21.53,21.57,,,18.02095972483521,24.28233436007426,2.1293847539839614
25,21.97,23.12,21.12,21.3,138901,21.88,21.48,,,18.099838507480005,23.89698885554673,2.12014298584225
26,20.61,23.165,20.1,22.96,101748,22.04,21.53,,,18.06986238479315,23.967361537370966,2.1876327725678033
27,23.56,23.89,22.85,23.23,140323,22.21,21.66,,,17.94384504771843,24.15486928089199,2.1056590030986744
28,23.2,23.52,22.59,22.85,113937,22.21,21.67,,,17.860909792201234,24.136815500304913,2.0216833600201976
