,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,36.51,37.55,34.88,35.76,32895,,,,,,,2.6699999999999946
1,36.04,37.92,35.26,37.53,23135,,,,,,,2.6692857142857096
2,37.55,38.9,37.07,38.41,34560,,,,,34.44941597883103,38.890683535870174,2.609336734693873
3,39.11,40.48,38.79,40.33,23087,,,,,35.098289671449415,40.52083215053714,2.570812682215739
4,39.55,40.6486,39.485,39.86,27439,,,,,37.080785863102996,41.07056567522179,2.4702974906289006
5,38.89,40.53,38.345,39.14,46151,,,,,38.24132772945518,40.64812090821699,2.4499190984411223
6,37.12,39.2499,36.82,36.82,25542,,,,,36.745827082166244,40.995963963092535,2.4484891628381846
7,38.36,38.95,36.505,38.43,80258,,,,,36.140848191018044,40.499693929412125,2.4482399369211714
8,37.35,38.25,37.11,37.58,66590,38.21,,,,36.478821983167954,39.381063049093704,2.3676513699982307
9,36.02,37.35,34.05,34.88,37548,38.11,,,,34.10575343797567,39.065622023804515,2.4506762721412145
10,36.26,37.3,34.8483,37.11,47348,38.06,,,,33.590125323121775,38.22143054751934,2.4507493955596993
11,34.06,35.41,30.0,30.36,66470,37.17,,,,30.10660083365987,37.90316587888727,2.783553010162578
12,32.08,33.2,26.82,30.95,93713,36.13,,,,26.10886983816895,37.56062160321234,3.040442080865251
13,29.41,29.5,27.45,27.675,26687,34.77,,,,26.237781600350612,35.98808756056759,3.073267646517733
14,28.27,33.635,28.27,33.2,72092,34.11,,,,26.713554405545757,34.611090416920604,3.279462814623609
15,33.47,34.74,31.9667,33.63,140254,33.76,,,,26.582088413902532,35.663365473408376,3.2433083278647805
16,33.78,33.92,31.36,33.62,56890,33.22,,,,28.35148618713936,34.72938094115178,3.1945005901601533
17,34.74,36.07,33.85,35.06,28667,32.94,,,,30.96399697487118,36.103538017827674,3.1413219765772857
18,34.86,36.11,33.36,34.11,14648,32.86,,,,31.405653112859103,36.74497734765747,3.113370406821766
19,34.94,36.82,34.34,36.75,23150,32.82,35.56,,,33.31100000000004,36.7974672938806,3.0845582349059253
20,35.21,35.38,33.26,33.29,18900,33.14,35.44,,,32.99688734672569,36.89535879588696,3.1135183609840738
21,33.7,36.28,32.92,36.06,28434,33.71,35.36,,,32.69108262235653,36.960207473096794,3.1311241923423543
22,35.99,36.455,34.01,35.44,70178,34.57,35.21,,,32.783192679171464,36.672822957624625,3.0821153214607575
23,34.53,35.01,32.04,33.15,40496,34.57,34.86,,,31.904449909032337,36.78248443790075,3.1048213699278464
24,32.55,34.1162,31.89,33.21,12755,34.52,34.52,,,31.345299564987357,36.49192666413323,3.042062700647286
25,33.03,33.03,30.69,31.05,32664,34.24,34.12,,,30.726074327717942,35.14277910545764,3.0047725077439087
26,32.3,34.49,31.75,34.24,35930,34.14,33.99,,,30.721567905141363,34.712989471538734,3.035860185762201
27,34.65,35.045,32.39,32.75,24036,33.99,33.71,,,30.66553613091881,35.333236422390826,3.008655886779187
28,33.89,35.31,33.36,33.62,14838,33.65,33.51,,,31.608321246187913,35.40863875730022,2.976609037723531
29,34.33,35.4,33.69,35.38,20507,33.88,33.53,,,32.40334551579495,35.45467056646498,2.8911369636004216
30,34.87,36.31,33.23,33.24,29876,33.56,33.34,,,33.16581741262657,36.281856408765414,2.904627180486106
31,34.38,35.11,32.84,34.26,57948,33.43,33.53,,,32.78530520027586,36.29540488495668,2.8592966675942413
32,33.26,34.845,32.66,33.03,70152,33.42,33.64,,,32.5894863497448,36.28037737658783,2.8111326199089386
33,33.74,36.4113,32.2305,34.37,147032,33.55,33.97,,,32.23237331993087,36.37760937218563,2.908966004201157
34,35.37,35.825,34.57,35.26,51927,34.02,34.08,,,31.783581820873987,36.56425565662192,2.8051112896153607
35,34.29,35.2657,33.96,34.55,46068,34.05,34.12,,,32.25190500161163,36.46413832917858,2.6980104832142637
36,33.95,35.28,33.1292,34.72,67799,34.27,34.18,,,33.09086430325222,35.807650537134265,2.658924020127531
37,35.71,35.71,34.512,34.94,19764,34.42,34.17,,,33.10139127191161,35.696305586577644,2.554572304404136
38,35.15,36.22,34.84,35.25,67047,34.4,34.23,,,33.161622969427114,36.25429040388639,2.4706742826609833
39,35.59,36.18,35.115,35.21,25416,34.62,34.15,,,34.49025659019504,36.34863514798057,2.3702689767566274
40,35.93,37.43,35.93,36.61,83637,34.88,34.32,,,34.67145910318567,37.391464650512084,2.359535478416868
41,37.8,37.8,36.41,37.19,17756,35.34,34.37,,,35.098183291096746,38.07045804236752,2.2902829442442347
42,37.95,39.59,37.75,38.63,33553,35.82,34.53,,,35.65908422014331,39.54402776290061,2.2981198767982183
43,38.0,38.2,36.88,37.59,41066,36.08,34.76,,,36.265468149404164,39.56347327009458,2.258968457026917
44,36.42,37.6675,34.96,35.29,25113,36.16,34.86,,,34.95969461568775,39.57770570262991,2.2910064243821373
45,34.77,35.97,34.46,35.68,10366,36.27,35.09,,,34.028028621417334,38.56024268737477,2.2352202512119845
46,35.9,36.89,34.51,34.83,11898,36.25,35.12,,,34.34041695323269,37.777220914230526,2.2455616618397003
47,34.7,35.51,33.795,34.16,32580,36.13,35.19,,,33.81592910595222,36.89626110054918,2.207664400279721
48,34.82,34.865,34.02,34.385,25296,36.04,35.23,,,33.706180895403094,36.892941892189555,2.1103312288311695
49,35.0,38.12,35.0,36.59,47900,36.04,35.29,35.1,,33.56688649999535,38.0608732156977,2.2263789982003717
50,35.75,37.12,35.75,36.5,20377,35.96,35.45,35.12,,33.96903446330714,38.53573593562389,2.165209069757488
51,36.52,36.52,33.91,34.17,50104,35.47,35.45,35.05,,33.868923902834226,38.142452747885336,2.1969798504890967
52,34.08,34.68,33.22,34.32,57444,35.1,35.51,34.97,,32.854714435454795,37.50523927233763,2.1443384325970185
53,33.58,33.58,32.1361,32.74,70124,34.82,35.43,34.82,,32.105069894370935,36.56065116271713,2.1471642588400885
54,32.59,33.82,32.59,33.77,27515,34.61,35.36,34.7,,32.049938090139484,34.66289408931776,2.0816525260657963
55,35.18,36.9845,35.18,36.53,50584,34.8,35.46,34.64,,31.495695536011585,36.88494335456027,2.162570202775382
56,36.37,36.46,35.36,35.36,31590,34.93,35.49,34.61,,32.67176129294845,37.62044762917083,2.091672331148569
57,36.31,37.92,35.245,37.51,21997,35.28,35.62,34.6,,35.16140160129815,37.93503664176849,2.133338593209386
58,37.72,39.2,35.54,39.11,38708,35.56,35.81,34.63,,35.21810908251552,39.368083552062004,2.242385836551573
59,38.86,40.83,37.32,40.83,54592,36.04,36.09,34.75,,34.80016731902655,40.92102084618355,2.3329297053693177
60,42.02,42.085,41.03,41.4,47201,36.84,36.33,34.83,,34.882266256274875,42.29621188092597,2.2559347264143663
61,42.47,43.22,40.32,43.22,95744,37.83,36.63,35.09,,37.39046715292523,43.360052185276295,2.30193938881334
62,43.77,43.77,39.4545,42.735,74604,38.94,36.84,35.32,,39.400235937383705,43.970184241299016,2.4457651467552446
63,41.9,43.13,41.605,42.84,20864,39.95,37.1,35.63,,39.26958068123225,43.75443743109842,2.379996207701299
64,42.9,43.54,42.23,42.59,43153,40.62,37.46,35.82,,39.49495921297635,43.836610431703846,2.3035679071512067
65,42.85,43.24,42.4,42.52,27636,41.42,37.81,35.99,,41.61783079986176,43.536764979288485,2.199027342354692
66,43.08,44.3,41.95,43.16,20786,42.04,38.22,36.18,,41.94338067114759,44.29435357703012,2.209811103615071
67,42.64,43.76,42.14,42.86,36170,42.46,38.66,36.34,,41.91483718983461,44.349701256835516,2.167681739071137
68,44.01,44.49,42.7775,43.56,23776,42.76,39.12,36.53,,41.81237397499265,44.59993186109522,2.135168757708913
69,44.18,45.295,43.68,43.96,51146,43.05,39.48,36.67,,42.01466353779676,45.35958584525203,2.1065852750154193
70,43.42,45.44,42.59,44.79,75408,43.22,39.9,36.9,,42.374780472148096,45.63796469693943,2.1596863268000317
71,44.5,44.5,40.53,41.4,48140,43.08,40.26,37.01,,40.506998989707824,45.635011950969606,2.309708732028601
72,39.39,39.72,38.11,38.44,19783,42.59,40.47,37.07,,37.94334963969347,46.59404267904245,2.379729536883701
73,40.02,40.02,38.35,38.94,3204,42.18,40.78,37.19,,37.53001833344785,44.35840401726151,2.3290345699634365
74,37.96,41.12,37.26,40.62,48090,41.97,41.12,37.33,,37.27665052930711,41.09748929420804,2.4383892435374768
75,42.18,44.36,40.64,42.92,61220,41.94,41.44,37.57,,36.852348556768085,44.31517646563102,2.5313614404276574
76,42.0,42.34,41.24,41.77,22403,41.82,41.76,37.72,,37.353036459350406,44.40668259252211,2.470549908968539
77,41.4,42.365,40.625,41.45,15714,41.59,41.96,37.9,,40.449097486403254,44.296674542459314,2.418367772613644
78,41.85,42.19,38.97,39.44,117042,41.09,41.97,38.01,,38.986894762075075,42.40244665300582,2.4756272174269554
79,39.58,39.95,38.87,39.48,28363,40.5,41.9,38.09,,38.40411698807122,42.982958023332586,2.375939559039316
80,40.07,40.685,39.31,39.92,26241,40.33,41.83,38.23,,38.79628362291691,42.19769536193326,2.3044438762507933
81,39.38,41.63,39.38,41.36,38455,40.66,41.74,38.37,,38.88255429708346,41.681403124994596,2.300555027947165
82,40.86,41.93,40.85,41.93,21576,40.99,41.7,38.55,,38.89008821544923,42.12972494709489,2.213372525950939
83,41.4,41.98,40.0138,41.43,35679,41.08,41.63,38.69,,39.27021613548285,42.05489330601228,2.1957173455258716
