,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,20.47,21.01,20.17,20.17,158217,,,,,,,0.8399999999999999
1,19.6,20.46,19.17,19.56,203768,,,,,,,0.872142857142857
2,19.57,20.31,19.29,20.28,107764,,,,,,,0.8827040816326529
3,20.18,20.575,19.63,19.83,161910,,,,,,,0.8871537900874634
4,20.16,20.675,19.69,19.91,147340,,,,,,,0.894142805081216
5,19.33,19.55,18.91,19.12,115666,,,,,,,0.9017040332897006
6,18.52,19.02,18.01,18.86,132671,,,,,,,0.9165823166261506
7,17.68,18.19,16.25,16.25,104891,,,,,,,1.0375407225814257
8,16.67,17.015,15.98,16.87,367332,18.98,,,,,,1.0373592423970381
9,16.54,17.21,15.8,16.09,333642,18.53,,,,,,1.0639764393686784
10,15.05,15.95,14.27,14.78,144020,18.0,,,,,,1.1179781222709155
11,15.69,16.12,15.01,15.86,182487,17.51,,,,,,1.133836827822993
12,10.0,14.63,10.0,14.12,278680,16.87,,,,,,1.4714199115499222
13,14.06,14.99,13.78,14.94,157649,16.32,,,,,,1.452747060724928
14,14.04,14.37,9.64,9.64,117247,15.27,,,,12.982944256068292,20.40496726168147,1.727550842101719
15,9.59,12.21,9.19,11.91,578784,14.5,,,,11.956668458735479,20.0913083122838,1.8198686390944534
16,11.9,12.51,11.23,11.44,417346,13.96,,,,11.40024223388895,19.699708611089925,1.7813065934448495
17,11.43,11.72,9.92,10.91,357110,13.3,,,,10.740638663043141,19.252359331812922,1.7826418367702175
18,11.38,11.86,10.6301,11.78,131247,12.82,,,,10.306044924232818,18.630302833301524,1.7431602770009162
19,11.83,12.45,11.61,12.01,117741,12.51,15.72,,,10.111363718309804,17.849012211742032,1.678648828643708
20,11.98,13.23,11.96,12.75,159913,12.17,15.35,,,10.025490824706214,17.175999348225304,1.649459626597729
21,12.53,13.39,12.2,12.88,106030,12.03,15.01,,,10.012915889231119,16.511884565357516,1.6166410818407486
22,12.88,12.94,12.16,12.8,106333,11.79,14.64,,,9.967321679879461,15.908104198275312,1.5568810045664094
23,12.78,13.04,12.445,12.81,146306,12.14,14.29,,,9.98078680078187,15.464302581238062,1.4881752185259516
24,12.34,12.415,12.03,12.1,229928,12.16,13.9,,,10.026318186136976,14.881347733598945,1.4375912743455266
25,12.02,12.61,12.01,12.5,105710,12.28,13.57,,,10.021097180213483,14.492374243477958,1.3777633261779891
26,12.47,12.58,11.6,11.75,156929,12.38,13.21,,,10.110457797664811,13.977561548135478,1.3493516600224187
27,12.09,12.65,12.09,12.55,342160,12.46,13.02,,,10.29665482589545,13.737302132208482,1.3172551128779602
28,13.08,13.49,12.48,12.81,105860,12.55,12.82,,,10.346971508799205,13.44003631823833,1.295308319100963
29,13.07,13.51,12.79,13.42,151545,12.62,12.69,,,10.622967688521564,13.262529991475319,1.2542148677366083
30,13.8,14.7129,13.75,14.55,109884,12.81,12.68,,,11.03180395182123,13.614495919618113,1.2569780914697077
31,14.54,14.54,13.78,13.93,167372,12.94,12.58,,,11.106563165381473,13.856393918847314,1.2221939420790144
32,14.28,14.38,12.92,13.14,195032,12.97,12.53,,,11.492037429928262,14.022924916363085,1.2391800890733706
33,12.71,12.96,12.18,12.63,246420,13.03,12.42,,,11.737728983959215,14.0160177271216,1.2192386541395586
34,12.58,12.81,11.47,11.72,439240,12.94,12.52,,,11.71560540634172,14.017865834737409,1.2278644645581616
35,12.12,13.03,12.12,12.98,244498,13.08,12.57,,,11.732328863133898,14.007391708067114,1.2337312885182927
36,12.58,13.01,12.32,12.58,165624,13.08,12.63,,,11.742196852831666,13.984186608449324,1.1948933393384147
37,12.12,12.93,12.12,12.89,173177,13.09,12.73,,,11.738382556528578,13.983819381232092,1.1674009579570994
38,12.88,13.17,12.6,12.9,124083,13.04,12.78,,,11.746891403743339,13.990676914232074,1.1247294609601637
39,12.89,13.39,12.82,13.01,148902,12.86,12.84,,,11.801131018595056,14.018556578337217,1.0851059280344377
40,13.06,13.48,12.96,13.35,62204,12.8,12.86,,,11.866157337419374,14.049209202883715,1.0447412188891207
41,13.57,14.77,13.55,14.61,271447,12.96,12.95,,,12.00104653026099,14.245792386150624,1.0715454175398977
42,14.93,15.385,14.53,15.1,71904,13.24,13.07,,,12.0287027799228,14.530056109307361,1.0560778877156194
43,15.64,16.5,15.33,16.25,99145,13.74,13.24,,,11.99800617459073,14.997557311440746,1.0806437528787896
44,15.62,15.65,14.3015,14.66,148338,13.93,13.37,,,12.049142955757619,15.221635736550327,1.142633484816019
45,14.5,15.0,14.5,14.97,69526,14.19,13.49,,,12.05089623661368,15.254653448732288,1.0967310930434462
46,14.6,14.7,14.04,14.3,93385,14.35,13.62,,,12.056070425286402,15.270578570171613,1.0848217292546287
