,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.03,13.56,12.61,13.49,1135649,,,,,,,0.9500000000000011
1,13.54,14.05,13.465,13.77,809710,,,,,,,0.9239285714285724
2,13.8,13.87,13.19,13.49,978792,,,,,12.608213469827007,14.099309901193648,0.9065051020408174
3,13.74,13.895,13.3,13.85,830005,,,,,13.166078338888708,14.045595084826276,0.8842547376093303
4,13.64,13.715,13.32,13.44,582894,,,,,13.193000000000001,13.93392841815961,0.8589508277800924
5,13.16,13.56,12.99,13.29,722474,,,,,12.999808560066457,13.907754273937522,0.8383114829386572
6,12.72,12.93,12.26,12.34,710866,,,,,12.259990595977273,13.85900525385709,0.8520035198716103
7,12.76,12.76,12.06,12.47,1540400,,,,,11.898190730961705,13.5469455994926,0.8411461255950666
8,12.21,12.49,11.89,12.03,1377716,13.13,,,,11.866277149048024,12.970741108862752,0.8239214023382762
9,11.33,11.51,10.54,10.55,769418,12.8,,,,10.58053548974202,12.976856887430454,0.8714984450283993
10,11.08,11.08,9.71,10.86,1045200,12.48,,,,9.503016708092922,12.488256180742647,0.9071056989549422
11,9.6,10.21,9.31,9.4,1720922,12.03,,,,9.163191077466223,11.661856725774047,0.9530267204581606
12,9.53,10.21,9.29,9.84,785385,11.58,,,,9.17604945055586,11.052524207614468,0.9506676689968636
13,9.5,9.62,7.58,8.11,854829,10.99,,,,7.634264573418327,10.388033658037397,1.044191406925659
14,8.1,9.04,7.58,8.75,1582490,10.48,,,,7.0640041436543,10.266841168043472,1.0738920207166833
15,9.0,9.39,8.66,8.85,2294584,10.1,,,,7.2541078802027,9.671267801063218,1.049328304951206
16,8.95,9.18,8.13,8.87,3936150,9.7,,,,7.529299383686209,9.39711241717194,1.049376283168977
17,9.28,10.17,9.13,10.14,798028,9.49,,,,8.089670098940624,10.153795259652775,1.0672779772283358
18,10.17,11.33,10.03,11.08,1179267,9.54,,,,8.05118432184522,11.410398195913618,1.0839009788548835
19,11.11,12.48,11.0,12.04,977268,9.68,11.33,,,9.02459316529607,12.597170634914438,1.1121937660795347
20,11.59,11.69,11.03,11.12,896494,9.87,11.21,,,10.060890082466418,12.480403911657932,1.104894211359568
21,11.2,12.0,11.1405,11.63,802519,10.07,11.11,,,10.975440146681583,12.49450720080362,1.0888303391195988
22,11.55,11.85,11.27,11.73,1291850,10.47,11.02,,,11.014695523326788,12.017196233995415,1.0524853148967703
23,11.41,12.14,11.05,11.49,918926,10.77,10.9,,,11.031867901029406,12.156198272730581,1.0551649352612866
24,11.43,12.31,11.37,12.12,916224,11.14,10.84,,,11.049922239018828,12.355853473691486,1.0469388684569092
25,12.08,12.2947,11.32,11.55,973775,11.43,10.75,,,11.057308980439451,12.351682256156788,1.0417789492814158
26,11.97,12.38,11.93,12.32,916866,11.68,10.75,,,11.16745872711874,12.378260522274289,1.0266518814756005
27,12.68,12.95,12.24,12.4,514269,11.82,10.74,,,11.315110691507401,12.933469919566326,1.004033889941629
28,12.63,13.75,12.45,13.62,746927,12.0,10.82,,,11.918909245679274,13.783697929781566,1.0287457549457983
29,13.95,13.98,12.965,13.0,701248,12.21,10.95,,,12.141323416041883,14.154712535600197,1.0277639153068128
30,13.02,13.17,12.64,13.0,960650,12.36,11.05,,,12.398524433851714,14.092487265401163,0.9922093499277547
31,13.27,13.615,12.83,12.88,936362,12.49,11.23,,,12.632065488125674,14.034557025368333,0.9774086820757723
32,12.49,12.81,12.24,12.65,1265122,12.62,11.37,,,12.238719152379765,13.641905292922013,0.9533080619275028
33,12.76,12.88,12.37,12.55,1754144,12.66,11.59,,,12.139000000000026,13.592195547909494,0.9216432003612528
34,12.92,13.15,12.58,13.09,1441588,12.83,11.81,,,12.20794906459067,13.144156750805942,0.8986686860497347
35,12.82,13.41,12.8,13.11,1300594,12.92,12.02,,,12.346812016464611,13.438183961751093,0.8780494941890393
36,12.84,13.125,12.77,12.99,980175,12.99,12.23,,,12.585432778766805,13.401939448817041,0.8406888160326794
37,13.33,13.38,13.01,13.05,471684,12.92,12.37,,,12.716156334863225,13.477265057397052,0.8084967577446309
38,13.11,13.54,13.05,13.22,1259767,12.95,12.48,,,12.776752021856582,13.578568177206593,0.7857469893343001
39,13.47,13.62,13.21,13.3,907222,12.98,12.54,,,12.973586942313243,13.647755553718753,0.7589079186675642
40,13.57,13.57,13.25,13.29,1103898,13.03,12.65,,,13.053586942313245,13.621122637394427,0.7275573530484526
41,13.69,13.83,13.43,13.48,560094,13.12,12.74,,,13.167758430570936,13.8250908153016,0.7141603992592774
42,14.0,14.2,13.64,14.04,584043,13.29,12.86,,,13.225288565744675,14.214922798462437,0.7145775135979004
43,14.46,14.83,13.68,14.16,1991342,13.4,12.99,,,13.435616261424531,14.84282881328702,0.7456791197694791
44,13.83,13.97,13.31,13.42,508965,13.44,13.06,,,13.319967415312451,14.823090756282042,0.7531306112145163
45,13.45,13.61,13.25,13.44,390009,13.49,13.15,,,13.157164769037648,14.826195007877784,0.7250498532706223
46,13.63,14.0,13.39,13.45,445537,13.53,13.21,,,13.239405205812547,14.098727878556355,0.7168320066084349
47,13.48,14.02,13.47,13.9,610607,13.61,13.28,,,13.247509184017824,14.130938830564629,0.7063440061364039
48,14.06,14.2,13.55,13.62,2160698,13.64,13.28,,,13.382000000000122,14.19449988537372,0.7023194342695179
49,13.96,13.99,13.45,13.68,1003952,13.69,13.32,12.28,,13.431793471156764,14.194935983607698,0.6907251889645524
50,13.57,14.25,13.555,14.21,927480,13.77,13.38,12.29,,13.453179029305804,14.298424148634963,0.6910305326099416
51,14.38,14.55,13.81,13.87,1074036,13.75,13.43,12.3,,13.401351405602744,14.571595126835808,0.6945283517092316
52,13.85,13.85,13.05,13.31,816680,13.66,13.46,12.29,,13.046195065577582,14.602973970937969,0.7034906123014293
53,13.15,13.625,13.04,13.57,1037852,13.67,13.51,12.29,,12.814128617842151,14.538971706741584,0.6950269971370415
54,13.59,14.04,13.5,13.93,277454,13.73,13.55,12.3,,12.907650519482264,14.066853755469625,0.6839536401986813
55,14.41,14.6,14.29,14.3,4078440,13.82,13.61,12.32,,12.914559851604773,14.626556412858315,0.6829569516130612
56,14.31,14.4,13.84,13.91,1045434,13.82,13.66,12.35,,13.440764919327538,14.658829017589005,0.6741743122121283
57,14.15,14.3,14.01,14.1,404746,13.88,13.71,12.38,,13.796714004481801,14.601361108815135,0.6538761470541192
58,14.09,14.33,14.05,14.18,292805,13.93,13.76,12.42,,13.844011322986487,14.399780949167502,0.6271707079788249
59,14.18,14.48,13.96,14.47,1057960,13.96,13.82,12.5,,13.95706491938593,14.476080158371058,0.6195156574089089
60,14.6806,14.89,14.09,14.14,566403,13.99,13.86,12.57,,13.960091724030274,14.885540204818339,0.6324073961654154
61,14.26,14.655,13.73,14.595,1340992,14.13,13.91,12.67,,13.726136535929905,14.901303446725924,0.6533068678678856
62,14.75,14.82,14.28,14.36,728602,14.22,13.93,12.76,,13.72605441551875,14.921057043850213,0.6452135201630367
63,14.31,14.31,13.69,13.97,496342,14.23,13.92,12.88,,13.537333486519682,14.881264300952864,0.646983983008534
64,13.98,14.1,13.575,13.89,541046,14.18,13.94,12.98,,13.43227975104698,14.817297188794656,0.6382708413650673
65,13.97,13.99,13.63,13.87,730568,14.18,13.97,13.08,,13.568396742268819,14.312174976507848,0.6183943526961339
66,13.98,14.11,13.8,13.93,409558,14.16,13.99,13.18,,13.539307819060735,14.139908275970118,0.5963661846464099
67,13.8,13.89,13.57,13.85,1351882,14.12,13.99,13.26,,13.535432778766822,14.11783321870706,0.5794828857430949
68,14.0,14.26,13.79,13.9,479389,14.06,14.0,13.31,,13.577000000000089,14.291377031165778,0.5716626796185882
69,14.02,14.31,13.83,14.24,876786,14.07,14.03,13.36,,13.576000000000082,14.405694846511079,0.5651153453601176
70,14.19,14.35,13.91,14.15,772038,14.02,14.03,13.42,,13.77612222314085,14.356268413948023,0.556178534977252
71,14.19,14.19,13.9,13.96,338521,13.97,14.03,13.47,,13.832052111621344,14.374926637310004,0.5371657824788768
72,13.62,13.7,13.17,13.2,638596,13.89,14.03,13.49,,13.193179906173723,14.452541272881307,0.5552253694446714
73,13.4419,13.53,13.11,13.16,187098,13.81,14.01,13.53,,12.909541711523579,14.183620686851295,0.5455664144843377
74,12.95,13.22,12.76,13.11,723732,13.72,13.96,13.55,,12.769755146023147,13.751050223598682,0.5394545277354565
75,13.5,13.8,13.21,13.66,1001114,13.69,13.93,13.59,,12.766746807222805,13.835919440081948,0.5502077757543526
76,13.76,13.84,13.4,13.49,298960,13.65,13.91,13.61,,12.76178066312702,14.001685734603768,0.5423357917718988
77,13.4,13.71,13.31,13.67,322819,13.63,13.89,13.64,,13.202118432184614,13.856574942636762,0.5321689495024775
78,13.85,14.26,13.795,14.04,1523950,13.6,13.88,13.65,,13.217878747027171,14.252872823047849,0.536299738823729
79,14.31,15.33,14.31,15.27,2226690,13.73,13.92,13.69,,13.254917506186594,15.339504582785318,0.5901354717648913
80,15.42,15.62,14.85,14.89,866009,13.83,13.96,13.73,,13.738029030976968,15.85794098763807,0.6029829380673991
81,14.8,14.8,14.17,14.35,638338,13.96,13.95,13.76,,14.048353165054838,15.707393703498486,0.6113412996340135
82,14.34,14.597,14.13,14.55,518847,14.11,13.96,13.8,,13.93822960010555,15.60145283915927,0.6010312068030125
83,14.6,14.6,13.78,13.82,603797,14.19,13.95,13.82,,13.79065748605432,14.793646990675413,0.6166718348885116
84,13.93,14.2912,13.7072,14.15,375023,14.25,13.96,13.84,,13.623757950458941,14.691235353021264,0.6143381323964751
85,14.07,14.14,13.86,13.97,451763,14.3,13.97,13.86,,13.698328906275835,14.601635396398708,0.5911711229395841
86,13.98,14.1,13.79,13.92,344535,14.33,13.97,13.88,,13.701595101040809,14.287996708284675,0.5710874713010423
87,14.09,14.16,13.8,14.0,375882,14.32,13.98,13.9,,13.775021338797737,14.16693888843026,0.5560097947795393
88,14.08,14.12,13.62,13.82,454222,14.16,13.97,13.91,,13.625390733359813,14.16027222176359,0.5520090951524294
89,13.69,13.88,13.56,13.6,477393,14.02,13.94,13.92,,13.522610044035316,14.219914644810254,0.5354370169272559
